STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-01,0,0.1,7.9,4,8,0
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-02,0,0.2,7.1,8,11,-10
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-03,0,0,7.1,-1,20,-14
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-04,0,0,5.9,24,33,15
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-05,0,0,5.9,11,15,-9
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-06,0,0,5.9,-11,-9,-18
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-07,0,0,5.9,-9,2,-15
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-08,0,0,5.9,-2,10,-12
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-09,0,0,5.9,-2,23,-16
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-10,0.16,0,5.9,26,36,22
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-11,0,0,5.1,34,36,28
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-12,0,0,5.1,31,41,26
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-13,0,0,5.1,38,41,26
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-14,0.09,3,5.1,29,35,16
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-15,0,0,5.1,15,19,10
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-16,0.08,1.2,5.1,23,34,12
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-17,0,0.4,5.1,15,19,5
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-18,0.03,0.7,5.9,11,17,1
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-19,0,0,5.9,18,34,9
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-20,0,0.8,5.9,26,35,6
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-21,0,0,5.9,3,6,-5
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-22,0.01,0.7,5.1,4,12,-2
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-23,0,0,5.1,0,6,-8
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-24,0.03,0.3,5.1,5,32,-8
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-25,0,0,5,20,33,5
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-26,0.18,3.9,7.9,11,25,3
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-27,0,0,7.9,0,3,-11
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-28,0,0,7.9,-7,2,-14
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-29,0,0,7.9,4,23,-3
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-30,0.07,1.1,5.9,24,31,15
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-01-31,0,0,5.9,13,15,2
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-02-01,0.16,2.5,7.1,10,21,6
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-02-02,0,0,7.9,12,16,-9
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-02-03,0,0,7.9,2,18,-12
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-02-04,0,0,7.1,9,18,-1
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-02-05,0.03,0.7,7.1,16,18,3
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-02-06,0,0,7.1,3,7,-5
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-02-07,0,0,7.1,2,12,-3
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-02-08,0.06,1.2,7.1,4,14,-10
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-02-09,0,0,7.9,9,19,-4
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-02-10,0,0,7.9,1,9,-12
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",2014-02-11,0,0,7.9,-1,11,-15
