#,Date,Low Range,Full Range,Temp
1,08-26-2020 12:00:00,788.5,785.7,22.59
2,08-26-2020 12:30:00,791.7,788.2,22.78
3,08-26-2020 13:00:00,795.4,792.3,23.01
4,08-26-2020 13:30:00,798.8,795.6,23.22
5,08-26-2020 14:00:00,802,798.9,23.43
6,08-26-2020 14:30:00,805.1,801.9,23.63
7,08-26-2020 15:00:00,807.4,804.5,23.75
8,08-26-2020 15:30:00,810.4,807.4,23.95
9,08-26-2020 16:00:00,812.6,809.6,24.07
10,08-26-2020 16:30:00,814.7,811.9,24.18
11,08-26-2020 17:00:00,817,813.7,24.29
12,08-26-2020 17:30:00,818.8,815.6,24.39
13,08-26-2020 18:00:00,820.5,817,24.47
14,08-26-2020 18:30:00,822.1,818.9,24.54
15,08-26-2020 19:00:00,823.8,820.4,24.6
16,08-26-2020 19:30:00,825.3,821.9,24.65
17,08-26-2020 20:00:00,826.6,823,24.7
18,08-26-2020 20:30:00,827.6,824.2,24.72
19,08-26-2020 21:00:00,828.5,824.9,24.74
20,08-26-2020 21:30:00,828.9,825.4,24.71
21,08-26-2020 22:00:00,829,825.4,24.69
22,08-26-2020 22:30:00,828.8,825.4,24.65
23,08-26-2020 23:00:00,828.2,824.7,24.59
24,08-26-2020 23:30:00,827.4,823.6,24.51
25,08-27-2020 00:00:00,826.2,822.5,24.41
26,08-27-2020 00:30:00,824.6,820.7,24.29
27,08-27-2020 01:00:00,822.6,818.5,24.14
28,08-27-2020 01:30:00,820.4,816.3,23.98
29,08-27-2020 02:00:00,818.1,813.7,23.82
30,08-27-2020 02:30:00,815.2,810.8,23.62
31,08-27-2020 03:00:00,812.2,807.8,23.44
32,08-27-2020 03:30:00,809.5,805.3,23.23
33,08-27-2020 04:00:00,806.4,802.4,23.05
34,08-27-2020 04:30:00,803.8,799,22.86
35,08-27-2020 05:00:00,801.2,796.8,22.7
36,08-27-2020 05:30:00,798.8,793.9,22.54
37,08-27-2020 06:00:00,796.5,792,22.41
38,08-27-2020 06:30:00,795.2,790.2,22.3
39,08-27-2020 07:00:00,793.7,788.7,22.2
40,08-27-2020 07:30:00,792.6,787.6,22.13
41,08-27-2020 08:00:00,792.3,786.9,22.1
42,08-27-2020 08:30:00,792.5,787.6,22.12
43,08-27-2020 09:00:00,793.3,788.4,22.15
44,08-27-2020 09:30:00,795,789.9,22.25
45,08-27-2020 10:00:00,797,792.1,22.38
46,08-27-2020 10:30:00,799.6,794.7,22.53
47,08-27-2020 11:00:00,801.5,796.5,22.67
48,08-27-2020 11:30:00,803,798.3,22.77
49,08-27-2020 12:00:00,805.1,800.1,22.92
50,08-27-2020 12:30:00,807.3,802.7,23.07
51,08-27-2020 13:00:00,810.7,806,23.29
52,08-27-2020 13:30:00,813.8,809.3,23.52
53,08-27-2020 14:00:00,818.4,813.8,23.77
54,08-27-2020 14:30:00,820.8,816.3,23.98
55,08-27-2020 15:00:00,824.3,819.6,24.2
56,08-27-2020 15:30:00,826.9,822.2,24.36
57,08-27-2020 16:00:00,829.8,825.1,24.54
58,08-27-2020 16:30:00,832.2,827.7,24.7
59,08-27-2020 17:00:00,834.2,829.5,24.82
60,08-27-2020 17:30:00,836.2,831.4,24.93
61,08-27-2020 18:00:00,838.1,834,25.02
62,08-27-2020 18:30:00,839.5,834.7,25.11
63,08-27-2020 19:00:00,841.3,836.6,25.2
64,08-27-2020 19:30:00,841.3,836.6,25.2
65,08-27-2020 20:00:00,841,836.6,25.17
66,08-27-2020 20:30:00,840,835.5,25.08
67,08-27-2020 21:00:00,823.8,819,24.83
68,08-27-2020 21:30:00,826.9,822.1,24.83
69,08-27-2020 22:00:00,821.4,816.7,24.8
70,08-27-2020 22:30:00,822,817.5,24.8
71,08-27-2020 23:00:00,820.9,816,24.76
72,08-27-2020 23:30:00,819.2,814.5,24.68
73,08-28-2020 00:00:00,816.1,811.5,24.54
74,08-28-2020 00:30:00,813,808.6,24.36
75,08-28-2020 01:00:00,808.1,803.8,24.11
76,08-28-2020 01:30:00,799,794.4,23.72
77,08-28-2020 02:00:00,788.5,783.6,23.28
78,08-28-2020 02:30:00,762.8,758.4,22.81
79,08-28-2020 03:00:00,732,728.5,22.43
80,08-28-2020 03:30:00,725.5,721.6,22.33
81,08-28-2020 04:00:00,678.1,674.6,22.35
82,08-28-2020 04:30:00,605.7,603,22.42
83,08-28-2020 05:00:00,544.2,541.8,22.49
84,08-28-2020 05:30:00,515.3,513.2,22.52
85,08-28-2020 06:00:00,504.5,503,22.52
86,08-28-2020 06:30:00,483.1,481.3,22.49
87,08-28-2020 07:00:00,470.7,469.2,22.46
88,08-28-2020 07:30:00,472.5,470.7,22.4
89,08-28-2020 08:00:00,478.7,476.8,22.36
90,08-28-2020 08:30:00,479.3,478,22.33
91,08-28-2020 09:00:00,473.8,472.6,22.36
92,08-28-2020 09:30:00,468,466.6,22.38
93,08-28-2020 10:00:00,467.2,465.8,22.4
94,08-28-2020 10:30:00,472.6,471.1,22.37
95,08-28-2020 11:00:00,486,484.1,22.32
96,08-28-2020 11:30:00,499.7,497.8,22.26
97,08-28-2020 12:00:00,512.2,510.3,22.24
98,08-28-2020 12:30:00,526.6,524.8,22.27
99,08-28-2020 13:00:00,544.4,541.9,22.35
100,08-28-2020 13:30:00,563.5,561.3,22.52
101,08-28-2020 14:00:00,579.3,576.8,22.76
102,08-28-2020 14:30:00,589.8,587.4,23
103,08-28-2020 15:00:00,599.3,596.8,23.21
104,08-28-2020 15:30:00,608.1,605.5,23.33
105,08-28-2020 16:00:00,613.4,610.8,23.4
106,08-28-2020 16:30:00,613.5,610.9,23.37
107,08-28-2020 17:00:00,610.9,608.2,23.28
108,08-28-2020 17:30:00,607.9,605.6,23.23
109,08-28-2020 18:00:00,604.7,602.5,23.22
110,08-28-2020 18:30:00,601.7,599.1,23.23
111,08-28-2020 19:00:00,599.7,597.2,23.24
112,08-28-2020 19:30:00,597.6,595.2,23.24
113,08-28-2020 20:00:00,595,592.6,23.23
114,08-28-2020 20:30:00,593.7,591.1,23.21
115,08-28-2020 21:00:00,594.6,592.2,23.18
116,08-28-2020 21:30:00,597.3,594.9,23.12
117,08-28-2020 22:00:00,598.9,596.1,23.03
118,08-28-2020 22:30:00,599.7,597.4,22.89
119,08-28-2020 23:00:00,601.1,598.6,22.76
120,08-28-2020 23:30:00,603.5,600.6,22.65
121,08-29-2020 00:00:00,605.5,603,22.54
122,08-29-2020 00:30:00,607.3,605,22.42
123,08-29-2020 01:00:00,608.6,606.2,22.29
124,08-29-2020 01:30:00,610.2,607.4,22.17
125,08-29-2020 02:00:00,612.7,609.4,22.04
126,08-29-2020 02:30:00,615.3,612.6,21.93
127,08-29-2020 03:00:00,618.1,615.7,21.84
128,08-29-2020 03:30:00,620.8,617.7,21.74
129,08-29-2020 04:00:00,623.3,620.4,21.66
130,08-29-2020 04:30:00,626.5,623.5,21.58
131,08-29-2020 05:00:00,628.9,626.3,21.52
132,08-29-2020 05:30:00,631.9,628.6,21.46
133,08-29-2020 06:00:00,634.3,631.4,21.39
134,08-29-2020 06:30:00,636.4,633.3,21.32
135,08-29-2020 07:00:00,638.5,635.7,21.24
136,08-29-2020 07:30:00,640.8,637.7,21.16
