#,Date,Low Range,Full Range,Temp
1,12-15-2020 15:30:00,447.2,443.7,0.44
2,12-15-2020 16:00:00,445.5,441.8,0.4
3,12-15-2020 16:30:00,444.6,440.6,0.39
4,12-15-2020 17:00:00,444.7,441,0.38
5,12-15-2020 17:30:00,444.8,441,0.38
6,12-15-2020 18:00:00,445.1,441.8,0.39
7,12-15-2020 18:30:00,445.3,441.8,0.39
8,12-15-2020 19:00:00,445.7,441.8,0.4
9,12-15-2020 19:30:00,445.9,442.2,0.4
10,12-15-2020 20:00:00,446.2,442.6,0.4
11,12-15-2020 20:30:00,446.5,442.6,0.39
12,12-15-2020 21:00:00,446.6,442.6,0.38
13,12-15-2020 21:30:00,446.5,442.6,0.35
14,12-15-2020 22:00:00,446.3,442.6,0.34
15,12-15-2020 22:30:00,446.2,442.6,0.34
16,12-15-2020 23:00:00,446,442.6,0.33
17,12-15-2020 23:30:00,446,442.6,0.32
18,12-16-2020 00:00:00,445.9,442.6,0.32
19,12-16-2020 00:30:00,445.6,441.8,0.32
20,12-16-2020 01:00:00,445.8,442.6,0.33
21,12-16-2020 01:30:00,446.2,443,0.32
22,12-16-2020 02:00:00,447,443.4,0.32
23,12-16-2020 02:30:00,447.3,443.8,0.33
24,12-16-2020 03:00:00,448.2,444.5,0.33
25,12-16-2020 03:30:00,448.6,445.3,0.34
26,12-16-2020 04:00:00,449.3,445.7,0.34
27,12-16-2020 04:30:00,449.6,446.1,0.36
28,12-16-2020 05:00:00,449.9,446.1,0.36
29,12-16-2020 05:30:00,450,446.5,0.38
30,12-16-2020 06:00:00,450.2,446.4,0.4
31,12-16-2020 06:30:00,450.3,446.4,0.41
32,12-16-2020 07:00:00,450.6,446.8,0.41
33,12-16-2020 07:30:00,450.7,446.8,0.42
34,12-16-2020 08:00:00,451.1,447.6,0.44
35,12-16-2020 08:30:00,451.6,448,0.46
36,12-16-2020 09:00:00,451.9,448.3,0.5
37,12-16-2020 09:30:00,452.3,448.7,0.55
38,12-16-2020 10:00:00,452.9,449.5,0.61
39,12-16-2020 10:30:00,453.3,449.8,0.65
40,12-16-2020 11:00:00,454.1,450.2,0.74
41,12-16-2020 11:30:00,454.5,450.5,0.81
42,12-16-2020 12:00:00,454.8,451.3,0.87
43,12-16-2020 12:30:00,455.2,451.6,0.95
44,12-16-2020 13:00:00,455.7,452.4,1.01
45,12-16-2020 13:30:00,455.5,452,1.03
46,12-16-2020 14:00:00,455.5,451.9,1.07
47,12-16-2020 14:30:00,455.8,452.3,1.1
48,12-16-2020 15:00:00,456.5,452.7,1.15
49,12-16-2020 15:30:00,457.3,453.8,1.24
50,12-16-2020 16:00:00,458.4,454.9,1.32
51,12-16-2020 16:30:00,460.1,456.4,1.42
52,12-16-2020 17:00:00,461.9,458.3,1.53
53,12-16-2020 17:30:00,464.3,460.6,1.67
54,12-16-2020 18:00:00,466.5,463.2,1.82
55,12-16-2020 18:30:00,467.4,464,1.87
56,12-16-2020 19:00:00,467.8,464.3,1.89
57,12-16-2020 19:30:00,467.6,464,1.86
58,12-16-2020 20:00:00,467.5,464,1.84
59,12-16-2020 20:30:00,467.4,464,1.82
60,12-16-2020 21:00:00,467,463.6,1.78
61,12-16-2020 21:30:00,466.9,463.2,1.77
62,12-16-2020 22:00:00,466.8,463.2,1.76
63,12-16-2020 22:30:00,467.2,463.6,1.77
64,12-16-2020 23:00:00,467.5,464,1.78
65,12-16-2020 23:30:00,468.1,464.8,1.8
66,12-17-2020 00:00:00,468.4,464.8,1.81
67,12-17-2020 00:30:00,469,465.2,1.81
68,12-17-2020 01:00:00,469.1,465.5,1.82
69,12-17-2020 01:30:00,469.5,465.9,1.83
70,12-17-2020 02:00:00,469.9,466.3,1.86
71,12-17-2020 02:30:00,470.3,467.1,1.88
72,12-17-2020 03:00:00,470.8,467.4,1.9
73,12-17-2020 03:30:00,471.2,467.8,1.92
74,12-17-2020 04:00:00,471.5,468.2,1.94
75,12-17-2020 04:30:00,471.9,469,1.97
76,12-17-2020 05:00:00,472.4,469.3,1.99
77,12-17-2020 05:30:00,473,469.7,2.03
78,12-17-2020 06:00:00,473,469.7,2.06
79,12-17-2020 06:30:00,473.2,470.1,2.09
80,12-17-2020 07:00:00,473.3,470,2.11
81,12-17-2020 07:30:00,473.6,470,2.12
82,12-17-2020 08:00:00,473.6,470.4,2.15
83,12-17-2020 08:30:00,473.8,470.4,2.16
84,12-17-2020 09:00:00,474.3,471.2,2.22
85,12-17-2020 09:30:00,475,471.5,2.28
86,12-17-2020 10:00:00,476.1,473,2.35
87,12-17-2020 10:30:00,477.3,474.1,2.46
88,12-17-2020 11:00:00,479,475.2,2.57
89,12-17-2020 11:30:00,480.4,477.1,2.69
90,12-17-2020 12:00:00,481.4,477.9,2.77
91,12-17-2020 12:30:00,481.8,478.6,2.81
92,12-17-2020 13:00:00,482,478.6,2.84
93,12-17-2020 13:30:00,482.6,479.4,2.88
94,12-17-2020 14:00:00,484.1,480.8,3.01
95,12-17-2020 14:30:00,486.5,483.1,3.19
96,12-17-2020 15:00:00,488.4,484.9,3.32
97,12-17-2020 15:30:00,488.6,485.3,3.36
98,12-17-2020 16:00:00,488.2,484.5,3.36
99,12-17-2020 16:30:00,488,484.5,3.35
100,12-17-2020 17:00:00,487.3,483.8,3.31
101,12-17-2020 17:30:00,486,482.7,3.23
102,12-17-2020 18:00:00,483.8,480.4,3.12
103,12-17-2020 18:30:00,481.4,478.5,2.97
104,12-17-2020 19:00:00,480,476.7,2.85
105,12-17-2020 19:30:00,479.6,476.3,2.85
106,12-17-2020 20:00:00,480.2,477,2.9
107,12-17-2020 20:30:00,479.4,476.3,2.84
108,12-17-2020 21:00:00,477,473.3,2.66
109,12-17-2020 21:30:00,473.7,470.3,2.41
110,12-17-2020 22:00:00,471.5,468,2.26
111,12-17-2020 22:30:00,469.7,466.2,2.12
112,12-17-2020 23:00:00,468.1,465.1,2
113,12-17-2020 23:30:00,466.9,463.6,1.92
114,12-18-2020 00:00:00,465.5,461.7,1.8
115,12-18-2020 00:30:00,463.9,460.6,1.67
116,12-18-2020 01:00:00,462.5,459.1,1.55
117,12-18-2020 01:30:00,461.3,457.6,1.44
118,12-18-2020 02:00:00,460,456.5,1.35
119,12-18-2020 02:30:00,458.6,455,1.23
120,12-18-2020 03:00:00,457.4,454.2,1.14
121,12-18-2020 03:30:00,456.5,452.7,1.07
122,12-18-2020 04:00:00,455.5,452,1.01
123,12-18-2020 04:30:00,454.7,451.2,0.93
124,12-18-2020 05:00:00,453.5,449.7,0.85
125,12-18-2020 05:30:00,452.5,448.6,0.79
126,12-18-2020 06:00:00,451.9,448.6,0.73
127,12-18-2020 06:30:00,451.3,447.5,0.7
128,12-18-2020 07:00:00,450.7,447.1,0.67
129,12-18-2020 07:30:00,450.4,447.1,0.64
130,12-18-2020 08:00:00,450.3,446.7,0.64
131,12-18-2020 08:30:00,450.4,446.7,0.67
132,12-18-2020 09:00:00,451.3,447.5,0.72
133,12-18-2020 09:30:00,452.6,449.4,0.82
134,12-18-2020 10:00:00,454,450.5,0.92
135,12-18-2020 10:30:00,455,451.6,0.98
136,12-18-2020 11:00:00,456.4,453.1,1.08
137,12-18-2020 11:30:00,458.6,455.4,1.24
138,12-18-2020 12:00:00,461,457.6,1.42
139,12-18-2020 12:30:00,462.1,458.7,1.5
140,12-18-2020 13:00:00,462.6,459.1,1.56
141,12-18-2020 13:30:00,464.7,461.3,1.71
142,12-18-2020 14:00:00,465.7,462.1,1.81
143,12-18-2020 14:30:00,467.2,463.9,1.92
144,12-18-2020 15:00:00,467.9,464.7,1.98
145,12-18-2020 15:30:00,468.7,465.4,2.05
146,12-18-2020 16:00:00,469,465.8,2.07
147,12-18-2020 16:30:00,468.7,465.4,2.05
148,12-18-2020 17:00:00,468.8,465.4,2.07
149,12-18-2020 17:30:00,468.8,465.4,2.07
150,12-18-2020 18:00:00,468.1,465,2.06
151,12-18-2020 18:30:00,468,464.6,2.06
152,12-18-2020 19:00:00,468.8,465.4,2.12
153,12-18-2020 19:30:00,468.7,465,2.11
154,12-18-2020 20:00:00,468.6,465.4,2.1
155,12-18-2020 20:30:00,468.9,465.4,2.11
156,12-18-2020 21:00:00,469.3,465.8,2.12
157,12-18-2020 21:30:00,469.2,465.8,2.1
158,12-18-2020 22:00:00,469,465.8,2.07
159,12-18-2020 22:30:00,469.4,465.8,2.07
160,12-18-2020 23:00:00,470,467,2.09
161,12-18-2020 23:30:00,470.8,467.3,2.11
162,12-19-2020 00:00:00,471.4,468.1,2.13
163,12-19-2020 00:30:00,472.3,469.2,2.17
164,12-19-2020 01:00:00,473.4,470,2.21
165,12-19-2020 01:30:00,474.5,471.1,2.27
166,12-19-2020 02:00:00,475.7,472.3,2.32
167,12-19-2020 02:30:00,476.8,473.4,2.38
168,12-19-2020 03:00:00,477.6,474.1,2.44
169,12-19-2020 03:30:00,478.4,475.3,2.47
170,12-19-2020 04:00:00,479.2,476,2.55
171,12-19-2020 04:30:00,480.3,477.2,2.6
172,12-19-2020 05:00:00,481.1,477.5,2.66
173,12-19-2020 05:30:00,481.9,478.7,2.71
174,12-19-2020 06:00:00,482.8,479.4,2.77
175,12-19-2020 06:30:00,483.5,480.5,2.83
176,12-19-2020 07:00:00,484.3,480.9,2.88
177,12-19-2020 07:30:00,484.9,481.7,2.92
178,12-19-2020 08:00:00,485.6,482.4,2.97
179,12-19-2020 08:30:00,486.3,483.1,3.03
180,12-19-2020 09:00:00,487,483.5,3.08
181,12-19-2020 09:30:00,487.8,484.6,3.13
182,12-19-2020 10:00:00,488.6,485.4,3.2
183,12-19-2020 10:30:00,489.4,485.7,3.28
184,12-19-2020 11:00:00,490.5,487.3,3.34
185,12-19-2020 11:30:00,491.6,488.4,3.45
186,12-19-2020 12:00:00,492.7,489.5,3.51
187,12-19-2020 12:30:00,493.4,490.6,3.58
188,12-19-2020 13:00:00,494,490.6,3.64
189,12-19-2020 13:30:00,494.7,491.3,3.7
190,12-19-2020 14:00:00,495.4,492.1,3.77
191,12-19-2020 14:30:00,495.6,492.8,3.81
192,12-19-2020 15:00:00,495.8,492.8,3.85
193,12-19-2020 15:30:00,495.4,492,3.83
194,12-19-2020 16:00:00,495.5,492,3.85
195,12-19-2020 16:30:00,495.8,492.8,3.88
196,12-19-2020 17:00:00,495.8,492.8,3.91
197,12-19-2020 17:30:00,495.4,492.8,3.91
198,12-19-2020 18:00:00,495.1,492,3.91
199,12-19-2020 18:30:00,495.3,492,3.89
200,12-19-2020 19:00:00,495.4,492,3.91
201,12-19-2020 19:30:00,495.7,492.4,3.91
202,12-19-2020 20:00:00,495.5,492,3.88
203,12-19-2020 20:30:00,495.2,492,3.83
204,12-19-2020 21:00:00,495.2,492,3.82
205,12-19-2020 21:30:00,495.2,491.7,3.8
