#,Date,Low Range,Full Range,Temp
1,02-04-2020 16:00:00,476.3,475,2.98
2,02-04-2020 16:30:00,475.7,474.7,2.96
3,02-04-2020 17:00:00,474.1,472.8,2.85
4,02-04-2020 17:30:00,472.4,470.5,2.73
5,02-04-2020 18:00:00,471.4,470.2,2.67
6,02-04-2020 18:30:00,470.3,469.4,2.57
7,02-04-2020 19:00:00,468.6,467.2,2.44
8,02-04-2020 19:30:00,466.8,465.3,2.3
9,02-04-2020 20:00:00,465.6,464.6,2.21
10,02-04-2020 20:30:00,463.7,462.3,2.07
11,02-04-2020 21:00:00,462.3,460.8,1.94
12,02-04-2020 21:30:00,460.9,459.3,1.81
13,02-04-2020 22:00:00,459.9,458.6,1.73
14,02-04-2020 22:30:00,459.2,457.9,1.66
15,02-04-2020 23:00:00,458.4,456.7,1.6
16,02-04-2020 23:30:00,457.6,456.4,1.54
17,02-05-2020 00:00:00,456.7,455.2,1.47
18,02-05-2020 00:30:00,455.8,454.5,1.39
19,02-05-2020 01:00:00,454.9,453.8,1.33
20,02-05-2020 01:30:00,454.7,453,1.32
21,02-05-2020 02:00:00,454.1,452.6,1.27
22,02-05-2020 02:30:00,453.4,452.3,1.23
23,02-05-2020 03:00:00,452.5,451.1,1.14
24,02-05-2020 03:30:00,451.5,450,1.07
25,02-05-2020 04:00:00,450.6,448.9,0.99
26,02-05-2020 04:30:00,449.5,448.1,0.91
27,02-05-2020 05:00:00,448.9,447.8,0.82
28,02-05-2020 05:30:00,448.3,447,0.81
29,02-05-2020 06:00:00,447.4,445.9,0.75
30,02-05-2020 06:30:00,446.5,444.8,0.67
31,02-05-2020 07:00:00,445.5,444,0.58
32,02-05-2020 07:30:00,444.6,442.9,0.51
33,02-05-2020 08:00:00,444.1,442.9,0.46
34,02-05-2020 08:30:00,443.8,442.6,0.44
35,02-05-2020 09:00:00,444.1,442.6,0.45
36,02-05-2020 09:30:00,445.1,443.7,0.51
37,02-05-2020 10:00:00,445.9,444.4,0.56
38,02-05-2020 10:30:00,447.1,445.6,0.61
39,02-05-2020 11:00:00,447.9,446.3,0.67
40,02-05-2020 11:30:00,449.2,447.8,0.74
41,02-05-2020 12:00:00,450.7,449,0.84
42,02-05-2020 12:30:00,452.2,450.8,0.95
43,02-05-2020 13:00:00,454.5,453.1,1.1
44,02-05-2020 13:30:00,456.7,454.9,1.27
45,02-05-2020 14:00:00,458.4,456.8,1.39
46,02-05-2020 14:30:00,459.4,458,1.47
47,02-05-2020 15:00:00,459.9,458.3,1.49
48,02-05-2020 15:30:00,460.1,458.7,1.5
49,02-05-2020 16:00:00,460.4,459.1,1.52
50,02-05-2020 16:30:00,460.8,459.1,1.54
51,02-05-2020 17:00:00,461,459.1,1.55
52,02-05-2020 17:30:00,461.2,459.5,1.55
53,02-05-2020 18:00:00,460.6,459.1,1.5
54,02-05-2020 18:30:00,459.8,458.7,1.43
55,02-05-2020 19:00:00,459.3,458,1.37
56,02-05-2020 19:30:00,458.8,457.3,1.31
57,02-05-2020 20:00:00,458.4,456.5,1.25
58,02-05-2020 20:30:00,458.1,456.5,1.21
59,02-05-2020 21:00:00,458.1,456.6,1.16
60,02-05-2020 21:30:00,457.9,456.6,1.12
61,02-05-2020 22:00:00,457.8,456.2,1.07
62,02-05-2020 22:30:00,458,456.2,1.04
63,02-05-2020 23:00:00,458,456.6,1.03
64,02-05-2020 23:30:00,458.4,456.6,1.01
65,02-06-2020 00:00:00,458.2,456.6,0.99
66,02-06-2020 00:30:00,458.4,456.6,0.96
67,02-06-2020 01:00:00,458.5,456.6,0.96
68,02-06-2020 01:30:00,458.9,457.4,0.95
69,02-06-2020 02:00:00,459.1,457.4,0.95
70,02-06-2020 02:30:00,459.5,458.2,0.95
71,02-06-2020 03:00:00,459.9,458.6,0.96
72,02-06-2020 03:30:00,460.2,458.6,0.96
73,02-06-2020 04:00:00,460.3,458.6,0.95
74,02-06-2020 04:30:00,459.8,458.2,0.9
75,02-06-2020 05:00:00,459.3,457.9,0.84
76,02-06-2020 05:30:00,458.9,457.5,0.79
77,02-06-2020 06:00:00,458.5,456.7,0.75
78,02-06-2020 06:30:00,457.7,456.4,0.68
79,02-06-2020 07:00:00,457.1,455.2,0.64
80,02-06-2020 07:30:00,457.1,455.6,0.62
81,02-06-2020 08:00:00,457.2,455.6,0.63
82,02-06-2020 08:30:00,457.3,455.6,0.63
83,02-06-2020 09:00:00,456.9,455.3,0.61
84,02-06-2020 09:30:00,458,456.4,0.69
85,02-06-2020 10:00:00,460.4,458.6,0.84
86,02-06-2020 10:30:00,462.5,460.9,0.98
87,02-06-2020 11:00:00,464.9,463.5,1.14
88,02-06-2020 11:30:00,468.1,466.9,1.37
89,02-06-2020 12:00:00,471.2,469.9,1.58
90,02-06-2020 12:30:00,474.2,472.9,1.8
91,02-06-2020 13:00:00,476.7,475.5,1.98
92,02-06-2020 13:30:00,479,477.8,2.12
93,02-06-2020 14:00:00,481.5,480,2.32
94,02-06-2020 14:30:00,483.7,483,2.47
95,02-06-2020 15:00:00,485.3,484.1,2.6
96,02-06-2020 15:30:00,486.5,485.3,2.67
97,02-06-2020 16:00:00,486.5,485.3,2.68
98,02-06-2020 16:30:00,486,484.5,2.66
99,02-06-2020 17:00:00,485.6,484.5,2.62
100,02-06-2020 17:30:00,484.7,483.4,2.56
101,02-06-2020 18:00:00,483.5,482.3,2.46
102,02-06-2020 18:30:00,481.9,480.4,2.34
103,02-06-2020 19:00:00,479.9,478.5,2.21
104,02-06-2020 19:30:00,477.7,476.3,2.05
105,02-06-2020 20:00:00,475.1,473.7,1.86
106,02-06-2020 20:30:00,472.5,471,1.69
107,02-06-2020 21:00:00,470,468.8,1.48
108,02-06-2020 21:30:00,467.5,466.2,1.31
109,02-06-2020 22:00:00,466,464.3,1.18
110,02-06-2020 22:30:00,464.6,463.2,1.07
111,02-06-2020 23:00:00,463.5,461.7,0.97
112,02-06-2020 23:30:00,462.7,460.9,0.9
113,02-07-2020 00:00:00,462.2,461,0.85
114,02-07-2020 00:30:00,461.7,460.2,0.79
115,02-07-2020 01:00:00,461.1,459.5,0.73
116,02-07-2020 01:30:00,460.8,459.1,0.7
117,02-07-2020 02:00:00,460.8,459.1,0.69
118,02-07-2020 02:30:00,460.8,459.5,0.68
119,02-07-2020 03:00:00,460.6,459.1,0.64
120,02-07-2020 03:30:00,460,458.8,0.61
121,02-07-2020 04:00:00,459.5,457.6,0.56
122,02-07-2020 04:30:00,459.2,457.6,0.53
123,02-07-2020 05:00:00,458.8,456.9,0.5
124,02-07-2020 05:30:00,458.5,456.9,0.47
125,02-07-2020 06:00:00,458.5,456.9,0.47
126,02-07-2020 06:30:00,458.3,456.9,0.45
127,02-07-2020 07:00:00,458.1,456.5,0.42
128,02-07-2020 07:30:00,457.5,455.8,0.39
