#,Date,Low Range,Full Range,Temp
1,06-17-2020 12:30:00,692.3,689.3,20.6
2,06-17-2020 13:00:00,696,692.6,20.89
3,06-17-2020 13:30:00,699.7,696.2,21.17
4,06-17-2020 14:00:00,703.4,700.3,21.49
5,06-17-2020 14:30:00,706.8,703.1,21.76
6,06-17-2020 15:00:00,709.6,706.4,22.01
7,06-17-2020 15:30:00,712.3,709,22.24
8,06-17-2020 16:00:00,715.2,711.9,22.49
9,06-17-2020 16:30:00,718.2,715.1,22.76
10,06-17-2020 17:00:00,720.6,717.3,22.99
11,06-17-2020 17:30:00,722.7,719.4,23.18
12,06-17-2020 18:00:00,724.4,721.2,23.38
13,06-17-2020 18:30:00,725.8,722.6,23.52
14,06-17-2020 19:00:00,726.8,723.7,23.6
15,06-17-2020 19:30:00,727.1,724.1,23.62
16,06-17-2020 20:00:00,728.3,724.9,23.62
17,06-17-2020 20:30:00,729.7,726.4,23.6
18,06-17-2020 21:00:00,730,726.5,23.54
19,06-17-2020 21:30:00,729.8,726.6,23.43
20,06-17-2020 22:00:00,729.4,725.9,23.29
21,06-17-2020 22:30:00,728.8,725.2,23.15
22,06-17-2020 23:00:00,727.9,724.6,22.99
23,06-17-2020 23:30:00,726.7,722.8,22.82
24,06-18-2020 00:00:00,725.4,721.8,22.65
25,06-18-2020 00:30:00,724,720.4,22.46
26,06-18-2020 01:00:00,722.4,718.6,22.26
27,06-18-2020 01:30:00,720.2,716.8,22.07
28,06-18-2020 02:00:00,718,714.3,21.84
29,06-18-2020 02:30:00,715.2,711.8,21.61
30,06-18-2020 03:00:00,712.5,708.9,21.35
31,06-18-2020 03:30:00,709.6,706,21.1
32,06-18-2020 04:00:00,706.1,702.3,20.84
33,06-18-2020 04:30:00,703,699,20.6
34,06-18-2020 05:00:00,699.9,695.7,20.37
35,06-18-2020 05:30:00,697.2,693.5,20.14
36,06-18-2020 06:00:00,694.2,690.6,19.92
37,06-18-2020 06:30:00,691.9,688,19.73
38,06-18-2020 07:00:00,690.5,686.6,19.62
