#,Date,Low Range,Full Range,Temp
1,2020-03-16 11:30:00,451.5,449.7,3.43
2,2020-03-16 12:00:00,452.3,450,3.48
3,2020-03-16 12:30:00,452.8,450.8,3.51
4,2020-03-16 13:00:00,455.4,453.4,3.68
5,2020-03-16 13:30:00,458.2,456,3.91
6,2020-03-16 14:00:00,460,457.9,4.06
7,2020-03-16 14:30:00,461.6,459.4,4.16
8,2020-03-16 15:00:00,462.2,460.1,4.21
9,2020-03-16 15:30:00,463.7,462,4.29
10,2020-03-16 16:00:00,463.5,461.6,4.31
11,2020-03-16 16:30:00,462.9,460.9,4.28
12,2020-03-16 17:00:00,463.5,461.6,4.31
13,2020-03-16 17:30:00,464.5,462.4,4.37
14,2020-03-16 18:00:00,464.9,463.1,4.4
15,2020-03-16 18:30:00,464.4,462.4,4.36
16,2020-03-16 19:00:00,463.4,461.3,4.27
17,2020-03-16 19:30:00,462.4,460.1,4.19
18,2020-03-16 20:00:00,462,459.8,4.12
19,2020-03-16 20:30:00,462,460.2,4.12
20,2020-03-16 21:00:00,462.5,460.2,4.06
21,2020-03-16 21:30:00,462.4,460.2,4.02
22,2020-03-16 22:00:00,462.9,461.4,3.99
23,2020-03-16 22:30:00,463.4,461.4,3.97
24,2020-03-16 23:00:00,463.6,461.4,3.94
25,2020-03-16 23:30:00,463.2,461.4,3.92
26,2020-03-17 00:00:00,463.5,461.4,3.89
27,2020-03-17 00:30:00,463.6,461.8,3.89
28,2020-03-17 01:00:00,464.3,462.6,3.89
29,2020-03-17 01:30:00,464.3,462.6,3.89
30,2020-03-17 02:00:00,464.6,462.6,3.89
31,2020-03-17 02:30:00,464.6,462.6,3.88
32,2020-03-17 03:00:00,464.4,462.2,3.83
33,2020-03-17 03:30:00,464.8,463,3.82
34,2020-03-17 04:00:00,464.2,462.3,3.77
35,2020-03-17 04:30:00,463.1,460.8,3.68
36,2020-03-17 05:00:00,462.1,460,3.58
37,2020-03-17 05:30:00,461.6,459.7,3.53
38,2020-03-17 06:00:00,460.8,458.6,3.41
39,2020-03-17 06:30:00,459.1,457.1,3.3
40,2020-03-17 07:00:00,458.1,455.6,3.23
41,2020-03-17 07:30:00,456.9,455.2,3.12
42,2020-03-17 08:00:00,455.8,454.1,3.02
43,2020-03-17 08:30:00,455,453,2.97
44,2020-03-17 09:00:00,455.5,453.4,2.97
45,2020-03-17 09:30:00,456.7,454.9,3.06
46,2020-03-17 10:00:00,459.2,457.1,3.21
47,2020-03-17 10:30:00,462.1,460.1,3.42
48,2020-03-17 11:00:00,465.8,463.9,3.68
49,2020-03-17 11:30:00,469.8,468,3.98
50,2020-03-17 12:00:00,474,472.1,4.28
51,2020-03-17 12:30:00,478.3,476.5,4.61
52,2020-03-17 13:00:00,483,481.4,4.96
53,2020-03-17 13:30:00,488.6,486.6,5.35
54,2020-03-17 14:00:00,493.8,492.2,5.79
55,2020-03-17 14:30:00,499,497.4,6.15
56,2020-03-17 15:00:00,503.2,501.1,6.5
57,2020-03-17 15:30:00,507.2,505.6,6.79
58,2020-03-17 16:00:00,510.3,508.2,7.04
59,2020-03-17 16:30:00,511.9,510.4,7.18
60,2020-03-17 17:00:00,513.1,511.1,7.28
61,2020-03-17 17:30:00,512.7,511.1,7.25
62,2020-03-17 18:00:00,511.6,509.6,7.19
63,2020-03-17 18:30:00,510,508.2,7.05
64,2020-03-17 19:00:00,507.6,505.9,6.89
65,2020-03-17 19:30:00,505.4,503.7,6.72
66,2020-03-17 20:00:00,503.1,501.5,6.55
67,2020-03-17 20:30:00,501.4,499.6,6.38
68,2020-03-17 21:00:00,498.7,497,6.21
69,2020-03-17 21:30:00,496.6,494.8,5.99
70,2020-03-17 22:00:00,494.8,493.3,5.8
71,2020-03-17 22:30:00,493.3,491.5,5.65
72,2020-03-17 23:00:00,491.7,490.4,5.51
73,2020-03-17 23:30:00,491.3,489.7,5.42
74,2020-03-18 00:00:00,491.6,490.1,5.36
75,2020-03-18 00:30:00,491.6,489.7,5.36
76,2020-03-18 01:00:00,492.8,491.2,5.42
77,2020-03-18 01:30:00,493.7,492,5.43
78,2020-03-18 02:00:00,494.8,493.1,5.47
79,2020-03-18 02:30:00,495.5,493.5,5.52
80,2020-03-18 03:00:00,496.6,494.6,5.58
81,2020-03-18 03:30:00,496.3,495,5.58
82,2020-03-18 04:00:00,497.1,495.4,5.63
83,2020-03-18 04:30:00,498.3,496.5,5.67
84,2020-03-18 05:00:00,498.8,497.3,5.71
85,2020-03-18 05:30:00,499,496.9,5.73
86,2020-03-18 06:00:00,499.5,497.6,5.74
87,2020-03-18 06:30:00,496.9,495.4,5.6
88,2020-03-18 07:00:00,491.9,490.5,5.37
89,2020-03-18 07:30:00,486.6,484.8,5.11
90,2020-03-18 08:00:00,482.1,480.3,4.86
91,2020-03-18 08:30:00,479.9,478,4.72
92,2020-03-18 09:00:00,478.1,476.2,4.6
93,2020-03-18 09:30:00,477.6,475.8,4.57
94,2020-03-18 10:00:00,477.7,476.2,4.57
