#,Date,Low Range,Full Range,Temp
1,03-09-2021 14:00:00,371.6,368.4,6.34
2,03-09-2021 14:30:00,367.1,363.8,6.53
3,03-09-2021 15:00:00,357.3,353,6.62
4,03-09-2021 15:30:00,350,345.8,6.67
5,03-09-2021 16:00:00,358.5,354.9,6.71
6,03-09-2021 16:30:00,361.9,358.8,6.65
7,03-09-2021 17:00:00,358,354.6,6.51
8,03-09-2021 17:30:00,356,352.4,6.39
9,03-09-2021 18:00:00,355.3,352,6.27
10,03-09-2021 18:30:00,354.6,351.3,6.14
11,03-09-2021 19:00:00,355.6,352.1,6.04
12,03-09-2021 19:30:00,356.6,353.3,5.98
13,03-09-2021 20:00:00,357.9,354.5,5.92
14,03-09-2021 20:30:00,359.4,356,5.86
15,03-09-2021 21:00:00,361,357.5,5.85
16,03-09-2021 21:30:00,363,359.5,5.85
17,03-09-2021 22:00:00,365.7,362.1,5.88
18,03-09-2021 22:30:00,368.3,364.8,5.98
19,03-09-2021 23:00:00,370.8,367.8,6.09
20,03-09-2021 23:30:00,373.3,370.4,6.16
21,03-10-2021 00:00:00,376,372.7,6.24
22,03-10-2021 00:30:00,378.6,375,6.27
23,03-10-2021 01:00:00,380.2,377.3,6.31
24,03-10-2021 01:30:00,381.2,377.6,6.32
25,03-10-2021 02:00:00,381,377.7,6.31
26,03-10-2021 02:30:00,380.8,377.7,6.28
27,03-10-2021 03:00:00,379.2,376.1,6.24
28,03-10-2021 03:30:00,377.2,373.5,6.16
29,03-10-2021 04:00:00,374.9,371.6,6.05
30,03-10-2021 04:30:00,372.4,369.4,5.96
31,03-10-2021 05:00:00,370.5,367.1,5.82
32,03-10-2021 05:30:00,368.6,365.6,5.7
33,03-10-2021 06:00:00,368.1,364.9,5.59
34,03-10-2021 06:30:00,367.5,364.2,5.47
35,03-10-2021 07:00:00,367.8,364.6,5.4
36,03-10-2021 07:30:00,368.1,365,5.33
37,03-10-2021 08:00:00,368.2,365,5.29
38,03-10-2021 08:30:00,369.7,366.5,5.33
39,03-10-2021 09:00:00,370.6,367.3,5.36
40,03-10-2021 09:30:00,371.5,368.4,5.45
41,03-10-2021 10:00:00,372.3,369.2,5.48
42,03-10-2021 10:30:00,373,370.3,5.6
43,03-10-2021 11:00:00,375.1,371.7,5.82
44,03-10-2021 11:30:00,375.9,372.4,5.97
45,03-10-2021 12:00:00,376.4,373.1,6.08
46,03-10-2021 12:30:00,377.9,374.6,6.31
47,03-10-2021 13:00:00,377.4,374.2,6.34
48,03-10-2021 13:30:00,377.1,374.2,6.41
49,03-10-2021 14:00:00,376.6,373.4,6.47
50,03-10-2021 14:30:00,376.5,373.4,6.51
51,03-10-2021 15:00:00,376.4,373.3,6.58
52,03-10-2021 15:30:00,375.6,372.6,6.55
53,03-10-2021 16:00:00,375.4,372.2,6.55
54,03-10-2021 16:30:00,374.9,371.8,6.55
55,03-10-2021 17:00:00,374.7,371.4,6.56
56,03-10-2021 17:30:00,374.6,371.4,6.56
57,03-10-2021 18:00:00,374.2,371,6.55
58,03-10-2021 18:30:00,374,370.7,6.51
59,03-10-2021 19:00:00,374,371.1,6.47
60,03-10-2021 19:30:00,374.9,371.5,6.48
61,03-10-2021 20:00:00,375.3,372.2,6.54
62,03-10-2021 20:30:00,375.3,372.2,6.59
63,03-10-2021 21:00:00,375.6,372.2,6.66
64,03-10-2021 21:30:00,375.5,372.1,6.7
65,03-10-2021 22:00:00,376.4,373.3,6.78
66,03-10-2021 22:30:00,376.3,373.2,6.88
67,03-10-2021 23:00:00,376.1,373.2,6.94
68,03-10-2021 23:30:00,375.4,372.1,6.93
69,03-11-2021 00:00:00,373.9,370.9,6.89
70,03-11-2021 00:30:00,372.5,369.4,6.87
71,03-11-2021 01:00:00,371.8,368.6,6.82
72,03-11-2021 01:30:00,370.6,367.9,6.75
73,03-11-2021 02:00:00,369.2,366,6.64
74,03-11-2021 02:30:00,367.8,364.6,6.5
75,03-11-2021 03:00:00,366.2,363.1,6.36
76,03-11-2021 03:30:00,364.9,361.6,6.26
77,03-11-2021 04:00:00,364.3,361.3,6.14
78,03-11-2021 04:30:00,365.2,362.1,5.98
79,03-11-2021 05:00:00,367,363.7,5.87
80,03-11-2021 05:30:00,365.6,362.6,5.75
81,03-11-2021 06:00:00,371.9,369.1,5.62
82,03-11-2021 06:30:00,375.8,372.6,5.51
83,03-11-2021 07:00:00,378.1,374.5,5.45
84,03-11-2021 07:30:00,383.1,379.9,5.4
85,03-11-2021 08:00:00,383.5,380.3,5.33
86,03-11-2021 08:30:00,379,375.7,5.36
87,03-11-2021 09:00:00,374.4,371.1,5.39
88,03-11-2021 09:30:00,372.4,369.2,5.45
89,03-11-2021 10:00:00,373.1,369.9,5.54
90,03-11-2021 10:30:00,374.7,371.4,5.71
91,03-11-2021 11:00:00,376.4,373.2,5.97
92,03-11-2021 11:30:00,377.4,374.3,6.16
93,03-11-2021 12:00:00,378,375.4,6.31
94,03-11-2021 12:30:00,378.4,375.3,6.41
95,03-11-2021 13:00:00,379.6,376.4,6.61
96,03-11-2021 13:30:00,381.1,378.2,6.78
97,03-11-2021 14:00:00,383.5,380.8,7.02
98,03-11-2021 14:30:00,383.9,381.1,7.15
