#,Date,Low Range,Full Range,Temp
1,08-26-2020 12:00:00,738.4,737.3,19.59
2,08-26-2020 12:30:00,739.4,737.2,19.71
3,08-26-2020 13:00:00,743.6,741.9,20.01
4,08-26-2020 13:30:00,747.6,745.9,20.29
5,08-26-2020 14:00:00,750.3,747.9,20.61
6,08-26-2020 14:30:00,750.5,747.3,20.92
7,08-26-2020 15:00:00,749.9,746.3,21.25
8,08-26-2020 15:30:00,747.2,743.4,21.59
9,08-26-2020 16:00:00,749.9,746.5,21.96
10,08-26-2020 16:30:00,751.4,747.7,22.3
11,08-26-2020 17:00:00,751.7,748.2,22.63
12,08-26-2020 17:30:00,750.7,747.2,22.91
13,08-26-2020 18:00:00,750.4,747.1,23.11
14,08-26-2020 18:30:00,750.4,746.9,23.29
15,08-26-2020 19:00:00,750.5,747.2,23.39
16,08-26-2020 19:30:00,751.6,748.3,23.49
17,08-26-2020 20:00:00,753.4,750.1,23.57
18,08-26-2020 20:30:00,756.3,753.1,23.63
19,08-26-2020 21:00:00,758,755,23.69
20,08-26-2020 21:30:00,760.7,757.3,23.71
21,08-26-2020 22:00:00,762.8,759.6,23.67
22,08-26-2020 22:30:00,765,761.5,23.6
23,08-26-2020 23:00:00,766.5,762.8,23.46
24,08-26-2020 23:30:00,767.2,763.7,23.28
25,08-27-2020 00:00:00,768.5,764.7,23.05
26,08-27-2020 00:30:00,770.2,766.4,22.79
27,08-27-2020 01:00:00,771.5,767.8,22.5
28,08-27-2020 01:30:00,768.8,765.4,22.14
29,08-27-2020 02:00:00,767.5,764.5,21.81
30,08-27-2020 02:30:00,764.8,762.9,21.49
31,08-27-2020 03:00:00,765.5,763.1,21.2
32,08-27-2020 03:30:00,763.4,761,20.97
33,08-27-2020 04:00:00,761,758.9,20.71
34,08-27-2020 04:30:00,757.9,755.7,20.48
35,08-27-2020 05:00:00,754.5,752.4,20.24
36,08-27-2020 05:30:00,751.2,749.5,20.05
37,08-27-2020 06:00:00,749.1,747,19.86
38,08-27-2020 06:30:00,746.5,744.5,19.69
39,08-27-2020 07:00:00,743.4,740.8,19.51
40,08-27-2020 07:30:00,740.9,738.6,19.36
41,08-27-2020 08:00:00,738.9,736.1,19.24
42,08-27-2020 08:30:00,737.8,735.7,19.23
43,08-27-2020 09:00:00,736.9,734.6,19.19
44,08-27-2020 09:30:00,737.7,735.3,19.28
45,08-27-2020 10:00:00,738.6,736.3,19.36
46,08-27-2020 10:30:00,740.3,737.8,19.5
47,08-27-2020 11:00:00,741.6,739.2,19.62
48,08-27-2020 11:30:00,743.3,741,19.73
49,08-27-2020 12:00:00,745.6,743.5,19.94
50,08-27-2020 12:30:00,748.8,746.4,20.19
51,08-27-2020 13:00:00,753,750.7,20.5
52,08-27-2020 13:30:00,757.3,755.4,20.79
53,08-27-2020 14:00:00,762,759.7,21.11
54,08-27-2020 14:30:00,766.5,764.4,21.44
55,08-27-2020 15:00:00,771.6,769.8,21.82
56,08-27-2020 15:30:00,775.7,773.8,22.12
57,08-27-2020 16:00:00,780.2,778.5,22.45
58,08-27-2020 16:30:00,784.3,782.8,22.78
59,08-27-2020 17:00:00,788.9,787.1,23.06
60,08-27-2020 17:30:00,792.8,791.5,23.3
61,08-27-2020 18:00:00,796.5,794.8,23.5
62,08-27-2020 18:30:00,796.6,795,23.62
63,08-27-2020 19:00:00,797.6,795.7,23.69
64,08-27-2020 19:30:00,797.5,795.7,23.72
65,08-27-2020 20:00:00,797.9,796.5,23.74
66,08-27-2020 20:30:00,798.3,796.8,23.79
67,08-27-2020 21:00:00,765.1,763.5,23.56
68,08-27-2020 21:30:00,768.4,766.7,23.76
69,08-27-2020 22:00:00,778.9,777,23.74
70,08-27-2020 22:30:00,777.9,776.3,23.67
71,08-27-2020 23:00:00,778.7,777.2,23.54
72,08-27-2020 23:30:00,778.5,776.6,23.34
73,08-28-2020 00:00:00,774.8,772.6,23.06
74,08-28-2020 00:30:00,771.2,769.5,22.75
75,08-28-2020 01:00:00,768.1,765.9,22.42
76,08-28-2020 01:30:00,763.9,762,22.08
77,08-28-2020 02:00:00,757.1,755,21.74
78,08-28-2020 02:30:00,750.5,748.5,21.37
79,08-28-2020 03:00:00,743.9,741.9,20.99
80,08-28-2020 03:30:00,739.2,737.2,20.76
81,08-28-2020 04:00:00,728.9,727.1,20.46
82,08-28-2020 04:30:00,723.3,721.2,20.24
83,08-28-2020 05:00:00,722.5,720.2,20.01
84,08-28-2020 05:30:00,725.9,723.8,19.8
85,08-28-2020 06:00:00,727.5,725.5,19.61
86,08-28-2020 06:30:00,723.6,721.1,19.36
87,08-28-2020 07:00:00,716.7,714.4,19.17
88,08-28-2020 07:30:00,711.5,709.5,19.04
89,08-28-2020 08:00:00,706.5,704.6,18.93
90,08-28-2020 08:30:00,705.6,703.5,18.97
91,08-28-2020 09:00:00,704.9,702.7,19.02
92,08-28-2020 09:30:00,700.2,698,19.11
93,08-28-2020 10:00:00,691.1,688.9,19.15
94,08-28-2020 10:30:00,679.7,678.6,19.14
95,08-28-2020 11:00:00,678.7,676.7,19.18
96,08-28-2020 11:30:00,678.6,676.7,19.2
97,08-28-2020 12:00:00,681.9,680.1,19.23
98,08-28-2020 12:30:00,690.7,688.3,19.34
99,08-28-2020 13:00:00,697.7,695.5,19.47
100,08-28-2020 13:30:00,709.5,707.4,19.82
101,08-28-2020 14:00:00,724,722,20.21
102,08-28-2020 14:30:00,732.6,730.4,20.57
103,08-28-2020 15:00:00,738.5,736.3,20.9
104,08-28-2020 15:30:00,743.4,741.8,21.21
105,08-28-2020 16:00:00,743.5,741.6,21.36
106,08-28-2020 16:30:00,742.8,741.2,21.42
107,08-28-2020 17:00:00,741.8,740.1,21.36
108,08-28-2020 17:30:00,742.9,741.3,21.36
109,08-28-2020 18:00:00,746.9,745,21.44
110,08-28-2020 18:30:00,742.4,740.9,21.38
111,08-28-2020 19:00:00,741.1,739.3,21.47
112,08-28-2020 19:30:00,742.2,740.4,21.53
113,08-28-2020 20:00:00,743.9,742.2,21.66
114,08-28-2020 20:30:00,746.4,744.3,21.8
115,08-28-2020 21:00:00,749.1,747.3,21.94
116,08-28-2020 21:30:00,749.4,748.3,22.04
117,08-28-2020 22:00:00,749.7,749.5,22.04
118,08-28-2020 22:30:00,754,752.2,21.92
119,08-28-2020 23:00:00,752.5,751.3,21.71
120,08-28-2020 23:30:00,750.1,749.2,21.42
121,08-29-2020 00:00:00,745.1,744.9,21.1
122,08-29-2020 00:30:00,740.9,740.2,20.78
123,08-29-2020 01:00:00,736,733.9,20.51
