#,Date,Low Range,Full Range,Temp
1,12-19-2019 12:00:00,462.3,460,0.97
2,12-19-2019 12:30:00,465,462.9,1.2
3,12-19-2019 13:00:00,469.1,467,1.48
4,12-19-2019 13:30:00,473.2,471,1.8
5,12-19-2019 14:00:00,477.4,475.5,2.09
6,12-19-2019 14:30:00,480.9,478.4,2.34
7,12-19-2019 15:00:00,484.8,482.5,2.58
8,12-19-2019 15:30:00,487.6,485.5,2.77
9,12-19-2019 16:00:00,490.7,488.4,2.94
10,12-19-2019 16:30:00,492.2,489.9,3.04
11,12-19-2019 17:00:00,493,490.6,3.09
12,12-19-2019 17:30:00,493.5,491,3.1
13,12-19-2019 18:00:00,493.5,491,3.06
14,12-19-2019 18:30:00,492.8,490.7,3.02
15,12-19-2019 19:00:00,491.9,489.6,2.96
16,12-19-2019 19:30:00,490.8,488.8,2.89
17,12-19-2019 20:00:00,489.4,487,2.79
18,12-19-2019 20:30:00,487.8,485.5,2.68
19,12-19-2019 21:00:00,486.2,484,2.58
20,12-19-2019 21:30:00,484.7,482.6,2.45
21,12-19-2019 22:00:00,483.2,481.1,2.35
22,12-19-2019 22:30:00,481.8,479.6,2.24
23,12-19-2019 23:00:00,480.5,478.5,2.16
24,12-19-2019 23:30:00,479.2,477,2.07
25,12-20-2019 00:00:00,478.4,476.3,2
26,12-20-2019 00:30:00,477.2,474.8,1.94
27,12-20-2019 01:00:00,476.4,474.1,1.87
28,12-20-2019 01:30:00,475.9,473.3,1.85
29,12-20-2019 02:00:00,475.3,472.9,1.81
30,12-20-2019 02:30:00,474.5,472.2,1.78
31,12-20-2019 03:00:00,473.7,471.1,1.73
32,12-20-2019 03:30:00,473.1,470.7,1.69
33,12-20-2019 04:00:00,472.7,470.3,1.68
34,12-20-2019 04:30:00,472.4,469.6,1.67
35,12-20-2019 05:00:00,472.2,469.6,1.67
36,12-20-2019 05:30:00,472,469.6,1.65
37,12-20-2019 06:00:00,471.8,469.2,1.68
38,12-20-2019 06:30:00,471.9,469.6,1.7
39,12-20-2019 07:00:00,471.9,469.2,1.72
40,12-20-2019 07:30:00,471.8,469.5,1.73
41,12-20-2019 08:00:00,471.8,469.5,1.74
42,12-20-2019 08:30:00,471.9,469.1,1.76
43,12-20-2019 09:00:00,472.3,469.9,1.8
44,12-20-2019 09:30:00,473.1,470.2,1.86
45,12-20-2019 10:00:00,474.1,471.7,1.96
46,12-20-2019 10:30:00,475.8,473.2,2.09
47,12-20-2019 11:00:00,477.6,475.4,2.23
48,12-20-2019 11:30:00,479.9,477.6,2.39
49,12-20-2019 12:00:00,482.5,479.8,2.58
50,12-20-2019 12:30:00,485,482.8,2.76
51,12-20-2019 13:00:00,488.4,485.7,3.01
52,12-20-2019 13:30:00,492.1,489.8,3.27
53,12-20-2019 14:00:00,494.5,492,3.45
54,12-20-2019 14:30:00,497.1,494.6,3.65
55,12-20-2019 15:00:00,499.9,497.5,3.84
56,12-20-2019 15:30:00,502,499.7,3.98
57,12-20-2019 16:00:00,503.7,501.6,4.11
58,12-20-2019 16:30:00,505.1,502.3,4.19
59,12-20-2019 17:00:00,506,503.8,4.25
60,12-20-2019 17:30:00,506.3,504.2,4.27
61,12-20-2019 18:00:00,507,504.5,4.3
62,12-20-2019 18:30:00,506.6,504.2,4.25
63,12-20-2019 19:00:00,506.3,503.8,4.21
64,12-20-2019 19:30:00,506.6,504.2,4.2
65,12-20-2019 20:00:00,506,503.9,4.13
66,12-20-2019 20:30:00,505.4,503.1,4.04
67,12-20-2019 21:00:00,504.4,502,3.93
68,12-20-2019 21:30:00,503.6,501.3,3.83
69,12-20-2019 22:00:00,502.8,500.2,3.77
70,12-20-2019 22:30:00,501.8,499.5,3.67
71,12-20-2019 23:00:00,500.7,498,3.58
72,12-20-2019 23:30:00,499.8,497.3,3.48
73,12-21-2019 00:00:00,498.4,495.8,3.39
74,12-21-2019 00:30:00,496.8,494.4,3.28
75,12-21-2019 01:00:00,495.1,492.5,3.2
76,12-21-2019 01:30:00,493.6,491.4,3.11
77,12-21-2019 02:00:00,492.9,490.3,3.06
78,12-21-2019 02:30:00,491.6,489.1,3.01
79,12-21-2019 03:00:00,491,488.8,2.99
80,12-21-2019 03:30:00,490.4,488,2.95
81,12-21-2019 04:00:00,489.8,487.3,2.91
82,12-21-2019 04:30:00,489.2,486.5,2.89
83,12-21-2019 05:00:00,488.4,485.4,2.85
84,12-21-2019 05:30:00,487.5,485,2.82
85,12-21-2019 06:00:00,486.5,483.9,2.77
86,12-21-2019 06:30:00,485.8,483.2,2.73
87,12-21-2019 07:00:00,484.7,482.1,2.67
88,12-21-2019 07:30:00,483.7,480.9,2.63
89,12-21-2019 08:00:00,482.8,480.2,2.56
90,12-21-2019 08:30:00,482.4,479.8,2.54
91,12-21-2019 09:00:00,482.5,479.8,2.54
92,12-21-2019 09:30:00,483,480.6,2.57
93,12-21-2019 10:00:00,484.4,481.7,2.66
94,12-21-2019 10:30:00,486,483.2,2.77
95,12-21-2019 11:00:00,488.1,485.4,2.91
96,12-21-2019 11:30:00,490.6,488.3,3.09
97,12-21-2019 12:00:00,493.4,490.5,3.27
98,12-21-2019 12:30:00,496.6,493.9,3.51
99,12-21-2019 13:00:00,500.8,498.3,3.81
100,12-21-2019 13:30:00,504.4,502.4,4.05
101,12-21-2019 14:00:00,507.8,505.3,4.3
102,12-21-2019 14:30:00,511,508.6,4.53
103,12-21-2019 15:00:00,513.8,511.6,4.69
104,12-21-2019 15:30:00,515.6,513.8,4.82
105,12-21-2019 16:00:00,517.2,514.9,4.91
106,12-21-2019 16:30:00,517.6,515.2,4.96
107,12-21-2019 17:00:00,517.5,515.2,4.97
108,12-21-2019 17:30:00,517.2,514.9,4.96
109,12-21-2019 18:00:00,516.4,514.1,4.9
110,12-21-2019 18:30:00,515.2,513,4.81
111,12-21-2019 19:00:00,514,511.6,4.69
112,12-21-2019 19:30:00,512.4,509.7,4.54
113,12-21-2019 20:00:00,510.9,508.3,4.41
114,12-21-2019 20:30:00,510.1,507.6,4.29
115,12-21-2019 21:00:00,509.8,506.9,4.19
116,12-21-2019 21:30:00,508.5,505.8,4.04
117,12-21-2019 22:00:00,506.9,504.3,3.93
118,12-21-2019 22:30:00,504.9,502.9,3.82
119,12-21-2019 23:00:00,503.3,500.6,3.72
120,12-21-2019 23:30:00,501.9,499.5,3.65
121,12-22-2019 00:00:00,500.7,498,3.59
122,12-22-2019 00:30:00,499.8,497.3,3.54
123,12-22-2019 01:00:00,499,496.5,3.5
124,12-22-2019 01:30:00,498.7,496.2,3.48
125,12-22-2019 02:00:00,498.4,495.8,3.47
126,12-22-2019 02:30:00,498.2,495.4,3.44
127,12-22-2019 03:00:00,497.8,495.1,3.4
128,12-22-2019 03:30:00,497.5,494.7,3.4
129,12-22-2019 04:00:00,497.3,494.7,3.42
130,12-22-2019 04:30:00,497,494.7,3.39
131,12-22-2019 05:00:00,497,494.7,3.42
132,12-22-2019 05:30:00,497,493.9,3.42
133,12-22-2019 06:00:00,496.7,493.9,3.4
134,12-22-2019 06:30:00,496.2,493.5,3.39
135,12-22-2019 07:00:00,496.2,493.5,3.39
136,12-22-2019 07:30:00,496,493.2,3.37
137,12-22-2019 08:00:00,496,493.5,3.39
138,12-22-2019 08:30:00,496,493.2,3.4
139,12-22-2019 09:00:00,496,493.5,3.42
140,12-22-2019 09:30:00,496.7,493.9,3.44
141,12-22-2019 10:00:00,498.5,495.7,3.55
142,12-22-2019 10:30:00,500.3,498,3.67
143,12-22-2019 11:00:00,502.7,500.2,3.83
144,12-22-2019 11:30:00,505.7,503.5,4.04
145,12-22-2019 12:00:00,508.5,505.7,4.24
146,12-22-2019 12:30:00,512,509.8,4.47
147,12-22-2019 13:00:00,515.9,513.8,4.74
148,12-22-2019 13:30:00,519.5,517.1,5.01
149,12-22-2019 14:00:00,522.7,520.4,5.24
150,12-22-2019 14:30:00,525,522.6,5.44
151,12-22-2019 15:00:00,526.8,524.5,5.57
152,12-22-2019 15:30:00,527.7,525.2,5.66
153,12-22-2019 16:00:00,528.6,526.3,5.73
154,12-22-2019 16:30:00,529.3,527,5.74
155,12-22-2019 17:00:00,529.2,527,5.73
156,12-22-2019 17:30:00,528.7,526.3,5.68
157,12-22-2019 18:00:00,527.5,525.2,5.61
158,12-22-2019 18:30:00,525.7,523.4,5.51
159,12-22-2019 19:00:00,523.9,521.5,5.4
160,12-22-2019 19:30:00,522.4,520.1,5.25
161,12-22-2019 20:00:00,520.9,518.2,5.13
162,12-22-2019 20:30:00,518.9,516.8,4.97
163,12-22-2019 21:00:00,517.7,515.3,4.85
164,12-22-2019 21:30:00,516.1,513.8,4.73
165,12-22-2019 22:00:00,514.3,512,4.63
166,12-22-2019 22:30:00,512.6,510.1,4.53
167,12-22-2019 23:00:00,510.7,507.9,4.42
168,12-22-2019 23:30:00,509.2,506.8,4.32
169,12-23-2019 00:00:00,507.8,505.3,4.22
170,12-23-2019 00:30:00,506.9,503.8,4.15
171,12-23-2019 01:00:00,506.3,503.9,4.1
172,12-23-2019 01:30:00,505.9,503.1,4.05
173,12-23-2019 02:00:00,505.2,502.8,4.02
174,12-23-2019 02:30:00,504.6,502,3.99
175,12-23-2019 03:00:00,504.1,502,3.97
176,12-23-2019 03:30:00,503.5,501.3,3.93
177,12-23-2019 04:00:00,503,500.1,3.92
178,12-23-2019 04:30:00,503.5,501.7,3.89
179,12-23-2019 05:00:00,501.6,499,3.86
180,12-23-2019 05:30:00,501.4,499,3.86
181,12-23-2019 06:00:00,501.1,498.7,3.83
182,12-23-2019 06:30:00,500.9,498.7,3.8
183,12-23-2019 07:00:00,500.6,498.3,3.78
184,12-23-2019 07:30:00,499.9,497.2,3.75
185,12-23-2019 08:00:00,499.3,496.8,3.69
186,12-23-2019 08:30:00,499.5,496.8,3.71
187,12-23-2019 09:00:00,499.8,497.2,3.71
188,12-23-2019 09:30:00,500.7,497.9,3.77
189,12-23-2019 10:00:00,501.7,499.4,3.86
190,12-23-2019 10:30:00,503.3,501.3,3.97
191,12-23-2019 11:00:00,505.6,503.1,4.11
192,12-23-2019 11:30:00,507.7,505.3,4.25
193,12-23-2019 12:00:00,510.2,507.5,4.43
194,12-23-2019 12:30:00,513.2,510.8,4.64
195,12-23-2019 13:00:00,516.5,514.1,4.88
196,12-23-2019 13:30:00,518.9,516.7,5.06
197,12-23-2019 14:00:00,521.1,518.9,5.22
198,12-23-2019 14:30:00,523.5,520.8,5.37
199,12-23-2019 15:00:00,525.2,523,5.52
200,12-23-2019 15:30:00,526.3,523.7,5.58
201,12-23-2019 16:00:00,527,524.8,5.64
202,12-23-2019 16:30:00,527,524.4,5.64
203,12-23-2019 17:00:00,525.9,523.3,5.58
204,12-23-2019 17:30:00,524.9,522.6,5.5
205,12-23-2019 18:00:00,523.6,521.5,5.41
206,12-23-2019 18:30:00,522.3,520,5.31
207,12-23-2019 19:00:00,521.4,518.5,5.23
208,12-23-2019 19:30:00,519.4,517.5,5.11
209,12-23-2019 20:00:00,517.9,515.2,4.96
210,12-23-2019 20:30:00,516.3,513.8,4.85
211,12-23-2019 21:00:00,515,512.7,4.73
212,12-23-2019 21:30:00,513.7,511.2,4.59
213,12-23-2019 22:00:00,513.3,510.9,4.53
214,12-23-2019 22:30:00,512.9,510.1,4.49
215,12-23-2019 23:00:00,512.3,509.8,4.46
216,12-23-2019 23:30:00,511.3,509.1,4.38
217,12-24-2019 00:00:00,510.5,507.9,4.33
218,12-24-2019 00:30:00,510.1,507.2,4.32
219,12-24-2019 01:00:00,509.8,507.2,4.3
220,12-24-2019 01:30:00,509.8,507.2,4.29
221,12-24-2019 02:00:00,510,507.2,4.31
222,12-24-2019 02:30:00,510.1,507.2,4.33
223,12-24-2019 03:00:00,510.1,507.2,4.35
224,12-24-2019 03:30:00,510.2,507.5,4.36
225,12-24-2019 04:00:00,510.2,507.5,4.37
226,12-24-2019 04:30:00,510.4,507.9,4.4
