#,Date,Low Range,Full Range,Temp
1,02-04-2020 16:00:00,517.6,515,3.92
2,02-04-2020 16:30:00,518.1,515.4,3.98
3,02-04-2020 17:00:00,517.5,515,3.92
4,02-04-2020 17:30:00,516.3,513.5,3.86
5,02-04-2020 18:00:00,514.2,511.3,3.75
6,02-04-2020 18:30:00,512.5,509.5,3.64
7,02-04-2020 19:00:00,509.9,506.9,3.49
8,02-04-2020 19:30:00,506.9,504.3,3.28
9,02-04-2020 20:00:00,504.6,501.7,3.12
10,02-04-2020 20:30:00,501.5,498.4,2.9
11,02-04-2020 21:00:00,499.5,496.5,2.76
12,02-04-2020 21:30:00,497.2,494,2.57
13,02-04-2020 22:00:00,494.8,491.8,2.4
14,02-04-2020 22:30:00,492.8,489.9,2.25
15,02-04-2020 23:00:00,491.3,488.4,2.16
16,02-04-2020 23:30:00,489.3,486.6,2.01
17,02-05-2020 00:00:00,488.4,485.5,1.92
18,02-05-2020 00:30:00,486.4,483.6,1.8
19,02-05-2020 01:00:00,485.1,482.2,1.72
20,02-05-2020 01:30:00,484.5,481.8,1.69
21,02-05-2020 02:00:00,483.5,480.7,1.62
22,02-05-2020 02:30:00,482.5,479.6,1.54
23,02-05-2020 03:00:00,481.7,478.8,1.48
24,02-05-2020 03:30:00,480.4,477.7,1.42
25,02-05-2020 04:00:00,479.2,476.2,1.36
26,02-05-2020 04:30:00,478.1,475.1,1.27
27,02-05-2020 05:00:00,476.6,473.6,1.18
28,02-05-2020 05:30:00,476,473.3,1.15
29,02-05-2020 06:00:00,474.5,471.4,1.05
30,02-05-2020 06:30:00,473.6,470.7,0.99
31,02-05-2020 07:00:00,472.8,469.9,0.92
32,02-05-2020 07:30:00,471.7,468.8,0.85
33,02-05-2020 08:00:00,470.7,467.7,0.77
34,02-05-2020 08:30:00,470.8,467.7,0.81
35,02-05-2020 09:00:00,471.4,468.4,0.85
36,02-05-2020 09:30:00,473.5,470.7,0.97
37,02-05-2020 10:00:00,474.2,471,1.02
38,02-05-2020 10:30:00,474.9,471.8,1.08
39,02-05-2020 11:00:00,476.7,474,1.21
40,02-05-2020 11:30:00,479.2,476.2,1.38
41,02-05-2020 12:00:00,482.4,479.5,1.61
42,02-05-2020 12:30:00,484.7,481.7,1.79
43,02-05-2020 13:00:00,489,486.2,2.02
44,02-05-2020 13:30:00,492.5,489.5,2.29
