#,Date,Low Range,Full Range,Temp
1,07-21-2020 17:30:00,738.3,735.9,19.91
2,07-21-2020 18:00:00,739.1,736.5,20.16
3,07-21-2020 18:30:00,742.8,740.5,20.38
4,07-21-2020 19:00:00,744.9,742.3,20.55
5,07-21-2020 19:30:00,747,744.8,20.71
6,07-21-2020 20:00:00,748.5,745.9,20.79
7,07-21-2020 20:30:00,749.9,747,20.83
8,07-21-2020 21:00:00,749.6,747,20.82
9,07-21-2020 21:30:00,749.3,746.3,20.73
10,07-21-2020 22:00:00,747.5,744.9,20.62
11,07-21-2020 22:30:00,744.6,742,20.45
12,07-21-2020 23:00:00,741.4,738.7,20.27
13,07-21-2020 23:30:00,738.7,735.8,20.08
14,07-22-2020 00:00:00,737.2,734.4,19.94
15,07-22-2020 00:30:00,735.9,733.3,19.83
16,07-22-2020 01:00:00,735.2,732.2,19.73
17,07-22-2020 01:30:00,734.6,731.9,19.66
18,07-22-2020 02:00:00,733.5,731.2,19.58
19,07-22-2020 02:30:00,732.1,729.8,19.5
20,07-22-2020 03:00:00,730.5,727.9,19.4
21,07-22-2020 03:30:00,728.7,725.7,19.26
22,07-22-2020 04:00:00,726.5,723.9,19.13
23,07-22-2020 04:30:00,724,721.4,18.96
24,07-22-2020 05:00:00,720.7,717.7,18.8
25,07-22-2020 05:30:00,718.1,715.5,18.63
26,07-22-2020 06:00:00,715.2,712.6,18.47
27,07-22-2020 06:30:00,713,710.1,18.32
28,07-22-2020 07:00:00,711.2,707.9,18.2
29,07-22-2020 07:30:00,710.2,707.2,18.13
30,07-22-2020 08:00:00,710.4,707.9,18.13
31,07-22-2020 08:30:00,709.8,706.8,18.11
32,07-22-2020 09:00:00,711.6,708.6,18.19
33,07-22-2020 09:30:00,712,709,18.24
34,07-22-2020 10:00:00,715.9,713,18.42
35,07-22-2020 10:30:00,717.5,714.8,18.59
36,07-22-2020 11:00:00,721.2,718.9,18.79
37,07-22-2020 11:30:00,723.4,720.3,18.96
38,07-22-2020 12:00:00,726.2,723.5,19.17
39,07-22-2020 12:30:00,728.9,726,19.37
40,07-22-2020 13:00:00,732.6,729.7,19.62
41,07-22-2020 13:30:00,736.2,734,19.89
42,07-22-2020 14:00:00,740.7,738,20.16
43,07-22-2020 14:30:00,745,742.8,20.43
44,07-22-2020 15:00:00,749.1,746.7,20.7
45,07-22-2020 15:30:00,752.4,749.6,20.98
46,07-22-2020 16:00:00,756.8,754.3,21.25
47,07-22-2020 16:30:00,760.1,757.9,21.53
48,07-22-2020 17:00:00,763.7,761.1,21.76
49,07-22-2020 17:30:00,765,762.5,21.93
50,07-22-2020 18:00:00,767,764.7,22.09
51,07-22-2020 18:30:00,767.7,765.3,22.23
52,07-22-2020 19:00:00,768.1,765.6,22.3
53,07-22-2020 19:30:00,768.8,766.4,22.36
54,07-22-2020 20:00:00,769.5,767.5,22.41
55,07-22-2020 20:30:00,769.7,767.4,22.42
56,07-22-2020 21:00:00,769.7,767.4,22.42
57,07-22-2020 21:30:00,769.9,767.8,22.41
58,07-22-2020 22:00:00,769.3,767.1,22.35
59,07-22-2020 22:30:00,768,765.7,22.25
60,07-22-2020 23:00:00,766.3,764.3,22.12
61,07-22-2020 23:30:00,764.3,762.1,21.94
62,07-23-2020 00:00:00,761.4,759.2,21.75
63,07-23-2020 00:30:00,758.5,756.8,21.52
64,07-23-2020 01:00:00,755,753.1,21.26
65,07-23-2020 01:30:00,751,749.2,20.98
66,07-23-2020 02:00:00,747,744.5,20.68
67,07-23-2020 02:30:00,742.7,740.5,20.38
68,07-23-2020 03:00:00,738.4,736.5,20.07
69,07-23-2020 03:30:00,733.3,731.4,19.78
70,07-23-2020 04:00:00,729.6,727.5,19.48
71,07-23-2020 04:30:00,725.4,723.5,19.2
72,07-23-2020 05:00:00,721.4,719.5,18.91
73,07-23-2020 05:30:00,717.1,715.2,18.64
74,07-23-2020 06:00:00,713,710.4,18.38
75,07-23-2020 06:30:00,709,706.7,18.16
76,07-23-2020 07:00:00,705.6,703.5,17.95
77,07-23-2020 07:30:00,702.4,700.5,17.8
78,07-23-2020 08:00:00,699.3,697.2,17.61
79,07-23-2020 08:30:00,696.5,694.3,17.45
80,07-23-2020 09:00:00,693.9,691.7,17.32
81,07-23-2020 09:30:00,692.2,690.3,17.23
82,07-23-2020 10:00:00,691.7,689.5,17.22
83,07-23-2020 10:30:00,691.4,689.1,17.23
84,07-23-2020 11:00:00,692.4,690.2,17.31
85,07-23-2020 11:30:00,693.2,690.9,17.37
86,07-23-2020 12:00:00,694.4,692.4,17.48
87,07-23-2020 12:30:00,696.1,693.4,17.6
88,07-23-2020 13:00:00,698.5,696.4,17.76
89,07-23-2020 13:30:00,701.9,700,17.95
90,07-23-2020 14:00:00,705,703.3,18.18
91,07-23-2020 14:30:00,707.7,705.9,18.33
92,07-23-2020 15:00:00,712.7,710.6,18.6
93,07-23-2020 15:30:00,715.3,713.1,18.8
94,07-23-2020 16:00:00,718.8,716.8,19.04
95,07-23-2020 16:30:00,722.8,720.7,19.33
96,07-23-2020 17:00:00,726.4,724.3,19.59
97,07-23-2020 17:30:00,729.3,727.6,19.85
98,07-23-2020 18:00:00,731.9,730.1,20.07
99,07-23-2020 18:30:00,734.3,732.2,20.24
100,07-23-2020 19:00:00,735.9,734,20.38
101,07-23-2020 19:30:00,737.4,735.5,20.5
102,07-23-2020 20:00:00,738.9,737.3,20.59
103,07-23-2020 20:30:00,739.1,737.3,20.62
104,07-23-2020 21:00:00,739.7,738,20.65
105,07-23-2020 21:30:00,739.4,737.6,20.62
106,07-23-2020 22:00:00,739.2,737.7,20.57
107,07-23-2020 22:30:00,738,736.2,20.5
108,07-23-2020 23:00:00,737.3,735.1,20.43
109,07-23-2020 23:30:00,736.6,735.2,20.37
110,07-24-2020 00:00:00,735.6,733.7,20.26
111,07-24-2020 00:30:00,733.9,732.3,20.15
112,07-24-2020 01:00:00,732.7,731.3,20
113,07-24-2020 01:30:00,729.9,728.3,19.84
114,07-24-2020 02:00:00,726.9,725.4,19.66
115,07-24-2020 02:30:00,725,723.7,19.46
116,07-24-2020 03:00:00,722.2,721.2,19.24
117,07-24-2020 03:30:00,719.3,717.9,19.02
118,07-24-2020 04:00:00,715.6,714.3,18.76
119,07-24-2020 04:30:00,712,710.3,18.52
120,07-24-2020 05:00:00,707.7,706.3,18.25
121,07-24-2020 05:30:00,704.9,703.8,18
122,07-24-2020 06:00:00,702,700.2,17.78
123,07-24-2020 06:30:00,698.1,696.9,17.58
124,07-24-2020 07:00:00,695.8,694.3,17.4
125,07-24-2020 07:30:00,693.8,692.2,17.26
126,07-24-2020 08:00:00,693,691.4,17.2
127,07-24-2020 08:30:00,690.6,689.2,17.12
128,07-24-2020 09:00:00,690.2,688.5,17.11
129,07-24-2020 09:30:00,690.6,688.8,17.15
130,07-24-2020 10:00:00,691.7,690.3,17.23
131,07-24-2020 10:30:00,693.5,692.1,17.37
132,07-24-2020 11:00:00,695.9,694.2,17.54
133,07-24-2020 11:30:00,698.3,696.8,17.72
134,07-24-2020 12:00:00,700.8,699.3,17.92
135,07-24-2020 12:30:00,704.5,703,18.13
136,07-24-2020 13:00:00,706.8,705.5,18.36
137,07-24-2020 13:30:00,711,709.8,18.64
138,07-24-2020 14:00:00,714.5,713,18.95
139,07-24-2020 14:30:00,718.8,717.4,19.25
140,07-24-2020 15:00:00,722.7,721.3,19.59
141,07-24-2020 15:30:00,727.6,726.4,19.95
142,07-24-2020 16:00:00,732.6,731.8,20.3
143,07-24-2020 16:30:00,737.4,736.1,20.66
144,07-24-2020 17:00:00,742.2,741.2,21
145,07-24-2020 17:30:00,747,745.8,21.34
146,07-24-2020 18:00:00,750.7,749.8,21.64
147,07-24-2020 18:30:00,753.7,752.7,21.87
148,07-24-2020 19:00:00,756,755.6,22.05
149,07-24-2020 19:30:00,758.7,757.7,22.21
150,07-24-2020 20:00:00,760.8,759.5,22.36
151,07-24-2020 20:30:00,762.6,761.7,22.47
152,07-24-2020 21:00:00,764.4,763.5,22.56
153,07-24-2020 21:30:00,765.8,765.4,22.62
154,07-24-2020 22:00:00,767.9,766.9,22.64
155,07-24-2020 22:30:00,768.3,767.3,22.63
156,07-24-2020 23:00:00,768.2,767.3,22.61
157,07-24-2020 23:30:00,767.7,766.6,22.51
158,07-25-2020 00:00:00,766.7,765.6,22.39
159,07-25-2020 00:30:00,764.7,763.8,22.24
160,07-25-2020 01:00:00,762.3,760.9,22.05
161,07-25-2020 01:30:00,759.5,758.8,21.83
162,07-25-2020 02:00:00,756.6,755.9,21.59
163,07-25-2020 02:30:00,753.4,752.7,21.33
164,07-25-2020 03:00:00,749.5,748.7,21.05
165,07-25-2020 03:30:00,746.1,745.1,20.77
166,07-25-2020 04:00:00,742,741.2,20.49
167,07-25-2020 04:30:00,738.3,737.2,20.21
168,07-25-2020 05:00:00,734.8,733.2,19.94
169,07-25-2020 05:30:00,731.3,730.4,19.68
170,07-25-2020 06:00:00,727.8,726.7,19.45
171,07-25-2020 06:30:00,723.6,722.3,19.23
172,07-25-2020 07:00:00,720.7,719.4,19.03
173,07-25-2020 07:30:00,716.9,715.8,18.84
174,07-25-2020 08:00:00,714.8,713.6,18.69
175,07-25-2020 08:30:00,712.1,711,18.58
176,07-25-2020 09:00:00,710.6,709.2,18.48
177,07-25-2020 09:30:00,709,707.7,18.42
178,07-25-2020 10:00:00,708.5,707,18.4
179,07-25-2020 10:30:00,708.6,706.9,18.43
180,07-25-2020 11:00:00,710.3,709.1,18.53
181,07-25-2020 11:30:00,711.9,710.2,18.66
182,07-25-2020 12:00:00,714.3,713.1,18.85
183,07-25-2020 12:30:00,717.6,716.3,19.08
184,07-25-2020 13:00:00,721.8,720.7,19.35
185,07-25-2020 13:30:00,725.8,724.7,19.67
186,07-25-2020 14:00:00,729.2,727.9,19.97
187,07-25-2020 14:30:00,732.7,731.9,20.22
188,07-25-2020 15:00:00,735,734,20.45
189,07-25-2020 15:30:00,738.9,737.9,20.76
190,07-25-2020 16:00:00,744,743,21.09
191,07-25-2020 16:30:00,748.5,747.7,21.43
192,07-25-2020 17:00:00,752.3,751.6,21.7
193,07-25-2020 17:30:00,755.1,754.9,21.94
194,07-25-2020 18:00:00,757.8,757.4,22.18
195,07-25-2020 18:30:00,760.4,759.8,22.4
196,07-25-2020 19:00:00,762.8,762,22.57
197,07-25-2020 19:30:00,764.2,763.4,22.73
198,07-25-2020 20:00:00,766.5,766.3,22.89
199,07-25-2020 20:30:00,769.6,768.8,23.06
200,07-25-2020 21:00:00,772.4,772.1,23.22
201,07-25-2020 21:30:00,774.7,774.3,23.36
202,07-25-2020 22:00:00,779.1,778.4,23.49
203,07-25-2020 22:30:00,781.3,781,23.57
204,07-25-2020 23:00:00,782.6,782.1,23.58
205,07-25-2020 23:30:00,783,782.5,23.52
206,07-26-2020 00:00:00,782.5,781.9,23.44
207,07-26-2020 00:30:00,782.2,781.6,23.3
208,07-26-2020 01:00:00,780.3,780.2,23.16
209,07-26-2020 01:30:00,777.8,777.3,22.97
210,07-26-2020 02:00:00,775.1,774,22.75
211,07-26-2020 02:30:00,771.4,770.8,22.51
212,07-26-2020 03:00:00,768.2,767.6,22.27
213,07-26-2020 03:30:00,765.2,764.3,22.03
214,07-26-2020 04:00:00,762.7,761.5,21.8
215,07-26-2020 04:30:00,761.5,760.1,21.58
216,07-26-2020 05:00:00,759.1,757.6,21.36
217,07-26-2020 05:30:00,755.1,753.6,21.14
218,07-26-2020 06:00:00,752.3,751.1,20.94
219,07-26-2020 06:30:00,749.9,748.6,20.79
220,07-26-2020 07:00:00,748.3,747.1,20.68
221,07-26-2020 07:30:00,747.3,746.1,20.59
222,07-26-2020 08:00:00,745.2,744.2,20.5
223,07-26-2020 08:30:00,744.6,743.5,20.48
224,07-26-2020 09:00:00,744.7,743.5,20.5
225,07-26-2020 09:30:00,744.9,743.8,20.56
226,07-26-2020 10:00:00,745.9,744.5,20.65
227,07-26-2020 10:30:00,747.8,746.3,20.79
228,07-26-2020 11:00:00,749.1,748,20.98
229,07-26-2020 11:30:00,752.2,750.9,21.19
230,07-26-2020 12:00:00,754.4,753.4,21.41
231,07-26-2020 12:30:00,757.5,756.3,21.61
232,07-26-2020 13:00:00,760.1,759.2,21.82
233,07-26-2020 13:30:00,764.4,763.1,22.09
234,07-26-2020 14:00:00,768.6,767.5,22.4
235,07-26-2020 14:30:00,772.5,771.8,22.65
236,07-26-2020 15:00:00,774,773.2,22.83
237,07-26-2020 15:30:00,776.3,775.7,23
238,07-26-2020 16:00:00,781.3,780.8,23.29
239,07-26-2020 16:30:00,785.4,784.7,23.62
240,07-26-2020 17:00:00,768.8,768.3,23.74
241,07-26-2020 17:30:00,625,625.7,23.85
242,07-26-2020 18:00:00,545,546,23.77
243,07-26-2020 18:30:00,555.5,556,23.88
244,07-26-2020 19:00:00,589.4,590.2,24
245,07-26-2020 19:30:00,613,613.8,24.16
246,07-26-2020 20:00:00,598.2,597.9,24.26
247,07-26-2020 20:30:00,570.7,570.5,24.2
248,07-26-2020 21:00:00,546.7,546.2,24.06
249,07-26-2020 21:30:00,535,534.6,23.88
250,07-26-2020 22:00:00,523.9,523.5,23.67
251,07-26-2020 22:30:00,515.9,516.1,23.45
252,07-26-2020 23:00:00,517.5,517.4,23.21
253,07-26-2020 23:30:00,531.8,531.4,22.96
254,07-27-2020 00:00:00,553.7,553,22.72
255,07-27-2020 00:30:00,563.1,562.1,22.47
256,07-27-2020 01:00:00,560.9,560,22.3
257,07-27-2020 01:30:00,554.8,554,22.18
258,07-27-2020 02:00:00,542.5,541.7,22.13
259,07-27-2020 02:30:00,525.7,525.1,22.12
260,07-27-2020 03:00:00,514.9,514.6,22.1
261,07-27-2020 03:30:00,507.6,507.2,22.05
262,07-27-2020 04:00:00,506.4,506.1,21.98
263,07-27-2020 04:30:00,509.1,508.7,21.92
264,07-27-2020 05:00:00,514.1,513.7,21.82
265,07-27-2020 05:30:00,520.1,519.3,21.74
266,07-27-2020 06:00:00,524.1,523.1,21.65
267,07-27-2020 06:30:00,526.2,525.8,21.58
268,07-27-2020 07:00:00,524.3,523.6,21.54
269,07-27-2020 07:30:00,518.6,518,21.5
270,07-27-2020 08:00:00,512.8,512.3,21.48
271,07-27-2020 08:30:00,505.9,505.6,21.47
272,07-27-2020 09:00:00,503,502.6,21.44
273,07-27-2020 09:30:00,502.6,502.2,21.43
274,07-27-2020 10:00:00,503.8,503,21.44
275,07-27-2020 10:30:00,508.1,507.8,21.55
276,07-27-2020 11:00:00,510.1,509.7,21.6
277,07-27-2020 11:30:00,514.9,514.5,21.69
278,07-27-2020 12:00:00,519.6,519.3,21.82
279,07-27-2020 12:30:00,524.9,524.1,21.98
280,07-27-2020 13:00:00,530.6,530,22.2
281,07-27-2020 13:30:00,537.4,537,22.37
282,07-27-2020 14:00:00,543.7,542.5,22.56
283,07-27-2020 14:30:00,550.5,549.6,22.73
284,07-27-2020 15:00:00,555.9,555.2,22.8
285,07-27-2020 15:30:00,562.4,561.5,22.92
286,07-27-2020 16:00:00,569.6,568.9,23.09
287,07-27-2020 16:30:00,576.7,576,23.27
288,07-27-2020 17:00:00,583.4,583,23.39
289,07-27-2020 17:30:00,589.9,589,23.45
290,07-27-2020 18:00:00,595.7,595,23.5
291,07-27-2020 18:30:00,601.5,601,23.51
292,07-27-2020 19:00:00,606.5,605.6,23.46
293,07-27-2020 19:30:00,611.3,610.5,23.41
