#,Date,Low Range,Full Range,Temp
1,2020-03-16 11:30:00,489.4,486.3,4.05
2,2020-03-16 12:00:00,490.6,487.4,4.15
3,2020-03-16 12:30:00,491.9,488.9,4.24
4,2020-03-16 13:00:00,494.7,491.5,4.44
5,2020-03-16 13:30:00,499.1,496.3,4.77
6,2020-03-16 14:00:00,503.6,500.7,5.08
7,2020-03-16 14:30:00,505.3,502.5,5.24
8,2020-03-16 15:00:00,507.2,504.3,5.36
9,2020-03-16 15:30:00,507.8,505.1,5.45
10,2020-03-16 16:00:00,509.2,506.5,5.58
11,2020-03-16 16:30:00,510.9,508,5.7
12,2020-03-16 17:00:00,512.4,509.4,5.83
13,2020-03-16 17:30:00,513.1,510.2,5.9
14,2020-03-16 18:00:00,512.6,509.8,5.86
15,2020-03-16 18:30:00,511,508.3,5.77
16,2020-03-16 19:00:00,509.2,506.5,5.66
17,2020-03-16 19:30:00,508,505,5.58
18,2020-03-16 20:00:00,505.5,502.8,5.42
19,2020-03-16 20:30:00,503.7,501,5.29
20,2020-03-16 21:00:00,502,498.7,5.14
21,2020-03-16 21:30:00,500.6,497.7,5.02
22,2020-03-16 22:00:00,499,496.2,4.92
23,2020-03-16 22:30:00,497.7,494.7,4.82
24,2020-03-16 23:00:00,496.8,493.6,4.74
25,2020-03-16 23:30:00,496.4,493.3,4.66
26,2020-03-17 00:00:00,495.1,492.2,4.59
27,2020-03-17 00:30:00,494.4,491,4.54
28,2020-03-17 01:00:00,493.9,491.1,4.52
29,2020-03-17 01:30:00,493.6,490.7,4.47
30,2020-03-17 02:00:00,493.2,490.3,4.44
31,2020-03-17 02:30:00,492.7,490,4.41
32,2020-03-17 03:00:00,491.6,488.9,4.32
33,2020-03-17 03:30:00,491.1,488.5,4.3
34,2020-03-17 04:00:00,490.2,487,4.21
35,2020-03-17 04:30:00,487.9,485.2,4.08
36,2020-03-17 05:00:00,486.1,483.3,3.94
37,2020-03-17 05:30:00,484.5,481.5,3.82
38,2020-03-17 06:00:00,482.3,479.3,3.62
39,2020-03-17 06:30:00,479.9,476.7,3.42
40,2020-03-17 07:00:00,477.2,474.1,3.25
41,2020-03-17 07:30:00,475.4,472.3,3.07
42,2020-03-17 08:00:00,473.3,470.1,2.9
43,2020-03-17 08:30:00,471,467.9,2.73
44,2020-03-17 09:00:00,470.2,467.2,2.67
45,2020-03-17 09:30:00,471.5,468.7,2.77
46,2020-03-17 10:00:00,473.7,470.5,2.91
47,2020-03-17 10:30:00,477.3,474.6,3.17
48,2020-03-17 11:00:00,482,479,3.5
49,2020-03-17 11:30:00,488.4,485.6,3.93
50,2020-03-17 12:00:00,496,493,4.46
51,2020-03-17 12:30:00,504.6,501.8,5.08
52,2020-03-17 13:00:00,513.5,510.6,5.72
53,2020-03-17 13:30:00,523.7,520.9,6.41
54,2020-03-17 14:00:00,533.2,530.5,7.11
55,2020-03-17 14:30:00,541.8,538.9,7.76
56,2020-03-17 15:00:00,549,546.2,8.35
57,2020-03-17 15:30:00,554.1,551.2,8.86
58,2020-03-17 16:00:00,558.6,555.9,9.3
59,2020-03-17 16:30:00,559.1,556.1,9.63
60,2020-03-17 17:00:00,556.8,554.1,9.83
61,2020-03-17 17:30:00,553.4,550.6,9.91
62,2020-03-17 18:00:00,548.4,546.1,9.88
63,2020-03-17 18:30:00,543,540.8,9.74
64,2020-03-17 19:00:00,538.7,536.4,9.54
65,2020-03-17 19:30:00,533,530.8,9.27
66,2020-03-17 20:00:00,528.1,526,8.95
67,2020-03-17 20:30:00,523,520.9,8.61
68,2020-03-17 21:00:00,518.2,516.1,8.25
69,2020-03-17 21:30:00,514.7,512.5,7.86
70,2020-03-17 22:00:00,510.6,508.6,7.45
71,2020-03-17 22:30:00,508.3,505.7,7.09
72,2020-03-17 23:00:00,506,503.2,6.73
73,2020-03-17 23:30:00,504.9,502.3,6.44
74,2020-03-18 00:00:00,504.1,501.2,6.18
75,2020-03-18 00:30:00,503.3,499.8,5.99
76,2020-03-18 01:00:00,503.4,500.7,5.83
77,2020-03-18 01:30:00,503,500,5.69
78,2020-03-18 02:00:00,503,500,5.61
79,2020-03-18 02:30:00,503.6,500.8,5.58
80,2020-03-18 03:00:00,504.2,501.2,5.56
81,2020-03-18 03:30:00,503.3,500.8,5.5
82,2020-03-18 04:00:00,503.9,500.8,5.48
83,2020-03-18 04:30:00,505.4,502.7,5.53
84,2020-03-18 05:00:00,505,502.4,5.51
85,2020-03-18 05:30:00,505.2,502.4,5.51
86,2020-03-18 06:00:00,504.7,501.6,5.48
87,2020-03-18 06:30:00,499.9,497.2,5.25
88,2020-03-18 07:00:00,493.8,490.8,4.95
89,2020-03-18 07:30:00,487.9,485.3,4.64
90,2020-03-18 08:00:00,483.5,480.8,4.38
91,2020-03-18 08:30:00,480,477.1,4.19
92,2020-03-18 09:00:00,478.6,475.6,4.11
93,2020-03-18 09:30:00,476.8,473.8,4.02
94,2020-03-18 10:00:00,474.7,471.5,3.95
95,2020-03-18 10:30:00,472.4,469.6,3.87
96,2020-03-18 11:00:00,470.4,467.8,3.83
97,2020-03-18 11:30:00,504.4,501,3.8
98,2020-03-18 12:00:00,507.7,504.4,3.86
99,2020-03-18 12:30:00,501.9,498.6,4
100,2020-03-18 13:00:00,498.1,494.6,4.26
101,2020-03-18 13:30:00,499.3,496,4.51
102,2020-03-18 14:00:00,484.1,481.1,4.69
103,2020-03-18 14:30:00,485,482.1,4.85
104,2020-03-18 15:00:00,481.5,478.6,4.97
105,2020-03-18 15:30:00,480.7,477.8,5.13
106,2020-03-18 16:00:00,479.9,477.3,5.26
107,2020-03-18 16:30:00,478.6,476.1,5.36
108,2020-03-18 17:00:00,478.4,475.7,5.41
109,2020-03-18 17:30:00,477.2,474.6,5.42
110,2020-03-18 18:00:00,475.5,473.1,5.4
111,2020-03-18 18:30:00,475.4,472.7,5.37
112,2020-03-18 19:00:00,479.1,476.2,5.31
113,2020-03-18 19:30:00,480.4,477.4,5.2
114,2020-03-18 20:00:00,479.5,477,5.08
115,2020-03-18 20:30:00,473.9,471.4,4.97
116,2020-03-18 21:00:00,469.2,466.1,4.84
117,2020-03-18 21:30:00,465.4,462.7,4.73
118,2020-03-18 22:00:00,462.4,459.4,4.62
119,2020-03-18 22:30:00,459.4,456.8,4.52
120,2020-03-18 23:00:00,459,456.4,4.46
121,2020-03-18 23:30:00,456.7,453.8,4.41
122,2020-03-19 00:00:00,456.9,454.2,4.37
123,2020-03-19 00:30:00,456.4,453.4,4.36
124,2020-03-19 01:00:00,455.2,452.3,4.35
125,2020-03-19 01:30:00,455.3,452.3,4.32
126,2020-03-19 02:00:00,456.6,453.8,4.35
127,2020-03-19 02:30:00,456,453,4.32
128,2020-03-19 03:00:00,455.9,453,4.32
129,2020-03-19 03:30:00,455.1,452.3,4.32
130,2020-03-19 04:00:00,453.7,450.8,4.32
131,2020-03-19 04:30:00,452.5,449.2,4.31
132,2020-03-19 05:00:00,451,448.1,4.29
133,2020-03-19 05:30:00,450.8,448.1,4.29
134,2020-03-19 06:00:00,451,448.1,4.27
135,2020-03-19 06:30:00,450.7,447.7,4.27
136,2020-03-19 07:00:00,451.6,448.9,4.26
137,2020-03-19 07:30:00,453.2,450,4.26
138,2020-03-19 08:00:00,456.5,453.5,4.26
139,2020-03-19 08:30:00,459.6,456.9,4.31
140,2020-03-19 09:00:00,460.7,457.6,4.31
141,2020-03-19 09:30:00,463,460.6,4.37
142,2020-03-19 10:00:00,465,462.5,4.42
143,2020-03-19 10:30:00,468.7,465.9,4.52
144,2020-03-19 11:00:00,470.5,467.8,4.58
145,2020-03-19 11:30:00,472.7,470,4.65
146,2020-03-19 12:00:00,474.3,471.9,4.74
147,2020-03-19 12:30:00,474.5,471.9,4.8
148,2020-03-19 13:00:00,473.1,470.3,4.86
149,2020-03-19 13:30:00,479.9,477.1,4.92
150,2020-03-19 14:00:00,443.5,440.9,5.03
151,2020-03-19 14:30:00,441.4,438.7,4.96
152,2020-03-19 15:00:00,431,428.8,4.87
153,2020-03-19 15:30:00,414.3,412.2,4.76
154,2020-03-19 16:00:00,390.8,388.4,4.55
155,2020-03-19 16:30:00,372.8,370.3,4.36
156,2020-03-19 17:00:00,362.3,359.8,4.25
157,2020-03-19 17:30:00,350.5,347.7,4.16
158,2020-03-19 18:00:00,339.9,337.5,4.04
159,2020-03-19 18:30:00,324.3,321.7,3.88
160,2020-03-19 19:00:00,311.9,309.3,3.75
161,2020-03-19 19:30:00,304.7,302.6,3.67
162,2020-03-19 20:00:00,301.6,299.2,3.61
163,2020-03-19 20:30:00,296.1,293.6,3.55
164,2020-03-19 21:00:00,288,285.3,3.51
165,2020-03-19 21:30:00,282.1,279.7,3.45
166,2020-03-19 22:00:00,279,276.7,3.42
167,2020-03-19 22:30:00,275.6,272.9,3.36
168,2020-03-19 23:00:00,272.6,270,3.31
169,2020-03-19 23:30:00,270.7,268.1,3.26
170,2020-03-20 00:00:00,268.5,265.8,3.21
171,2020-03-20 00:30:00,267.1,264.7,3.15
172,2020-03-20 01:00:00,275.3,272.6,3.16
173,2020-03-20 01:30:00,263.3,260.6,3.11
174,2020-03-20 02:00:00,261.8,259.1,3.01
175,2020-03-20 02:30:00,263,259.9,2.88
176,2020-03-20 03:00:00,263.9,261.4,2.8
177,2020-03-20 03:30:00,263.5,260.7,2.71
178,2020-03-20 04:00:00,261.9,258.9,2.55
179,2020-03-20 04:30:00,261.7,258.9,2.46
180,2020-03-20 05:00:00,263.6,260.8,2.35
181,2020-03-20 05:30:00,264.6,261.6,2.29
182,2020-03-20 06:00:00,264.6,262,2.19
183,2020-03-20 06:30:00,263.5,260.5,2.13
184,2020-03-20 07:00:00,261.2,258.3,2.06
185,2020-03-20 07:30:00,258,255.3,1.98
186,2020-03-20 08:00:00,256.1,253.4,1.91
187,2020-03-20 08:30:00,252.9,250,1.84
188,2020-03-20 09:00:00,251.9,249.3,1.8
189,2020-03-20 09:30:00,250,247.1,1.75
190,2020-03-20 10:00:00,249,246.3,1.73
191,2020-03-20 10:30:00,248.6,245.9,1.7
192,2020-03-20 11:00:00,248.9,246,1.68
193,2020-03-20 11:30:00,249.8,247.1,1.7
194,2020-03-20 12:00:00,250.9,248.2,1.73
195,2020-03-20 12:30:00,253.5,250.4,1.81
196,2020-03-20 13:00:00,255.8,253,1.94
197,2020-03-20 13:30:00,259.5,256.7,2.14
198,2020-03-20 14:00:00,264.1,261.2,2.33
199,2020-03-20 14:30:00,268.6,266,2.55
200,2020-03-20 15:00:00,273.5,270.9,2.73
201,2020-03-20 15:30:00,277.7,275.3,2.88
202,2020-03-20 16:00:00,281.1,278.3,2.99
203,2020-03-20 16:30:00,284.7,282.1,3.06
204,2020-03-20 17:00:00,288,285.4,3.18
205,2020-03-20 17:30:00,290.8,288.4,3.23
206,2020-03-20 18:00:00,293.6,291.4,3.28
207,2020-03-20 18:30:00,295.8,293.3,3.29
208,2020-03-20 19:00:00,297.8,295.5,3.29
209,2020-03-20 19:30:00,299.7,297.1,3.27
210,2020-03-20 20:00:00,301.3,298.6,3.22
211,2020-03-20 20:30:00,303.2,300.9,3.16
212,2020-03-20 21:00:00,305,302.8,3.09
213,2020-03-20 21:30:00,306.4,303.9,3
214,2020-03-20 22:00:00,308.7,306.2,2.89
215,2020-03-20 22:30:00,310.6,307.8,2.77
216,2020-03-20 23:00:00,313.8,311.2,2.67
