#,Date,Low Range,Full Range,Temp
1,10-30-2020 10:00:00,504.3,502.4,5.44
2,10-30-2020 10:30:00,505.6,503.5,5.52
3,10-30-2020 11:00:00,507.8,505.3,5.66
4,10-30-2020 11:30:00,510.2,507.9,5.84
5,10-30-2020 12:00:00,513.5,511.2,6.07
6,10-30-2020 12:30:00,516.5,514.5,6.27
7,10-30-2020 13:00:00,520.1,518.2,6.51
8,10-30-2020 13:30:00,524,521.9,6.78
9,10-30-2020 14:00:00,528.4,526.3,7.08
10,10-30-2020 14:30:00,532.6,530.7,7.37
11,10-30-2020 15:00:00,536.8,534.7,7.68
12,10-30-2020 15:30:00,540.6,538,7.93
13,10-30-2020 16:00:00,542.9,540.6,8.1
14,10-30-2020 16:30:00,544.6,542.4,8.25
15,10-30-2020 17:00:00,545.9,543.9,8.32
16,10-30-2020 17:30:00,546.7,544.3,8.37
17,10-30-2020 18:00:00,546.5,543.9,8.34
18,10-30-2020 18:30:00,545.2,543.2,8.26
19,10-30-2020 19:00:00,543.8,541.7,8.18
20,10-30-2020 19:30:00,541.8,539.5,8.04
21,10-30-2020 20:00:00,539.2,536.9,7.87
22,10-30-2020 20:30:00,535.5,533.2,7.64
23,10-30-2020 21:00:00,531.3,529.6,7.38
24,10-30-2020 21:30:00,527.3,525.1,7.1
25,10-30-2020 22:00:00,523.5,521.5,6.83
26,10-30-2020 22:30:00,519.6,517.4,6.55
27,10-30-2020 23:00:00,516.2,514.1,6.29
28,10-30-2020 23:30:00,512.9,510.5,6.05
29,10-31-2020 00:00:00,510.7,508.6,5.88
30,10-31-2020 00:30:00,508.2,506.1,5.68
31,10-31-2020 01:00:00,505.8,503.5,5.52
32,10-31-2020 01:30:00,503.8,501.7,5.37
33,10-31-2020 02:00:00,502.1,499.8,5.24
34,10-31-2020 02:30:00,500.4,498,5.11
35,10-31-2020 03:00:00,498.8,496.5,5.01
36,10-31-2020 03:30:00,497.5,495.1,4.88
37,10-31-2020 04:00:00,496,493.6,4.77
38,10-31-2020 04:30:00,495.1,492.9,4.69
39,10-31-2020 05:00:00,493.8,491.4,4.58
40,10-31-2020 05:30:00,493,490.7,4.51
41,10-31-2020 06:00:00,492.1,489.9,4.44
42,10-31-2020 06:30:00,491.2,489.2,4.37
43,10-31-2020 07:00:00,490.6,488.5,4.32
44,10-31-2020 07:30:00,490,487.7,4.27
45,10-31-2020 08:00:00,489.8,487.4,4.25
46,10-31-2020 08:30:00,489.3,487.4,4.24
47,10-31-2020 09:00:00,489.2,486.6,4.26
48,10-31-2020 09:30:00,490.6,488.5,4.33
49,10-31-2020 10:00:00,492.7,490.3,4.47
50,10-31-2020 10:30:00,495.2,492.9,4.65
51,10-31-2020 11:00:00,498.8,496.2,4.88
52,10-31-2020 11:30:00,502.8,500.6,5.19
53,10-31-2020 12:00:00,507.4,505,5.52
54,10-31-2020 12:30:00,512.5,510.2,5.88
55,10-31-2020 13:00:00,518.3,516.1,6.26
56,10-31-2020 13:30:00,523.8,522,6.65
57,10-31-2020 14:00:00,530,527.8,7.06
58,10-31-2020 14:30:00,536.2,534.1,7.5
59,10-31-2020 15:00:00,542.4,539.9,7.92
60,10-31-2020 15:30:00,548.2,545.8,8.32
61,10-31-2020 16:00:00,552.8,550.2,8.64
62,10-31-2020 16:30:00,556,553.9,8.89
63,10-31-2020 17:00:00,559.5,557.2,9.12
64,10-31-2020 17:30:00,562.2,559.7,9.29
65,10-31-2020 18:00:00,564.4,562.3,9.45
66,10-31-2020 18:30:00,566.8,564.5,9.57
67,10-31-2020 19:00:00,567.9,565.6,9.66
68,10-31-2020 19:30:00,568.1,566.8,9.67
69,10-31-2020 20:00:00,567.8,566,9.66
70,10-31-2020 20:30:00,567.1,564.9,9.6
71,10-31-2020 21:00:00,565.6,563.1,9.46
72,10-31-2020 21:30:00,563.7,561.3,9.29
73,10-31-2020 22:00:00,562.1,559.4,9.16
74,10-31-2020 22:30:00,560.7,558.4,9
