#,Date,Low Range,Full Range,Temp
1,08-26-2020 12:30:00,1116.8,1116.5,25
2,08-26-2020 13:00:00,1115.9,1114,24.8
3,08-26-2020 13:30:00,1118.9,1116.2,24.88
4,08-26-2020 14:00:00,1121,1118.4,25.02
5,08-26-2020 14:30:00,1121.4,1119.1,25.14
6,08-26-2020 15:00:00,1123.1,1120.8,25.3
7,08-26-2020 15:30:00,1123.9,1121,25.45
8,08-26-2020 16:00:00,1126.7,1123.9,25.65
9,08-26-2020 16:30:00,1125,1121.9,25.71
10,08-26-2020 17:00:00,1124.2,1120.6,25.83
11,08-26-2020 17:30:00,1124.1,1120.8,25.98
12,08-26-2020 18:00:00,1125,1121.4,26.09
13,08-26-2020 18:30:00,1122.7,1119.1,26.07
14,08-26-2020 19:00:00,1122.6,1119.1,26.09
15,08-26-2020 19:30:00,1123.1,1119.1,26.09
16,08-26-2020 20:00:00,1124,1119.9,26.07
17,08-26-2020 20:30:00,1125.2,1121.1,26.06
18,08-26-2020 21:00:00,1126.3,1121.9,26.05
19,08-26-2020 21:30:00,1127.5,1123.1,26.02
20,08-26-2020 22:00:00,1129.4,1124.3,25.98
21,08-26-2020 22:30:00,1131.7,1127.2,25.9
22,08-26-2020 23:00:00,1132.9,1127.7,25.82
23,08-26-2020 23:30:00,1135.7,1130.5,25.73
24,08-27-2020 00:00:00,1136.8,1131.4,25.66
25,08-27-2020 00:30:00,1138,1132.7,25.6
26,08-27-2020 01:00:00,1138,1132.3,25.54
27,08-27-2020 01:30:00,1137.5,1132,25.48
28,08-27-2020 02:00:00,1137.8,1132.1,25.42
29,08-27-2020 02:30:00,1138.2,1132.2,25.32
30,08-27-2020 03:00:00,1138.3,1132.3,25.25
31,08-27-2020 03:30:00,1138.3,1132.4,25.17
32,08-27-2020 04:00:00,1137.2,1131.3,25.1
33,08-27-2020 04:30:00,1137.5,1131.4,25
34,08-27-2020 05:00:00,1136.5,1130.4,24.91
35,08-27-2020 05:30:00,1135.2,1128.9,24.81
36,08-27-2020 06:00:00,1133.9,1127.4,24.71
37,08-27-2020 06:30:00,1132,1126,24.6
38,08-27-2020 07:00:00,1131.1,1124.9,24.53
39,08-27-2020 07:30:00,1130.2,1123.8,24.48
40,08-27-2020 08:00:00,1131,1124.6,24.47
41,08-27-2020 08:30:00,1133.1,1126.9,24.54
42,08-27-2020 09:00:00,1134.7,1128.4,24.62
43,08-27-2020 09:30:00,1136.6,1130.2,24.69
44,08-27-2020 10:00:00,1138,1131.7,24.77
45,08-27-2020 10:30:00,1141.1,1134.8,24.82
46,08-27-2020 11:00:00,1144.6,1138.2,24.91
47,08-27-2020 11:30:00,1145.1,1139,24.94
48,08-27-2020 12:00:00,1143.9,1137.4,24.96
49,08-27-2020 12:30:00,1144,1137.7,25.02
50,08-27-2020 13:00:00,1145.3,1139.2,25.11
51,08-27-2020 13:30:00,1147,1140.2,25.21
52,08-27-2020 14:00:00,1147.5,1140.8,25.38
53,08-27-2020 14:30:00,1146.9,1140.6,25.53
54,08-27-2020 15:00:00,1148.3,1142,25.71
55,08-27-2020 15:30:00,1147.3,1141.4,25.85
56,08-27-2020 16:00:00,1147.8,1141.5,26.07
57,08-27-2020 16:30:00,1147.1,1141,26.15
58,08-27-2020 17:00:00,1148.8,1143.1,26.36
59,08-27-2020 17:30:00,1153.2,1147.6,26.55
60,08-27-2020 18:00:00,1154.8,1148.7,26.63
61,08-27-2020 18:30:00,1152.4,1146.7,26.67
62,08-27-2020 19:00:00,1153.4,1147.4,26.72
63,08-27-2020 19:30:00,1152.6,1146.7,26.67
64,08-27-2020 20:00:00,1151.6,1145.2,26.62
65,08-27-2020 20:30:00,1151,1144.8,26.6
66,08-27-2020 21:00:00,1135.2,1129.3,26.4
67,08-27-2020 21:30:00,1141.2,1135.3,26.33
68,08-27-2020 22:00:00,1142.2,1136.2,26.23
69,08-27-2020 22:30:00,1168.2,1161.9,25.54
70,08-27-2020 23:00:00,1142.8,1136.8,25.45
71,08-27-2020 23:30:00,1072.4,1066.7,25.54
72,08-28-2020 00:00:00,1063.1,1057.9,25.39
73,08-28-2020 00:30:00,1056.5,1050.6,25.22
74,08-28-2020 01:00:00,1063,1057.7,25.2
75,08-28-2020 01:30:00,1073.3,1067.8,25.26
76,08-28-2020 02:00:00,1077.9,1072.5,25.32
77,08-28-2020 02:30:00,1081,1075.5,25.38
78,08-28-2020 03:00:00,1080.7,1075.6,25.33
79,08-28-2020 03:30:00,1080.9,1075.6,25.28
80,08-28-2020 04:00:00,1079.9,1074.2,25.2
81,08-28-2020 04:30:00,1077.9,1072.7,25.14
82,08-28-2020 05:00:00,1075.9,1070.4,25.08
83,08-28-2020 05:30:00,1074.4,1068.5,25.02
84,08-28-2020 06:00:00,1073.5,1067.4,24.94
85,08-28-2020 06:30:00,1072.4,1066.7,24.88
86,08-28-2020 07:00:00,1071.4,1066,24.8
87,08-28-2020 07:30:00,1072.8,1066.9,24.72
88,08-28-2020 08:00:00,1074.3,1068.9,24.66
89,08-28-2020 08:30:00,1076.8,1071.2,24.69
90,08-28-2020 09:00:00,1079.7,1073.6,24.7
91,08-28-2020 09:30:00,1081.5,1076.3,24.75
92,08-28-2020 10:00:00,1082,1076.3,24.72
93,08-28-2020 10:30:00,1082.3,1076.7,24.68
94,08-28-2020 11:00:00,1082.7,1077.2,24.64
95,08-28-2020 11:30:00,1082.9,1078.8,24.6
96,08-28-2020 12:00:00,1085.7,1080.4,24.59
97,08-28-2020 12:30:00,1088.5,1083.1,24.63
98,08-28-2020 13:00:00,1091.8,1086.2,24.68
99,08-28-2020 13:30:00,1095.7,1090,24.76
100,08-28-2020 14:00:00,1099,1093,24.85
101,08-28-2020 14:30:00,1098.9,1093.4,24.87
102,08-28-2020 15:00:00,1097.9,1092.6,24.93
103,08-28-2020 15:30:00,1094.7,1089.3,24.99
104,08-28-2020 16:00:00,1093,1087.7,25.06
105,08-28-2020 16:30:00,1092.4,1086.9,25.06
106,08-28-2020 17:00:00,1093.1,1088.1,25.06
107,08-28-2020 17:30:00,1095.3,1089.6,25.1
108,08-28-2020 18:00:00,1097.2,1092.3,25.19
109,08-28-2020 18:30:00,1095.6,1089.9,25.15
110,08-28-2020 19:00:00,1091.5,1085.7,25.09
111,08-28-2020 19:30:00,1088,1082.3,24.99
112,08-28-2020 20:00:00,1082,1076.5,24.91
113,08-28-2020 20:30:00,1077.1,1071.8,24.85
114,08-28-2020 21:00:00,1074.1,1068.7,24.82
115,08-28-2020 21:30:00,1069.3,1063.6,24.8
116,08-28-2020 22:00:00,1064.6,1058.9,24.82
117,08-28-2020 22:30:00,1061.9,1056.5,24.86
118,08-28-2020 23:00:00,1062.6,1056.8,24.93
119,08-28-2020 23:30:00,1066,1060.2,25.02
120,08-29-2020 00:00:00,1070.6,1064.9,25.09
121,08-29-2020 00:30:00,1075,1069.2,25.1
122,08-29-2020 01:00:00,1077.4,1072,25.06
123,08-29-2020 01:30:00,1079.1,1074,25
124,08-29-2020 02:00:00,1080.2,1074.9,24.92
125,08-29-2020 02:30:00,1080.6,1075,24.81
126,08-29-2020 03:00:00,1080.1,1074.7,24.72
127,08-29-2020 03:30:00,1078.5,1072.9,24.58
128,08-29-2020 04:00:00,1076.7,1071.1,24.47
129,08-29-2020 04:30:00,1075.1,1069.2,24.36
130,08-29-2020 05:00:00,1073,1067.4,24.26
131,08-29-2020 05:30:00,1070,1064.4,24.13
132,08-29-2020 06:00:00,1066.4,1060.6,24
133,08-29-2020 06:30:00,1063.2,1059.2,23.86
134,08-29-2020 07:00:00,1058.6,1053.1,23.7
135,08-29-2020 07:30:00,1054.5,1048.6,23.56
136,08-29-2020 08:00:00,1053.2,1047.1,23.49
137,08-29-2020 08:30:00,1052.5,1046.7,23.45
138,08-29-2020 09:00:00,1052.3,1046.7,23.45
139,08-29-2020 09:30:00,1052.9,1047.1,23.49
140,08-29-2020 10:00:00,1052.7,1047.1,23.49
141,08-29-2020 10:30:00,1051.8,1045.9,23.45
142,08-29-2020 11:00:00,1049.6,1044,23.41
143,08-29-2020 11:30:00,1047.2,1041.7,23.38
144,08-29-2020 12:00:00,1042.4,1036.3,23.3
145,08-29-2020 12:30:00,1040.7,1035.1,23.27
146,08-29-2020 13:00:00,1036.8,1030.9,23.18
147,08-29-2020 13:30:00,1035.1,1029.7,23.21
148,08-29-2020 14:00:00,1034.5,1028.9,23.23
149,08-29-2020 14:30:00,1033.1,1027.7,23.24
150,08-29-2020 15:00:00,1032.6,1027.2,23.32
151,08-29-2020 15:30:00,1032.9,1027.5,23.47
152,08-29-2020 16:00:00,1032.6,1027.7,23.62
153,08-29-2020 16:30:00,1030.9,1025.7,23.63
154,08-29-2020 17:00:00,1029.6,1023.7,23.69
155,08-29-2020 17:30:00,1030.7,1025.1,23.84
156,08-29-2020 18:00:00,1029.5,1023.9,23.81
157,08-29-2020 18:30:00,1025.4,1019.8,23.7
158,08-29-2020 19:00:00,1024.7,1019,23.66
159,08-29-2020 19:30:00,1022.6,1017.1,23.59
160,08-29-2020 20:00:00,1019.9,1014,23.56
161,08-29-2020 20:30:00,1018.6,1012.9,23.49
162,08-29-2020 21:00:00,1017.2,1011.8,23.42
163,08-29-2020 21:30:00,1015.9,1010.4,23.34
164,08-29-2020 22:00:00,1015.7,1010.4,23.28
165,08-29-2020 22:30:00,1016.4,1010.9,23.21
166,08-29-2020 23:00:00,1017.2,1011.8,23.11
167,08-29-2020 23:30:00,1018.2,1012.7,23
168,08-30-2020 00:00:00,1019.1,1013.2,22.89
169,08-30-2020 00:30:00,1020,1014.1,22.77
170,08-30-2020 01:00:00,1020,1014.6,22.65
171,08-30-2020 01:30:00,1018.5,1013.2,22.51
172,08-30-2020 02:00:00,1016.1,1010.3,22.36
173,08-30-2020 02:30:00,1013.8,1008,22.23
174,08-30-2020 03:00:00,1010.5,1004.6,22.11
175,08-30-2020 03:30:00,1008.2,1002.8,22
176,08-30-2020 04:00:00,1005.6,1000.2,21.89
177,08-30-2020 04:30:00,1002.9,997.5,21.79
178,08-30-2020 05:00:00,1000.9,995.3,21.69
179,08-30-2020 05:30:00,998.4,992.7,21.54
180,08-30-2020 06:00:00,996.9,991.2,21.47
181,08-30-2020 06:30:00,994.9,989.4,21.35
182,08-30-2020 07:00:00,991.9,986.8,21.19
183,08-30-2020 07:30:00,988.6,983.4,21.04
184,08-30-2020 08:00:00,988.9,983.5,21.01
185,08-30-2020 08:30:00,994.5,989.1,21.23
186,08-30-2020 09:00:00,1001.4,995.9,21.47
187,08-30-2020 09:30:00,1004.4,999,21.54
188,08-30-2020 10:00:00,1007,1001.3,21.55
189,08-30-2020 10:30:00,1008.4,1002.8,21.59
190,08-30-2020 11:00:00,1010.6,1005.1,21.66
191,08-30-2020 11:30:00,1012.3,1006.6,21.7
192,08-30-2020 12:00:00,1013.3,1008.2,21.76
193,08-30-2020 12:30:00,1015.2,1009.7,21.81
194,08-30-2020 13:00:00,1015.1,1009.6,21.85
195,08-30-2020 13:30:00,1016.7,1011.5,21.93
196,08-30-2020 14:00:00,1019.3,1013.7,22.06
197,08-30-2020 14:30:00,1022.2,1016.7,22.19
198,08-30-2020 15:00:00,1024.2,1018.9,22.31
199,08-30-2020 15:30:00,1026.5,1021.5,22.48
200,08-30-2020 16:00:00,1028.6,1023.2,22.67
201,08-30-2020 16:30:00,1029.7,1024.7,22.78
