#,Date,Low Range,Full Range,Temp
1,12-19-2019 12:00:00,676.1,675.2,1.6
2,12-19-2019 12:30:00,676.4,675.9,1.63
3,12-19-2019 13:00:00,677.4,676.3,1.67
4,12-19-2019 13:30:00,678.8,677.8,1.72
5,12-19-2019 14:00:00,680.1,679.4,1.78
6,12-19-2019 14:30:00,681.5,680.5,1.82
7,12-19-2019 15:00:00,682.6,681.2,1.88
8,12-19-2019 15:30:00,683.1,681.6,1.92
9,12-19-2019 16:00:00,683.6,682.8,1.95
10,12-19-2019 16:30:00,684.4,683.1,2
11,12-19-2019 17:00:00,685,683.9,2.01
12,12-19-2019 17:30:00,685,683.9,2.02
13,12-19-2019 18:00:00,684.5,683.5,2.03
14,12-19-2019 18:30:00,683.6,682.3,2.03
15,12-19-2019 19:00:00,682,680.8,2.01
16,12-19-2019 19:30:00,681.1,680.4,1.97
17,12-19-2019 20:00:00,681,680,1.96
18,12-19-2019 20:30:00,681.9,680.8,1.95
19,12-19-2019 21:00:00,681.3,680.4,1.92
20,12-19-2019 21:30:00,680.9,679.7,1.89
21,12-19-2019 22:00:00,679.9,679.3,1.86
22,12-19-2019 22:30:00,678.4,677.4,1.83
23,12-19-2019 23:00:00,678.2,677.4,1.8
24,12-19-2019 23:30:00,678,677,1.77
25,12-20-2019 00:00:00,678.3,677.4,1.75
26,12-20-2019 00:30:00,678.4,677.8,1.72
27,12-20-2019 01:00:00,679.6,679,1.72
28,12-20-2019 01:30:00,679.9,678.6,1.73
29,12-20-2019 02:00:00,679.3,678.6,1.71
30,12-20-2019 02:30:00,678.9,678.2,1.72
31,12-20-2019 03:00:00,678.2,677.4,1.75
32,12-20-2019 03:30:00,677.4,676.6,1.77
33,12-20-2019 04:00:00,678.4,677.7,1.84
34,12-20-2019 04:30:00,677.3,676.5,1.9
35,12-20-2019 05:00:00,677.3,676.1,1.94
36,12-20-2019 05:30:00,676.8,675.7,1.96
37,12-20-2019 06:00:00,676.3,675.3,1.97
38,12-20-2019 06:30:00,675.9,675.3,2.02
39,12-20-2019 07:00:00,675.6,674.5,2.02
40,12-20-2019 07:30:00,675.2,674.1,2.03
41,12-20-2019 08:00:00,674.6,673.3,2.06
42,12-20-2019 08:30:00,675.4,674.4,2.09
43,12-20-2019 09:00:00,675.2,674.4,2.09
44,12-20-2019 09:30:00,677,675.9,2.16
45,12-20-2019 10:00:00,677.1,676.3,2.2
46,12-20-2019 10:30:00,678.6,677.5,2.24
47,12-20-2019 11:00:00,680.4,679.4,2.29
48,12-20-2019 11:30:00,680.9,679.7,2.33
49,12-20-2019 12:00:00,683.7,682.5,2.39
50,12-20-2019 12:30:00,685.5,684,2.43
51,12-20-2019 13:00:00,687.5,686.3,2.5
52,12-20-2019 13:30:00,689,687.8,2.52
53,12-20-2019 14:00:00,692.6,691.3,2.58
54,12-20-2019 14:30:00,695.9,694.4,2.64
55,12-20-2019 15:00:00,698.4,697.2,2.68
56,12-20-2019 15:30:00,698.1,696.8,2.69
57,12-20-2019 16:00:00,698.5,697.1,2.73
58,12-20-2019 16:30:00,697.5,696,2.71
59,12-20-2019 17:00:00,697.5,695.9,2.74
60,12-20-2019 17:30:00,696.8,695.5,2.73
61,12-20-2019 18:00:00,696.8,695.5,2.74
62,12-20-2019 18:30:00,696.5,695.5,2.74
63,12-20-2019 19:00:00,696.5,695.5,2.74
64,12-20-2019 19:30:00,696.1,694.4,2.7
65,12-20-2019 20:00:00,696.1,694.4,2.69
66,12-20-2019 20:30:00,695.4,694,2.65
67,12-20-2019 21:00:00,696,694.4,2.64
68,12-20-2019 21:30:00,695.6,694.5,2.62
69,12-20-2019 22:00:00,695.4,694.5,2.58
70,12-20-2019 22:30:00,695.5,694.5,2.54
71,12-20-2019 23:00:00,694.8,693.7,2.52
72,12-20-2019 23:30:00,694.3,693,2.47
73,12-21-2019 00:00:00,693.1,691.8,2.45
74,12-21-2019 00:30:00,692.4,691.1,2.43
75,12-21-2019 01:00:00,690.5,689.5,2.42
76,12-21-2019 01:30:00,689.6,688.3,2.41
77,12-21-2019 02:00:00,688,687.2,2.4
78,12-21-2019 02:30:00,687.6,686.4,2.37
79,12-21-2019 03:00:00,686.6,685.2,2.35
80,12-21-2019 03:30:00,686.2,684.8,2.35
81,12-21-2019 04:00:00,684.9,683.7,2.34
82,12-21-2019 04:30:00,684.3,683.3,2.35
83,12-21-2019 05:00:00,684.5,683.2,2.4
84,12-21-2019 05:30:00,683.4,682,2.43
85,12-21-2019 06:00:00,683.2,682,2.5
86,12-21-2019 06:30:00,682.7,681.6,2.54
87,12-21-2019 07:00:00,681.6,680.3,2.6
88,12-21-2019 07:30:00,681.1,679.5,2.65
89,12-21-2019 08:00:00,680.9,679.5,2.71
90,12-21-2019 08:30:00,680.9,679.5,2.74
91,12-21-2019 09:00:00,680.8,679.4,2.79
92,12-21-2019 09:30:00,681.8,680.6,2.82
93,12-21-2019 10:00:00,683.4,682.5,2.92
94,12-21-2019 10:30:00,684.4,683.2,2.98
95,12-21-2019 11:00:00,685.2,684.4,3.01
96,12-21-2019 11:30:00,686.2,685.1,3.05
97,12-21-2019 12:00:00,685.9,684.7,3.08
98,12-21-2019 12:30:00,686,684.7,3.09
99,12-21-2019 13:00:00,687.3,686.2,3.18
100,12-21-2019 13:30:00,688.9,687.7,3.21
101,12-21-2019 14:00:00,689.8,688.9,3.28
102,12-21-2019 14:30:00,691,690,3.33
103,12-21-2019 15:00:00,692.1,691.2,3.37
104,12-21-2019 15:30:00,693.6,691.9,3.39
105,12-21-2019 16:00:00,695.3,694.3,3.43
106,12-21-2019 16:30:00,697.7,696.2,3.46
107,12-21-2019 17:00:00,698.9,697.4,3.46
108,12-21-2019 17:30:00,699.9,698.6,3.44
109,12-21-2019 18:00:00,701.1,699.7,3.44
110,12-21-2019 18:30:00,701.5,700.1,3.42
111,12-21-2019 19:00:00,701.7,700.6,3.38
112,12-21-2019 19:30:00,702.3,701.4,3.36
113,12-21-2019 20:00:00,702.9,701.8,3.36
114,12-21-2019 20:30:00,703.7,702.6,3.35
115,12-21-2019 21:00:00,703.8,703,3.33
116,12-21-2019 21:30:00,703.7,702.5,3.36
117,12-21-2019 22:00:00,703.7,702.6,3.33
118,12-21-2019 22:30:00,703.3,701.8,3.33
119,12-21-2019 23:00:00,702.6,701.8,3.35
120,12-21-2019 23:30:00,701.6,700.2,3.32
121,12-22-2019 00:00:00,701.8,700.6,3.35
122,12-22-2019 00:30:00,701.5,700.2,3.36
123,12-22-2019 01:00:00,702.3,701,3.38
124,12-22-2019 01:30:00,701.6,700.6,3.39
125,12-22-2019 02:00:00,701.2,699.8,3.42
126,12-22-2019 02:30:00,701.9,700.5,3.43
127,12-22-2019 03:00:00,701.5,700.5,3.43
128,12-22-2019 03:30:00,701.6,700.1,3.42
129,12-22-2019 04:00:00,701.7,700.5,3.42
130,12-22-2019 04:30:00,701.7,700.5,3.42
131,12-22-2019 05:00:00,702.3,700.9,3.43
132,12-22-2019 05:30:00,703.3,702.1,3.46
133,12-22-2019 06:00:00,704.6,703.2,3.5
134,12-22-2019 06:30:00,705.3,704,3.55
135,12-22-2019 07:00:00,706.1,705.1,3.6
136,12-22-2019 07:30:00,706.1,705.1,3.64
137,12-22-2019 08:00:00,706,705.1,3.65
138,12-22-2019 08:30:00,705.5,703.9,3.67
139,12-22-2019 09:00:00,705.4,703.9,3.71
140,12-22-2019 09:30:00,705.6,703.8,3.76
141,12-22-2019 10:00:00,706.6,705.4,3.81
142,12-22-2019 10:30:00,706.3,704.9,3.84
143,12-22-2019 11:00:00,706.2,704.9,3.88
144,12-22-2019 11:30:00,706.2,704.9,3.89
145,12-22-2019 12:00:00,705.2,703.7,3.9
146,12-22-2019 12:30:00,704.8,703.3,3.9
147,12-22-2019 13:00:00,705.2,703.7,3.95
148,12-22-2019 13:30:00,706,704.4,3.99
149,12-22-2019 14:00:00,707.3,706,4.05
150,12-22-2019 14:30:00,707.8,706.3,4.06
151,12-22-2019 15:00:00,709,707.9,4.11
152,12-22-2019 15:30:00,710.1,708.6,4.15
153,12-22-2019 16:00:00,711.8,710.2,4.18
154,12-22-2019 16:30:00,712.9,711.7,4.21
155,12-22-2019 17:00:00,713.9,712.5,4.23
156,12-22-2019 17:30:00,714.7,713.3,4.23
157,12-22-2019 18:00:00,715.5,714.5,4.22
158,12-22-2019 18:30:00,715.5,714.5,4.21
159,12-22-2019 19:00:00,716.3,715.3,4.2
160,12-22-2019 19:30:00,716.4,714.9,4.18
161,12-22-2019 20:00:00,716.3,714.9,4.17
162,12-22-2019 20:30:00,715.7,714.5,4.16
163,12-22-2019 21:00:00,715,713.7,4.14
164,12-22-2019 21:30:00,713.4,712.2,4.11
165,12-22-2019 22:00:00,712,710.2,4.11
166,12-22-2019 22:30:00,709.5,708.3,4.06
167,12-22-2019 23:00:00,707.2,706,4.03
168,12-22-2019 23:30:00,705.2,704,4
169,12-23-2019 00:00:00,704.5,703.3,3.99
170,12-23-2019 00:30:00,703,701.7,3.98
171,12-23-2019 01:00:00,702.2,700.9,3.99
172,12-23-2019 01:30:00,701.3,700.1,3.98
173,12-23-2019 02:00:00,701,699.7,3.99
174,12-23-2019 02:30:00,700.7,699.3,3.99
175,12-23-2019 03:00:00,700.8,699.7,3.99
176,12-23-2019 03:30:00,700.8,699.3,3.99
177,12-23-2019 04:00:00,701,699.7,4
178,12-23-2019 04:30:00,701,699.3,4
179,12-23-2019 05:00:00,701.1,699.7,4.04
180,12-23-2019 05:30:00,701.4,700.5,4.04
181,12-23-2019 06:00:00,701.4,700.5,4.06
182,12-23-2019 06:30:00,701.8,700.8,4.1
183,12-23-2019 07:00:00,701.4,700,4.11
184,12-23-2019 07:30:00,701.7,700,4.12
185,12-23-2019 08:00:00,701.3,700,4.14
186,12-23-2019 08:30:00,701.2,699.6,4.16
187,12-23-2019 09:00:00,701.1,700,4.18
188,12-23-2019 09:30:00,701.6,700.3,4.24
189,12-23-2019 10:00:00,701.5,700.7,4.28
190,12-23-2019 10:30:00,702.8,701.4,4.35
191,12-23-2019 11:00:00,702.3,701,4.37
192,12-23-2019 11:30:00,703.7,702.2,4.41
193,12-23-2019 12:00:00,703.3,701.8,4.43
194,12-23-2019 12:30:00,703.2,701.7,4.44
195,12-23-2019 13:00:00,703.8,702.5,4.49
196,12-23-2019 13:30:00,704.7,703.2,4.54
197,12-23-2019 14:00:00,706,704.8,4.57
198,12-23-2019 14:30:00,706.3,704.8,4.6
199,12-23-2019 15:00:00,707.1,705.5,4.63
200,12-23-2019 15:30:00,708,706.7,4.66
201,12-23-2019 16:00:00,709.2,707.8,4.68
202,12-23-2019 16:30:00,709.7,708.6,4.67
203,12-23-2019 17:00:00,710.5,709,4.67
204,12-23-2019 17:30:00,711.7,710.2,4.67
