#,Date,Low Range,Full Range,Temp
1,02-03-2020 17:30:00,788.7,786.4,2.86
2,02-03-2020 18:00:00,792.1,790,2.86
3,02-03-2020 18:30:00,797.6,795.1,2.86
4,02-03-2020 19:00:00,801.3,798.6,2.87
5,02-03-2020 19:30:00,803.2,800.2,2.9
6,02-03-2020 20:00:00,804.3,801.4,2.91
7,02-03-2020 20:30:00,807.7,804.9,2.96
8,02-03-2020 21:00:00,812.8,810,2.94
9,02-03-2020 21:30:00,817.4,814.4,2.94
10,02-03-2020 22:00:00,822,819.5,2.99
11,02-03-2020 22:30:00,824.4,821.4,3.05
12,02-03-2020 23:00:00,826.1,823.7,3.13
13,02-03-2020 23:30:00,827.3,824.9,3.2
14,02-04-2020 00:00:00,827.5,825.2,3.25
15,02-04-2020 00:30:00,826,823.6,3.28
16,02-04-2020 01:00:00,824.8,822.4,3.32
17,02-04-2020 01:30:00,824.8,822.4,3.32
18,02-04-2020 02:00:00,824.5,822.4,3.33
19,02-04-2020 02:30:00,822.9,820.4,3.35
20,02-04-2020 03:00:00,820.3,817.6,3.32
21,02-04-2020 03:30:00,818,815.3,3.25
22,02-04-2020 04:00:00,817.4,814.6,3.19
23,02-04-2020 04:30:00,817.1,814.2,3.13
24,02-04-2020 05:00:00,816.4,813.9,3.03
25,02-04-2020 05:30:00,814.6,812,2.94
26,02-04-2020 06:00:00,812.3,809.7,2.87
27,02-04-2020 06:30:00,812.6,810.2,2.77
28,02-04-2020 07:00:00,814.3,811.8,2.69
29,02-04-2020 07:30:00,815.9,813.1,2.59
30,02-04-2020 08:00:00,817,814.8,2.52
31,02-04-2020 08:30:00,816.8,814.4,2.47
32,02-04-2020 09:00:00,816.9,814.4,2.45
33,02-04-2020 09:30:00,817,814.4,2.45
34,02-04-2020 10:00:00,817.7,814.8,2.45
35,02-04-2020 10:30:00,818.4,816,2.41
36,02-04-2020 11:00:00,820.1,817.6,2.4
37,02-04-2020 11:30:00,823.3,821.2,2.42
38,02-04-2020 12:00:00,826,823.5,2.47
39,02-04-2020 12:30:00,827.8,825.5,2.5
40,02-04-2020 13:00:00,829,826.6,2.54
41,02-04-2020 13:30:00,829.4,827,2.57
42,02-04-2020 14:00:00,829.2,827,2.58
43,02-04-2020 14:30:00,828.2,825.8,2.57
44,02-04-2020 15:00:00,828.3,825.8,2.54
45,02-04-2020 15:30:00,829.1,827.1,2.48
46,02-04-2020 16:00:00,828.2,825.9,2.42
47,02-04-2020 16:30:00,826.7,824.4,2.34
48,02-04-2020 17:00:00,823.8,821.4,2.22
49,02-04-2020 17:30:00,821.5,819.5,2.13
50,02-04-2020 18:00:00,820.5,817.9,2.06
51,02-04-2020 18:30:00,821.4,818.8,2.02
52,02-04-2020 19:00:00,823.3,820.7,2.01
53,02-04-2020 19:30:00,824.9,822.7,2.02
54,02-04-2020 20:00:00,827,825.1,2.05
55,02-04-2020 20:30:00,828.1,826.2,2.09
56,02-04-2020 21:00:00,828.4,826.2,2.12
57,02-04-2020 21:30:00,829.9,827.3,2.17
58,02-04-2020 22:00:00,831.3,829.3,2.2
59,02-04-2020 22:30:00,833.3,830.9,2.23
60,02-04-2020 23:00:00,834.7,832.1,2.22
61,02-04-2020 23:30:00,836.7,834.8,2.24
62,02-05-2020 00:00:00,838.1,836,2.23
63,02-05-2020 00:30:00,839,836.8,2.19
64,02-05-2020 01:00:00,840.1,838,2.19
65,02-05-2020 01:30:00,840.6,838.1,2.16
66,02-05-2020 02:00:00,838.4,836.1,2.14
67,02-05-2020 02:30:00,833.9,831.3,2.13
68,02-05-2020 03:00:00,828.3,826.2,2.12
69,02-05-2020 03:30:00,823.5,821.5,2.08
70,02-05-2020 04:00:00,819.3,817.1,2.06
71,02-05-2020 04:30:00,815.6,813.6,2.02
72,02-05-2020 05:00:00,813,810.9,2
73,02-05-2020 05:30:00,810.7,808.5,1.96
74,02-05-2020 06:00:00,808.2,806.2,1.91
75,02-05-2020 06:30:00,806.1,803.9,1.85
76,02-05-2020 07:00:00,803.5,801.1,1.82
77,02-05-2020 07:30:00,800.2,798.4,1.77
78,02-05-2020 08:00:00,798.9,796.8,1.75
79,02-05-2020 08:30:00,797.2,794.8,1.75
80,02-05-2020 09:00:00,795.5,793.6,1.75
81,02-05-2020 09:30:00,794.8,792.5,1.77
82,02-05-2020 10:00:00,794.1,792,1.78
83,02-05-2020 10:30:00,794.3,792.4,1.82
84,02-05-2020 11:00:00,794.5,792.4,1.86
85,02-05-2020 11:30:00,795,793.5,1.91
86,02-05-2020 12:00:00,795.8,793.5,1.96
87,02-05-2020 12:30:00,796.7,794.2,2.01
88,02-05-2020 13:00:00,797.3,795.4,2.08
89,02-05-2020 13:30:00,798.2,796.5,2.12
90,02-05-2020 14:00:00,798.7,796.9,2.16
91,02-05-2020 14:30:00,798.1,796.1,2.16
92,02-05-2020 15:00:00,797.3,795.3,2.16
93,02-05-2020 15:30:00,796.6,794.9,2.12
94,02-05-2020 16:00:00,796,794.1,2.11
95,02-05-2020 16:30:00,794.9,793,2.05
96,02-05-2020 17:00:00,793.9,791.9,2
97,02-05-2020 17:30:00,793.1,791.5,1.95
98,02-05-2020 18:00:00,792.1,790.4,1.86
99,02-05-2020 18:30:00,792.7,790.5,1.79
100,02-05-2020 19:00:00,794.4,792.5,1.71
101,02-05-2020 19:30:00,796,794.1,1.65
102,02-05-2020 20:00:00,796.8,794.6,1.6
103,02-05-2020 20:30:00,796.7,795,1.55
104,02-05-2020 21:00:00,796.6,794.6,1.54
105,02-05-2020 21:30:00,796.8,794.6,1.55
106,02-05-2020 22:00:00,796.4,794.6,1.57
107,02-05-2020 22:30:00,796.5,794.5,1.62
108,02-05-2020 23:00:00,796.9,795.3,1.68
109,02-05-2020 23:30:00,797.5,795.6,1.74
110,02-06-2020 00:00:00,797.9,796.4,1.82
111,02-06-2020 00:30:00,798.4,796.7,1.89
112,02-06-2020 01:00:00,798.2,796.7,1.94
113,02-06-2020 01:30:00,797.1,795.4,1.97
114,02-06-2020 02:00:00,795.6,794.2,2.03
115,02-06-2020 02:30:00,794.6,793,2.06
116,02-06-2020 03:00:00,793,791.4,2.07
117,02-06-2020 03:30:00,792.2,790.6,2.08
118,02-06-2020 04:00:00,791,789,2.08
119,02-06-2020 04:30:00,788.9,787.1,2.05
120,02-06-2020 05:00:00,787.7,786.3,2.01
121,02-06-2020 05:30:00,786.1,785.2,1.96
122,02-06-2020 06:00:00,785.7,784,1.92
123,02-06-2020 06:30:00,784.9,783.3,1.88
124,02-06-2020 07:00:00,784.2,782.9,1.84
125,02-06-2020 07:30:00,783,781.7,1.8
126,02-06-2020 08:00:00,781.3,780.2,1.78
127,02-06-2020 08:30:00,779.9,778.2,1.78
128,02-06-2020 09:00:00,778.8,777.4,1.78
129,02-06-2020 09:30:00,778.5,777,1.8
130,02-06-2020 10:00:00,779.1,777.8,1.85
131,02-06-2020 10:30:00,780,778.9,1.92
132,02-06-2020 11:00:00,782.4,781.2,1.97
133,02-06-2020 11:30:00,799.4,797.8,2.02
134,02-06-2020 12:00:00,805.2,803.6,2.14
135,02-06-2020 12:30:00,803.7,802,2.22
136,02-06-2020 13:00:00,801.9,800.3,2.34
137,02-06-2020 13:30:00,800,798.2,2.42
138,02-06-2020 14:00:00,799.7,798.1,2.53
139,02-06-2020 14:30:00,800.3,798.5,2.63
140,02-06-2020 15:00:00,801.1,799.6,2.68
141,02-06-2020 15:30:00,801.8,800.4,2.7
142,02-06-2020 16:00:00,802.2,800.4,2.67
143,02-06-2020 16:30:00,802.4,800.8,2.64
144,02-06-2020 17:00:00,801.4,800.1,2.59
145,02-06-2020 17:30:00,799.4,797.8,2.52
146,02-06-2020 18:00:00,796.7,795.4,2.45
147,02-06-2020 18:30:00,795.3,793.5,2.37
148,02-06-2020 19:00:00,793.7,792.4,2.3
149,02-06-2020 19:30:00,793.2,792.1,2.22
150,02-06-2020 20:00:00,792.3,790.9,2.16
151,02-06-2020 20:30:00,791.7,790.2,2.13
152,02-06-2020 21:00:00,790.4,789,2.11
153,02-06-2020 21:30:00,789,787.4,2.12
154,02-06-2020 22:00:00,787.7,786.6,2.14
155,02-06-2020 22:30:00,787.4,786.2,2.2
156,02-06-2020 23:00:00,787.3,786.1,2.23
157,02-06-2020 23:30:00,788.6,787.3,2.29
158,02-07-2020 00:00:00,789.8,788.4,2.37
159,02-07-2020 00:30:00,790.6,789.5,2.42
160,02-07-2020 01:00:00,790.9,789.5,2.51
161,02-07-2020 01:30:00,791.6,790.2,2.62
162,02-07-2020 02:00:00,791.5,790.5,2.64
163,02-07-2020 02:30:00,791.2,790.1,2.7
164,02-07-2020 03:00:00,790,788.9,2.73
165,02-07-2020 03:30:00,788.4,786.9,2.7
166,02-07-2020 04:00:00,786.9,785.8,2.68
167,02-07-2020 04:30:00,784.8,783.8,2.67
168,02-07-2020 05:00:00,782.9,781.8,2.65
169,02-07-2020 05:30:00,780.4,779.5,2.6
170,02-07-2020 06:00:00,777.7,776.4,2.53
171,02-07-2020 06:30:00,776.2,775.3,2.48
172,02-07-2020 07:00:00,774.9,773.7,2.43
173,02-07-2020 07:30:00,773.3,772.2,2.35
174,02-07-2020 08:00:00,772,771,2.33
