#,Date,Low Range,Full Range,Temp
1,07-21-2020 17:00:00,946.1,940.3,23
2,07-21-2020 17:30:00,943.2,937.2,22.94
3,07-21-2020 18:00:00,942,936,23.02
4,07-21-2020 18:30:00,940,934.4,23.04
5,07-21-2020 19:00:00,938.1,932.4,23.05
6,07-21-2020 19:30:00,936.7,931.7,23.04
7,07-21-2020 20:00:00,936.6,931.3,23.04
8,07-21-2020 20:30:00,936.9,931.6,23.05
9,07-21-2020 21:00:00,935.9,930.5,23.06
10,07-21-2020 21:30:00,934.5,928.9,23.07
11,07-21-2020 22:00:00,936.3,930.9,23.05
12,07-21-2020 22:30:00,937.1,931.7,23.02
13,07-21-2020 23:00:00,936.7,931.3,22.98
14,07-21-2020 23:30:00,936.6,931,22.91
15,07-22-2020 00:00:00,935.5,929.9,22.88
16,07-22-2020 00:30:00,933.2,927.5,22.85
17,07-22-2020 01:00:00,930.6,924.8,22.85
18,07-22-2020 01:30:00,929.6,924,22.87
19,07-22-2020 02:00:00,927.9,922.4,22.88
20,07-22-2020 02:30:00,928.4,922.9,22.85
21,07-22-2020 03:00:00,927.7,922.1,22.82
22,07-22-2020 03:30:00,927,921,22.78
23,07-22-2020 04:00:00,924.8,919,22.79
24,07-22-2020 04:30:00,920.7,914.7,22.79
25,07-22-2020 05:00:00,916.2,910.5,22.78
26,07-22-2020 05:30:00,914.4,908.5,22.77
27,07-22-2020 06:00:00,914.3,908.6,22.71
28,07-22-2020 06:30:00,913.1,907.1,22.66
29,07-22-2020 07:00:00,912.8,907.1,22.61
30,07-22-2020 07:30:00,912.8,906.7,22.59
31,07-22-2020 08:00:00,912.9,907.1,22.57
32,07-22-2020 08:30:00,915.3,909.5,22.57
33,07-22-2020 09:00:00,917.1,911.3,22.72
34,07-22-2020 09:30:00,912.9,907,22.77
35,07-22-2020 10:00:00,911.4,905.7,22.9
36,07-22-2020 10:30:00,907.8,902,23.08
37,07-22-2020 11:00:00,906,900.3,23.23
38,07-22-2020 11:30:00,905,899.3,23.4
39,07-22-2020 12:00:00,903,897.6,23.55
40,07-22-2020 12:30:00,901.8,896.3,23.69
41,07-22-2020 13:00:00,902.5,897.3,23.87
42,07-22-2020 13:30:00,904.2,898.7,24.08
43,07-22-2020 14:00:00,907.5,901.6,24.3
44,07-22-2020 14:30:00,912.6,906.8,24.52
45,07-22-2020 15:00:00,917.9,912.4,24.79
46,07-22-2020 15:30:00,920.8,914.9,25
47,07-22-2020 16:00:00,927.3,922.1,25.22
48,07-22-2020 16:30:00,930.4,925,25.42
