#,Date,Low Range,Full Range,Temp
1,06-17-2020 11:30:00,922,918.6,22.42
2,06-17-2020 12:00:00,919.1,914.9,22.21
3,06-17-2020 12:30:00,923.1,918.7,22.32
4,06-17-2020 13:00:00,929.9,925.6,22.49
5,06-17-2020 13:30:00,936.7,931.7,22.56
6,06-17-2020 14:00:00,944.6,939.8,22.68
7,06-17-2020 14:30:00,950.2,945.3,22.72
8,06-17-2020 15:00:00,954.5,949.4,22.83
9,06-17-2020 15:30:00,956.6,951.7,22.95
10,06-17-2020 16:00:00,960.1,955.1,23
11,06-17-2020 16:30:00,963.2,957.9,22.99
12,06-17-2020 17:00:00,966.2,961.1,22.87
13,06-17-2020 17:30:00,968,962.8,22.78
14,06-17-2020 18:00:00,968.3,963,22.57
15,06-17-2020 18:30:00,963.5,958.1,22.37
16,06-17-2020 19:00:00,955.1,949.7,22.15
17,06-17-2020 19:30:00,951.3,945.9,22.06
18,06-17-2020 20:00:00,947.5,942.4,22.08
19,06-17-2020 20:30:00,945.6,940,22.1
20,06-17-2020 21:00:00,944.7,939.2,22.15
21,06-17-2020 21:30:00,944.9,939.5,22.23
22,06-17-2020 22:00:00,945,939.8,22.32
23,06-17-2020 22:30:00,946.2,940.9,22.39
24,06-17-2020 23:00:00,947.7,942.4,22.45
25,06-17-2020 23:30:00,949.2,943.9,22.49
26,06-18-2020 00:00:00,953.2,947.8,22.54
27,06-18-2020 00:30:00,953.6,948.2,22.55
28,06-18-2020 01:00:00,952.5,947.4,22.55
29,06-18-2020 01:30:00,951.8,946.2,22.55
30,06-18-2020 02:00:00,949.4,943.9,22.54
31,06-18-2020 02:30:00,947.9,942.3,22.56
32,06-18-2020 03:00:00,945,939.5,22.57
33,06-18-2020 03:30:00,942.3,936.8,22.6
34,06-18-2020 04:00:00,939.8,934.4,22.61
35,06-18-2020 04:30:00,937.9,932.1,22.61
36,06-18-2020 05:00:00,938.5,933.3,22.59
37,06-18-2020 05:30:00,940.3,934.9,22.51
38,06-18-2020 06:00:00,943.1,937.3,22.43
39,06-18-2020 06:30:00,947.7,942.2,22.31
40,06-18-2020 07:00:00,951.3,945.4,22.2
41,06-18-2020 07:30:00,954.6,949,22.11
42,06-18-2020 08:00:00,959.6,954.1,22.06
43,06-18-2020 08:30:00,966.3,960.3,22.17
44,06-18-2020 09:00:00,976.4,970.4,22.23
45,06-18-2020 09:30:00,986.4,980.1,22.36
46,06-18-2020 10:00:00,994.8,989.4,22.43
47,06-18-2020 10:30:00,1000.4,994.4,22.54
48,06-18-2020 11:00:00,1003.4,998.5,22.7
49,06-18-2020 11:30:00,1009.1,1002.7,22.85
50,06-18-2020 12:00:00,1010.9,1004.5,22.98
