#,Date,Low Range,Full Range,Temp
1,2020-03-16 12:00:00,857.2,849.9,4.43
2,2020-03-16 12:30:00,855.1,847.9,4.45
3,2020-03-16 13:00:00,857.1,849.8,4.55
4,2020-03-16 13:30:00,859.7,852.1,4.63
5,2020-03-16 14:00:00,862,854.8,4.72
6,2020-03-16 14:30:00,861.2,853.6,4.72
7,2020-03-16 15:00:00,860.8,853.6,4.77
8,2020-03-16 15:30:00,862.1,854.7,4.8
9,2020-03-16 16:00:00,862.4,855.1,4.82
10,2020-03-16 16:30:00,861.6,854.7,4.85
11,2020-03-16 17:00:00,859.3,851.9,4.85
12,2020-03-16 17:30:00,855.4,847.9,4.86
13,2020-03-16 18:00:00,848.6,841.2,4.85
14,2020-03-16 18:30:00,840.4,833.3,4.84
15,2020-03-16 19:00:00,832.5,825.4,4.8
16,2020-03-16 19:30:00,827.2,819.9,4.78
17,2020-03-16 20:00:00,823.1,815.6,4.72
18,2020-03-16 20:30:00,825.2,818,4.69
19,2020-03-16 21:00:00,832.9,825.5,4.69
20,2020-03-16 21:30:00,843.9,837,4.68
21,2020-03-16 22:00:00,851.7,844.5,4.67
22,2020-03-16 22:30:00,853.8,846.1,4.68
23,2020-03-16 23:00:00,850.4,843,4.67
24,2020-03-16 23:30:00,843.8,836.3,4.63
25,2020-03-17 00:00:00,836.8,829.6,4.61
26,2020-03-17 00:30:00,827.3,820.1,4.58
27,2020-03-17 01:00:00,819.6,812.6,4.56
28,2020-03-17 01:30:00,808.1,801.2,4.52
29,2020-03-17 02:00:00,800.5,793.3,4.51
30,2020-03-17 02:30:00,793.1,786.6,4.5
31,2020-03-17 03:00:00,789,782.3,4.48
32,2020-03-17 03:30:00,784.6,778,4.44
33,2020-03-17 04:00:00,780.1,773.7,4.44
34,2020-03-17 04:30:00,774,767.8,4.39
35,2020-03-17 05:00:00,770.5,764.3,4.31
36,2020-03-17 05:30:00,769.9,763.6,4.24
37,2020-03-17 06:00:00,771.9,765.2,4.16
38,2020-03-17 06:30:00,775.8,769.2,4.11
39,2020-03-17 07:00:00,776.7,770.5,4.03
40,2020-03-17 07:30:00,776.3,769.7,3.94
41,2020-03-17 08:00:00,773.6,766.7,3.86
42,2020-03-17 08:30:00,771.1,764.3,3.82
43,2020-03-17 09:00:00,769.9,763.5,3.83
44,2020-03-17 09:30:00,770.7,764.3,3.84
45,2020-03-17 10:00:00,773.8,767.4,3.92
46,2020-03-17 10:30:00,776.5,769.7,3.95
47,2020-03-17 11:00:00,780.6,774,4.01
48,2020-03-17 11:30:00,785.8,779,4.12
49,2020-03-17 12:00:00,791.1,784.5,4.26
50,2020-03-17 12:30:00,796,789.1,4.39
51,2020-03-17 13:00:00,800.9,794.1,4.51
52,2020-03-17 13:30:00,807.2,800.3,4.71
53,2020-03-17 14:00:00,812.9,806,4.9
54,2020-03-17 14:30:00,820.3,812.9,5.14
55,2020-03-17 15:00:00,828.2,821.4,5.36
56,2020-03-17 15:30:00,836.6,829.5,5.61
57,2020-03-17 16:00:00,842.5,835.7,5.75
58,2020-03-17 16:30:00,846.2,839.5,5.88
59,2020-03-17 17:00:00,849.4,842.6,5.97
60,2020-03-17 17:30:00,851,844.1,6.03
61,2020-03-17 18:00:00,852.1,845.3,6.05
62,2020-03-17 18:30:00,852.8,846,6.08
63,2020-03-17 19:00:00,852.5,845.7,6.05
64,2020-03-17 19:30:00,852.7,846.1,6.03
65,2020-03-17 20:00:00,852.8,845.8,5.96
66,2020-03-17 20:30:00,852.3,845,5.88
67,2020-03-17 21:00:00,852.6,845.5,5.84
68,2020-03-17 21:30:00,852.3,845.2,5.75
69,2020-03-17 22:00:00,853.3,846.4,5.7
70,2020-03-17 22:30:00,854.6,847.6,5.67
71,2020-03-17 23:00:00,856.1,849.2,5.64
72,2020-03-17 23:30:00,858,851.2,5.63
73,2020-03-18 00:00:00,860.3,853.2,5.64
74,2020-03-18 00:30:00,863.4,856.3,5.67
75,2020-03-18 01:00:00,865.7,858.3,5.68
76,2020-03-18 01:30:00,867.6,860.2,5.69
77,2020-03-18 02:00:00,868.7,861.4,5.69
78,2020-03-18 02:30:00,869.3,862.2,5.69
79,2020-03-18 03:00:00,868.2,861.5,5.65
80,2020-03-18 03:30:00,868,861,5.67
81,2020-03-18 04:00:00,868.1,860.7,5.65
82,2020-03-18 04:30:00,868.8,861.4,5.67
83,2020-03-18 05:00:00,869.7,862.6,5.67
84,2020-03-18 05:30:00,870.3,863.4,5.65
85,2020-03-18 06:00:00,870.9,864.2,5.64
86,2020-03-18 06:30:00,868.3,861.6,5.52
