#,Date,Low Range,Full Range,Temp
1,03-09-2021 14:30:00,528.3,525.6,4.46
2,03-09-2021 15:00:00,531.3,528.3,4.5
3,03-09-2021 15:30:00,538.5,535.2,4.57
4,03-09-2021 16:00:00,543.8,540.3,4.62
5,03-09-2021 16:30:00,548.2,545.3,4.69
6,03-09-2021 17:00:00,554.1,550.6,4.84
7,03-09-2021 17:30:00,560.7,557.1,4.96
8,03-09-2021 18:00:00,574.6,571,5.12
9,03-09-2021 18:30:00,589.2,585.2,5.3
10,03-09-2021 19:00:00,588.7,585.3,5.29
11,03-09-2021 19:30:00,593.2,589.5,5.35
12,03-09-2021 20:00:00,602.2,598.4,5.4
13,03-09-2021 20:30:00,608.9,605,5.47
14,03-09-2021 21:00:00,615.1,611.5,5.67
15,03-09-2021 21:30:00,619.8,616,5.9
16,03-09-2021 22:00:00,629.3,625.6,6.13
17,03-09-2021 22:30:00,639.9,635.9,6.31
18,03-09-2021 23:00:00,659.3,655.7,6.53
19,03-09-2021 23:30:00,664.5,660.8,6.52
20,03-10-2021 00:00:00,667.6,663.9,6.5
21,03-10-2021 00:30:00,681,676.2,6.69
22,03-10-2021 01:00:00,685,680.5,6.8
23,03-10-2021 01:30:00,684.8,680.5,6.8
24,03-10-2021 02:00:00,683.2,678.5,6.76
25,03-10-2021 02:30:00,674.4,670,6.67
26,03-10-2021 03:00:00,677,672.8,6.65
27,03-10-2021 03:30:00,672.2,668.1,6.55
28,03-10-2021 04:00:00,664,659.7,6.39
29,03-10-2021 04:30:00,657.8,653.5,6.24
30,03-10-2021 05:00:00,654.5,650.5,6.1
31,03-10-2021 05:30:00,652.1,648.2,6.02
32,03-10-2021 06:00:00,642.7,638.9,5.93
33,03-10-2021 06:30:00,634.6,631.2,5.85
34,03-10-2021 07:00:00,633.8,630.1,5.8
35,03-10-2021 07:30:00,641.6,637.5,5.75
36,03-10-2021 08:00:00,634.6,630.5,5.71
37,03-10-2021 08:30:00,626.5,623.1,5.71
38,03-10-2021 09:00:00,625.1,621.5,5.75
39,03-10-2021 09:30:00,632.8,628.9,5.81
40,03-10-2021 10:00:00,642.6,638.6,5.86
41,03-10-2021 10:30:00,654.7,650.6,5.92
42,03-10-2021 11:00:00,662.8,658.8,5.96
43,03-10-2021 11:30:00,674.3,670.1,6.01
44,03-10-2021 12:00:00,688.6,683.7,6.1
45,03-10-2021 12:30:00,704.4,699.7,6.21
46,03-10-2021 13:00:00,714.4,709.4,6.3
47,03-10-2021 13:30:00,720.4,716,6.37
48,03-10-2021 14:00:00,734.3,729.6,6.44
49,03-10-2021 14:30:00,752.8,747.7,6.47
50,03-10-2021 15:00:00,762,756.7,6.49
51,03-10-2021 15:30:00,759.4,754.4,6.44
52,03-10-2021 16:00:00,775.3,770.1,6.37
53,03-10-2021 16:30:00,772.3,767.4,6.3
54,03-10-2021 17:00:00,757.7,752.9,6.29
55,03-10-2021 17:30:00,757.6,752.2,6.24
56,03-10-2021 18:00:00,747.5,742.3,6.29
57,03-10-2021 18:30:00,735.6,730.9,6.35
58,03-10-2021 19:00:00,739.3,734.7,6.53
59,03-10-2021 19:30:00,748.3,743.1,6.77
60,03-10-2021 20:00:00,747.2,742.2,6.94
61,03-10-2021 20:30:00,741.3,736.6,7.05
62,03-10-2021 21:00:00,742.1,737.3,7.12
63,03-10-2021 21:30:00,760.2,755.3,7.26
64,03-10-2021 22:00:00,782.1,777.2,7.37
65,03-10-2021 22:30:00,794.6,788.9,7.4
66,03-10-2021 23:00:00,794.5,789,7.37
67,03-10-2021 23:30:00,894.9,889.2,7.34
68,03-11-2021 00:00:00,858.9,853.1,7.46
69,03-11-2021 00:30:00,850.9,845.6,7.43
70,03-11-2021 01:00:00,832.8,827.3,7.17
71,03-11-2021 01:30:00,820,814.4,7.01
72,03-11-2021 02:00:00,815.3,810.1,7.04
73,03-11-2021 02:30:00,809.2,803.7,7.11
74,03-11-2021 03:00:00,796.3,791,7.27
75,03-11-2021 03:30:00,791.7,786.1,7.45
76,03-11-2021 04:00:00,803.1,797.5,7.51
77,03-11-2021 04:30:00,814.1,808.8,7.57
78,03-11-2021 05:00:00,821,815.5,7.59
79,03-11-2021 05:30:00,847.6,842.1,7.38
80,03-11-2021 06:00:00,890.6,884.6,7.14
81,03-11-2021 06:30:00,910.2,904.5,7.07
82,03-11-2021 07:00:00,909.4,903.7,7.05
83,03-11-2021 07:30:00,909.1,903.7,7.03
84,03-11-2021 08:00:00,910.6,904.9,7.04
85,03-11-2021 08:30:00,915.9,910,7.06
86,03-11-2021 09:00:00,918.7,913.1,7.12
87,03-11-2021 09:30:00,917.1,911.5,7.21
88,03-11-2021 10:00:00,911.2,905.4,7.29
89,03-11-2021 10:30:00,909.9,904.2,7.35
90,03-11-2021 11:00:00,911.5,905.7,7.42
91,03-11-2021 11:30:00,910.5,905.2,7.5
92,03-11-2021 12:00:00,912.3,906.4,7.57
93,03-11-2021 12:30:00,914.7,909.1,7.65
94,03-11-2021 13:00:00,917.4,911.3,7.79
95,03-11-2021 13:30:00,918.1,912.3,7.96
96,03-11-2021 14:00:00,918.4,913,8.12
97,03-11-2021 14:30:00,918.2,912.8,8.27
98,03-11-2021 15:00:00,916.3,910.8,8.35
99,03-11-2021 15:30:00,912.9,907.2,8.4
100,03-11-2021 16:00:00,907.6,902.4,8.42
101,03-11-2021 16:30:00,905,900,8.42
102,03-11-2021 17:00:00,903,897.3,8.41
103,03-11-2021 17:30:00,901.8,896.1,8.37
104,03-11-2021 18:00:00,903.3,898.1,8.37
105,03-11-2021 18:30:00,908.3,902.8,8.42
106,03-11-2021 19:00:00,917.4,911.8,8.53
107,03-11-2021 19:30:00,921.8,916.5,8.57
108,03-11-2021 20:00:00,929.3,923.7,8.47
109,03-11-2021 20:30:00,932.2,927,8.35
110,03-11-2021 21:00:00,938.3,932.7,8.23
111,03-11-2021 21:30:00,942.3,937.1,8.11
