#,Date,Low Range,Full Range,Temp
1,2020-12-15 16:30:00,1178,1175.2,2.83
2,2020-12-15 17:00:00,1177.5,1174.2,2.67
3,2020-12-15 17:30:00,1169.6,1166.3,2.53
4,2020-12-15 18:00:00,1163.7,1160.4,2.46
5,2020-12-15 18:30:00,1158.5,1155.6,2.43
6,2020-12-15 19:00:00,1153,1149.6,2.35
7,2020-12-15 19:30:00,1152.6,1149.7,2.34
8,2020-12-15 20:00:00,1154.1,1150.9,2.35
9,2020-12-15 20:30:00,1157.8,1154.4,2.43
10,2020-12-15 21:00:00,1162.2,1159.1,2.52
11,2020-12-15 21:30:00,1164.9,1162.2,2.59
12,2020-12-15 22:00:00,1167.5,1164.6,2.64
13,2020-12-15 22:30:00,1171.1,1168.2,2.68
14,2020-12-15 23:00:00,1172.7,1170.2,2.69
15,2020-12-15 23:30:00,1176.7,1173.7,2.74
16,2020-12-16 00:00:00,1180.2,1177.3,2.81
17,2020-12-16 00:30:00,1186.7,1184,2.94
18,2020-12-16 01:00:00,1192.8,1190,2.91
19,2020-12-16 01:30:00,1195.4,1192.6,2.81
20,2020-12-16 02:00:00,1204,1201.4,2.82
21,2020-12-16 02:30:00,1206.3,1203.7,2.92
22,2020-12-16 03:00:00,1201.8,1199.2,3
23,2020-12-16 03:30:00,1195.6,1193.1,3
24,2020-12-16 04:00:00,1199.1,1196.8,3
25,2020-12-16 04:30:00,1201.2,1198.8,2.99
26,2020-12-16 05:00:00,1200.8,1198.1,2.91
27,2020-12-16 05:30:00,1202,1199.3,2.89
28,2020-12-16 06:00:00,1207.1,1204.6,2.88
29,2020-12-16 06:30:00,1207,1204.2,2.83
30,2020-12-16 07:00:00,1205.3,1202.8,2.71
31,2020-12-16 07:30:00,1201.7,1199.7,2.58
32,2020-12-16 08:00:00,1211.1,1208.8,2.77
33,2020-12-16 08:30:00,1221.2,1218.9,3.05
34,2020-12-16 09:00:00,1228.9,1226.4,3.2
35,2020-12-16 09:30:00,1241.5,1238.5,3.47
36,2020-12-16 10:00:00,1258.5,1256.1,3.92
37,2020-12-16 10:30:00,1277.9,1275.4,4.32
38,2020-12-16 11:00:00,1289,1285.8,4.65
39,2020-12-16 11:30:00,1295.4,1292.5,4.83
40,2020-12-16 12:00:00,1324.8,1321.7,5.64
41,2020-12-16 12:30:00,1328.6,1325.9,5.77
42,2020-12-16 13:00:00,1331.3,1328.6,5.91
43,2020-12-16 13:30:00,1329.3,1326.4,5.76
44,2020-12-16 14:00:00,1324.1,1320.6,5.55
45,2020-12-16 14:30:00,1318,1315.1,5.4
46,2020-12-16 15:00:00,1313.9,1311.2,5.29
47,2020-12-16 15:30:00,1315.9,1313.4,5.16
48,2020-12-16 16:00:00,1306.1,1303.2,4.93
49,2020-12-16 16:30:00,1287.5,1284.7,4.62
50,2020-12-16 17:00:00,1277.9,1275.3,4.37
51,2020-12-16 17:30:00,1287.2,1284.2,4.34
52,2020-12-16 18:00:00,1272.6,1269.8,4.22
53,2020-12-16 18:30:00,1271.6,1269.1,4.18
54,2020-12-16 19:00:00,1259.8,1257.2,4.02
55,2020-12-16 19:30:00,1244.6,1242.5,3.85
56,2020-12-16 20:00:00,1218.4,1216.7,3.53
57,2020-12-16 20:30:00,1196.4,1194.4,3.26
58,2020-12-16 21:00:00,1191.3,1189.7,3.19
59,2020-12-16 21:30:00,1156.6,1154.6,3.28
60,2020-12-16 22:00:00,1147.2,1145.2,3.37
61,2020-12-16 22:30:00,1178.4,1176.4,3.48
62,2020-12-16 23:00:00,1210.2,1208.9,3.64
63,2020-12-16 23:30:00,1215.6,1214.8,3.74
64,2020-12-17 00:00:00,1230.9,1229.2,3.79
65,2020-12-17 00:30:00,1220.9,1219.5,3.79
66,2020-12-17 01:00:00,1202,1200.7,3.71
67,2020-12-17 01:30:00,1210.6,1209.2,3.7
68,2020-12-17 02:00:00,1184.3,1182.7,3.64
69,2020-12-17 02:30:00,1201.1,1199.6,3.66
70,2020-12-17 03:00:00,1237.6,1235.7,3.76
71,2020-12-17 03:30:00,1243.8,1242.5,3.8
72,2020-12-17 04:00:00,1212.9,1211.5,3.74
73,2020-12-17 04:30:00,1232.9,1231.2,3.79
74,2020-12-17 05:00:00,1248.3,1246.9,3.85
75,2020-12-17 05:30:00,1246.5,1244.5,3.86
76,2020-12-17 06:00:00,1239.5,1238,3.84
77,2020-12-17 06:30:00,1234.4,1232.4,3.83
78,2020-12-17 07:00:00,1254.5,1252.5,3.88
79,2020-12-17 07:30:00,1270.2,1268.3,3.85
80,2020-12-17 08:00:00,1244.6,1243.3,3.8
81,2020-12-17 08:30:00,1235.3,1233.5,3.91
