#,Date,Low Range,Full Range,Temp
1,02-21-2021 12:00:00,9.4,7.6,-0.41
2,02-21-2021 12:30:00,10.7,9.4,-0.37
3,02-21-2021 13:00:00,12.5,10.9,-0.32
4,02-21-2021 13:30:00,14.1,12.8,-0.27
5,02-21-2021 14:00:00,14.8,13.5,-0.25
6,02-21-2021 14:30:00,17.2,16.1,-0.22
7,02-21-2021 15:00:00,21.5,20.6,-0.22
8,02-21-2021 15:30:00,26.4,26.6,-0.21
9,02-21-2021 16:00:00,32.5,32.9,-0.2
10,02-21-2021 16:30:00,33.7,34.8,-0.2
11,02-21-2021 17:00:00,31.9,32.1,-0.19
12,02-21-2021 17:30:00,30.2,30.3,-0.17
13,02-21-2021 18:00:00,30.6,30.3,-0.15
14,02-21-2021 18:30:00,29.6,29.5,-0.14
15,02-21-2021 19:00:00,31,30.7,-0.11
16,02-21-2021 19:30:00,30.4,29.9,-0.1
17,02-21-2021 20:00:00,36.1,35.9,-0.09
18,02-21-2021 20:30:00,37.8,37.7,-0.09
19,02-21-2021 21:00:00,58,59.8,-0.08
20,02-21-2021 21:30:00,71.5,74.7,-0.07
21,02-21-2021 22:00:00,98.7,104.3,-0.07
22,02-21-2021 22:30:00,115.5,122,-0.05
23,02-21-2021 23:00:00,150,160.4,-0.04
24,02-21-2021 23:30:00,161.4,174,-0.04
25,02-22-2021 00:00:00,166.9,180,-0.03
26,02-22-2021 00:30:00,165.9,176.6,-0.03
27,02-22-2021 01:00:00,208.8,225.4,-0.02
28,02-22-2021 01:30:00,225.3,245.2,-0.03
29,02-22-2021 02:00:00,224.5,245.2,-0.02
30,02-22-2021 02:30:00,218.1,239.1,0.01
31,02-22-2021 03:00:00,257.7,284,-0.01
32,02-22-2021 03:30:00,232.5,254.3,-0.01
33,02-22-2021 04:00:00,232.1,253.5,0.01
34,02-22-2021 04:30:00,235.9,256.9,0.01
35,02-22-2021 05:00:00,227.4,246.3,0.01
36,02-22-2021 05:30:00,221.8,240.2,0.02
37,02-22-2021 06:00:00,221.6,238.7,0.02
38,02-22-2021 06:30:00,218.5,234.9,0.02
39,02-22-2021 07:00:00,217.9,233.8,0.02
40,02-22-2021 07:30:00,225.2,241.4,0.03
41,02-22-2021 08:00:00,219.8,235.7,0.02
42,02-22-2021 08:30:00,211.3,225.8,0.02
43,02-22-2021 09:00:00,199.8,211.8,0.03
44,02-22-2021 09:30:00,224,237.6,0.03
45,02-22-2021 10:00:00,192.7,202.3,0.04
46,02-22-2021 10:30:00,187.6,195.9,0.05
47,02-22-2021 11:00:00,166.9,174.3,0.06
48,02-22-2021 11:30:00,162.2,170.2,0.06
49,02-22-2021 12:00:00,160.8,169,0.06
50,02-22-2021 12:30:00,163.2,172.1,0.08
51,02-22-2021 13:00:00,173.4,183.8,0.09
52,02-22-2021 13:30:00,144.1,153.2,0.09
53,02-22-2021 14:00:00,130.2,138.5,0.09
54,02-22-2021 14:30:00,115.4,123.8,0.1
55,02-22-2021 15:00:00,110.6,119.3,0.11
56,02-22-2021 15:30:00,115.9,125.7,0.11
57,02-22-2021 16:00:00,117.7,129.9,0.14
58,02-22-2021 16:30:00,117.8,129.9,0.14
59,02-22-2021 17:00:00,131.2,146,0.14
60,02-22-2021 17:30:00,173.8,194.7,0.15
61,02-22-2021 18:00:00,122.6,137.8,0.16
62,02-22-2021 18:30:00,127,141.9,0.21
63,02-22-2021 19:00:00,111.1,122,0.22
64,02-22-2021 19:30:00,105.2,117.8,0.24
65,02-22-2021 20:00:00,38.9,41.1,0.23
66,02-22-2021 20:30:00,32.7,35.1,0.2
67,02-22-2021 21:00:00,60.6,62.4,0.21
68,02-22-2021 21:30:00,59.6,62.7,0.22
69,02-22-2021 22:00:00,60.5,63.5,0.2
70,02-22-2021 22:30:00,35.7,36.2,0.2
71,02-22-2021 23:00:00,14.3,12.8,0.2
72,02-22-2021 23:30:00,10.1,8.3,0.21
73,02-23-2021 00:00:00,4,2,0.21
74,02-23-2021 00:30:00,11.1,3.1,0.32
75,02-23-2021 01:00:00,11.1,3.1,0.32
76,02-23-2021 01:30:00,32.7,3.1,0.33
77,02-23-2021 02:00:00,32.7,3.1,0.32
78,02-23-2021 02:30:00,32.7,3.1,0.33
79,02-23-2021 03:00:00,11.1,-0.2,0.33
80,02-23-2021 03:30:00,4.1,3.1,0.34
81,02-23-2021 04:00:00,4.1,-0.6,0.34
82,02-23-2021 04:30:00,1.4,3.1,0.34
83,02-23-2021 05:00:00,1.4,3.1,0.34
84,02-23-2021 05:30:00,1.4,3.1,0.34
85,02-23-2021 06:00:00,1.4,-0.2,0.35
86,02-23-2021 06:30:00,1.4,-0.2,0.35
87,02-23-2021 07:00:00,1.4,3.1,0.34
88,02-23-2021 07:30:00,1.4,-0.2,0.34
89,02-23-2021 08:00:00,1.4,3.1,0.34
90,02-23-2021 08:30:00,1.4,3.1,0.34
91,02-23-2021 09:00:00,1.3,3.1,0.35
92,02-23-2021 09:30:00,1.4,3.1,0.36
93,02-23-2021 10:00:00,1.4,0.9,0.36
94,02-23-2021 10:30:00,1.4,3.1,0.38
95,02-23-2021 11:00:00,0.8,-0.2,0.41
96,02-23-2021 11:30:00,1.4,-0.2,0.42
97,02-23-2021 12:00:00,1.4,-0.2,0.48
98,02-23-2021 12:30:00,0.8,0.9,0.59
99,02-23-2021 13:00:00,1.4,3.1,0.72
100,02-23-2021 13:30:00,1.4,3.1,0.9
101,02-23-2021 14:00:00,1.4,3.1,1.11
102,02-23-2021 14:30:00,1.4,-0.6,1.24
103,02-23-2021 15:00:00,1.4,3.1,1.35
104,02-23-2021 15:30:00,1.4,0.9,1.48
105,02-23-2021 16:00:00,1,3.1,1.41
106,02-23-2021 16:30:00,1,-0.3,1.37
107,02-23-2021 17:00:00,0.8,3.1,1.29
108,02-23-2021 17:30:00,1.4,3.1,1.24
109,02-23-2021 18:00:00,1.4,3.1,1.16
110,02-23-2021 18:30:00,1.5,3.1,1.04
111,02-23-2021 19:00:00,1.4,3.1,0.92
112,02-23-2021 19:30:00,1.4,0.9,0.87
113,02-23-2021 20:00:00,1.4,3.1,0.8
114,02-23-2021 20:30:00,1.5,3.1,0.76
115,02-23-2021 21:00:00,1.5,3.1,0.76
116,02-23-2021 21:30:00,1.4,3.1,0.75
117,02-23-2021 22:00:00,1.4,3.1,0.72
118,02-23-2021 22:30:00,1,3.1,0.74
119,02-23-2021 23:00:00,0.8,0.9,0.77
120,02-23-2021 23:30:00,1.4,3.1,0.78
121,02-24-2021 00:00:00,1.5,0.9,0.86
