#,Date,Low Range,Full Range,Temp
1,06-17-2020 11:30:00,763.3,762.6,24.12
2,06-17-2020 12:00:00,763.8,765.6,24.26
3,06-17-2020 12:30:00,757.6,758.9,24.43
4,06-17-2020 13:00:00,761.9,764,25.23
5,06-17-2020 13:30:00,753,756.2,25.42
6,06-17-2020 14:00:00,749.5,753.2,25.78
7,06-17-2020 14:30:00,749.8,754,25.69
8,06-17-2020 15:00:00,759.1,765,25.89
9,06-17-2020 15:30:00,763.3,769.1,26.06
10,06-17-2020 16:00:00,773.3,778.4,25.91
11,06-17-2020 16:30:00,783.7,789,25.68
12,06-17-2020 17:00:00,808.7,813.9,25.41
13,06-17-2020 17:30:00,825.7,830.9,24.98
14,06-17-2020 18:00:00,706,715.8,24.6
15,06-17-2020 18:30:00,420.8,437.6,24.14
16,06-17-2020 19:00:00,582.9,601.8,23.61
17,06-17-2020 19:30:00,555.9,580.1,23.09
18,06-17-2020 20:00:00,449.3,474.9,22.58
19,06-17-2020 20:30:00,775.9,797.1,22.12
20,06-17-2020 21:00:00,899.2,909.9,21.68
21,06-17-2020 21:30:00,917.2,927.5,21.24
22,06-17-2020 22:00:00,753.7,773,20.85
23,06-17-2020 22:30:00,892.6,895.5,20.51
24,06-17-2020 23:00:00,889.4,891.9,20.23
25,06-17-2020 23:30:00,908.7,910.9,19.95
26,06-18-2020 00:00:00,964,963.9,19.67
27,06-18-2020 00:30:00,966.2,965.7,19.37
28,06-18-2020 01:00:00,979.5,978.1,19.12
29,06-18-2020 01:30:00,977.3,975.2,18.96
30,06-18-2020 02:00:00,974.1,971.4,18.84
31,06-18-2020 02:30:00,972.8,970.3,18.74
32,06-18-2020 03:00:00,966.2,968.5,18.57
33,06-18-2020 03:30:00,970.6,971.8,18.44
34,06-18-2020 04:00:00,978,979.8,18.3
35,06-18-2020 04:30:00,978.4,979.9,18.2
36,06-18-2020 05:00:00,984.3,985.1,18.05
37,06-18-2020 05:30:00,993.8,995.5,17.93
38,06-18-2020 06:00:00,1003.4,1005.8,17.85
39,06-18-2020 06:30:00,1011.9,1014,17.85
40,06-18-2020 07:00:00,1026.4,1027.2,18.01
41,06-18-2020 07:30:00,1030,1030.4,18.36
42,06-18-2020 08:00:00,1026.7,1027.4,18.93
43,06-18-2020 08:30:00,1049.5,1051.1,19.58
44,06-18-2020 09:00:00,1092.9,1087.3,20.23
45,06-18-2020 09:30:00,1111.7,1106.3,20.85
46,06-18-2020 10:00:00,1122.7,1118.6,21.43
47,06-18-2020 10:30:00,1139,1135.1,22.07
48,06-18-2020 11:00:00,1102,1098.6,22.67
49,06-18-2020 11:30:00,1092.2,1093.2,23.24
50,06-18-2020 12:00:00,1105.9,1117.4,23.67
51,06-18-2020 12:30:00,1128.3,1139,24.34
52,06-18-2020 13:00:00,1102.8,1121.6,24.45
53,06-18-2020 13:30:00,871.4,879,24.37
54,06-18-2020 14:00:00,756.9,767.9,25.58
55,06-18-2020 14:30:00,741.1,744.5,26.09
56,06-18-2020 15:00:00,694,696.5,26.32
57,06-18-2020 15:30:00,707.8,711,26.36
58,06-18-2020 16:00:00,726.6,729.4,26.3
59,06-18-2020 16:30:00,752.8,754.2,25.99
60,06-18-2020 17:00:00,778.2,779,25.65
61,06-18-2020 17:30:00,804.9,804.8,25.23
62,06-18-2020 18:00:00,825.2,824.9,24.74
63,06-18-2020 18:30:00,836.6,836.4,24.02
64,06-18-2020 19:00:00,850.4,850,23.47
65,06-18-2020 19:30:00,854.5,853.8,23.1
66,06-18-2020 20:00:00,867.9,867.2,22.86
67,06-18-2020 20:30:00,879.8,879.7,22.43
68,06-18-2020 21:00:00,888.8,888.6,21.97
69,06-18-2020 21:30:00,904.6,903,21.62
70,06-18-2020 22:00:00,913.7,911.4,21.38
71,06-18-2020 22:30:00,917.5,914.8,21.09
72,06-18-2020 23:00:00,924.7,922.1,20.85
73,06-18-2020 23:30:00,928.7,926.2,20.62
74,06-19-2020 00:00:00,934.8,931.9,20.38
75,06-19-2020 00:30:00,935.1,932.5,20.15
76,06-19-2020 01:00:00,938.2,935.8,19.99
77,06-19-2020 01:30:00,948.5,946.5,19.83
78,06-19-2020 02:00:00,955.6,953.4,19.59
79,06-19-2020 02:30:00,957.9,955.9,19.38
80,06-19-2020 03:00:00,964.5,962.8,19.17
81,06-19-2020 03:30:00,973.5,972,19.01
82,06-19-2020 04:00:00,980,977.6,18.87
83,06-19-2020 04:30:00,991.4,990,18.7
84,06-19-2020 05:00:00,996,996,18.54
85,06-19-2020 05:30:00,1003.1,1001.6,18.45
86,06-19-2020 06:00:00,1006.4,1007.1,18.44
