#,Date,Low Range,Full Range,Temp
1,03-16-2020 12:00:00,1283.4,1280.4,4.5
2,03-16-2020 12:30:00,1289.1,1285.8,4.65
3,03-16-2020 13:00:00,1302.8,1299.1,5.03
4,03-16-2020 13:30:00,1313.1,1309.6,5.33
5,03-16-2020 14:00:00,1316.4,1313.1,5.43
6,03-16-2020 14:30:00,1325.1,1321.7,5.6
7,03-16-2020 15:00:00,1333.8,1330,5.76
8,03-16-2020 15:30:00,1334.5,1331.3,5.72
9,03-16-2020 16:00:00,1337.5,1334.1,5.76
10,03-16-2020 16:30:00,1340.8,1337.2,5.81
11,03-16-2020 17:00:00,1339.4,1335.8,5.7
12,03-16-2020 17:30:00,1337.8,1334.6,5.64
13,03-16-2020 18:00:00,1332.8,1329.1,5.54
14,03-16-2020 18:30:00,1327.8,1324.1,5.35
15,03-16-2020 19:00:00,1324.3,1321,5.23
16,03-16-2020 19:30:00,1318.4,1315.3,5
17,03-16-2020 20:00:00,1313,1309.5,4.82
18,03-16-2020 20:30:00,1309.4,1305.9,4.74
19,03-16-2020 21:00:00,1306.8,1303.3,4.63
20,03-16-2020 21:30:00,1305.9,1302.9,4.59
21,03-16-2020 22:00:00,1308,1304.6,4.57
22,03-16-2020 22:30:00,1306.8,1303.4,4.52
23,03-16-2020 23:00:00,1305,1301.9,4.48
24,03-16-2020 23:30:00,1304.4,1301.5,4.45
25,03-17-2020 00:00:00,1305.4,1302.3,4.43
26,03-17-2020 00:30:00,1304,1300.3,4.4
27,03-17-2020 01:00:00,1300.8,1297.5,4.38
28,03-17-2020 01:30:00,1301.1,1297.6,4.36
29,03-17-2020 02:00:00,1299.9,1296,4.31
30,03-17-2020 02:30:00,1300.4,1296.1,4.25
31,03-17-2020 03:00:00,1296.4,1293,4.14
32,03-17-2020 03:30:00,1290.8,1286.8,3.92
33,03-17-2020 04:00:00,1291.3,1288.1,3.89
34,03-17-2020 04:30:00,1281.4,1278,3.58
35,03-17-2020 05:00:00,1272.9,1269.4,3.32
36,03-17-2020 05:30:00,1274,1270.3,3.25
37,03-17-2020 06:00:00,1262.5,1258.9,3.03
38,03-17-2020 06:30:00,1258.2,1255.1,2.85
39,03-17-2020 07:00:00,1248.7,1245.8,2.58
40,03-17-2020 07:30:00,1246,1242.3,2.47
41,03-17-2020 08:00:00,1251,1247.5,2.51
42,03-17-2020 08:30:00,1258.1,1254.6,2.64
43,03-17-2020 09:00:00,1267.5,1264,2.83
44,03-17-2020 09:30:00,1281.7,1278.5,3.22
45,03-17-2020 10:00:00,1298.6,1295.2,3.72
46,03-17-2020 10:30:00,1316.3,1312.7,4.26
47,03-17-2020 11:00:00,1338.1,1334.9,4.89
48,03-17-2020 11:30:00,1369.1,1364.7,5.57
49,03-17-2020 12:00:00,1394.5,1389.7,6.25
50,03-17-2020 12:30:00,1419.7,1414.7,6.87
51,03-17-2020 13:00:00,1443.6,1437.2,7.53
52,03-17-2020 13:30:00,1455.7,1449.4,8.08
53,03-17-2020 14:00:00,1470.5,1464,8.61
54,03-17-2020 14:30:00,1487.3,1479.9,9.04
55,03-17-2020 15:00:00,1502.1,1494,9.42
56,03-17-2020 15:30:00,1514.5,1506.2,9.64
57,03-17-2020 16:00:00,1549.5,1540.7,9.68
58,03-17-2020 16:30:00,1586.9,1577.5,9.6
59,03-17-2020 17:00:00,1591.1,1581.5,9.39
60,03-17-2020 17:30:00,1571.8,1563.4,9.04
61,03-17-2020 18:00:00,1578.4,1568.6,8.86
62,03-17-2020 18:30:00,1592.6,1583.2,8.42
63,03-17-2020 19:00:00,1573.7,1565,8.08
64,03-17-2020 19:30:00,1541.8,1533.8,7.72
65,03-17-2020 20:00:00,1521.6,1514.3,7.44
66,03-17-2020 20:30:00,1514.3,1507.2,7.27
67,03-17-2020 21:00:00,1495.9,1490.1,7.03
68,03-17-2020 21:30:00,1474.6,1469.2,6.82
69,03-17-2020 22:00:00,1439.7,1435.3,6.66
70,03-17-2020 22:30:00,1421.3,1417.7,6.49
71,03-17-2020 23:00:00,1413.9,1410.1,6.42
72,03-17-2020 23:30:00,1398.5,1396.4,6.36
73,03-18-2020 00:00:00,1393.4,1390.8,6.27
74,03-18-2020 00:30:00,1389.5,1387.3,6.2
75,03-18-2020 01:00:00,1389.4,1387.4,6.13
76,03-18-2020 01:30:00,1377.6,1377.7,6.11
77,03-18-2020 02:00:00,1359.5,1359.6,6.05
78,03-18-2020 02:30:00,1359.5,1360,6
79,03-18-2020 03:00:00,1347.3,1348.6,5.75
80,03-18-2020 03:30:00,1361.2,1362.3,5.82
81,03-18-2020 04:00:00,1359.7,1360.8,5.76
82,03-18-2020 04:30:00,1346.4,1349.5,5.69
83,03-18-2020 05:00:00,1335.5,1339.4,5.7
84,03-18-2020 05:30:00,1328.2,1330.6,5.65
85,03-18-2020 06:00:00,1318.9,1320.9,5.6
86,03-18-2020 06:30:00,1269.9,1272.3,4.79
87,03-18-2020 07:00:00,1209.5,1211.7,4.24
88,03-18-2020 07:30:00,1170.1,1171.9,3.89
89,03-18-2020 08:00:00,1183.1,1185.6,3.84
90,03-18-2020 08:30:00,1178.9,1181.8,3.73
91,03-18-2020 09:00:00,1183.2,1185.9,3.95
92,03-18-2020 09:30:00,1301.6,1304.1,3.73
