#,Date,Low Range,Full Range,Temp
1,10-30-2020 11:00:00,608.2,606.8,6.14
2,10-30-2020 11:30:00,683.3,681.4,6.79
3,10-30-2020 12:00:00,663.9,662.9,7.2
4,10-30-2020 12:30:00,660.4,659.1,7.59
5,10-30-2020 13:00:00,666.3,664.7,7.96
6,10-30-2020 13:30:00,697.4,695.5,8.31
7,10-30-2020 14:00:00,677.6,676.4,8.45
8,10-30-2020 14:30:00,685.6,683.6,8.62
9,10-30-2020 15:00:00,708.7,706.9,8.72
10,10-30-2020 15:30:00,697,695.3,8.67
11,10-30-2020 16:00:00,668.9,667.7,8.56
12,10-30-2020 16:30:00,679.9,678.3,8.47
13,10-30-2020 17:00:00,687.7,686.1,8.39
14,10-30-2020 17:30:00,700.7,699.4,8.35
15,10-30-2020 18:00:00,698.7,697.1,8.23
16,10-30-2020 18:30:00,675.9,674.7,8.02
17,10-30-2020 19:00:00,666.6,665.1,7.85
18,10-30-2020 19:30:00,664.4,663.3,7.69
19,10-30-2020 20:00:00,659.3,658.3,7.53
20,10-30-2020 20:30:00,653.6,652.6,7.36
21,10-30-2020 21:00:00,664.3,663.2,7.21
22,10-30-2020 21:30:00,652.8,651.7,6.97
23,10-30-2020 22:00:00,660.3,659.3,6.78
24,10-30-2020 22:30:00,667.6,666.4,6.6
25,10-30-2020 23:00:00,649.6,648.6,6.38
26,10-30-2020 23:30:00,648.3,647.6,6.2
27,10-31-2020 00:00:00,682.1,680.8,6.08
28,10-31-2020 00:30:00,665.8,665,5.85
29,10-31-2020 01:00:00,623.4,622.7,5.59
30,10-31-2020 01:30:00,626.4,625.9,5.52
31,10-31-2020 02:00:00,679.4,678.1,5.53
32,10-31-2020 02:30:00,636.8,636.1,5.35
33,10-31-2020 03:00:00,668,667.3,5.35
34,10-31-2020 03:30:00,689,687.6,5.31
35,10-31-2020 04:00:00,686.9,685.7,5.24
36,10-31-2020 04:30:00,690.9,689.7,5.13
37,10-31-2020 05:00:00,663.1,662.5,4.98
38,10-31-2020 05:30:00,692.7,691.4,4.95
39,10-31-2020 06:00:00,744.1,742.5,5.1
40,10-31-2020 06:30:00,705.5,704.2,4.98
41,10-31-2020 07:00:00,736.9,735.1,5.04
42,10-31-2020 07:30:00,725.2,723.8,4.99
43,10-31-2020 08:00:00,727.5,726.1,4.99
44,10-31-2020 08:30:00,713,711.7,4.98
45,10-31-2020 09:00:00,717.8,716.6,5.13
46,10-31-2020 09:30:00,697.2,695.8,5.25
47,10-31-2020 10:00:00,658.6,657.9,5.4
48,10-31-2020 10:30:00,734.9,733.6,6
49,10-31-2020 11:00:00,829.2,827,6.86
50,10-31-2020 11:30:00,800.1,798.3,7.41
51,10-31-2020 12:00:00,804.9,802.5,7.95
52,10-31-2020 12:30:00,875.9,873.8,8.68
53,10-31-2020 13:00:00,877.6,875.7,9.15
54,10-31-2020 13:30:00,903.8,901.3,9.57
55,10-31-2020 14:00:00,859.1,857,9.8
56,10-31-2020 14:30:00,864.2,861.5,10
57,10-31-2020 15:00:00,969.5,966.5,10.25
58,10-31-2020 15:30:00,968.7,965.6,10.34
59,10-31-2020 16:00:00,918.7,915.9,10.34
60,10-31-2020 16:30:00,907.4,904.6,10.17
61,10-31-2020 17:00:00,922,919,10
62,10-31-2020 17:30:00,916.9,914.2,10.06
63,10-31-2020 18:00:00,912.7,909.9,10.06
64,10-31-2020 18:30:00,933.2,930,10.05
65,10-31-2020 19:00:00,968.6,965.5,10.06
66,10-31-2020 19:30:00,964,960.8,10.06
67,10-31-2020 20:00:00,929.8,926.5,10.01
68,10-31-2020 20:30:00,944.6,941,10.06
69,10-31-2020 21:00:00,891.2,888.4,9.87
70,10-31-2020 21:30:00,915.7,912.9,9.82
71,10-31-2020 22:00:00,996.4,993.1,9.82
72,10-31-2020 22:30:00,919,916,9.39
73,10-31-2020 23:00:00,901.2,898.4,8.89
74,10-31-2020 23:30:00,942.6,939.2,8.37
75,11-01-2020 00:00:00,954.9,951.6,7.79
76,11-01-2020 00:30:00,975.1,972.2,7.42
77,11-01-2020 01:00:00,982.3,979.2,7.14
78,11-01-2020 01:30:00,986.6,983.6,7.12
79,11-01-2020 02:00:00,976.3,973.3,7.14
80,11-01-2020 02:30:00,943.8,940.9,7.05
81,11-01-2020 03:00:00,917.4,914.9,6.94
82,11-01-2020 03:30:00,918.3,915.5,6.64
83,11-01-2020 04:00:00,947.4,944.4,6.28
84,11-01-2020 04:30:00,989.6,986.5,6.2
85,11-01-2020 05:00:00,981.9,978.8,6.01
86,11-01-2020 05:30:00,948.5,945.4,5.73
87,11-01-2020 06:00:00,924.3,921.5,5.82
88,11-01-2020 06:30:00,967,964.3,5.79
89,11-01-2020 07:00:00,1008,1005.4,5.7
90,11-01-2020 07:30:00,1004.6,1001.7,5.41
91,11-01-2020 08:00:00,990.1,987.2,5.24
92,11-01-2020 08:30:00,981,978.2,5.07
93,11-01-2020 09:00:00,978,975.1,5.03
94,11-01-2020 09:30:00,961.5,958.7,5.05
95,11-01-2020 10:00:00,963.6,960.6,5.15
96,11-01-2020 10:30:00,987.1,984.2,5.42
97,11-01-2020 11:00:00,1023.8,1021,5.97
98,11-01-2020 11:30:00,1042.8,1039.1,6.49
99,11-01-2020 12:00:00,1049.2,1046.1,7.05
100,11-01-2020 12:30:00,1050.9,1048,7.51
101,11-01-2020 13:00:00,1073.8,1070.3,8.21
102,11-01-2020 13:30:00,1099.6,1096.1,8.62
103,11-01-2020 14:00:00,1099.8,1096.3,8.79
104,11-01-2020 14:30:00,1093.7,1090.5,8.65
105,11-01-2020 15:00:00,1066.3,1063.1,8.21
106,11-01-2020 15:30:00,1047,1043.3,7.76
107,11-01-2020 16:00:00,1040.3,1037.1,7.23
108,11-01-2020 16:30:00,1040.9,1037.7,6.74
109,11-01-2020 17:00:00,1037.1,1034,6.11
110,11-01-2020 17:30:00,1034.6,1031.2,5.71
111,11-01-2020 18:00:00,1036.2,1033.1,5.46
