#,Date,Low Range,Full Range,Temp
1,12-15-2020 13:00:00,850.7,847.9,1.14
2,12-15-2020 13:30:00,883.9,880.4,1.21
3,12-15-2020 14:00:00,846.3,843.6,1.15
4,12-15-2020 14:30:00,828,824.7,1.14
5,12-15-2020 15:00:00,831.7,828.6,1.12
6,12-15-2020 15:30:00,822.5,819.6,1.09
7,12-15-2020 16:00:00,829.3,826.5,1.07
8,12-15-2020 16:30:00,829.3,826.1,1.03
9,12-15-2020 17:00:00,832.9,829.6,1.01
10,12-15-2020 17:30:00,823.6,820.6,0.96
11,12-15-2020 18:00:00,812.4,809.5,0.92
12,12-15-2020 18:30:00,796.2,793.3,0.87
13,12-15-2020 19:00:00,820.5,817.2,0.89
14,12-15-2020 19:30:00,837.6,834.3,0.93
15,12-15-2020 20:00:00,822.2,819,0.87
16,12-15-2020 20:30:00,813.4,810.4,0.84
17,12-15-2020 21:00:00,805.2,802.8,0.8
18,12-15-2020 21:30:00,825.4,822.4,0.82
19,12-15-2020 22:00:00,823.3,820.3,0.84
20,12-15-2020 22:30:00,841.8,838.6,0.93
21,12-15-2020 23:00:00,813.2,810.4,0.86
22,12-15-2020 23:30:00,811.1,808.3,0.81
23,12-16-2020 00:00:00,824.1,820.7,0.89
24,12-16-2020 00:30:00,826.1,823.3,0.87
25,12-16-2020 01:00:00,820.6,817.7,0.84
26,12-16-2020 01:30:00,821.7,819,0.81
27,12-16-2020 02:00:00,826.1,823.3,0.87
28,12-16-2020 02:30:00,826.8,824.1,0.86
29,12-16-2020 03:00:00,802.9,800.3,0.71
30,12-16-2020 03:30:00,809.5,806.6,0.81
31,12-16-2020 04:00:00,818,814.7,0.82
32,12-16-2020 04:30:00,818.4,815.6,0.8
33,12-16-2020 05:00:00,819.4,816,0.81
34,12-16-2020 05:30:00,807.4,804.5,0.75
35,12-16-2020 06:00:00,814.5,812.2,0.79
36,12-16-2020 06:30:00,810,807.5,0.73
37,12-16-2020 07:00:00,816.1,813.1,0.78
38,12-16-2020 07:30:00,817.8,814.7,0.8
39,12-16-2020 08:00:00,817.5,814.8,0.79
40,12-16-2020 08:30:00,818,815.2,0.79
41,12-16-2020 09:00:00,819.7,816.5,0.8
42,12-16-2020 09:30:00,824.8,822,0.87
43,12-16-2020 10:00:00,818.4,815.6,0.8
44,12-16-2020 10:30:00,810.8,808.2,0.9
45,12-16-2020 11:00:00,827.8,824.8,1.06
46,12-16-2020 11:30:00,826.1,823,1.13
47,12-16-2020 12:00:00,794.7,792.2,1.12
48,12-16-2020 12:30:00,818.1,814.8,1.2
49,12-16-2020 13:00:00,823.5,820.4,1.23
50,12-16-2020 13:30:00,828.3,825.5,1.23
51,12-16-2020 14:00:00,823.1,820.4,1.25
52,12-16-2020 14:30:00,825.4,822,1.29
53,12-16-2020 15:00:00,824.8,822,1.31
54,12-16-2020 15:30:00,830.4,827.6,1.32
55,12-16-2020 16:00:00,828.7,825.9,1.32
56,12-16-2020 16:30:00,828,825,1.34
57,12-16-2020 17:00:00,825.6,822.9,1.34
58,12-16-2020 17:30:00,825.5,822.4,1.35
59,12-16-2020 18:00:00,824.7,821.5,1.36
60,12-16-2020 18:30:00,825.3,822.4,1.37
61,12-16-2020 19:00:00,825.4,822.4,1.38
62,12-16-2020 19:30:00,814.3,811.7,1.36
63,12-16-2020 20:00:00,819.1,815.5,1.43
64,12-16-2020 20:30:00,818.5,815.4,1.49
65,12-16-2020 21:00:00,807.4,804.8,1.48
66,12-16-2020 21:30:00,812,809.4,1.54
67,12-16-2020 22:00:00,812.1,809.4,1.57
68,12-16-2020 22:30:00,808.6,805.9,1.63
69,12-16-2020 23:00:00,804.8,802,1.65
70,12-16-2020 23:30:00,804.7,802,1.68
71,12-17-2020 00:00:00,804.4,802,1.76
72,12-17-2020 00:30:00,799,796,1.75
73,12-17-2020 01:00:00,798.3,795.5,1.8
74,12-17-2020 01:30:00,797.2,794.6,1.81
75,12-17-2020 02:00:00,795.1,792.5,1.85
76,12-17-2020 02:30:00,792.8,790.3,1.88
77,12-17-2020 03:00:00,792.3,789.4,1.92
78,12-17-2020 03:30:00,789.7,787.3,1.92
79,12-17-2020 04:00:00,788.3,785.6,1.94
80,12-17-2020 04:30:00,788.7,786.4,1.98
81,12-17-2020 05:00:00,789.2,786.8,1.99
82,12-17-2020 05:30:00,789.5,786.8,2.02
83,12-17-2020 06:00:00,789.2,786.8,2.05
84,12-17-2020 06:30:00,787.3,785,2.07
85,12-17-2020 07:00:00,786.4,784.2,2.1
86,12-17-2020 07:30:00,784.2,781.6,2.09
87,12-17-2020 08:00:00,785.8,782.8,2.18
88,12-17-2020 08:30:00,786.4,783.7,2.19
89,12-17-2020 09:00:00,786.3,784.1,2.21
90,12-17-2020 09:30:00,786.6,784,2.25
91,12-17-2020 10:00:00,787.1,784,2.32
92,12-17-2020 10:30:00,788.5,786.1,2.37
93,12-17-2020 11:00:00,790,787.3,2.41
94,12-17-2020 11:30:00,791.8,789.4,2.43
95,12-17-2020 12:00:00,793.9,791.5,2.5
96,12-17-2020 12:30:00,796.6,793.6,2.54
97,12-17-2020 13:00:00,796.6,794.5,2.55
98,12-17-2020 13:30:00,796.1,794,2.55
99,12-17-2020 14:00:00,795.5,793.2,2.58
100,12-17-2020 14:30:00,795.3,793.1,2.61
101,12-17-2020 15:00:00,797.8,795.6,2.66
102,12-17-2020 15:30:00,800.3,797.3,2.7
103,12-17-2020 16:00:00,801.1,798.2,2.7
104,12-17-2020 16:30:00,803.1,800.3,2.7
105,12-17-2020 17:00:00,803.4,800.3,2.7
106,12-17-2020 17:30:00,800.9,799.9,2.71
107,12-17-2020 18:00:00,800.2,799,2.71
108,12-17-2020 18:30:00,805.6,803.3,2.74
109,12-17-2020 19:00:00,801,799.8,2.77
110,12-17-2020 19:30:00,801.3,800.7,2.78
111,12-17-2020 20:00:00,807.6,804.9,2.81
112,12-17-2020 20:30:00,806.6,804,2.82
113,12-17-2020 21:00:00,804,801.5,2.85
114,12-17-2020 21:30:00,806.3,803.6,2.88
115,12-17-2020 22:00:00,805.4,802.7,2.87
116,12-17-2020 22:30:00,805.5,802.2,2.93
117,12-17-2020 23:00:00,804.2,801.4,2.92
118,12-17-2020 23:30:00,803.4,801,2.94
119,12-18-2020 00:00:00,802.7,799.7,2.96
120,12-18-2020 00:30:00,799.8,797.5,2.98
121,12-18-2020 01:00:00,798.8,796.2,2.99
122,12-18-2020 01:30:00,799.9,797.4,3.07
123,12-18-2020 02:00:00,795.9,793.2,3
124,12-18-2020 02:30:00,799.4,796.6,3.08
125,12-18-2020 03:00:00,793.9,791.1,2.99
126,12-18-2020 03:30:00,793.7,790.7,3.02
127,12-18-2020 04:00:00,796.8,794,3.05
128,12-18-2020 04:30:00,797.8,795.3,3.03
129,12-18-2020 05:00:00,794.1,791.6,2.92
130,12-18-2020 05:30:00,797.8,795.4,2.96
131,12-18-2020 06:00:00,795.8,792.9,2.92
132,12-18-2020 06:30:00,795.1,792.5,2.88
133,12-18-2020 07:00:00,798.2,795.4,2.93
134,12-18-2020 07:30:00,787.1,784.5,2.7
135,12-18-2020 08:00:00,789.9,787,2.74
136,12-18-2020 08:30:00,790.7,787.9,2.7
137,12-18-2020 09:00:00,784,781.2,2.58
138,12-18-2020 09:30:00,785,782.5,2.58
139,12-18-2020 10:00:00,780.2,777.9,2.49
140,12-18-2020 10:30:00,699.1,697.1,1.8
141,12-18-2020 11:00:00,710.6,708.5,1.9
142,12-18-2020 11:30:00,725,722.9,2.01
143,12-18-2020 12:00:00,741.2,739,2.08
144,12-18-2020 12:30:00,749.7,747.5,2.05
145,12-18-2020 13:00:00,737.9,735.7,1.96
146,12-18-2020 13:30:00,724.5,722.2,1.8
147,12-18-2020 14:00:00,725,723,1.84
148,12-18-2020 14:30:00,725.4,723.5,1.8
149,12-18-2020 15:00:00,721.6,719.2,1.74
150,12-18-2020 15:30:00,724.9,723.1,1.7
