#,Date,Low Range,Full Range,Temp
1,02-03-2020 16:00:00,925.2,917.9,4.52
2,02-03-2020 16:30:00,923.6,915.8,4.61
3,02-03-2020 17:00:00,925.9,918.4,4.76
4,02-03-2020 17:30:00,924.7,917.2,4.83
5,02-03-2020 18:00:00,920.1,912.8,4.98
6,02-03-2020 18:30:00,922.5,914.9,5.14
7,02-03-2020 19:00:00,928.9,921.4,5.27
8,02-03-2020 19:30:00,932.9,925.2,5.37
9,02-03-2020 20:00:00,934.3,926.3,5.4
10,02-03-2020 20:30:00,933.6,926.3,5.47
11,02-03-2020 21:00:00,931.5,923.9,5.47
12,02-03-2020 21:30:00,932,924.3,5.47
13,02-03-2020 22:00:00,932.1,924.4,5.43
14,02-03-2020 22:30:00,934.2,926.4,5.36
15,02-03-2020 23:00:00,937.5,930,5.27
16,02-03-2020 23:30:00,943.6,935.9,5.13
17,02-04-2020 00:00:00,948.3,940.7,5.02
18,02-04-2020 00:30:00,952.7,945.1,4.89
19,02-04-2020 01:00:00,956.1,948.4,4.75
20,02-04-2020 01:30:00,958.4,951.2,4.6
21,02-04-2020 02:00:00,959.5,951.8,4.47
22,02-04-2020 02:30:00,957.5,950,4.33
23,02-04-2020 03:00:00,955.6,947.7,4.2
24,02-04-2020 03:30:00,949.2,941.3,4.07
25,02-04-2020 04:00:00,942.3,934.7,3.96
26,02-04-2020 04:30:00,936,928.6,3.84
27,02-04-2020 05:00:00,927.4,919.8,3.72
28,02-04-2020 05:30:00,920.5,912.9,3.63
29,02-04-2020 06:00:00,914.3,907.2,3.52
30,02-04-2020 06:30:00,909.7,902.2,3.41
31,02-04-2020 07:00:00,904.3,896.8,3.34
32,02-04-2020 07:30:00,899.2,892.3,3.24
33,02-04-2020 08:00:00,893.7,886.9,3.14
34,02-04-2020 08:30:00,885.7,878.8,3.04
35,02-04-2020 09:00:00,881.6,875,2.97
36,02-04-2020 09:30:00,876.1,869.2,2.94
37,02-04-2020 10:00:00,876.8,870.4,2.89
38,02-04-2020 10:30:00,874.7,868.1,2.88
39,02-04-2020 11:00:00,868.2,861.5,2.87
40,02-04-2020 11:30:00,862,855.7,2.87
41,02-04-2020 12:00:00,861.8,855.3,2.91
42,02-04-2020 12:30:00,859.9,853.3,2.99
43,02-04-2020 13:00:00,857.3,850.5,3.04
44,02-04-2020 13:30:00,856.7,850.1,3.07
45,02-04-2020 14:00:00,857.3,850.8,3.11
46,02-04-2020 14:30:00,856,849.3,3.1
47,02-04-2020 15:00:00,857.7,851.2,3.1
48,02-04-2020 15:30:00,857.6,851.2,3.15
49,02-04-2020 16:00:00,857.7,850.8,3.19
50,02-04-2020 16:30:00,857.3,850.8,3.19
51,02-04-2020 17:00:00,856.4,850,3.19
52,02-04-2020 17:30:00,855.9,849.6,3.2
53,02-04-2020 18:00:00,856.3,849.9,3.25
54,02-04-2020 18:30:00,856.7,849.9,3.27
55,02-04-2020 19:00:00,855,848.3,3.29
56,02-04-2020 19:30:00,855.4,849.1,3.35
57,02-04-2020 20:00:00,855.9,849.4,3.4
58,02-04-2020 20:30:00,856.4,849.8,3.42
59,02-04-2020 21:00:00,855.7,849,3.43
60,02-04-2020 21:30:00,855,848.6,3.43
61,02-04-2020 22:00:00,853.8,847.5,3.41
62,02-04-2020 22:30:00,850.9,844.8,3.35
63,02-04-2020 23:00:00,849.1,842.5,3.28
64,02-04-2020 23:30:00,846.5,839.9,3.19
65,02-05-2020 00:00:00,843.2,836.5,3.1
66,02-05-2020 00:30:00,842,840.9,2.95
67,02-05-2020 01:00:00,836.7,830.9,2.87
68,02-05-2020 01:30:00,831.9,826,2.69
69,02-05-2020 02:00:00,828.6,822.6,2.58
70,02-05-2020 02:30:00,826.2,820.4,2.49
71,02-05-2020 03:00:00,823.7,817.7,2.39
72,02-05-2020 03:30:00,821.2,815.5,2.29
73,02-05-2020 04:00:00,818.3,812.5,2.15
74,02-05-2020 04:30:00,816.9,811,2.08
75,02-05-2020 05:00:00,816.5,810.3,1.97
76,02-05-2020 05:30:00,814.6,808.5,1.87
77,02-05-2020 06:00:00,812.6,806.6,1.78
78,02-05-2020 06:30:00,810.9,804.7,1.71
79,02-05-2020 07:00:00,812.5,806.7,1.68
80,02-05-2020 07:30:00,811.7,805.6,1.61
81,02-05-2020 08:00:00,811.2,804.9,1.46
82,02-05-2020 08:30:00,810.1,803.9,1.38
83,02-05-2020 09:00:00,808.2,802,1.3
84,02-05-2020 09:30:00,805.7,799.7,1.23
85,02-05-2020 10:00:00,805.6,799.7,1.24
86,02-05-2020 10:30:00,805.3,799.3,1.2
87,02-05-2020 11:00:00,803.9,797.8,1.18
88,02-05-2020 11:30:00,801.7,795.9,1.17
89,02-05-2020 12:00:00,801.3,795.5,1.22
90,02-05-2020 12:30:00,802.6,796.6,1.26
91,02-05-2020 13:00:00,803,797.3,1.32
92,02-05-2020 13:30:00,802.9,797.3,1.38
93,02-05-2020 14:00:00,803.2,797.6,1.41
94,02-05-2020 14:30:00,804,798,1.44
95,02-05-2020 15:00:00,805.2,799.1,1.48
96,02-05-2020 15:30:00,806.2,800.3,1.52
97,02-05-2020 16:00:00,807.2,801.4,1.55
98,02-05-2020 16:30:00,809,802.9,1.6
99,02-05-2020 17:00:00,810.1,804.4,1.64
100,02-05-2020 17:30:00,811.6,805.5,1.7
101,02-05-2020 18:00:00,812.6,806.6,1.77
102,02-05-2020 18:30:00,814.1,808.1,1.84
103,02-05-2020 19:00:00,817.6,811.5,1.95
104,02-05-2020 19:30:00,819.1,813,2.02
105,02-05-2020 20:00:00,820.6,814.9,2.1
106,02-05-2020 20:30:00,822.3,815.9,2.22
107,02-05-2020 21:00:00,821.7,815.5,2.29
108,02-05-2020 21:30:00,822,815.8,2.35
109,02-05-2020 22:00:00,822.1,815.8,2.42
110,02-05-2020 22:30:00,821,815.4,2.44
111,02-05-2020 23:00:00,822,815.7,2.47
112,02-05-2020 23:30:00,821.6,815.7,2.5
113,02-06-2020 00:00:00,821.1,814.5,2.51
114,02-06-2020 00:30:00,820.9,814.5,2.51
115,02-06-2020 01:00:00,821.8,815.7,2.5
116,02-06-2020 01:30:00,822.2,816.1,2.47
117,02-06-2020 02:00:00,823.1,816.5,2.4
118,02-06-2020 02:30:00,824.3,818.5,2.35
119,02-06-2020 03:00:00,823,816.7,2.28
120,02-06-2020 03:30:00,822.2,815.9,2.22
121,02-06-2020 04:00:00,820.8,814.8,2.15
122,02-06-2020 04:30:00,818.8,812.6,2.08
123,02-06-2020 05:00:00,814.9,808.8,1.99
124,02-06-2020 05:30:00,812.5,806.5,1.9
125,02-06-2020 06:00:00,809,803.1,1.83
126,02-06-2020 06:30:00,806.7,800.8,1.79
127,02-06-2020 07:00:00,804.5,798.9,1.74
128,02-06-2020 07:30:00,802.9,797,1.69
129,02-06-2020 08:00:00,801.3,795.5,1.62
130,02-06-2020 08:30:00,802.1,795.9,1.59
131,02-06-2020 09:00:00,803.3,797.1,1.6
132,02-06-2020 09:30:00,808.5,802.5,1.57
133,02-06-2020 10:00:00,812.3,806,1.57
134,02-06-2020 10:30:00,820.1,814.8,1.69
135,02-06-2020 11:00:00,826.7,820.9,1.82
136,02-06-2020 11:30:00,831.9,825.9,1.9
137,02-06-2020 12:00:00,834.6,828.5,1.99
138,02-06-2020 12:30:00,835.2,829.2,2.1
139,02-06-2020 13:00:00,832.8,827.1,2.28
140,02-06-2020 13:30:00,822.8,816.9,2.4
141,02-06-2020 14:00:00,821.4,815.3,2.5
142,02-06-2020 14:30:00,813.4,807.2,2.47
143,02-06-2020 15:00:00,810.8,804.8,2.51
144,02-06-2020 15:30:00,806.8,801.3,2.55
145,02-06-2020 16:00:00,801.5,795.5,2.59
146,02-06-2020 16:30:00,799.1,793.5,2.6
147,02-06-2020 17:00:00,798.8,793.1,2.65
148,02-06-2020 17:30:00,799.9,794.2,2.72
149,02-06-2020 18:00:00,801.4,795.7,2.8
150,02-06-2020 18:30:00,802.6,796.8,2.91
151,02-06-2020 19:00:00,800.8,795.2,2.97
152,02-06-2020 19:30:00,800.9,795.1,3.04
153,02-06-2020 20:00:00,802.4,796.6,3.15
154,02-06-2020 20:30:00,802.1,796.5,3.26
155,02-06-2020 21:00:00,808,802.2,3.39
156,02-06-2020 21:30:00,818.3,812.5,3.49
157,02-06-2020 22:00:00,825.6,819.8,3.55
158,02-06-2020 22:30:00,831.1,825.2,3.58
159,02-06-2020 23:00:00,832.5,826.4,3.54
160,02-06-2020 23:30:00,832.2,826.5,3.49
161,02-07-2020 00:00:00,826.3,820.7,3.44
162,02-07-2020 00:30:00,819.6,814.2,3.39
163,02-07-2020 01:00:00,814,808.4,3.3
164,02-07-2020 01:30:00,810.9,805.4,3.24
165,02-07-2020 02:00:00,807.9,802.4,3.14
166,02-07-2020 02:30:00,804.7,799,3.04
167,02-07-2020 03:00:00,801.9,796.3,2.95
168,02-07-2020 03:30:00,799.9,794.1,2.83
169,02-07-2020 04:00:00,796.2,790.8,2.64
170,02-07-2020 04:30:00,793.8,788.2,2.46
171,02-07-2020 05:00:00,791.1,785.7,2.3
172,02-07-2020 05:30:00,786.3,780.4,2.09
173,02-07-2020 06:00:00,782.7,777.4,1.95
174,02-07-2020 06:30:00,775,769.9,1.67
175,02-07-2020 07:00:00,768.6,763.9,1.46
176,02-07-2020 07:30:00,765.2,760.1,1.35
177,02-07-2020 08:00:00,762,756.7,1.24
178,02-07-2020 08:30:00,758.8,753.7,1.19
179,02-07-2020 09:00:00,756.9,751.8,1.17
180,02-07-2020 09:30:00,752.7,747.9,1.15
181,02-07-2020 10:00:00,750.8,746,1.12
182,02-07-2020 10:30:00,747.5,742.9,1.11
183,02-07-2020 11:00:00,745.5,740.6,1.14
184,02-07-2020 11:30:00,747.4,742.8,1.24
185,02-07-2020 12:00:00,752.4,747.8,1.34
186,02-07-2020 12:30:00,759.4,754.7,1.44
187,02-07-2020 13:00:00,763.1,758.4,1.55
188,02-07-2020 13:30:00,767,761.8,1.74
189,02-07-2020 14:00:00,768,763.2,1.92
190,02-07-2020 14:30:00,764.9,760,2.04
191,02-07-2020 15:00:00,764.4,759.5,2.15
192,02-07-2020 15:30:00,760.5,755.6,2.22
193,02-07-2020 16:00:00,761.5,757,2.32
194,02-07-2020 16:30:00,763.2,758.1,2.43
195,02-07-2020 17:00:00,764.1,759.6,2.54
196,02-07-2020 17:30:00,766.9,762.2,2.68
197,02-07-2020 18:00:00,769.1,764.4,2.8
198,02-07-2020 18:30:00,771.6,767,2.9
199,02-07-2020 19:00:00,773.9,769.6,3.02
200,02-07-2020 19:30:00,776.4,771.4,3.15
201,02-07-2020 20:00:00,778.2,773.3,3.24
202,02-07-2020 20:30:00,779.2,774.8,3.32
203,02-07-2020 21:00:00,780.3,775.5,3.37
204,02-07-2020 21:30:00,781.4,776.6,3.45
205,02-07-2020 22:00:00,783.2,778.5,3.51
206,02-07-2020 22:30:00,786.9,782.3,3.6
207,02-07-2020 23:00:00,791.9,786.8,3.7
208,02-07-2020 23:30:00,799.9,794.5,3.75
209,02-08-2020 00:00:00,804.5,798.4,3.77
210,02-08-2020 00:30:00,808,802.3,3.73
211,02-08-2020 01:00:00,810.9,805.4,3.67
212,02-08-2020 01:30:00,812.6,807,3.59
213,02-08-2020 02:00:00,812.5,807.1,3.49
214,02-08-2020 02:30:00,811.5,805.6,3.4
215,02-08-2020 03:00:00,810.1,804.5,3.32
216,02-08-2020 03:30:00,807.6,802.3,3.21
217,02-08-2020 04:00:00,803.2,797.8,3.1
218,02-08-2020 04:30:00,796.4,790.9,2.98
219,02-08-2020 05:00:00,791.6,786.3,2.88
220,02-08-2020 05:30:00,784.2,779.1,2.7
221,02-08-2020 06:00:00,779.5,775.3,2.64
222,02-08-2020 06:30:00,773.8,769.6,2.51
223,02-08-2020 07:00:00,769,764.7,2.37
224,02-08-2020 07:30:00,765.7,760.9,2.28
225,02-08-2020 08:00:00,763.1,758.3,2.2
226,02-08-2020 08:30:00,760.5,755.7,2.13
227,02-08-2020 09:00:00,756.8,752.2,2.06
228,02-08-2020 09:30:00,756.3,751.9,2.05
229,02-08-2020 10:00:00,755.4,751.1,2.06
230,02-08-2020 10:30:00,755.4,751,2.09
231,02-08-2020 11:00:00,756,751,2.16
232,02-08-2020 11:30:00,757.4,752.9,2.24
233,02-08-2020 12:00:00,759.1,754.3,2.34
234,02-08-2020 12:30:00,760.8,756.2,2.39
235,02-08-2020 13:00:00,760.3,755.5,2.36
236,02-08-2020 13:30:00,760.2,755.8,2.39
237,02-08-2020 14:00:00,760.8,756.2,2.45
238,02-08-2020 14:30:00,761,756.1,2.49
239,02-08-2020 15:00:00,761.2,756.9,2.52
240,02-08-2020 15:30:00,762,757.3,2.54
