#,Date,Low Range,Full Range,Temp
1,06-17-2020 15:30:00,1050.2,1046,21.84
2,06-17-2020 16:00:00,1045.7,1041.3,21.85
3,06-17-2020 16:30:00,1046.7,1042.2,22.08
4,06-17-2020 17:00:00,1044.4,1039.9,22.1
5,06-17-2020 17:30:00,1045.1,1040.6,22.19
6,06-17-2020 18:00:00,1044.4,1039.8,22.23
7,06-17-2020 18:30:00,1050.8,1046.4,22.49
8,06-17-2020 19:00:00,1048.6,1044.1,22.45
9,06-17-2020 19:30:00,1049.6,1045.1,22.6
10,06-17-2020 20:00:00,1047.8,1042.9,22.53
11,06-17-2020 20:30:00,1049.5,1044.7,22.59
12,06-17-2020 21:00:00,1056,1051.1,22.78
13,06-17-2020 21:30:00,1056.1,1051.5,22.7
14,06-17-2020 22:00:00,1053.6,1049.3,22.63
15,06-17-2020 22:30:00,1051.8,1047.1,22.56
16,06-17-2020 23:00:00,1048.7,1043.7,22.45
17,06-17-2020 23:30:00,1048.3,1043.8,22.36
18,06-18-2020 00:00:00,1048.3,1043.2,22.25
19,06-18-2020 00:30:00,1048.7,1043.7,22.16
20,06-18-2020 01:00:00,1047.9,1043.4,22.04
21,06-18-2020 01:30:00,1048.6,1043.5,21.95
22,06-18-2020 02:00:00,1048.8,1043.6,21.86
23,06-18-2020 02:30:00,1048.6,1043.4,21.77
24,06-18-2020 03:00:00,1048.3,1043.1,21.66
25,06-18-2020 03:30:00,1048.8,1044,21.57
26,06-18-2020 04:00:00,1050.3,1045.2,21.47
27,06-18-2020 04:30:00,1052.8,1047.3,21.37
28,06-18-2020 05:00:00,1054.6,1049.7,21.28
29,06-18-2020 05:30:00,1055.8,1050.9,21.2
30,06-18-2020 06:00:00,1055.8,1050.6,21.13
31,06-18-2020 06:30:00,1057.1,1051.8,21.09
32,06-18-2020 07:00:00,1059,1053.4,21.05
33,06-18-2020 07:30:00,1062.2,1057.2,21.06
34,06-18-2020 08:00:00,1064.9,1059.6,21.05
