#,Date,Low Range,Full Range,Temp
1,2020-03-16 10:30:00,747.3,742.2,3.97
2,2020-03-16 11:00:00,746.5,741.1,3.93
3,2020-03-16 11:30:00,746.4,741.1,3.93
4,2020-03-16 12:00:00,747.2,742.3,3.94
5,2020-03-16 12:30:00,748.2,743.4,3.96
6,2020-03-16 13:00:00,749.4,744.5,4.01
7,2020-03-16 13:30:00,753.1,747.9,4.12
8,2020-03-16 14:00:00,756.4,751.3,4.26
9,2020-03-16 14:30:00,759.9,754.6,4.41
10,2020-03-16 15:00:00,762.4,757.6,4.5
11,2020-03-16 15:30:00,764.4,759.5,4.56
12,2020-03-16 16:00:00,766.4,761,4.64
13,2020-03-16 16:30:00,767.3,762.1,4.68
14,2020-03-16 17:00:00,769,763.6,4.75
15,2020-03-16 17:30:00,771.1,765.8,4.85
16,2020-03-16 18:00:00,773.1,767.7,4.93
17,2020-03-16 18:30:00,775.5,770.3,5.04
18,2020-03-16 19:00:00,776.8,771.4,5.1
19,2020-03-16 19:30:00,778.5,772.9,5.21
20,2020-03-16 20:00:00,780.5,775.1,5.3
21,2020-03-16 20:30:00,782.3,776.6,5.38
22,2020-03-16 21:00:00,783.9,778.4,5.46
23,2020-03-16 21:30:00,786.1,780.3,5.54
24,2020-03-16 22:00:00,788.4,782.6,5.62
25,2020-03-16 22:30:00,790.7,785.2,5.67
26,2020-03-16 23:00:00,792.4,786.3,5.7
27,2020-03-16 23:30:00,794.5,788.6,5.75
28,2020-03-17 00:00:00,795.4,789.4,5.77
29,2020-03-17 00:30:00,796.4,790.5,5.79
30,2020-03-17 01:00:00,796.7,790.9,5.76
31,2020-03-17 01:30:00,796.3,790.6,5.74
32,2020-03-17 02:00:00,794.8,788.7,5.69
33,2020-03-17 02:30:00,793.6,787.6,5.62
34,2020-03-17 03:00:00,792.9,786.8,5.57
35,2020-03-17 03:30:00,791.2,785.8,5.45
36,2020-03-17 04:00:00,789.7,783.9,5.38
37,2020-03-17 04:30:00,787.9,782.1,5.29
38,2020-03-17 05:00:00,786.4,780.6,5.2
39,2020-03-17 05:30:00,784.9,779.5,5.1
40,2020-03-17 06:00:00,783.6,777.7,5
