#,Date,Low Range,Full Range,Temp
1,12-15-2020 11:30:00,488.7,485.2,0.61
2,12-15-2020 12:00:00,488.8,485.6,0.65
3,12-15-2020 12:30:00,489.8,486.8,0.7
4,12-15-2020 13:00:00,490.9,488,0.75
5,12-15-2020 13:30:00,491.4,488,0.82
6,12-15-2020 14:00:00,491.8,488.7,0.87
7,12-15-2020 14:30:00,491.9,488.7,0.92
8,12-15-2020 15:00:00,492,489.1,0.96
9,12-15-2020 15:30:00,492.3,489.1,1
10,12-15-2020 16:00:00,493,489.9,1.01
11,12-15-2020 16:30:00,493.6,490.3,1.04
12,12-15-2020 17:00:00,493.7,490.7,1.05
13,12-15-2020 17:30:00,493.3,489.8,1.06
14,12-15-2020 18:00:00,492.9,489.4,1.06
15,12-15-2020 18:30:00,493.4,490.2,1.09
16,12-15-2020 19:00:00,493.4,490.2,1.1
17,12-15-2020 19:30:00,493.4,490.2,1.1
18,12-15-2020 20:00:00,493.3,490.2,1.1
19,12-15-2020 20:30:00,493.9,491,1.11
20,12-15-2020 21:00:00,493.4,490.2,1.11
21,12-15-2020 21:30:00,493.1,489.8,1.1
22,12-15-2020 22:00:00,493.1,489.8,1.1
23,12-15-2020 22:30:00,492.8,489.8,1.08
24,12-15-2020 23:00:00,492.8,489.4,1.08
25,12-15-2020 23:30:00,492.8,489.4,1.06
26,12-16-2020 00:00:00,492.5,489.5,1.04
27,12-16-2020 00:30:00,492.4,489.5,1.02
28,12-16-2020 01:00:00,492.9,489.9,1.02
29,12-16-2020 01:30:00,492.8,489.5,1
30,12-16-2020 02:00:00,492.8,489.5,0.99
31,12-16-2020 02:30:00,492.8,489.5,0.95
32,12-16-2020 03:00:00,492.1,489.1,0.91
33,12-16-2020 03:30:00,492.2,488.7,0.91
34,12-16-2020 04:00:00,491.8,488.7,0.87
35,12-16-2020 04:30:00,491.5,488.3,0.85
36,12-16-2020 05:00:00,491.3,488,0.81
37,12-16-2020 05:30:00,490.8,487.6,0.79
38,12-16-2020 06:00:00,490.3,487.2,0.76
39,12-16-2020 06:30:00,490.5,487.2,0.72
40,12-16-2020 07:00:00,490.3,487.2,0.7
41,12-16-2020 07:30:00,490.2,487.2,0.68
42,12-16-2020 08:00:00,489.8,486.8,0.65
43,12-16-2020 08:30:00,489.7,486.4,0.62
44,12-16-2020 09:00:00,490,486.8,0.63
45,12-16-2020 09:30:00,491.1,488,0.65
46,12-16-2020 10:00:00,492.2,488.8,0.72
47,12-16-2020 10:30:00,492.9,489.6,0.79
48,12-16-2020 11:00:00,494.3,491.2,0.85
49,12-16-2020 11:30:00,495.2,491.9,0.91
50,12-16-2020 12:00:00,496.5,493.1,1
51,12-16-2020 12:30:00,498.7,495,1.15
52,12-16-2020 13:00:00,500.5,497,1.29
53,12-16-2020 13:30:00,502.7,499.3,1.44
54,12-16-2020 14:00:00,504.3,500.9,1.57
55,12-16-2020 14:30:00,506.2,502.8,1.69
56,12-16-2020 15:00:00,507,504,1.77
57,12-16-2020 15:30:00,507.4,504.4,1.82
58,12-16-2020 16:00:00,508.5,505.1,1.91
59,12-16-2020 16:30:00,508.6,505.5,1.94
60,12-16-2020 17:00:00,508.4,505.5,1.96
61,12-16-2020 17:30:00,508.8,505.5,1.96
62,12-16-2020 18:00:00,509,505.9,1.96
63,12-16-2020 18:30:00,509.4,506.3,1.97
64,12-16-2020 19:00:00,509.7,506.7,1.98
65,12-16-2020 19:30:00,509.7,506.3,1.97
66,12-16-2020 20:00:00,510,507.1,1.99
67,12-16-2020 20:30:00,510,506.7,1.99
68,12-16-2020 21:00:00,510.1,507.1,2.03
69,12-16-2020 21:30:00,510.3,507.1,2.06
70,12-16-2020 22:00:00,510.3,507.1,2.06
71,12-16-2020 22:30:00,510.2,507.1,2.06
72,12-16-2020 23:00:00,509.5,506.3,2.06
73,12-16-2020 23:30:00,509.1,506.3,2.06
74,12-17-2020 00:00:00,508.8,505.9,2.02
75,12-17-2020 00:30:00,508.4,505.5,2.01
76,12-17-2020 01:00:00,508.1,505.1,1.97
77,12-17-2020 01:30:00,507.7,504.7,1.94
78,12-17-2020 02:00:00,507.3,503.9,1.92
79,12-17-2020 02:30:00,507.1,503.9,1.88
80,12-17-2020 03:00:00,506.9,503.6,1.84
81,12-17-2020 03:30:00,506.5,503.2,1.8
82,12-17-2020 04:00:00,506.3,503.2,1.77
83,12-17-2020 04:30:00,506,502.8,1.74
84,12-17-2020 05:00:00,505.7,502.8,1.72
85,12-17-2020 05:30:00,505.7,502.8,1.69
86,12-17-2020 06:00:00,505.4,502.5,1.65
87,12-17-2020 06:30:00,505.1,502.5,1.65
88,12-17-2020 07:00:00,505.1,502.1,1.64
89,12-17-2020 07:30:00,505.1,502.1,1.63
90,12-17-2020 08:00:00,505.1,502.1,1.62
91,12-17-2020 08:30:00,505.2,502.1,1.62
92,12-17-2020 09:00:00,505.6,502.5,1.63
93,12-17-2020 09:30:00,506.4,502.9,1.64
94,12-17-2020 10:00:00,507.3,504,1.69
95,12-17-2020 10:30:00,508.1,504.8,1.73
96,12-17-2020 11:00:00,509.7,506.8,1.83
97,12-17-2020 11:30:00,511,507.5,1.93
98,12-17-2020 12:00:00,512.4,509.1,2.01
99,12-17-2020 12:30:00,513.4,510.3,2.06
100,12-17-2020 13:00:00,514.4,511.5,2.12
101,12-17-2020 13:30:00,515.2,512.2,2.2
102,12-17-2020 14:00:00,516.5,513.4,2.25
103,12-17-2020 14:30:00,517.8,515,2.36
104,12-17-2020 15:00:00,519.3,516.2,2.43
105,12-17-2020 15:30:00,520.5,517.3,2.52
106,12-17-2020 16:00:00,521.2,518.1,2.57
107,12-17-2020 16:30:00,521.5,518.1,2.59
108,12-17-2020 17:00:00,521.5,518.1,2.59
109,12-17-2020 17:30:00,521.6,518.1,2.57
110,12-17-2020 18:00:00,521.6,518.1,2.57
111,12-17-2020 18:30:00,521.4,518.1,2.53
112,12-17-2020 19:00:00,520.9,517.7,2.51
113,12-17-2020 19:30:00,520.1,517,2.45
114,12-17-2020 20:00:00,519.4,516.2,2.4
115,12-17-2020 20:30:00,518.4,515.4,2.33
116,12-17-2020 21:00:00,517.3,514.2,2.25
117,12-17-2020 21:30:00,516.5,513.5,2.17
118,12-17-2020 22:00:00,516,512.7,2.11
119,12-17-2020 22:30:00,515.3,511.9,2.03
120,12-17-2020 23:00:00,514.1,511.2,1.93
121,12-17-2020 23:30:00,513.1,510,1.84
122,12-18-2020 00:00:00,511.9,508.9,1.75
123,12-18-2020 00:30:00,511,507.7,1.65
124,12-18-2020 01:00:00,510.1,506.9,1.57
125,12-18-2020 01:30:00,509.4,506.2,1.44
126,12-18-2020 02:00:00,508.6,505.4,1.34
127,12-18-2020 02:30:00,507.4,504.3,1.21
128,12-18-2020 03:00:00,506.3,503.1,1.11
129,12-18-2020 03:30:00,505.2,502,1.01
130,12-18-2020 04:00:00,503.1,499.2,0.91
131,12-18-2020 04:30:00,502.1,498.8,0.84
132,12-18-2020 05:00:00,501.4,498.1,0.76
133,12-18-2020 05:30:00,500,496.5,0.67
134,12-18-2020 06:00:00,498.7,494.9,0.58
135,12-18-2020 06:30:00,497.1,493.8,0.52
136,12-18-2020 07:00:00,496.6,493.4,0.47
137,12-18-2020 07:30:00,496.3,493,0.43
138,12-18-2020 08:00:00,496.4,492.6,0.41
139,12-18-2020 08:30:00,496.9,493.4,0.41
140,12-18-2020 09:00:00,496.7,493.4,0.4
141,12-18-2020 09:30:00,497.5,494.2,0.42
142,12-18-2020 10:00:00,498.6,495,0.47
143,12-18-2020 10:30:00,499.5,495.8,0.55
144,12-18-2020 11:00:00,500.3,496.5,0.61
145,12-18-2020 11:30:00,501.9,498.5,0.72
146,12-18-2020 12:00:00,503.1,499.7,0.82
147,12-18-2020 12:30:00,505.4,502.4,0.99
148,12-18-2020 13:00:00,506.7,503.2,1.05
149,12-18-2020 13:30:00,508.6,505.1,1.2
150,12-18-2020 14:00:00,510.2,507.1,1.34
151,12-18-2020 14:30:00,511,507.8,1.41
152,12-18-2020 15:00:00,512.9,509.8,1.52
153,12-18-2020 15:30:00,514.3,510.9,1.62
154,12-18-2020 16:00:00,516.1,512.9,1.7
155,12-18-2020 16:30:00,517.3,514.1,1.77
156,12-18-2020 17:00:00,518.2,515.3,1.8
157,12-18-2020 17:30:00,518.7,515.3,1.83
158,12-18-2020 18:00:00,519.4,516.1,1.88
159,12-18-2020 18:30:00,519.9,516.4,1.92
160,12-18-2020 19:00:00,520.7,517.2,1.94
161,12-18-2020 19:30:00,521.4,518,1.98
162,12-18-2020 20:00:00,522.3,519.2,2.01
163,12-18-2020 20:30:00,522.8,519.6,2.06
164,12-18-2020 21:00:00,523.2,520,2.08
165,12-18-2020 21:30:00,524,520.8,2.12
166,12-18-2020 22:00:00,524.7,521.6,2.14
167,12-18-2020 22:30:00,525.2,521.9,2.17
168,12-18-2020 23:00:00,525.7,522.3,2.18
169,12-18-2020 23:30:00,526.1,522.7,2.21
170,12-19-2020 00:00:00,526.3,522.7,2.22
171,12-19-2020 00:30:00,526.8,523.5,2.25
172,12-19-2020 01:00:00,527.1,523.9,2.25
173,12-19-2020 01:30:00,527.2,523.9,2.23
174,12-19-2020 02:00:00,527.4,523.9,2.25
175,12-19-2020 02:30:00,527.3,523.9,2.23
176,12-19-2020 03:00:00,527.5,524.3,2.22
177,12-19-2020 03:30:00,527.2,523.9,2.22
178,12-19-2020 04:00:00,527.1,523.9,2.22
179,12-19-2020 04:30:00,526.9,523.5,2.21
180,12-19-2020 05:00:00,526.8,523.5,2.21
181,12-19-2020 05:30:00,526.5,523.5,2.21
182,12-19-2020 06:00:00,526.5,523.5,2.21
183,12-19-2020 06:30:00,526.5,523.1,2.22
184,12-19-2020 07:00:00,526.4,523.1,2.22
