#,Date,Low Range,Full Range,Temp
1,03-09-2021 11:00:00,705.6,703.4,5.03
2,03-09-2021 11:30:00,706.9,704.5,5.14
3,03-09-2021 12:00:00,713.4,711.1,5.64
4,03-09-2021 12:30:00,719.9,717.6,6.17
5,03-09-2021 13:00:00,728.7,726.6,6.68
6,03-09-2021 13:30:00,738.6,736.8,7.2
7,03-09-2021 14:00:00,745.7,743.7,7.63
8,03-09-2021 14:30:00,752,750.4,7.97
9,03-09-2021 15:00:00,756.4,754.7,8.21
10,03-09-2021 15:30:00,759.5,757.4,8.35
11,03-09-2021 16:00:00,759.8,758.2,8.4
12,03-09-2021 16:30:00,759.7,758.3,8.31
13,03-09-2021 17:00:00,761.9,760.1,8.1
14,03-09-2021 17:30:00,760.2,758.3,7.8
15,03-09-2021 18:00:00,754.3,752.4,7.47
16,03-09-2021 18:30:00,746.9,744.6,7.09
17,03-09-2021 19:00:00,737.3,735.1,6.74
18,03-09-2021 19:30:00,728.1,726,6.41
19,03-09-2021 20:00:00,718.5,716,6.07
20,03-09-2021 20:30:00,709.5,707.3,5.74
21,03-09-2021 21:00:00,702,700.2,5.47
22,03-09-2021 21:30:00,696.3,693.5,5.24
23,03-09-2021 22:00:00,690.4,687.9,5.06
24,03-09-2021 22:30:00,684.1,681.5,4.91
25,03-09-2021 23:00:00,679.5,677.5,4.8
26,03-09-2021 23:30:00,675.3,673.1,4.7
27,03-10-2021 00:00:00,672,669.5,4.61
28,03-10-2021 00:30:00,670.4,667.5,4.6
29,03-10-2021 01:00:00,668.3,665.5,4.57
30,03-10-2021 01:30:00,667.6,665,4.61
31,03-10-2021 02:00:00,666.5,663.8,4.61
32,03-10-2021 02:30:00,665.4,663,4.64
33,03-10-2021 03:00:00,664.2,661.4,4.64
34,03-10-2021 03:30:00,664.6,661.8,4.64
35,03-10-2021 04:00:00,665.5,663,4.65
36,03-10-2021 04:30:00,665.9,663.4,4.67
37,03-10-2021 05:00:00,664.8,662.1,4.69
38,03-10-2021 05:30:00,664.4,661.7,4.69
39,03-10-2021 06:00:00,663.2,660.9,4.7
40,03-10-2021 06:30:00,661.7,659.3,4.7
41,03-10-2021 07:00:00,660.9,658.5,4.7
42,03-10-2021 07:30:00,660.4,657.7,4.72
43,03-10-2021 08:00:00,660.6,658.4,4.76
44,03-10-2021 08:30:00,660.5,658.4,4.84
45,03-10-2021 09:00:00,661.8,659.5,4.99
46,03-10-2021 09:30:00,663.4,660.6,5.13
47,03-10-2021 10:00:00,664.6,662.2,5.22
48,03-10-2021 10:30:00,666.9,664.5,5.38
49,03-10-2021 11:00:00,669,666.8,5.57
50,03-10-2021 11:30:00,672,670,5.72
51,03-10-2021 12:00:00,678.1,675.8,6.02
52,03-10-2021 12:30:00,683.6,681.3,6.37
53,03-10-2021 13:00:00,685.8,684,6.59
54,03-10-2021 13:30:00,687.3,685,6.76
55,03-10-2021 14:00:00,686.6,685,6.81
56,03-10-2021 14:30:00,686.6,685,6.84
57,03-10-2021 15:00:00,684.9,682.9,6.9
58,03-10-2021 15:30:00,683.8,681.7,6.9
59,03-10-2021 16:00:00,681.8,679.7,6.88
60,03-10-2021 16:30:00,677.2,674.9,6.81
61,03-10-2021 17:00:00,674.4,671.7,6.75
62,03-10-2021 17:30:00,671.5,669.3,6.65
63,03-10-2021 18:00:00,666.6,664.1,6.55
64,03-10-2021 18:30:00,661.1,658.9,6.39
65,03-10-2021 19:00:00,656.5,654.2,6.26
66,03-10-2021 19:30:00,651.3,649.4,6.15
67,03-10-2021 20:00:00,648.3,646.2,6.06
68,03-10-2021 20:30:00,646.3,643.8,6.01
69,03-10-2021 21:00:00,644.4,642.6,6
70,03-10-2021 21:30:00,641.7,639.3,6.03
71,03-10-2021 22:00:00,641.5,639.7,6.1
72,03-10-2021 22:30:00,640.8,638.4,6.16
73,03-10-2021 23:00:00,640.5,638.4,6.23
74,03-10-2021 23:30:00,661,659.1,6.2
75,03-11-2021 00:00:00,651.6,649.4,6.1
76,03-11-2021 00:30:00,655.9,653.5,6.01
77,03-11-2021 01:00:00,657,654.4,5.91
78,03-11-2021 01:30:00,654,652.5,5.76
79,03-11-2021 02:00:00,656.3,654.2,5.56
80,03-11-2021 02:30:00,660,658.1,5.32
81,03-11-2021 03:00:00,654.9,652.6,5.05
82,03-11-2021 03:30:00,643.8,641.4,4.77
83,03-11-2021 04:00:00,627.1,624.5,4.51
84,03-11-2021 04:30:00,608.5,606,4.28
85,03-11-2021 05:00:00,593.6,591.2,4.08
86,03-11-2021 05:30:00,584.3,582,3.89
87,03-11-2021 06:00:00,578.7,576.4,3.77
88,03-11-2021 06:30:00,575.3,573.2,3.68
89,03-11-2021 07:00:00,569.8,567.6,3.59
90,03-11-2021 07:30:00,566.2,564,3.57
91,03-11-2021 08:00:00,563.9,561.6,3.55
92,03-11-2021 08:30:00,562.8,560.7,3.6
93,03-11-2021 09:00:00,563.9,561.5,3.71
94,03-11-2021 09:30:00,564.7,562.6,3.84
95,03-11-2021 10:00:00,569.6,567.7,4.1
96,03-11-2021 10:30:00,572,570,4.31
97,03-11-2021 11:00:00,576.5,574.3,4.57
98,03-11-2021 11:30:00,583.3,581,4.9
99,03-11-2021 12:00:00,588.9,586.4,5.2
100,03-11-2021 12:30:00,593.1,591.1,5.44
101,03-11-2021 13:00:00,598.7,596.6,5.78
102,03-11-2021 13:30:00,605.2,603.2,6.18
103,03-11-2021 14:00:00,611.8,609.4,6.56
104,03-11-2021 14:30:00,615.5,613.7,6.88
105,03-11-2021 15:00:00,618,616.4,7.08
106,03-11-2021 15:30:00,621,619.1,7.23
107,03-11-2021 16:00:00,621.9,619.9,7.25
108,03-11-2021 16:30:00,619.9,617.9,7.18
109,03-11-2021 17:00:00,615.5,613.6,7
110,03-11-2021 17:30:00,611.2,609.3,6.76
111,03-11-2021 18:00:00,606.2,604.2,6.54
112,03-11-2021 18:30:00,603.2,602.3,6.32
113,03-11-2021 19:00:00,597.1,596.4,6.1
114,03-11-2021 19:30:00,590.6,588.8,5.88
115,03-11-2021 20:00:00,585,583.3,5.66
116,03-11-2021 20:30:00,579.3,579.8,5.43
117,03-11-2021 21:00:00,573.4,574.7,5.2
118,03-11-2021 21:30:00,566.7,564.8,4.96
119,03-11-2021 22:00:00,562.1,560.1,4.74
120,03-11-2021 22:30:00,558.8,557,4.52
121,03-11-2021 23:00:00,555.5,553.8,4.36
122,03-11-2021 23:30:00,551.6,549.5,4.23
123,03-12-2021 00:00:00,547.6,545.9,4.1
124,03-12-2021 00:30:00,543.8,542.3,3.99
125,03-12-2021 01:00:00,541.9,540,3.91
126,03-12-2021 01:30:00,539.6,537.2,3.81
127,03-12-2021 02:00:00,536.4,534,3.74
128,03-12-2021 02:30:00,534,532,3.68
129,03-12-2021 03:00:00,532.6,530,3.63
130,03-12-2021 03:30:00,531.3,529.3,3.57
131,03-12-2021 04:00:00,530.5,528.1,3.5
132,03-12-2021 04:30:00,529.6,527.3,3.47
133,03-12-2021 05:00:00,528.1,525.7,3.42
134,03-12-2021 05:30:00,526.7,524.1,3.37
135,03-12-2021 06:00:00,525.7,523.3,3.3
136,03-12-2021 06:30:00,525,523,3.24
137,03-12-2021 07:00:00,524.4,521.8,3.21
138,03-12-2021 07:30:00,524.1,521.4,3.18
139,03-12-2021 08:00:00,525.2,523,3.23
140,03-12-2021 08:30:00,528.7,526.1,3.35
141,03-12-2021 09:00:00,532.9,530.9,3.55
142,03-12-2021 09:30:00,537.4,535.6,3.83
143,03-12-2021 10:00:00,542.9,541,4.15
144,03-12-2021 10:30:00,548.5,546.5,4.54
145,03-12-2021 11:00:00,554.9,553.1,4.96
146,03-12-2021 11:30:00,559.9,558.1,5.39
147,03-12-2021 12:00:00,565,563,5.86
148,03-12-2021 12:30:00,570.1,568.4,6.35
149,03-12-2021 13:00:00,574.9,573,6.75
