#,Date,Low Range,Full Range,Temp
1,10-30-2020 12:00:00,505.3,502.9,4.6
2,10-30-2020 12:30:00,507.5,504.9,4.72
3,10-30-2020 13:00:00,509.5,506.8,4.86
4,10-30-2020 13:30:00,512.1,509.5,5.08
5,10-30-2020 14:00:00,514.5,512.2,5.25
6,10-30-2020 14:30:00,516.4,514.1,5.43
7,10-30-2020 15:00:00,519.1,516.5,5.62
8,10-30-2020 15:30:00,520.9,518.4,5.77
9,10-30-2020 16:00:00,522.1,519.5,5.88
10,10-30-2020 16:30:00,522.8,520.3,5.97
11,10-30-2020 17:00:00,524,521.4,6.06
12,10-30-2020 17:30:00,524.3,521.8,6.11
13,10-30-2020 18:00:00,525,522.2,6.17
14,10-30-2020 18:30:00,525.5,523.4,6.2
15,10-30-2020 19:00:00,524.9,522.6,6.18
16,10-30-2020 19:30:00,524.4,522.2,6.13
17,10-30-2020 20:00:00,523.5,521,6.1
18,10-30-2020 20:30:00,523.2,520.6,6.06
19,10-30-2020 21:00:00,522.1,519.5,5.97
20,10-30-2020 21:30:00,521.2,518.7,5.89
21,10-30-2020 22:00:00,520.1,517.6,5.81
22,10-30-2020 22:30:00,519.1,516.4,5.73
23,10-30-2020 23:00:00,518.4,516,5.68
24,10-30-2020 23:30:00,517.9,515.2,5.62
25,10-31-2020 00:00:00,516.7,514.5,5.54
26,10-31-2020 00:30:00,515.7,513.3,5.48
27,10-31-2020 01:00:00,515.1,512.9,5.4
28,10-31-2020 01:30:00,513.9,511.8,5.32
29,10-31-2020 02:00:00,513.3,510.6,5.25
30,10-31-2020 02:30:00,512,509.5,5.17
31,10-31-2020 03:00:00,510.7,507.9,5.06
32,10-31-2020 03:30:00,508.9,506.4,4.94
33,10-31-2020 04:00:00,507.9,505.2,4.86
34,10-31-2020 04:30:00,506.1,503.6,4.77
35,10-31-2020 05:00:00,505.7,503.7,4.67
36,10-31-2020 05:30:00,505.3,502.9,4.59
37,10-31-2020 06:00:00,503.5,501,4.47
38,10-31-2020 06:30:00,502,499.4,4.37
39,10-31-2020 07:00:00,501.3,498.7,4.28
40,10-31-2020 07:30:00,499.5,496.7,4.16
41,10-31-2020 08:00:00,499.2,496.7,4.11
42,10-31-2020 08:30:00,532.7,546.7,4.03
43,10-31-2020 09:00:00,497.7,495.2,3.98
44,10-31-2020 09:30:00,496.5,493.6,3.92
45,10-31-2020 10:00:00,495.6,492.8,3.89
46,10-31-2020 10:30:00,495.3,492.4,3.91
47,10-31-2020 11:00:00,497.8,494.8,3.98
48,10-31-2020 11:30:00,498.9,496.4,4.07
49,10-31-2020 12:00:00,502.1,499.5,4.25
50,10-31-2020 12:30:00,504.2,501.8,4.46
51,10-31-2020 13:00:00,508.6,506.1,4.72
52,10-31-2020 13:30:00,512.2,509.6,4.99
53,10-31-2020 14:00:00,514.9,512.2,5.3
54,10-31-2020 14:30:00,519.2,516.5,5.57
55,10-31-2020 15:00:00,522.7,520.4,5.84
56,10-31-2020 15:30:00,525.7,523,6.1
57,10-31-2020 16:00:00,529.6,527.3,6.39
58,10-31-2020 16:30:00,533.4,530.8,6.56
59,10-31-2020 17:00:00,535.1,532.4,6.69
60,10-31-2020 17:30:00,536.6,534.3,6.84
61,10-31-2020 18:00:00,538.5,536.6,6.99
62,10-31-2020 18:30:00,540.8,538.6,7.09
63,10-31-2020 19:00:00,541.9,539.7,7.17
64,10-31-2020 19:30:00,543.3,540.9,7.22
65,10-31-2020 20:00:00,544.4,542.1,7.28
