#,Date,Low Range,Full Range,Temp
1,08-26-2020 11:00:00,487.6,486.6,26.15
2,08-26-2020 11:30:00,488.5,487.2,26.31
3,08-26-2020 12:00:00,489.7,488.6,26.48
4,08-26-2020 12:30:00,491,489.7,26.66
5,08-26-2020 13:00:00,492.5,491.5,26.87
6,08-26-2020 13:30:00,493.7,492.5,27.04
7,08-26-2020 14:00:00,494.5,493.6,27.2
8,08-26-2020 14:30:00,496,494.6,27.34
9,08-26-2020 15:00:00,497.1,495.7,27.49
10,08-26-2020 15:30:00,498.2,496.7,27.6
11,08-26-2020 16:00:00,499,497.8,27.67
12,08-26-2020 16:30:00,499.5,497.8,27.74
13,08-26-2020 17:00:00,500.1,498.9,27.79
14,08-26-2020 17:30:00,500.4,498.9,27.82
15,08-26-2020 18:00:00,500.8,499.6,27.8
16,08-26-2020 18:30:00,500.4,498.9,27.76
17,08-26-2020 19:00:00,500.3,498.6,27.68
18,08-26-2020 19:30:00,499.7,498.2,27.61
19,08-26-2020 20:00:00,499.2,497.9,27.54
20,08-26-2020 20:30:00,498.5,497.2,27.45
21,08-26-2020 21:00:00,497.9,496.5,27.37
22,08-26-2020 21:30:00,497.5,495.8,27.28
23,08-26-2020 22:00:00,496.7,495.1,27.2
24,08-26-2020 22:30:00,496,494.7,27.09
25,08-26-2020 23:00:00,495.5,494,27
26,08-26-2020 23:30:00,494.9,493.7,26.9
27,08-27-2020 00:00:00,494.3,493,26.81
28,08-27-2020 00:30:00,493.8,492.7,26.72
29,08-27-2020 01:00:00,493.4,492,26.65
30,08-27-2020 01:30:00,492.9,491.6,26.56
31,08-27-2020 02:00:00,492.3,490.9,26.49
32,08-27-2020 02:30:00,491.9,490.9,26.42
33,08-27-2020 03:00:00,491.5,490.2,26.34
34,08-27-2020 03:30:00,491,489.5,26.28
35,08-27-2020 04:00:00,490.8,489.5,26.21
36,08-27-2020 04:30:00,490.5,489.2,26.16
37,08-27-2020 05:00:00,490.3,488.8,26.1
38,08-27-2020 05:30:00,489.8,488.9,26.04
39,08-27-2020 06:00:00,489.7,488.2,25.98
40,08-27-2020 06:30:00,489.5,487.8,25.92
41,08-27-2020 07:00:00,489.4,487.8,25.88
42,08-27-2020 07:30:00,489,487.9,25.83
43,08-27-2020 08:00:00,488.8,487.5,25.8
44,08-27-2020 08:30:00,489.4,488.2,25.81
45,08-27-2020 09:00:00,491.8,490.9,25.83
46,08-27-2020 09:30:00,489,487.8,25.89
47,08-27-2020 10:00:00,489.6,487.8,25.98
48,08-27-2020 10:30:00,490.3,489.2,26.09
49,08-27-2020 11:00:00,491.3,489.9,26.27
50,08-27-2020 11:30:00,492.7,491.7,26.38
51,08-27-2020 12:00:00,493.1,492,26.51
52,08-27-2020 12:30:00,495,493.8,26.67
53,08-27-2020 13:00:00,496.9,495.2,26.89
54,08-27-2020 13:30:00,496.3,494.7,27.07
55,08-27-2020 14:00:00,498.5,496.9,27.26
56,08-27-2020 14:30:00,498.4,496.8,27.45
57,08-27-2020 15:00:00,500.6,499,27.6
58,08-27-2020 15:30:00,501,499.3,27.73
59,08-27-2020 16:00:00,503.2,501.5,27.85
60,08-27-2020 16:30:00,502.8,501.4,27.95
61,08-27-2020 17:00:00,503.6,501.8,27.99
62,08-27-2020 17:30:00,503.8,502.2,28.02
63,08-27-2020 18:00:00,504,502.5,28.04
64,08-27-2020 18:30:00,503.4,502.2,27.99
65,08-27-2020 19:00:00,503,501.5,27.94
66,08-27-2020 19:30:00,502.3,500.7,27.85
67,08-27-2020 20:00:00,502.2,500.8,27.76
68,08-27-2020 20:30:00,501.2,499.7,27.68
69,08-27-2020 21:00:00,500.2,498.7,27.51
70,08-27-2020 21:30:00,499.2,497.6,27.32
71,08-27-2020 22:00:00,491.2,489.8,27.18
72,08-27-2020 22:30:00,505.6,503.9,26.87
73,08-27-2020 23:00:00,508.1,506.2,26.82
74,08-27-2020 23:30:00,503.3,502,26.85
75,08-28-2020 00:00:00,498.1,496.4,26.85
76,08-28-2020 00:30:00,494.9,493,26.81
77,08-28-2020 01:00:00,494.8,493.8,26.76
78,08-28-2020 01:30:00,493.8,492.7,26.72
79,08-28-2020 02:00:00,493.6,492.3,26.68
80,08-28-2020 02:30:00,493.2,491.9,26.66
81,08-28-2020 03:00:00,492.8,491.2,26.64
82,08-28-2020 03:30:00,492.8,491.2,26.59
83,08-28-2020 04:00:00,492.2,490.9,26.54
84,08-28-2020 04:30:00,491.6,490.1,26.5
85,08-28-2020 05:00:00,492.2,490.5,26.47
86,08-28-2020 05:30:00,490.8,489.4,26.43
87,08-28-2020 06:00:00,490.6,489.1,26.39
88,08-28-2020 06:30:00,491.4,489.8,26.36
89,08-28-2020 07:00:00,490.6,489.1,26.32
90,08-28-2020 07:30:00,490,488.8,26.27
91,08-28-2020 08:00:00,488.9,487.6,26.23
