#,Date,Low Range,Full Range,Temp
1,12-15-2020 13:30:00,321.5,318.4,2.7
2,12-15-2020 14:00:00,322.1,319.5,2.77
3,12-15-2020 14:30:00,322.3,319.5,2.82
4,12-15-2020 15:00:00,322.3,319.5,2.84
5,12-15-2020 15:30:00,322.4,319.5,2.84
6,12-15-2020 16:00:00,322.1,319.5,2.83
7,12-15-2020 16:30:00,322.4,319.5,2.8
8,12-15-2020 17:00:00,322.2,319.5,2.77
9,12-15-2020 17:30:00,321.5,318.8,2.72
10,12-15-2020 18:00:00,321.3,318.4,2.71
11,12-15-2020 18:30:00,320.8,318,2.68
12,12-15-2020 19:00:00,320.4,317.7,2.65
13,12-15-2020 19:30:00,320.3,317.7,2.61
14,12-15-2020 20:00:00,320.3,317.3,2.6
15,12-15-2020 20:30:00,320.1,317.7,2.57
16,12-15-2020 21:00:00,319.7,316.6,2.56
17,12-15-2020 21:30:00,319.5,316.9,2.55
18,12-15-2020 22:00:00,319.6,316.6,2.54
19,12-15-2020 22:30:00,319.7,317,2.54
20,12-15-2020 23:00:00,319.4,316.6,2.55
21,12-15-2020 23:30:00,318.8,316.2,2.51
22,12-16-2020 00:00:00,318.9,316.2,2.49
23,12-16-2020 00:30:00,318.3,315.5,2.43
24,12-16-2020 01:00:00,317.7,315.1,2.4
25,12-16-2020 01:30:00,317.9,315.1,2.37
26,12-16-2020 02:00:00,318.3,315.5,2.39
27,12-16-2020 02:30:00,318.5,315.5,2.39
28,12-16-2020 03:00:00,318,315.1,2.38
29,12-16-2020 03:30:00,318.3,315.5,2.42
30,12-16-2020 04:00:00,318.4,315.5,2.42
31,12-16-2020 04:30:00,318.7,315.5,2.44
32,12-16-2020 05:00:00,318.2,315.1,2.38
33,12-16-2020 05:30:00,317.5,314.7,2.32
34,12-16-2020 06:00:00,316.9,314,2.26
35,12-16-2020 06:30:00,316.4,313.6,2.22
36,12-16-2020 07:00:00,315.8,312.9,2.14
37,12-16-2020 07:30:00,315.1,312.1,2.06
38,12-16-2020 08:00:00,314.7,311.8,2.04
39,12-16-2020 08:30:00,314.5,311.8,2.01
40,12-16-2020 09:00:00,314.6,311.8,2.01
41,12-16-2020 09:30:00,315.5,312.9,2.07
42,12-16-2020 10:00:00,315.8,312.9,2.14
43,12-16-2020 10:30:00,317,314,2.22
44,12-16-2020 11:00:00,317.5,314.7,2.32
45,12-16-2020 11:30:00,318.7,315.8,2.46
46,12-16-2020 12:00:00,319.5,316.9,2.59
47,12-16-2020 12:30:00,319.7,317.3,2.62
48,12-16-2020 13:00:00,320.1,317.3,2.65
49,12-16-2020 13:30:00,320.8,318,2.71
50,12-16-2020 14:00:00,321.7,318.4,2.77
51,12-16-2020 14:30:00,322.3,319.5,2.83
52,12-16-2020 15:00:00,322.4,319.5,2.84
53,12-16-2020 15:30:00,322.6,319.5,2.87
54,12-16-2020 16:00:00,322.6,319.5,2.87
55,12-16-2020 16:30:00,322.8,320.3,2.84
56,12-16-2020 17:00:00,322.6,319.5,2.84
57,12-16-2020 17:30:00,322.6,319.5,2.84
58,12-16-2020 18:00:00,322.3,319.5,2.83
59,12-16-2020 18:30:00,322.4,319.5,2.82
60,12-16-2020 19:00:00,322.4,319.5,2.82
61,12-16-2020 19:30:00,322.5,319.5,2.84
62,12-16-2020 20:00:00,322.7,319.9,2.85
63,12-16-2020 20:30:00,322.7,319.9,2.88
64,12-16-2020 21:00:00,323.3,320.6,2.91
65,12-16-2020 21:30:00,323.7,321,2.98
66,12-16-2020 22:00:00,324,321.4,2.99
67,12-16-2020 22:30:00,324,321.4,3.04
68,12-16-2020 23:00:00,324.5,321.4,3.05
69,12-16-2020 23:30:00,324.4,321.4,3.06
70,12-17-2020 00:00:00,324.8,322.1,3.09
