#,Date,Low Range,Full Range,Temp
1,12-19-2019 00:00:00,292.8,294.7,0.39
2,12-19-2019 00:30:00,292.6,294.7,0.38
3,12-19-2019 01:00:00,292.9,294.7,0.38
4,12-19-2019 01:30:00,293.3,295.5,0.38
5,12-19-2019 02:00:00,294.1,295.9,0.38
6,12-19-2019 02:30:00,294.4,296.2,0.38
7,12-19-2019 03:00:00,294.5,296.6,0.33
8,12-19-2019 03:30:00,294.5,296.6,0.32
9,12-19-2019 04:00:00,294.6,296.6,0.35
10,12-19-2019 04:30:00,294.6,296.6,0.38
11,12-19-2019 05:00:00,293.2,295.1,0.36
12,12-19-2019 05:30:00,292,294,0.33
13,12-19-2019 06:00:00,292,294,0.32
14,12-19-2019 06:30:00,291.5,293.2,0.3
15,12-19-2019 07:00:00,292.1,294,0.28
16,12-19-2019 07:30:00,292,293.6,0.25
17,12-19-2019 08:00:00,292.1,294,0.19
18,12-19-2019 08:30:00,292.6,294.4,0.14
19,12-19-2019 09:00:00,293.1,294.8,0.14
20,12-19-2019 09:30:00,293.1,294.8,0.19
21,12-19-2019 10:00:00,292.9,294.4,0.25
22,12-19-2019 10:30:00,292.6,294.4,0.31
23,12-19-2019 11:00:00,293.4,295.1,0.36
24,12-19-2019 11:30:00,293.6,295.5,0.38
25,12-19-2019 12:00:00,294.4,295.9,0.42
26,12-19-2019 12:30:00,294.6,296.6,0.48
27,12-19-2019 13:00:00,294.7,296.6,0.54
28,12-19-2019 13:30:00,294.7,296.6,0.59
29,12-19-2019 14:00:00,294.7,296.5,0.64
30,12-19-2019 14:30:00,294.6,296.2,0.66
31,12-19-2019 15:00:00,294.6,296.2,0.67
32,12-19-2019 15:30:00,294.4,295.8,0.69
33,12-19-2019 16:00:00,294.1,295.8,0.67
34,12-19-2019 16:30:00,293.8,295.8,0.66
35,12-19-2019 17:00:00,293.4,295,0.64
36,12-19-2019 17:30:00,293.1,294.6,0.63
37,12-19-2019 18:00:00,292.9,294.6,0.61
38,12-19-2019 18:30:00,292.7,294.7,0.6
39,12-19-2019 19:00:00,292.6,294.3,0.59
40,12-19-2019 19:30:00,292.5,294.3,0.58
41,12-19-2019 20:00:00,292.6,294.3,0.55
42,12-19-2019 20:30:00,292.5,293.9,0.55
43,12-19-2019 21:00:00,292.3,293.9,0.55
44,12-19-2019 21:30:00,292.3,293.9,0.54
45,12-19-2019 22:00:00,292.1,293.9,0.54
46,12-19-2019 22:30:00,292.1,293.9,0.53
47,12-19-2019 23:00:00,292.3,294.3,0.53
48,12-19-2019 23:30:00,292,293.9,0.53
49,12-20-2019 00:00:00,291.8,293.5,0.52
50,12-20-2019 00:30:00,291.7,293.2,0.5
51,12-20-2019 01:00:00,291.5,293.2,0.48
52,12-20-2019 01:30:00,291.6,293.2,0.47
53,12-20-2019 02:00:00,291.4,292.8,0.45
54,12-20-2019 02:30:00,291.2,292.8,0.44
55,12-20-2019 03:00:00,291.2,293.2,0.42
56,12-20-2019 03:30:00,291.2,292.8,0.41
57,12-20-2019 04:00:00,291.1,292.8,0.41
