#,Date,Low Range,Full Range,Temp
1,02-04-2020 15:00:00,309.3,309,1.25
2,02-04-2020 15:30:00,308.8,308.6,1.22
3,02-04-2020 16:00:00,308,307.9,1.15
4,02-04-2020 16:30:00,307.4,307.1,1.05
5,02-04-2020 17:00:00,306.5,306.4,0.95
6,02-04-2020 17:30:00,305.7,305.3,0.88
7,02-04-2020 18:00:00,305.2,304.9,0.81
8,02-04-2020 18:30:00,304.7,304.5,0.75
9,02-04-2020 19:00:00,304.4,304.2,0.73
10,02-04-2020 19:30:00,304.4,303.8,0.72
11,02-04-2020 20:00:00,304.7,304.2,0.73
12,02-04-2020 20:30:00,304.8,304.9,0.75
13,02-04-2020 21:00:00,304.8,304.5,0.73
14,02-04-2020 21:30:00,304.8,304.9,0.73
15,02-04-2020 22:00:00,304.9,304.6,0.71
16,02-04-2020 22:30:00,304.8,304.5,0.72
17,02-04-2020 23:00:00,304.7,304.2,0.69
18,02-04-2020 23:30:00,304.4,303.8,0.67
19,02-05-2020 00:00:00,304.1,303.8,0.66
20,02-05-2020 00:30:00,304.2,303.8,0.61
21,02-05-2020 01:00:00,304.1,303.4,0.63
22,02-05-2020 01:30:00,303.9,303.4,0.61
23,02-05-2020 02:00:00,303.8,303.4,0.58
24,02-05-2020 02:30:00,303.8,303.4,0.58
25,02-05-2020 03:00:00,303.9,303.5,0.56
26,02-05-2020 03:30:00,303.7,303.1,0.56
27,02-05-2020 04:00:00,303.4,303.1,0.55
28,02-05-2020 04:30:00,302.9,302.7,0.49
29,02-05-2020 05:00:00,303,302.7,0.48
30,02-05-2020 05:30:00,303.1,302.7,0.5
31,02-05-2020 06:00:00,303.8,303.5,0.5
32,02-05-2020 06:30:00,303.5,303.1,0.49
33,02-05-2020 07:00:00,303.7,303.1,0.52
34,02-05-2020 07:30:00,303.7,303.5,0.5
35,02-05-2020 08:00:00,303.5,303.1,0.5
36,02-05-2020 08:30:00,304,303.5,0.52
37,02-05-2020 09:00:00,304.3,303.8,0.55
38,02-05-2020 09:30:00,304.5,303.8,0.61
39,02-05-2020 10:00:00,305.1,304.2,0.66
40,02-05-2020 10:30:00,305.8,305.3,0.73
41,02-05-2020 11:00:00,306.4,306,0.82
42,02-05-2020 11:30:00,306.8,306.4,0.86
43,02-05-2020 12:00:00,307.6,307.5,0.95
44,02-05-2020 12:30:00,308.6,308.3,1.03
45,02-05-2020 13:00:00,308.7,308.2,1.1
46,02-05-2020 13:30:00,309.3,308.6,1.15
47,02-05-2020 14:00:00,309.3,309,1.17
48,02-05-2020 14:30:00,309.6,309,1.21
49,02-05-2020 15:00:00,309.9,309.4,1.21
50,02-05-2020 15:30:00,309.6,309,1.17
51,02-05-2020 16:00:00,309,308.6,1.14
52,02-05-2020 16:30:00,308.6,308.3,1.09
53,02-05-2020 17:00:00,308.1,307.9,1.03
54,02-05-2020 17:30:00,307.9,307.1,0.99
55,02-05-2020 18:00:00,307.8,307.2,0.92
56,02-05-2020 18:30:00,307.4,306.8,0.89
57,02-05-2020 19:00:00,307.4,307.2,0.86
58,02-05-2020 19:30:00,306.8,306,0.82
59,02-05-2020 20:00:00,306.9,306,0.81
60,02-05-2020 20:30:00,306.5,306.1,0.8
61,02-05-2020 21:00:00,306.3,306.1,0.78
