#,Date,Low Range,Full Range,Temp
1,07-22-2020 12:00:00,500.9,500.6,26.06
2,07-22-2020 12:30:00,502.2,501.2,26.23
3,07-22-2020 13:00:00,502.7,501.9,26.44
4,07-22-2020 13:30:00,505.1,503.7,26.65
5,07-22-2020 14:00:00,506.3,505.1,26.82
6,07-22-2020 14:30:00,507.6,506.1,27.03
7,07-22-2020 15:00:00,508.1,506.8,27.18
8,07-22-2020 15:30:00,507.8,506.3,27.31
9,07-22-2020 16:00:00,509.7,508.5,27.44
10,07-22-2020 16:30:00,509.9,508.9,27.51
11,07-22-2020 17:00:00,509.4,508.5,27.56
12,07-22-2020 17:30:00,509.1,507.7,27.56
13,07-22-2020 18:00:00,507.4,506.6,27.52
14,07-22-2020 18:30:00,507.1,505.9,27.46
15,07-22-2020 19:00:00,506.1,505.2,27.34
16,07-22-2020 19:30:00,504.3,504.1,27.17
17,07-22-2020 20:00:00,505.6,505.3,27.03
18,07-22-2020 20:30:00,502.1,501.6,26.9
19,07-22-2020 21:00:00,501.4,501,26.77
20,07-22-2020 21:30:00,500.7,500.6,26.64
21,07-22-2020 22:00:00,500.5,500.3,26.53
22,07-22-2020 22:30:00,499.1,498.1,26.4
23,07-22-2020 23:00:00,500.4,499.7,26.28
24,07-22-2020 23:30:00,498.4,497.9,26.16
25,07-23-2020 00:00:00,497.2,495.7,26.05
26,07-23-2020 00:30:00,499,498.7,25.95
27,07-23-2020 01:00:00,495.2,493.9,25.87
28,07-23-2020 01:30:00,494.9,493.9,25.78
29,07-23-2020 02:00:00,493.9,492.8,25.7
30,07-23-2020 02:30:00,493.9,492.9,25.63
31,07-23-2020 03:00:00,492.3,491.4,25.55
32,07-23-2020 03:30:00,492.5,491.4,25.45
33,07-23-2020 04:00:00,491.9,490.7,25.38
34,07-23-2020 04:30:00,491.6,490.4,25.32
35,07-23-2020 05:00:00,491.2,490,25.27
36,07-23-2020 05:30:00,490.7,489.7,25.21
37,07-23-2020 06:00:00,491.4,490.5,25.16
38,07-23-2020 06:30:00,489.2,488.2,25.11
39,07-23-2020 07:00:00,490.4,489.4,25.08
40,07-23-2020 07:30:00,487.3,487.5,25.04
41,07-23-2020 08:00:00,488.9,487.9,25.04
42,07-23-2020 08:30:00,489.8,489.4,25.03
43,07-23-2020 09:00:00,488.6,487.9,25.04
44,07-23-2020 09:30:00,488,487.5,25.08
45,07-23-2020 10:00:00,488.7,487.4,25.16
46,07-23-2020 10:30:00,487,487,25.2
47,07-23-2020 11:00:00,487.4,487.8,25.21
48,07-23-2020 11:30:00,489.1,487.7,25.33
49,07-23-2020 12:00:00,490.6,489.5,25.52
50,07-23-2020 12:30:00,490.9,490.2,25.64
51,07-23-2020 13:00:00,491.7,490.5,25.73
52,07-23-2020 13:30:00,492.8,491.6,25.97
53,07-23-2020 14:00:00,491.3,490.8,26.03
54,07-23-2020 14:30:00,494.6,493.7,26.11
55,07-23-2020 15:00:00,494.9,493.7,26.25
56,07-23-2020 15:30:00,495.1,493.6,26.32
57,07-23-2020 16:00:00,495.2,493.9,26.49
58,07-23-2020 16:30:00,495.8,495,26.62
59,07-23-2020 17:00:00,496.5,495.7,26.72
60,07-23-2020 17:30:00,495.1,494.2,26.76
61,07-23-2020 18:00:00,497,496,26.77
62,07-23-2020 18:30:00,498,496.8,26.75
63,07-23-2020 19:00:00,495.5,494.5,26.75
64,07-23-2020 19:30:00,503.2,502.1,26.72
65,07-23-2020 20:00:00,496.6,495.3,26.66
66,07-23-2020 20:30:00,495.7,494.6,26.6
67,07-23-2020 21:00:00,493.9,492.8,26.53
68,07-23-2020 21:30:00,492.1,491.3,26.44
69,07-23-2020 22:00:00,491.8,491,26.34
70,07-23-2020 22:30:00,490.9,489.9,26.26
71,07-23-2020 23:00:00,489.8,489.2,26.15
72,07-23-2020 23:30:00,489,488.5,26.05
73,07-24-2020 00:00:00,488.5,488.2,25.94
74,07-24-2020 00:30:00,488.4,487.8,25.84
75,07-24-2020 01:00:00,488.4,487.9,25.76
76,07-24-2020 01:30:00,487.9,487.6,25.67
77,07-24-2020 02:00:00,487.4,486.8,25.59
78,07-24-2020 02:30:00,487.2,486.9,25.5
79,07-24-2020 03:00:00,487,486.9,25.43
80,07-24-2020 03:30:00,486.9,487,25.36
81,07-24-2020 04:00:00,486.8,486.6,25.28
82,07-24-2020 04:30:00,486.5,486.7,25.22
83,07-24-2020 05:00:00,486.9,486.7,25.17
84,07-24-2020 05:30:00,487.1,487.5,25.1
85,07-24-2020 06:00:00,487.5,487.5,25.04
86,07-24-2020 06:30:00,487.4,487.5,24.98
87,07-24-2020 07:00:00,487.5,487.6,24.94
88,07-24-2020 07:30:00,487.8,487.9,24.92
89,07-24-2020 08:00:00,488.1,488.3,24.91
90,07-24-2020 08:30:00,488.2,488.3,24.93
91,07-24-2020 09:00:00,496.4,496.6,25
92,07-24-2020 09:30:00,491.3,491.3,25.09
93,07-24-2020 10:00:00,507.2,511.6,25.22
94,07-24-2020 10:30:00,488.2,489.2,25.37
95,07-24-2020 11:00:00,488.9,490.3,25.54
96,07-24-2020 11:30:00,489.2,490.9,25.72
97,07-24-2020 12:00:00,490.6,492.3,25.93
98,07-24-2020 12:30:00,492,493.7,26.16
99,07-24-2020 13:00:00,493,495.1,26.38
100,07-24-2020 13:30:00,496.1,498,26.57
101,07-24-2020 14:00:00,497.5,499.8,26.81
102,07-24-2020 14:30:00,499.5,501.5,27.06
103,07-24-2020 15:00:00,502.1,504.1,27.24
104,07-24-2020 15:30:00,504,505.5,27.42
105,07-24-2020 16:00:00,509.4,511.1,27.57
106,07-24-2020 16:30:00,506.5,508.4,27.71
107,07-24-2020 17:00:00,507.2,509.5,27.8
108,07-24-2020 17:30:00,508.7,510.9,27.9
109,07-24-2020 18:00:00,508.2,510.5,27.93
110,07-24-2020 18:30:00,507.3,510.1,27.94
111,07-24-2020 19:00:00,506.8,509.4,27.89
112,07-24-2020 19:30:00,505.9,508.7,27.84
113,07-24-2020 20:00:00,505.9,508.3,27.78
114,07-24-2020 20:30:00,509.1,512.2,27.7
115,07-24-2020 21:00:00,506.9,509.6,27.62
116,07-24-2020 21:30:00,505.7,508.5,27.51
117,07-24-2020 22:00:00,503.9,507,27.37
118,07-24-2020 22:30:00,505.4,505.2,27.23
119,07-24-2020 23:00:00,505.6,505.3,27.07
120,07-24-2020 23:30:00,505.1,505,26.95
121,07-25-2020 00:00:00,503.6,503.9,26.83
122,07-25-2020 00:30:00,504.4,504.4,26.73
123,07-25-2020 01:00:00,503.8,503.7,26.65
124,07-25-2020 01:30:00,504.3,504.5,26.54
125,07-25-2020 02:00:00,504.9,505.3,26.47
126,07-25-2020 02:30:00,504.1,504.6,26.39
127,07-25-2020 03:00:00,503.9,504.2,26.34
128,07-25-2020 03:30:00,505.2,505.7,26.29
129,07-25-2020 04:00:00,504.4,505,26.25
130,07-25-2020 04:30:00,504,504.7,26.2
131,07-25-2020 05:00:00,504.8,505.1,26.15
132,07-25-2020 05:30:00,504.7,505.1,26.1
133,07-25-2020 06:00:00,505.1,505.1,26.05
134,07-25-2020 06:30:00,503,503.2,26.01
135,07-25-2020 07:00:00,503.1,503.3,25.99
136,07-25-2020 07:30:00,500.8,501.4,25.99
137,07-25-2020 08:00:00,504.1,504,25.99
138,07-25-2020 08:30:00,504.7,505.1,26.03
139,07-25-2020 09:00:00,503.9,504.4,26.06
140,07-25-2020 09:30:00,504.7,505.1,26.14
141,07-25-2020 10:00:00,506.3,506.5,26.23
142,07-25-2020 10:30:00,506.5,507.2,26.34
143,07-25-2020 11:00:00,506.5,506.8,26.47
144,07-25-2020 11:30:00,506.3,506.7,26.61
145,07-25-2020 12:00:00,504.5,505.1,26.79
146,07-25-2020 12:30:00,511.7,512.2,26.96
147,07-25-2020 13:00:00,517.2,519.6,27.16
148,07-25-2020 13:30:00,524.7,527.1,27.35
149,07-25-2020 14:00:00,516.2,516.4,27.5
150,07-25-2020 14:30:00,520.2,520.5,27.62
151,07-25-2020 15:00:00,517.3,517.4,27.74
152,07-25-2020 15:30:00,518.8,519.2,27.87
153,07-25-2020 16:00:00,527.9,529,28.04
154,07-25-2020 16:30:00,522.3,522.1,28.15
155,07-25-2020 17:00:00,510.2,510.7,28.23
156,07-25-2020 17:30:00,536,538.3,28.29
157,07-25-2020 18:00:00,534.1,535.6,28.32
158,07-25-2020 18:30:00,531.1,533,28.33
159,07-25-2020 19:00:00,530.9,532.6,28.33
160,07-25-2020 19:30:00,528.7,530.3,28.27
161,07-25-2020 20:00:00,523.6,524.7,28.21
162,07-25-2020 20:30:00,528.2,528.9,28.15
163,07-25-2020 21:00:00,531.2,532,28.07
164,07-25-2020 21:30:00,531.2,532.4,28
165,07-25-2020 22:00:00,531,532.1,27.91
166,07-25-2020 22:30:00,530.3,531,27.85
167,07-25-2020 23:00:00,527.7,528.7,27.78
168,07-25-2020 23:30:00,529.1,529.9,27.71
169,07-26-2020 00:00:00,530.3,531.5,27.63
170,07-26-2020 00:30:00,529.8,531.1,27.55
171,07-26-2020 01:00:00,530,531.2,27.49
172,07-26-2020 01:30:00,528.9,529.3,27.44
173,07-26-2020 02:00:00,525.9,526.3,27.39
174,07-26-2020 02:30:00,527.7,527.8,27.34
175,07-26-2020 03:00:00,525.5,526.7,27.29
176,07-26-2020 03:30:00,525.8,527.1,27.26
177,07-26-2020 04:00:00,525.1,526.4,27.21
178,07-26-2020 04:30:00,523.8,525.3,27.17
179,07-26-2020 05:00:00,524.2,525.7,27.12
180,07-26-2020 05:30:00,522.6,524.2,27.07
181,07-26-2020 06:00:00,522.3,523.9,27.03
182,07-26-2020 06:30:00,519.2,520.9,26.99
183,07-26-2020 07:00:00,519.9,522,26.96
184,07-26-2020 07:30:00,520.1,522.4,26.95
185,07-26-2020 08:00:00,520.1,522,26.94
186,07-26-2020 08:30:00,520.1,522,26.96
187,07-26-2020 09:00:00,517.7,520.1,27.01
188,07-26-2020 09:30:00,516.9,519.3,27.1
189,07-26-2020 10:00:00,516.9,519.6,27.22
190,07-26-2020 10:30:00,519,521.4,27.37
191,07-26-2020 11:00:00,520.5,523.2,27.51
192,07-26-2020 11:30:00,521.5,524.6,27.71
193,07-26-2020 12:00:00,523.6,526.4,27.83
194,07-26-2020 12:30:00,525.8,528.6,28
195,07-26-2020 13:00:00,526.4,529.3,28.13
196,07-26-2020 13:30:00,527.4,530.3,28.29
197,07-26-2020 14:00:00,528,530.6,28.45
198,07-26-2020 14:30:00,529.8,532.4,28.62
199,07-26-2020 15:00:00,530,533.1,28.71
