#,Date,Low Range,Full Range,Temp
1,06-17-2020 15:00:00,531.4,530.7,22.95
2,06-17-2020 15:30:00,531.1,529.9,23.04
3,06-17-2020 16:00:00,531.5,530.6,23.13
4,06-17-2020 16:30:00,531.6,531,23.18
5,06-17-2020 17:00:00,531.9,531,23.19
6,06-17-2020 17:30:00,532.1,531.3,23.21
7,06-17-2020 18:00:00,531.9,530.9,23.25
8,06-17-2020 18:30:00,531.7,530.9,23.21
9,06-17-2020 19:00:00,531.3,529.8,23.14
10,06-17-2020 19:30:00,530.9,529.5,23.08
11,06-17-2020 20:00:00,530.2,529.2,22.98
12,06-17-2020 20:30:00,530.1,529.2,22.91
13,06-17-2020 21:00:00,530,528.5,22.81
14,06-17-2020 21:30:00,529.9,528.6,22.7
15,06-17-2020 22:00:00,530.2,529,22.58
16,06-17-2020 22:30:00,530.3,529.5,22.47
17,06-17-2020 23:00:00,529.6,528.4,22.39
18,06-17-2020 23:30:00,530.3,528.4,22.29
19,06-18-2020 00:00:00,529.7,528.5,22.19
20,06-18-2020 00:30:00,529.7,528.5,22.13
21,06-18-2020 01:00:00,529.4,527.8,22.04
22,06-18-2020 01:30:00,529.5,527.9,21.94
23,06-18-2020 02:00:00,528.7,527.5,21.85
24,06-18-2020 02:30:00,528.5,527.2,21.78
25,06-18-2020 03:00:00,528.2,526.5,21.72
26,06-18-2020 03:30:00,527.8,526.1,21.66
27,06-18-2020 04:00:00,527.5,525.8,21.59
28,06-18-2020 04:30:00,526.7,525.4,21.56
29,06-18-2020 05:00:00,526.1,524.7,21.5
30,06-18-2020 05:30:00,525.9,524.7,21.45
31,06-18-2020 06:00:00,525.2,523.6,21.39
32,06-18-2020 06:30:00,524.9,523.3,21.33
33,06-18-2020 07:00:00,524.5,522.9,21.28
34,06-18-2020 07:30:00,524.2,522.9,21.25
35,06-18-2020 08:00:00,524.6,523.3,21.25
36,06-18-2020 08:30:00,525.2,523.6,21.31
37,06-18-2020 09:00:00,525.9,524.7,21.45
38,06-18-2020 09:30:00,527.5,526.2,21.59
39,06-18-2020 10:00:00,528.5,526.8,21.8
40,06-18-2020 10:30:00,529.8,528.6,21.98
41,06-18-2020 11:00:00,530.9,529.6,22.19
42,06-18-2020 11:30:00,531.8,530.2,22.43
43,06-18-2020 12:00:00,533.7,532.4,22.69
44,06-18-2020 12:30:00,535.7,534.1,22.93
45,06-18-2020 13:00:00,538.6,537,23.24
46,06-18-2020 13:30:00,541.1,539.5,23.52
47,06-18-2020 14:00:00,544.3,542.9,23.62
48,06-18-2020 14:30:00,542.6,540.9,23.76
49,06-18-2020 15:00:00,542.8,541.2,23.96
50,06-18-2020 15:30:00,544,542.2,24.1
51,06-18-2020 16:00:00,545.3,543.6,24.24
52,06-18-2020 16:30:00,546.4,545.5,24.37
53,06-18-2020 17:00:00,546.2,545,24.48
54,06-18-2020 17:30:00,546.8,545.4,24.5
55,06-18-2020 18:00:00,546.6,545.4,24.48
56,06-18-2020 18:30:00,547.2,545.8,24.42
57,06-18-2020 19:00:00,547.8,546.2,24.35
58,06-18-2020 19:30:00,547.1,545.5,24.26
59,06-18-2020 20:00:00,548.4,547.1,24.16
60,06-18-2020 20:30:00,549.2,547.9,24.12
61,06-18-2020 21:00:00,547.6,546.4,24.02
62,06-18-2020 21:30:00,547.5,546.5,23.92
63,06-18-2020 22:00:00,546.8,545.4,23.87
64,06-18-2020 22:30:00,549,547.3,23.79
65,06-18-2020 23:00:00,549.1,547.4,23.71
66,06-18-2020 23:30:00,548.2,546.7,23.64
67,06-19-2020 00:00:00,545.7,544.4,23.52
68,06-19-2020 00:30:00,545.6,544.1,23.43
69,06-19-2020 01:00:00,545,543.4,23.34
70,06-19-2020 01:30:00,545.9,544.6,23.26
71,06-19-2020 02:00:00,545.6,543.9,23.2
72,06-19-2020 02:30:00,545.5,544.3,23.15
73,06-19-2020 03:00:00,545.6,544.3,23.09
74,06-19-2020 03:30:00,545.3,543.6,23.02
75,06-19-2020 04:00:00,545.1,543.6,22.96
76,06-19-2020 04:30:00,544.3,542.9,22.9
77,06-19-2020 05:00:00,544.1,542.6,22.84
78,06-19-2020 05:30:00,543.1,541.5,22.78
79,06-19-2020 06:00:00,542.6,541.1,22.7
80,06-19-2020 06:30:00,542.6,541.1,22.67
81,06-19-2020 07:00:00,542,540.4,22.63
82,06-19-2020 07:30:00,541.6,539.7,22.59
83,06-19-2020 08:00:00,541.3,539.7,22.59
84,06-19-2020 08:30:00,542.1,540.8,22.65
85,06-19-2020 09:00:00,541.7,540.4,22.68
86,06-19-2020 09:30:00,541.6,540.3,22.79
87,06-19-2020 10:00:00,542.8,541,22.92
88,06-19-2020 10:30:00,543.3,541.7,23.08
89,06-19-2020 11:00:00,544.1,542.7,23.25
90,06-19-2020 11:30:00,545.6,544.1,23.48
91,06-19-2020 12:00:00,546,544.3,23.71
92,06-19-2020 12:30:00,547.9,546.5,23.92
93,06-19-2020 13:00:00,548.8,547.5,24.14
94,06-19-2020 13:30:00,549.9,548.2,24.32
95,06-19-2020 14:00:00,552.4,550.8,24.4
96,06-19-2020 14:30:00,553.3,551.9,24.49
97,06-19-2020 15:00:00,553.6,551.8,24.5
98,06-19-2020 15:30:00,552.1,550.3,24.55
99,06-19-2020 16:00:00,552.8,551.4,24.63
100,06-19-2020 16:30:00,553.5,551.8,24.64
101,06-19-2020 17:00:00,553,551.4,24.61
102,06-19-2020 17:30:00,552.2,550.6,24.66
103,06-19-2020 18:00:00,552.9,551.4,24.61
