#,Date,Low Range,Full Range,Temp
1,2020-03-16 10:30:00,308.1,307.7,2.78
2,2020-03-16 11:00:00,306.1,305.4,2.73
3,2020-03-16 11:30:00,306.1,305.8,2.79
4,2020-03-16 12:00:00,306.4,306.2,2.87
5,2020-03-16 12:30:00,307.2,306.9,2.94
6,2020-03-16 13:00:00,308,307.6,3.04
7,2020-03-16 13:30:00,309.4,308.7,3.21
8,2020-03-16 14:00:00,310.3,309.8,3.3
9,2020-03-16 14:30:00,311.5,310.9,3.43
10,2020-03-16 15:00:00,312.4,311.7,3.47
11,2020-03-16 15:30:00,313.2,312.8,3.51
12,2020-03-16 16:00:00,315.2,314.7,3.58
13,2020-03-16 16:30:00,316.7,316.2,3.6
14,2020-03-16 17:00:00,316.5,315.8,3.57
15,2020-03-16 17:30:00,315.9,315.1,3.55
16,2020-03-16 18:00:00,314.8,314,3.51
17,2020-03-16 18:30:00,313.9,313.2,3.46
18,2020-03-16 19:00:00,313.5,312.9,3.4
19,2020-03-16 19:30:00,313.6,313.2,3.37
20,2020-03-16 20:00:00,312.6,311.7,3.33
21,2020-03-16 20:30:00,312.5,311.7,3.32
22,2020-03-16 21:00:00,312.2,311.7,3.33
23,2020-03-16 21:30:00,312.2,311.4,3.32
24,2020-03-16 22:00:00,312.6,311.7,3.29
25,2020-03-16 22:30:00,312.3,311.7,3.27
26,2020-03-16 23:00:00,312.6,311.8,3.22
27,2020-03-16 23:30:00,312.5,311.4,3.19
28,2020-03-17 00:00:00,312.4,311.4,3.17
29,2020-03-17 00:30:00,312.2,311.4,3.18
30,2020-03-17 01:00:00,311.6,310.6,3.18
31,2020-03-17 01:30:00,310.8,309.9,3.16
32,2020-03-17 02:00:00,309.8,309.1,3.13
33,2020-03-17 02:30:00,308.6,308,3.1
34,2020-03-17 03:00:00,307,306.1,3.09
35,2020-03-17 03:30:00,305.8,305.3,3.05
36,2020-03-17 04:00:00,305.1,304.6,3.04
37,2020-03-17 04:30:00,303.6,303.1,2.96
38,2020-03-17 05:00:00,303.5,302.7,2.84
39,2020-03-17 05:30:00,303.9,303.1,2.78
40,2020-03-17 06:00:00,303.2,302.4,2.68
41,2020-03-17 06:30:00,302.9,302.4,2.59
42,2020-03-17 07:00:00,302.3,301.7,2.48
43,2020-03-17 07:30:00,303.4,302.9,2.37
44,2020-03-17 08:00:00,303,302.2,2.23
45,2020-03-17 08:30:00,301.6,301,2.15
46,2020-03-17 09:00:00,301.8,301.4,2.15
47,2020-03-17 09:30:00,301.8,301.4,2.24
48,2020-03-17 10:00:00,303.3,302.5,2.37
49,2020-03-17 10:30:00,304.5,304,2.49
50,2020-03-17 11:00:00,306.4,306.2,2.68
51,2020-03-17 11:30:00,308.2,307.7,2.96
52,2020-03-17 12:00:00,310,309.1,3.3
53,2020-03-17 12:30:00,311.4,310.5,3.67
54,2020-03-17 13:00:00,313.5,312.3,4.01
55,2020-03-17 13:30:00,315,314.1,4.33
56,2020-03-17 14:00:00,316.4,315.9,4.55
57,2020-03-17 14:30:00,317.3,316.6,4.73
58,2020-03-17 15:00:00,317.4,316.6,4.89
59,2020-03-17 15:30:00,318.2,317.3,5.03
60,2020-03-17 16:00:00,319.2,318.4,5.19
61,2020-03-17 16:30:00,319.5,318.7,5.26
62,2020-03-17 17:00:00,319.6,318.7,5.26
63,2020-03-17 17:30:00,319.4,318.7,5.2
64,2020-03-17 18:00:00,318.6,318,5.14
65,2020-03-17 18:30:00,318.2,317.3,5.05
66,2020-03-17 19:00:00,317,316.2,4.91
67,2020-03-17 19:30:00,315.3,313.9,4.73
68,2020-03-17 20:00:00,314.4,313.2,4.61
