#,Date,Low Range,Full Range,Temp
1,03-09-2021 10:30:00,14,11.2,6.12
2,03-09-2021 11:00:00,343.1,340.6,3.74
3,03-09-2021 11:30:00,344.7,343.2,3.85
4,03-09-2021 12:00:00,343.8,340.9,4.06
5,03-09-2021 12:30:00,344.8,342,4.25
6,03-09-2021 13:00:00,346.2,343.8,4.41
7,03-09-2021 13:30:00,347.6,344.9,4.47
8,03-09-2021 14:00:00,348,344.9,4.51
9,03-09-2021 14:30:00,349.2,346.4,4.6
10,03-09-2021 15:00:00,349.9,347.2,4.58
11,03-09-2021 15:30:00,349,346.4,4.51
12,03-09-2021 16:00:00,349.5,346.8,4.45
13,03-09-2021 16:30:00,348,345.4,4.33
14,03-09-2021 17:00:00,345.3,342.4,4.11
15,03-09-2021 17:30:00,343.5,340.5,3.99
16,03-09-2021 18:00:00,342.8,339.8,3.9
17,03-09-2021 18:30:00,341.6,338.7,3.72
18,03-09-2021 19:00:00,340.5,337.6,3.6
19,03-09-2021 19:30:00,339,336.5,3.5
20,03-09-2021 20:00:00,337.5,334.6,3.4
21,03-09-2021 20:30:00,336.3,333.5,3.32
22,03-09-2021 21:00:00,335.1,332.4,3.24
23,03-09-2021 21:30:00,334.9,332,3.23
24,03-09-2021 22:00:00,333.9,331.2,3.22
25,03-09-2021 22:30:00,334.2,331.2,3.22
26,03-09-2021 23:00:00,335.1,332,3.24
27,03-09-2021 23:30:00,334.8,332,3.24
28,03-10-2021 00:00:00,335.3,332.7,3.27
29,03-10-2021 00:30:00,335.7,332.7,3.3
30,03-10-2021 01:00:00,336.1,333.1,3.34
31,03-10-2021 01:30:00,336.2,333.5,3.37
32,03-10-2021 02:00:00,334.8,332,3.34
33,03-10-2021 02:30:00,334.4,332,3.32
34,03-10-2021 03:00:00,333.6,330.8,3.3
35,03-10-2021 03:30:00,333.1,330.5,3.26
36,03-10-2021 04:00:00,332.5,329.7,3.21
37,03-10-2021 04:30:00,331.7,328.6,3.15
38,03-10-2021 05:00:00,331.7,329,3.11
39,03-10-2021 05:30:00,331.7,329,3.11
40,03-10-2021 06:00:00,331.9,329.4,3.1
41,03-10-2021 06:30:00,331.8,328.6,3.11
42,03-10-2021 07:00:00,330.5,327.5,3.06
43,03-10-2021 07:30:00,329.5,326.7,3.05
44,03-10-2021 08:00:00,329.2,326.3,3.09
45,03-10-2021 08:30:00,329,326.3,3.12
46,03-10-2021 09:00:00,328.2,325.1,3.17
47,03-10-2021 09:30:00,328,325.1,3.28
48,03-10-2021 10:00:00,327.1,324.3,3.32
49,03-10-2021 10:30:00,328.3,325.1,3.41
50,03-10-2021 11:00:00,329.6,326.9,3.51
51,03-10-2021 11:30:00,331.4,328.4,3.58
52,03-10-2021 12:00:00,332.2,329.5,3.75
53,03-10-2021 12:30:00,334.7,331.7,4
54,03-10-2021 13:00:00,336,333.2,4.07
55,03-10-2021 13:30:00,335.9,333.2,4.1
56,03-10-2021 14:00:00,335.2,332.1,4.08
57,03-10-2021 14:30:00,335.5,332.8,4.07
58,03-10-2021 15:00:00,334.6,331.7,4.03
59,03-10-2021 15:30:00,333,330.2,3.96
60,03-10-2021 16:00:00,332.5,329.9,3.91
61,03-10-2021 16:30:00,329.9,326.8,3.83
62,03-10-2021 17:00:00,326.4,323.4,3.75
63,03-10-2021 17:30:00,324.9,321.9,3.74
64,03-10-2021 18:00:00,324.1,321.1,3.73
65,03-10-2021 18:30:00,324.3,321.5,3.68
66,03-10-2021 19:00:00,323,320,3.65
67,03-10-2021 19:30:00,320.6,317.7,3.63
68,03-10-2021 20:00:00,320.1,317.4,3.63
69,03-10-2021 20:30:00,320.2,317.3,3.66
70,03-10-2021 21:00:00,319.2,316.6,3.65
71,03-10-2021 21:30:00,316.4,313.5,3.6
72,03-10-2021 22:00:00,315.4,312.4,3.61
73,03-10-2021 22:30:00,318.5,315.8,3.66
74,03-10-2021 23:00:00,320.1,317,3.65
75,03-10-2021 23:30:00,321.3,318.5,3.62
76,03-11-2021 00:00:00,323.2,320.4,3.54
77,03-11-2021 00:30:00,326,323.1,3.51
78,03-11-2021 01:00:00,328.9,326.6,3.49
79,03-11-2021 01:30:00,326.4,323.2,3.39
80,03-11-2021 02:00:00,324.6,321.7,3.28
81,03-11-2021 02:30:00,322.8,319.8,3.16
82,03-11-2021 03:00:00,314.1,311.4,3.04
83,03-11-2021 03:30:00,310.4,307.7,2.94
84,03-11-2021 04:00:00,304.9,302.4,2.82
85,03-11-2021 04:30:00,301.8,299.3,2.72
86,03-11-2021 05:00:00,308.7,306.2,2.76
87,03-11-2021 05:30:00,308.5,306.2,2.67
88,03-11-2021 06:00:00,305.8,303.2,2.62
89,03-11-2021 06:30:00,307.3,304.7,2.61
90,03-11-2021 07:00:00,300.6,297.9,2.57
91,03-11-2021 07:30:00,302.5,299.8,2.61
92,03-11-2021 08:00:00,306.5,303.9,2.65
93,03-11-2021 08:30:00,301.9,299.4,2.66
94,03-11-2021 09:00:00,302.6,300.1,2.73
95,03-11-2021 09:30:00,309.3,306.9,2.84
96,03-11-2021 10:00:00,307.8,305.4,2.96
97,03-11-2021 10:30:00,306.6,304.2,3.11
98,03-11-2021 11:00:00,307.9,305.3,3.27
99,03-11-2021 11:30:00,309.4,306.7,3.46
100,03-11-2021 12:00:00,307.2,304.4,3.54
101,03-11-2021 12:30:00,307.2,304.8,3.61
102,03-11-2021 13:00:00,312,309.3,3.85
103,03-11-2021 13:30:00,315.9,313,4.08
104,03-11-2021 14:00:00,318.1,315.3,4.22
105,03-11-2021 14:30:00,320.1,317.1,4.39
106,03-11-2021 15:00:00,321.7,319,4.47
107,03-11-2021 15:30:00,320.8,317.8,4.5
108,03-11-2021 16:00:00,321.5,319,4.49
109,03-11-2021 16:30:00,321.7,318.6,4.41
110,03-11-2021 17:00:00,321.6,318.7,4.29
111,03-11-2021 17:30:00,319.1,316.4,4.12
112,03-11-2021 18:00:00,317.9,314.9,4.01
113,03-11-2021 18:30:00,316.2,313.4,3.9
114,03-11-2021 19:00:00,314.5,311.6,3.82
115,03-11-2021 19:30:00,312.6,310.1,3.72
116,03-11-2021 20:00:00,310.2,307.4,3.61
117,03-11-2021 20:30:00,307.9,305.2,3.45
118,03-11-2021 21:00:00,305.2,302.6,3.35
119,03-11-2021 21:30:00,303,300.7,3.27
120,03-11-2021 22:00:00,300.3,297.7,3.18
121,03-11-2021 22:30:00,300.4,297.7,3.15
122,03-11-2021 23:00:00,304.1,301.5,3.15
123,03-11-2021 23:30:00,307.4,304.9,3.15
124,03-12-2021 00:00:00,308.6,306.1,3.1
125,03-12-2021 00:30:00,308,305.3,3.09
126,03-12-2021 01:00:00,306.6,304.2,3.07
127,03-12-2021 01:30:00,308.5,306.9,3.05
128,03-12-2021 02:00:00,307.3,305.3,3.02
129,03-12-2021 02:30:00,295.5,293.2,2.91
130,03-12-2021 03:00:00,295,292,2.93
131,03-12-2021 03:30:00,295,292.4,2.94
132,03-12-2021 04:00:00,296.3,293.9,2.94
133,03-12-2021 04:30:00,298.8,296.6,2.96
134,03-12-2021 05:00:00,301.6,298.9,2.96
135,03-12-2021 05:30:00,302.6,300.4,2.96
136,03-12-2021 06:00:00,303.1,300.8,2.96
137,03-12-2021 06:30:00,302,299.3,2.96
138,03-12-2021 07:00:00,299.6,297.4,2.94
139,03-12-2021 07:30:00,294,291.3,2.91
140,03-12-2021 08:00:00,291.2,288.6,2.94
141,03-12-2021 08:30:00,285.9,283.3,2.96
142,03-12-2021 09:00:00,285.6,282.8,3.09
143,03-12-2021 09:30:00,279.9,277.1,3.26
144,03-12-2021 10:00:00,285.3,282.7,3.57
145,03-12-2021 10:30:00,295.9,293.3,3.9
146,03-12-2021 11:00:00,305.9,303.4,4.31
147,03-12-2021 11:30:00,313.1,310.5,4.69
148,03-12-2021 12:00:00,314.8,311.9,5
149,03-12-2021 12:30:00,316.6,313.8,5.24
150,03-12-2021 13:00:00,316.6,313.7,5.31
151,03-12-2021 13:30:00,320.3,317.5,5.35
152,03-12-2021 14:00:00,323.2,320.6,5.41
153,03-12-2021 14:30:00,324.4,321.7,5.42
154,03-12-2021 15:00:00,321.5,318.7,5.37
155,03-12-2021 15:30:00,318.4,315.7,5.3
156,03-12-2021 16:00:00,316,313,5.17
157,03-12-2021 16:30:00,314,310.8,5.02
158,03-12-2021 17:00:00,313.3,310.5,4.85
159,03-12-2021 17:30:00,314.1,311.3,4.75
160,03-12-2021 18:00:00,313.7,310.9,4.72
161,03-12-2021 18:30:00,309.1,306.7,4.63
162,03-12-2021 19:00:00,305.5,302.6,4.47
163,03-12-2021 19:30:00,302.6,300,4.25
164,03-12-2021 20:00:00,299.5,296.6,4.06
165,03-12-2021 20:30:00,296.2,293.6,3.94
166,03-12-2021 21:00:00,298.5,296.3,3.86
167,03-12-2021 21:30:00,300.8,298.2,3.8
168,03-12-2021 22:00:00,301.8,299.4,3.79
169,03-12-2021 22:30:00,304.7,302.1,3.79
170,03-12-2021 23:00:00,305.4,302.4,3.78
171,03-12-2021 23:30:00,306.9,304.7,3.75
172,03-13-2021 00:00:00,305.8,303.6,3.74
173,03-13-2021 00:30:00,308.4,305.5,3.73
174,03-13-2021 01:00:00,310.6,308.2,3.73
175,03-13-2021 01:30:00,311.4,308.5,3.73
176,03-13-2021 02:00:00,312.8,310.1,3.73
177,03-13-2021 02:30:00,312.6,310.1,3.71
178,03-13-2021 03:00:00,311.3,308.6,3.71
179,03-13-2021 03:30:00,311.4,308.9,3.71
180,03-13-2021 04:00:00,310.8,308.2,3.69
