#,Date,Low Range,Full Range,Temp
1,10-30-2020 09:00:00,368.9,366.7,8.63
2,10-30-2020 09:30:00,366.1,364,8.55
3,10-30-2020 10:00:00,366.1,364,8.58
4,10-30-2020 10:30:00,366,364,8.56
5,10-30-2020 11:00:00,366.5,364.4,8.61
6,10-30-2020 11:30:00,367.2,364.7,8.72
7,10-30-2020 12:00:00,368.3,366.2,8.86
8,10-30-2020 12:30:00,369.8,368,8.99
9,10-30-2020 13:00:00,370.9,368.8,9.11
10,10-30-2020 13:30:00,372,369.9,9.21
11,10-30-2020 14:00:00,373.3,371,9.33
12,10-30-2020 14:30:00,374.8,372.4,9.44
13,10-30-2020 15:00:00,375.7,373.9,9.54
14,10-30-2020 15:30:00,376.7,374.6,9.66
15,10-30-2020 16:00:00,377.5,375.4,9.73
16,10-30-2020 16:30:00,378.1,376.1,9.77
17,10-30-2020 17:00:00,378.1,376.1,9.76
18,10-30-2020 17:30:00,377.9,376.1,9.76
19,10-30-2020 18:00:00,377.9,376.1,9.73
20,10-30-2020 18:30:00,378,376.1,9.72
21,10-30-2020 19:00:00,377.9,376.1,9.71
22,10-30-2020 19:30:00,377.9,376.1,9.69
23,10-30-2020 20:00:00,377.5,375.8,9.66
24,10-30-2020 20:30:00,377,375,9.61
25,10-30-2020 21:00:00,376.7,374.7,9.58
26,10-30-2020 21:30:00,376.3,374.3,9.55
27,10-30-2020 22:00:00,376.3,374.3,9.53
28,10-30-2020 22:30:00,376.2,374.3,9.5
29,10-30-2020 23:00:00,375.7,373.6,9.45
30,10-30-2020 23:30:00,375.3,373.2,9.43
31,10-31-2020 00:00:00,374.9,372.8,9.37
32,10-31-2020 00:30:00,374.4,372.1,9.33
33,10-31-2020 01:00:00,373.8,371.4,9.27
34,10-31-2020 01:30:00,373.2,371,9.21
35,10-31-2020 02:00:00,372.7,370.6,9.15
36,10-31-2020 02:30:00,371.8,369.5,9.09
37,10-31-2020 03:00:00,371,368.8,8.99
38,10-31-2020 03:30:00,370.2,368.1,8.92
39,10-31-2020 04:00:00,369.6,367,8.83
40,10-31-2020 04:30:00,368.5,366.2,8.75
41,10-31-2020 05:00:00,367.7,365.5,8.64
42,10-31-2020 05:30:00,366.7,364.8,8.55
43,10-31-2020 06:00:00,365.6,363.3,8.46
44,10-31-2020 06:30:00,364.9,362.9,8.36
45,10-31-2020 07:00:00,364.5,362.6,8.3
46,10-31-2020 07:30:00,364,361.8,8.27
47,10-31-2020 08:00:00,363.7,361.5,8.22
48,10-31-2020 08:30:00,362.8,360.7,8.18
49,10-31-2020 09:00:00,362.7,360.4,8.14
50,10-31-2020 09:30:00,362.3,360,8.14
51,10-31-2020 10:00:00,362.5,360,8.19
