#,Date,Low Range,Full Range,Temp
1,03-16-2020 11:00:00,414.4,411.1,2.68
2,03-16-2020 11:30:00,415.3,411.8,2.6
3,03-16-2020 12:00:00,411.2,407.6,2.68
4,03-16-2020 12:30:00,408.7,405.4,2.69
5,03-16-2020 13:00:00,408,404.6,2.77
6,03-16-2020 13:30:00,406.1,402.7,2.86
7,03-16-2020 14:00:00,406.9,403.3,3.1
8,03-16-2020 14:30:00,411.2,407.8,3.24
9,03-16-2020 15:00:00,416.5,412.6,3.37
10,03-16-2020 15:30:00,412,408.8,3.55
11,03-16-2020 16:00:00,414.4,411.1,3.5
12,03-16-2020 16:30:00,416.4,412.6,3.56
13,03-16-2020 17:00:00,422.8,419.4,3.53
14,03-16-2020 17:30:00,418,414.4,3.64
15,03-16-2020 18:00:00,415.3,411.7,3.79
16,03-16-2020 18:30:00,415.5,411.7,3.81
17,03-16-2020 19:00:00,412.2,409,3.87
18,03-16-2020 19:30:00,412.5,409.1,3.81
19,03-16-2020 20:00:00,411.6,408.2,3.98
20,03-16-2020 20:30:00,411.5,407.9,3.81
21,03-16-2020 21:00:00,413.1,409.5,3.74
22,03-16-2020 21:30:00,413,409.5,3.74
23,03-16-2020 22:00:00,411.9,408.3,3.83
24,03-16-2020 22:30:00,412.3,408.7,3.84
25,03-16-2020 23:00:00,418.9,415.8,3.86
26,03-16-2020 23:30:00,415.3,411.7,3.86
27,03-17-2020 00:00:00,413,409.4,3.83
28,03-17-2020 00:30:00,414.6,411.3,3.83
29,03-17-2020 01:00:00,415.2,411.7,3.81
30,03-17-2020 01:30:00,412.4,408.7,3.8
31,03-17-2020 02:00:00,410.6,407.2,3.78
32,03-17-2020 02:30:00,420.8,417,3.78
33,03-17-2020 03:00:00,422.2,418.9,3.75
34,03-17-2020 03:30:00,422.1,418.5,3.73
35,03-17-2020 04:00:00,421,417.4,3.67
36,03-17-2020 04:30:00,416.9,413.7,3.55
37,03-17-2020 05:00:00,413,409.6,3.41
38,03-17-2020 05:30:00,412.8,409.3,3.24
39,03-17-2020 06:00:00,410.4,406.7,3.06
40,03-17-2020 06:30:00,406.1,402.6,2.88
41,03-17-2020 07:00:00,403.8,400.1,2.65
42,03-17-2020 07:30:00,404.7,400.9,2.6
43,03-17-2020 08:00:00,402.8,399.4,2.47
44,03-17-2020 08:30:00,403.5,399.8,2.37
45,03-17-2020 09:00:00,393.4,389.7,2.12
46,03-17-2020 09:30:00,402.7,399.1,2.35
47,03-17-2020 10:00:00,403.2,399.4,2.45
48,03-17-2020 10:30:00,410.8,407.2,2.82
49,03-17-2020 11:00:00,416.1,412.4,3.14
50,03-17-2020 11:30:00,418.2,414.5,3.43
51,03-17-2020 12:00:00,418,414.4,3.73
52,03-17-2020 12:30:00,428.2,424.5,4.01
53,03-17-2020 13:00:00,434.8,431.1,4.31
54,03-17-2020 13:30:00,438,434.8,4.68
55,03-17-2020 14:00:00,443.1,439.5,4.99
56,03-17-2020 14:30:00,442.1,438.6,5.27
57,03-17-2020 15:00:00,447.6,444.1,5.64
58,03-17-2020 15:30:00,451.1,447.8,5.94
59,03-17-2020 16:00:00,456,452.2,6.28
60,03-17-2020 16:30:00,449,445.3,6.41
61,03-17-2020 17:00:00,450.9,447.5,6.6
62,03-17-2020 17:30:00,466.9,463.6,6.81
63,03-17-2020 18:00:00,474.2,470.8,6.86
64,03-17-2020 18:30:00,479.5,476.1,6.84
65,03-17-2020 19:00:00,483.5,480.3,6.85
66,03-17-2020 19:30:00,478.8,475.4,6.73
67,03-17-2020 20:00:00,479.1,475.8,6.69
68,03-17-2020 20:30:00,479.1,475.8,6.64
69,03-17-2020 21:00:00,483.9,480.7,6.67
70,03-17-2020 21:30:00,478.6,475,6.74
71,03-17-2020 22:00:00,473.9,470.5,6.64
72,03-17-2020 22:30:00,468.6,465.3,6.55
73,03-17-2020 23:00:00,470.2,467.2,6.54
74,03-17-2020 23:30:00,474.5,471.3,6.57
75,03-18-2020 00:00:00,479.5,476.2,6.63
76,03-18-2020 00:30:00,478.7,475.1,6.63
77,03-18-2020 01:00:00,487,483.4,6.68
78,03-18-2020 01:30:00,490.7,487.2,6.66
79,03-18-2020 02:00:00,493.9,490.6,6.58
80,03-18-2020 02:30:00,492.2,488.8,6.5
81,03-18-2020 03:00:00,491.4,488.1,6.37
82,03-18-2020 03:30:00,487.7,484,6.25
83,03-18-2020 04:00:00,474.4,471.2,6.12
84,03-18-2020 04:30:00,464.8,461.4,6.02
85,03-18-2020 05:00:00,470.8,467.5,5.77
86,03-18-2020 05:30:00,469.2,465.4,5.52
87,03-18-2020 06:00:00,465.1,461.3,5.42
88,03-18-2020 06:30:00,455.2,451.4,5.43
89,03-18-2020 07:00:00,459.6,456.2,5
90,03-18-2020 07:30:00,448.3,444.6,4.62
91,03-18-2020 08:00:00,448.5,444.8,4.27
92,03-18-2020 08:30:00,431.1,427.1,4.02
93,03-18-2020 09:00:00,439.5,435.6,3.73
