#,Date,Low Range,Full Range,Temp
1,03-09-2021 13:30:00,429.9,416.8,6.85
2,03-09-2021 14:00:00,457.5,443.7,8.25
3,03-09-2021 14:30:00,458,444,8.47
4,03-09-2021 15:00:00,458.1,444.3,8.65
5,03-09-2021 15:30:00,458,444.5,8.86
6,03-09-2021 16:00:00,463.5,449.7,9.17
7,03-09-2021 16:30:00,465.1,451.1,9.31
8,03-09-2021 17:00:00,448.2,434.8,8.73
9,03-09-2021 17:30:00,449.7,436.3,8.79
10,03-09-2021 18:00:00,435.7,422.6,8.16
11,03-09-2021 18:30:00,440.6,427.5,8.25
12,03-09-2021 19:00:00,428.7,415.6,7.95
13,03-09-2021 19:30:00,381.7,370,6.14
14,03-09-2021 20:00:00,368.3,357.2,5.37
15,03-09-2021 20:30:00,368.3,357.3,5.07
16,03-09-2021 21:00:00,372.7,361,5.17
17,03-09-2021 21:30:00,370.6,359.1,5.16
18,03-09-2021 22:00:00,370.5,359.1,5.19
19,03-09-2021 22:30:00,370.1,358.7,5.24
20,03-09-2021 23:00:00,364,352.4,5
21,03-09-2021 23:30:00,364.2,352.8,4.99
22,03-10-2021 00:00:00,362.6,351.3,4.9
23,03-10-2021 00:30:00,356.9,345.8,4.7
24,03-10-2021 01:00:00,350.8,339.8,4.49
25,03-10-2021 01:30:00,351,340.2,4.5
26,03-10-2021 02:00:00,348.6,337.6,4.44
27,03-10-2021 02:30:00,344.1,333.5,4.35
28,03-10-2021 03:00:00,343.7,332.7,4.43
29,03-10-2021 03:30:00,344.1,333.4,4.51
30,03-10-2021 04:00:00,348.4,337.1,4.74
31,03-10-2021 04:30:00,349.6,339,4.84
32,03-10-2021 05:00:00,351.1,340.1,4.91
33,03-10-2021 05:30:00,354.2,343,5.12
34,03-10-2021 06:00:00,354.4,343.4,5.05
35,03-10-2021 06:30:00,358,346.7,5.19
36,03-10-2021 07:00:00,353.2,342.3,5.06
37,03-10-2021 07:30:00,355.2,344.1,5.2
38,03-10-2021 08:00:00,349.5,338.9,5.04
39,03-10-2021 08:30:00,343.1,332.2,4.89
40,03-10-2021 09:00:00,343.1,332.1,5.05
41,03-10-2021 09:30:00,341.6,331,5.08
42,03-10-2021 10:00:00,339.7,329.1,5.07
43,03-10-2021 10:30:00,340.2,329.9,5.12
44,03-10-2021 11:00:00,343,332.4,5.36
45,03-10-2021 11:30:00,337.8,327.6,5.27
46,03-10-2021 12:00:00,339,328.6,5.54
47,03-10-2021 12:30:00,339,328.6,5.59
48,03-10-2021 13:00:00,338.9,328.2,5.62
49,03-10-2021 13:30:00,333.7,323.7,5.52
50,03-10-2021 14:00:00,333.4,323.3,5.64
51,03-10-2021 14:30:00,336.8,326.6,5.79
52,03-10-2021 15:00:00,334.3,324.4,5.76
53,03-10-2021 15:30:00,331.5,321.4,5.65
54,03-10-2021 16:00:00,336.7,326.2,5.86
55,03-10-2021 16:30:00,331.8,321.4,5.7
56,03-10-2021 17:00:00,326.5,316.2,5.51
57,03-10-2021 17:30:00,323.5,313.3,5.41
58,03-10-2021 18:00:00,331,321.4,5.82
59,03-10-2021 18:30:00,328.5,318.4,5.68
60,03-10-2021 19:00:00,331.5,321.4,5.74
61,03-10-2021 19:30:00,332.3,322.5,5.79
62,03-10-2021 20:00:00,335.5,325.5,5.91
63,03-10-2021 20:30:00,330.1,320.3,5.75
64,03-10-2021 21:00:00,330.1,320.3,5.73
65,03-10-2021 21:30:00,330.3,320.3,5.75
66,03-10-2021 22:00:00,330.5,320.3,5.71
67,03-10-2021 22:30:00,336,325.5,5.85
68,03-10-2021 23:00:00,329.9,319.9,5.8
69,03-10-2021 23:30:00,330.4,320.2,5.91
70,03-11-2021 00:00:00,323.5,313.5,5.81
71,03-11-2021 00:30:00,332.7,322.4,6.08
72,03-11-2021 01:00:00,320.8,311.3,5.8
73,03-11-2021 01:30:00,290.9,282.3,5.12
74,03-11-2021 02:00:00,277.5,269.3,4.73
75,03-11-2021 02:30:00,297.6,288.7,5.05
76,03-11-2021 03:00:00,301,292.4,5.01
77,03-11-2021 03:30:00,298.4,289.5,4.77
78,03-11-2021 04:00:00,284.6,276.2,4.29
79,03-11-2021 04:30:00,306.6,297.3,4.87
80,03-11-2021 05:00:00,279.7,271.4,3.98
81,03-11-2021 05:30:00,277.8,269.3,3.61
82,03-11-2021 06:00:00,276.7,268.6,3.46
83,03-11-2021 06:30:00,288.1,279.4,3.53
84,03-11-2021 07:00:00,293.1,284.2,3.6
85,03-11-2021 07:30:00,291.9,283.1,3.57
86,03-11-2021 08:00:00,275.2,266.8,3.11
87,03-11-2021 08:30:00,274.4,265.7,3.18
88,03-11-2021 09:00:00,264.1,256,2.99
89,03-11-2021 09:30:00,270,261.9,3.2
90,03-11-2021 10:00:00,271.4,263,3.32
91,03-11-2021 10:30:00,298.3,289.3,4.13
92,03-11-2021 11:00:00,282.9,274.4,3.85
93,03-11-2021 11:30:00,298.1,289.1,4.73
94,03-11-2021 12:00:00,296.7,288.4,4.88
95,03-11-2021 12:30:00,290,281.5,5.17
96,03-11-2021 13:00:00,292,283.7,5.33
97,03-11-2021 13:30:00,315,305.5,6.17
98,03-11-2021 14:00:00,315.8,306.6,6.46
99,03-11-2021 14:30:00,311,301.6,6.67
100,03-11-2021 15:00:00,314.5,304.9,6.97
101,03-11-2021 15:30:00,299,290.7,6.94
102,03-11-2021 16:00:00,304.6,295.9,7.12
103,03-11-2021 16:30:00,297.9,289.2,7.1
104,03-11-2021 17:00:00,288.2,279.9,7
105,03-11-2021 17:30:00,299,290.7,7
106,03-11-2021 18:00:00,301.8,293,6.91
107,03-11-2021 18:30:00,308.9,299.7,6.85
108,03-11-2021 19:00:00,303,294.1,6.73
109,03-11-2021 19:30:00,303.5,294.5,6.67
110,03-11-2021 20:00:00,306.1,297.2,6.58
111,03-11-2021 20:30:00,318,308.8,6.55
112,03-11-2021 21:00:00,320.4,310.7,6.38
113,03-11-2021 21:30:00,321,311.5,6.21
114,03-11-2021 22:00:00,315.8,306.3,6.02
115,03-11-2021 22:30:00,315.6,306.4,5.89
116,03-11-2021 23:00:00,314.9,305.7,5.76
117,03-11-2021 23:30:00,313.6,304.2,5.53
118,03-12-2021 00:00:00,311.5,302.1,5.31
119,03-12-2021 00:30:00,308.3,299.1,5.07
120,03-12-2021 01:00:00,309.3,300,4.89
121,03-12-2021 01:30:00,305.9,297,4.76
122,03-12-2021 02:00:00,303.8,294.8,4.6
123,03-12-2021 02:30:00,304.2,295.2,4.51
124,03-12-2021 03:00:00,299.4,290.8,4.3
125,03-12-2021 03:30:00,297.8,289,4.14
126,03-12-2021 04:00:00,296.9,288.2,4.06
127,03-12-2021 04:30:00,299.6,290.5,3.97
128,03-12-2021 05:00:00,296.9,288.3,3.85
129,03-12-2021 05:30:00,295.5,286.8,3.72
130,03-12-2021 06:00:00,294.5,285.7,3.69
131,03-12-2021 06:30:00,298.6,289.8,3.7
132,03-12-2021 07:00:00,306.8,297.3,3.74
133,03-12-2021 07:30:00,307.7,298.4,3.75
134,03-12-2021 08:00:00,310.2,300.7,3.84
135,03-12-2021 08:30:00,285.7,277.2,3.38
136,03-12-2021 09:00:00,282.5,274.1,3.57
137,03-12-2021 09:30:00,287.6,278.9,3.85
138,03-12-2021 10:00:00,289.6,280.7,4.18
139,03-12-2021 10:30:00,294,285.4,4.61
140,03-12-2021 11:00:00,305,295.8,4.85
141,03-12-2021 11:30:00,305.4,296.4,5.62
142,03-12-2021 12:00:00,306.9,297.7,6.21
143,03-12-2021 12:30:00,305.3,296.5,6.37
144,03-12-2021 13:00:00,322.2,312.7,7.03
145,03-12-2021 13:30:00,322.5,313,7.37
146,03-12-2021 14:00:00,325.6,316.3,7.55
147,03-12-2021 14:30:00,331.5,321.8,7.83
148,03-12-2021 15:00:00,335.3,325.9,7.88
149,03-12-2021 15:30:00,336.9,327,7.99
150,03-12-2021 16:00:00,331.5,322.1,7.99
151,03-12-2021 16:30:00,331.9,322.5,7.96
152,03-12-2021 17:00:00,326.7,317.3,7.93
153,03-12-2021 17:30:00,328.4,318.8,8
154,03-12-2021 18:00:00,326.1,316.2,7.9
155,03-12-2021 18:30:00,319.4,310.3,7.78
156,03-12-2021 19:00:00,313.7,304.7,7.63
157,03-12-2021 19:30:00,309.1,300.3,7.52
158,03-12-2021 20:00:00,305.5,296.9,7.41
159,03-12-2021 20:30:00,303.1,294.7,7.3
160,03-12-2021 21:00:00,302.5,294,7.17
161,03-12-2021 21:30:00,299.8,291.1,7.04
162,03-12-2021 22:00:00,298.5,290,6.9
163,03-12-2021 22:30:00,295.2,286.7,6.71
164,03-12-2021 23:00:00,290.6,282.3,6.55
165,03-12-2021 23:30:00,290.2,281.9,6.41
166,03-13-2021 00:00:00,296.5,288.3,6.38
167,03-13-2021 00:30:00,316.8,307.7,6.5
168,03-13-2021 01:00:00,338.1,328.2,6.69
169,03-13-2021 01:30:00,360.4,349.9,6.75
170,03-13-2021 02:00:00,346.8,336.1,6.49
171,03-13-2021 02:30:00,351.6,341.4,6.4
172,03-13-2021 03:00:00,356.5,345.6,6.31
173,03-13-2021 03:30:00,346.6,336.3,6.08
174,03-13-2021 04:00:00,329.4,319.5,5.69
175,03-13-2021 04:30:00,337.8,327.8,5.75
176,03-13-2021 05:00:00,339.3,328.9,5.65
177,03-13-2021 05:30:00,328,317.8,5.37
178,03-13-2021 06:00:00,327.6,317.8,5.25
179,03-13-2021 06:30:00,324.6,314.9,5.08
180,03-13-2021 07:00:00,323.3,313.8,4.91
181,03-13-2021 07:30:00,326.6,316.8,4.94
182,03-13-2021 08:00:00,328.3,318.3,4.97
183,03-13-2021 08:30:00,329,319,5.02
184,03-13-2021 09:00:00,335.7,327.2,5.17
185,03-13-2021 09:30:00,345.3,334.7,5.35
186,03-13-2021 10:00:00,348.3,337.2,5.52
187,03-13-2021 10:30:00,354.1,343.2,5.71
188,03-13-2021 11:00:00,355.8,345,5.96
189,03-13-2021 11:30:00,353.9,343,6.15
190,03-13-2021 12:00:00,356.2,345.5,6.6
191,03-13-2021 12:30:00,355.4,344.9,7.1
192,03-13-2021 13:00:00,351.4,341,7.65
193,03-13-2021 13:30:00,363.2,352.6,8.68
194,03-13-2021 14:00:00,373.5,362.9,9.11
195,03-13-2021 14:30:00,370.4,360.1,9.6
196,03-13-2021 15:00:00,374.9,364.2,9.72
197,03-13-2021 15:30:00,377.9,367.4,10.05
198,03-13-2021 16:00:00,383,372.2,10.19
199,03-13-2021 16:30:00,377,367,10.07
200,03-13-2021 17:00:00,380.9,370.5,9.91
201,03-13-2021 17:30:00,380,369.7,9.94
202,03-13-2021 18:00:00,389.9,379,9.99
203,03-13-2021 18:30:00,392.2,381.3,9.99
204,03-13-2021 19:00:00,389.4,378.7,9.92
205,03-13-2021 19:30:00,381.9,371.2,9.86
206,03-13-2021 20:00:00,382.8,372,9.79
207,03-13-2021 20:30:00,387.9,376.9,9.79
208,03-13-2021 21:00:00,390.5,379.6,9.62
209,03-13-2021 21:30:00,375.8,365.1,9.37
210,03-13-2021 22:00:00,378,367.3,9.28
211,03-13-2021 22:30:00,359,348.7,9.19
212,03-13-2021 23:00:00,351.8,341.6,8.98
213,03-13-2021 23:30:00,355,344.6,8.99
214,03-14-2021 00:00:00,345.2,335.3,8.74
215,03-14-2021 00:30:00,349,338.8,8.63
216,03-14-2021 01:00:00,349.5,339.5,8.53
217,03-14-2021 01:30:00,356.9,346.3,8.36
218,03-14-2021 02:00:00,362.7,352.4,8.22
219,03-14-2021 02:30:00,365.8,355.4,8.12
220,03-14-2021 03:00:00,362.3,351.7,7.93
221,03-14-2021 03:30:00,372,361.1,7.86
222,03-14-2021 04:00:00,350.3,339.9,7.63
223,03-14-2021 04:30:00,336,326.1,7.48
224,03-14-2021 05:00:00,332.5,323.1,7.35
225,03-14-2021 05:30:00,371.4,360.2,7.42
226,03-14-2021 06:00:00,379.9,369.2,7.25
227,03-14-2021 06:30:00,390.9,379.5,7.06
228,03-14-2021 07:00:00,387.4,376.1,6.89
229,03-14-2021 07:30:00,392,380.7,6.75
230,03-14-2021 08:00:00,397.4,386,6.63
231,03-14-2021 08:30:00,388.7,377.5,6.43
232,03-14-2021 09:00:00,362.2,351.2,6.32
233,03-14-2021 09:30:00,374.7,363.6,6.32
234,03-14-2021 10:00:00,383.2,371.8,6.45
235,03-14-2021 10:30:00,380.9,369.9,6.6
236,03-14-2021 11:00:00,369.3,358.5,6.78
237,03-14-2021 11:30:00,391.9,380.6,6.95
238,03-14-2021 12:00:00,357.7,346.7,7.44
239,03-14-2021 12:30:00,399.4,387.9,7.52
240,03-14-2021 13:00:00,410.5,399.1,7.7
241,03-14-2021 13:30:00,415.7,403.9,7.89
242,03-14-2021 14:00:00,423,411.4,7.93
243,03-14-2021 14:30:00,423.9,411.8,8.01
244,03-14-2021 15:00:00,420.1,408.4,8.09
245,03-14-2021 15:30:00,412.9,401.2,8.17
246,03-14-2021 16:00:00,410.7,399.3,8.13
247,03-14-2021 16:30:00,413.9,402.3,8.07
248,03-14-2021 17:00:00,398.8,387.7,8.07
249,03-14-2021 17:30:00,397.8,386.6,7.95
250,03-14-2021 18:00:00,362.4,352.2,7.71
251,03-14-2021 18:30:00,391.4,381.5,7.49
252,03-14-2021 19:00:00,362.7,352.4,7.08
253,03-14-2021 19:30:00,393.5,382.5,7.08
254,03-14-2021 20:00:00,370.8,360.1,6.62
255,03-14-2021 20:30:00,369.8,358.7,6.34
256,03-14-2021 21:00:00,376.5,365.5,6.16
257,03-14-2021 21:30:00,375.2,364.1,5.83
258,03-14-2021 22:00:00,378.5,367.2,5.66
259,03-14-2021 22:30:00,379.6,368.4,5.5
260,03-14-2021 23:00:00,377,365.9,5.16
261,03-14-2021 23:30:00,383.8,372.3,5.14
262,03-15-2021 00:00:00,376.2,364.9,4.84
263,03-15-2021 00:30:00,369.1,357.9,4.54
264,03-15-2021 01:00:00,349.9,338.9,4.02
265,03-15-2021 01:30:00,361.2,350.1,4.15
266,03-15-2021 02:00:00,366.6,355.4,3.99
267,03-15-2021 02:30:00,366.8,355.5,3.87
268,03-15-2021 03:00:00,369.3,357.8,3.72
269,03-15-2021 03:30:00,368.2,356.7,3.58
270,03-15-2021 04:00:00,366.1,354.9,3.49
271,03-15-2021 04:30:00,370.6,359.4,3.43
272,03-15-2021 05:00:00,373,361.4,3.28
273,03-15-2021 05:30:00,390.1,378.2,3.46
274,03-15-2021 06:00:00,391.4,379.4,3.33
275,03-15-2021 06:30:00,394.1,382.5,3.22
276,03-15-2021 07:00:00,390.8,379.1,3.15
277,03-15-2021 07:30:00,394,381.8,2.99
278,03-15-2021 08:00:00,399.4,387.1,2.93
279,03-15-2021 08:30:00,395.3,383.4,2.91
280,03-15-2021 09:00:00,399.2,387.5,2.91
281,03-15-2021 09:30:00,398.5,386.7,2.95
282,03-15-2021 10:00:00,393.9,381.9,2.91
283,03-15-2021 10:30:00,397.2,385.2,2.98
284,03-15-2021 11:00:00,397.8,385.6,2.98
285,03-15-2021 11:30:00,397.9,385.6,2.91
286,03-15-2021 12:00:00,394,382.3,2.83
287,03-15-2021 12:30:00,404.3,391.7,2.84
288,03-15-2021 13:00:00,395.2,382.7,2.81
289,03-15-2021 13:30:00,390.6,379.6,2.81
290,03-15-2021 14:00:00,390.4,378.9,2.74
291,03-15-2021 14:30:00,379.5,367.7,2.51
292,03-15-2021 15:00:00,382.5,370.7,2.42
293,03-15-2021 15:30:00,372.7,361,2.11
294,03-15-2021 16:00:00,371.4,360,1.9
295,03-15-2021 16:30:00,368.2,357,1.8
296,03-15-2021 17:00:00,374.3,362.3,1.67
297,03-15-2021 17:30:00,385.2,373.3,1.68
298,03-15-2021 18:00:00,386,374.1,1.6
299,03-15-2021 18:30:00,387.5,375.2,1.59
300,03-15-2021 19:00:00,387.2,374.8,1.61
301,03-15-2021 19:30:00,387,374.8,1.59
302,03-15-2021 20:00:00,388.4,376.4,1.55
303,03-15-2021 20:30:00,394.3,382,1.59
304,03-15-2021 21:00:00,388.5,376.4,1.49
305,03-15-2021 21:30:00,381.5,369.2,1.4
306,03-15-2021 22:00:00,379,367,1.43
307,03-15-2021 22:30:00,378.3,366.2,1.39
308,03-15-2021 23:00:00,376.4,364.4,1.32
309,03-15-2021 23:30:00,395.6,383.2,1.54
310,03-16-2021 00:00:00,399.5,387.3,1.57
311,03-16-2021 00:30:00,403.2,390.3,1.61
312,03-16-2021 01:00:00,403.1,390.3,1.6
313,03-16-2021 01:30:00,405,392.2,1.59
314,03-16-2021 02:00:00,403.1,390.3,1.55
315,03-16-2021 02:30:00,405.1,392.6,1.56
316,03-16-2021 03:00:00,404.7,391.9,1.54
317,03-16-2021 03:30:00,402.1,389.2,1.53
318,03-16-2021 04:00:00,401.4,388.5,1.54
319,03-16-2021 04:30:00,404.1,391.5,1.57
320,03-16-2021 05:00:00,404.6,391.9,1.54
