#,Date,Low Range,Full Range,Temp
1,10-30-2020 09:30:00,346.3,335.6,3.85
2,10-30-2020 10:00:00,336.9,326.2,3.89
3,10-30-2020 10:30:00,341.6,331,3.98
4,10-30-2020 11:00:00,343.2,332.4,4.2
5,10-30-2020 11:30:00,346,335,4.41
6,10-30-2020 12:00:00,349.7,338.3,4.53
7,10-30-2020 12:30:00,352.3,341.1,5.11
8,10-30-2020 13:00:00,350,339,4.74
9,10-30-2020 13:30:00,345.2,334.4,4.89
10,10-30-2020 14:00:00,355.8,344.5,5.06
11,10-30-2020 14:30:00,360.9,349.3,5.31
12,10-30-2020 15:00:00,353.5,342.4,5.77
13,10-30-2020 15:30:00,359.2,348.4,5.69
14,10-30-2020 16:00:00,362.3,351.4,5.79
15,10-30-2020 16:30:00,369.3,357.8,5.74
16,10-30-2020 17:00:00,366.4,355.2,5.79
17,10-30-2020 17:30:00,370.4,358.9,5.77
18,10-30-2020 18:00:00,372.7,361.2,5.73
19,10-30-2020 18:30:00,372,360.5,5.65
20,10-30-2020 19:00:00,371.6,360.1,5.6
21,10-30-2020 19:30:00,372.5,360.9,5.54
22,10-30-2020 20:00:00,371.9,360.5,5.45
23,10-30-2020 20:30:00,371.3,359.4,5.39
24,10-30-2020 21:00:00,369.8,358.3,5.3
25,10-30-2020 21:30:00,369.4,358,5.24
26,10-30-2020 22:00:00,369,357.6,5.19
27,10-30-2020 22:30:00,368.8,357.6,5.13
28,10-30-2020 23:00:00,368.8,357.3,5.07
29,10-30-2020 23:30:00,367.4,355.8,5
30,10-31-2020 00:00:00,365,353.6,4.94
31,10-31-2020 00:30:00,359.1,347.6,4.9
32,10-31-2020 01:00:00,360.6,349.5,4.87
33,10-31-2020 01:30:00,362.2,350.6,4.82
34,10-31-2020 02:00:00,363.5,352.2,4.73
35,10-31-2020 02:30:00,363.1,351.8,4.62
36,10-31-2020 03:00:00,363,351.4,4.61
37,10-31-2020 03:30:00,361,349.6,4.5
38,10-31-2020 04:00:00,362,350.4,4.47
39,10-31-2020 04:30:00,360.7,349.3,4.39
40,10-31-2020 05:00:00,362,350.4,4.39
41,10-31-2020 05:30:00,361.4,349.7,4.31
42,10-31-2020 06:00:00,359.9,348.6,4.24
43,10-31-2020 06:30:00,359.9,348.6,4.2
44,10-31-2020 07:00:00,358.7,347.5,4.13
45,10-31-2020 07:30:00,357.6,346,4.08
46,10-31-2020 08:00:00,356.6,345.3,4.03
47,10-31-2020 08:30:00,356.1,344.5,3.97
48,10-31-2020 09:00:00,356.6,345,3.86
49,10-31-2020 09:30:00,356.4,344.6,3.89
50,10-31-2020 10:00:00,355.7,344.6,3.92
51,10-31-2020 10:30:00,352.2,341.2,3.96
52,10-31-2020 11:00:00,353.1,341.5,4.06
53,10-31-2020 11:30:00,354.1,343,4.14
54,10-31-2020 12:00:00,355.6,344.4,4.31
55,10-31-2020 12:30:00,356.1,345.1,4.37
