#,Date,Low Range,Full Range,Temp
1,08-26-2020 14:30:00,554.6,553.3,27.38
2,08-26-2020 15:00:00,554.2,552.5,27.48
3,08-26-2020 15:30:00,555,553.2,27.59
4,08-26-2020 16:00:00,555.2,553.2,27.65
5,08-26-2020 16:30:00,555.2,553.2,27.66
6,08-26-2020 17:00:00,555.1,553.2,27.68
7,08-26-2020 17:30:00,554.9,552.8,27.72
8,08-26-2020 18:00:00,554.5,552.8,27.72
9,08-26-2020 18:30:00,553.9,552,27.72
10,08-26-2020 19:00:00,553.5,551.6,27.7
11,08-26-2020 19:30:00,552.9,550.9,27.67
12,08-26-2020 20:00:00,552.7,550.5,27.62
13,08-26-2020 20:30:00,552.1,549.8,27.56
14,08-26-2020 21:00:00,551.6,549.5,27.49
15,08-26-2020 21:30:00,551.2,549.1,27.39
16,08-26-2020 22:00:00,550.7,548.8,27.3
17,08-26-2020 22:30:00,550.6,548.5,27.19
18,08-26-2020 23:00:00,550.6,548.6,27.11
19,08-26-2020 23:30:00,550.4,548.6,27.01
20,08-27-2020 00:00:00,550.4,548.7,26.91
21,08-27-2020 00:30:00,550.2,548.3,26.82
22,08-27-2020 01:00:00,550.1,548.4,26.73
23,08-27-2020 01:30:00,549.7,548.1,26.66
24,08-27-2020 02:00:00,549.3,547.7,26.58
25,08-27-2020 02:30:00,549.2,547.4,26.52
26,08-27-2020 03:00:00,548.9,547,26.45
27,08-27-2020 03:30:00,548.6,547.1,26.4
28,08-27-2020 04:00:00,548.5,546.7,26.35
29,08-27-2020 04:30:00,548.2,546.4,26.29
30,08-27-2020 05:00:00,548,546,26.25
31,08-27-2020 05:30:00,548.5,546.8,26.21
32,08-27-2020 06:00:00,547.7,545.7,26.16
33,08-27-2020 06:30:00,547.6,545.7,26.12
34,08-27-2020 07:00:00,546.9,545.4,26.07
35,08-27-2020 07:30:00,547.4,545.4,26.05
36,08-27-2020 08:00:00,547.1,545.4,26.04
37,08-27-2020 08:30:00,547.2,545,26.05
38,08-27-2020 09:00:00,547.4,545.4,26.09
39,08-27-2020 09:30:00,547.7,545.7,26.15
40,08-27-2020 10:00:00,548.3,546.4,26.23
41,08-27-2020 10:30:00,548.8,546.7,26.35
42,08-27-2020 11:00:00,549.3,547.4,26.47
43,08-27-2020 11:30:00,550.5,548.8,26.66
44,08-27-2020 12:00:00,551.3,549.5,26.83
45,08-27-2020 12:30:00,552.5,550.5,27.05
46,08-27-2020 13:00:00,553.7,551.5,27.23
47,08-27-2020 13:30:00,554.3,552.6,27.3
48,08-27-2020 14:00:00,555.8,553.6,27.51
49,08-27-2020 14:30:00,556.8,554.7,27.67
50,08-27-2020 15:00:00,557.7,555.4,27.78
51,08-27-2020 15:30:00,558.1,556.1,27.86
52,08-27-2020 16:00:00,558.3,556.1,27.91
53,08-27-2020 16:30:00,558.2,556,27.92
54,08-27-2020 17:00:00,558.5,556.4,27.96
55,08-27-2020 17:30:00,558.7,556.4,28.01
56,08-27-2020 18:00:00,559,556.7,28.04
57,08-27-2020 18:30:00,558.8,556.7,28.04
58,08-27-2020 19:00:00,558.7,556.4,28.02
59,08-27-2020 19:30:00,558.2,556,27.96
60,08-27-2020 20:00:00,557.6,555.7,27.9
61,08-27-2020 20:30:00,556.8,554.6,27.84
62,08-27-2020 21:00:00,554.9,552.8,27.66
63,08-27-2020 21:30:00,553.6,551.7,27.5
64,08-27-2020 22:00:00,552.9,551.1,27.38
65,08-27-2020 22:30:00,551.5,549.3,27.21
66,08-27-2020 23:00:00,550.5,548.6,27.07
67,08-27-2020 23:30:00,550.1,548.3,26.96
68,08-28-2020 00:00:00,549.8,547.9,26.87
69,08-28-2020 00:30:00,549.3,547.6,26.78
70,08-28-2020 01:00:00,549.3,547.7,26.71
71,08-28-2020 01:30:00,549.3,547.3,26.65
