#,Date,Low Range,Full Range,Temp
1,12-15-2020 12:00:00,319.7,317.7,1.55
2,12-15-2020 12:30:00,322.3,320,1.79
3,12-15-2020 13:00:00,323.3,321.1,1.85
4,12-15-2020 13:30:00,323.5,321.1,1.88
5,12-15-2020 14:00:00,323.5,321.1,1.9
6,12-15-2020 14:30:00,323.5,321.4,1.9
7,12-15-2020 15:00:00,323.4,321.1,1.91
8,12-15-2020 15:30:00,323.3,321.1,1.88
9,12-15-2020 16:00:00,323.2,321.1,1.87
10,12-15-2020 16:30:00,323.1,320.3,1.85
11,12-15-2020 17:00:00,323,320.3,1.84
12,12-15-2020 17:30:00,323,320.3,1.83
13,12-15-2020 18:00:00,322.7,320.3,1.81
14,12-15-2020 18:30:00,322.7,320.3,1.82
15,12-15-2020 19:00:00,322.6,320.3,1.81
16,12-15-2020 19:30:00,322.9,320.3,1.84
17,12-15-2020 20:00:00,323.2,321.1,1.89
18,12-15-2020 20:30:00,323.3,320.7,1.89
19,12-15-2020 21:00:00,323.5,321.1,1.9
20,12-15-2020 21:30:00,324,321.8,1.96
21,12-15-2020 22:00:00,324.4,322.2,1.99
22,12-15-2020 22:30:00,324.5,322.2,2
23,12-15-2020 23:00:00,324.4,322.2,1.99
24,12-15-2020 23:30:00,324.5,322.2,2
25,12-16-2020 00:00:00,324.9,322.6,2.03
26,12-16-2020 00:30:00,325.3,322.5,2.06
27,12-16-2020 01:00:00,325.5,322.9,2.07
28,12-16-2020 01:30:00,325.4,322.9,2.07
29,12-16-2020 02:00:00,325.6,323.3,2.08
30,12-16-2020 02:30:00,325.7,322.9,2.09
31,12-16-2020 03:00:00,325.7,323.3,2.09
32,12-16-2020 03:30:00,325.9,323.7,2.11
33,12-16-2020 04:00:00,326,323.7,2.11
34,12-16-2020 04:30:00,325.9,323.7,2.09
35,12-16-2020 05:00:00,325.8,322.9,2.09
36,12-16-2020 05:30:00,326,323.7,2.11
37,12-16-2020 06:00:00,326,323.3,2.11
38,12-16-2020 06:30:00,325.7,323.3,2.08
