#,Date,Low Range,Full Range,Temp
1,12-19-2019 00:00:00,311.4,311.8,0.87
2,12-19-2019 00:30:00,311.2,311.5,0.82
3,12-19-2019 01:00:00,311.1,311.5,0.83
4,12-19-2019 01:30:00,310.9,311.5,0.81
5,12-19-2019 02:00:00,311.2,311.5,0.83
6,12-19-2019 02:30:00,310.9,311.5,0.82
7,12-19-2019 03:00:00,310.9,311.5,0.81
8,12-19-2019 03:30:00,310.9,311.5,0.81
9,12-19-2019 04:00:00,311.2,311.5,0.83
10,12-19-2019 04:30:00,311.1,311.8,0.84
11,12-19-2019 05:00:00,311.2,311.5,0.82
12,12-19-2019 05:30:00,311.4,311.8,0.83
13,12-19-2019 06:00:00,311.5,311.8,0.83
14,12-19-2019 06:30:00,311.8,312.2,0.84
15,12-19-2019 07:00:00,312.1,312.6,0.87
16,12-19-2019 07:30:00,311.9,312.2,0.86
17,12-19-2019 08:00:00,312.2,312.6,0.88
18,12-19-2019 08:30:00,312.1,312.6,0.87
19,12-19-2019 09:00:00,312.5,313,0.91
20,12-19-2019 09:30:00,313,313.3,0.95
21,12-19-2019 10:00:00,313.7,314.1,1.03
22,12-19-2019 10:30:00,314.5,314.8,1.11
23,12-19-2019 11:00:00,315.3,315.6,1.21
24,12-19-2019 11:30:00,316.1,316.3,1.3
25,12-19-2019 12:00:00,316.9,317,1.4
26,12-19-2019 12:30:00,317.6,318.1,1.48
27,12-19-2019 13:00:00,318,318.1,1.52
28,12-19-2019 13:30:00,318.1,318.1,1.53
29,12-19-2019 14:00:00,318.2,318.5,1.57
30,12-19-2019 14:30:00,318.1,318.5,1.55
31,12-19-2019 15:00:00,317.9,318.1,1.57
32,12-19-2019 15:30:00,317.7,318.1,1.53
33,12-19-2019 16:00:00,317.5,317.8,1.51
34,12-19-2019 16:30:00,317,317.4,1.47
35,12-19-2019 17:00:00,316.5,316.6,1.42
36,12-19-2019 17:30:00,316,316.3,1.35
37,12-19-2019 18:00:00,315.7,315.9,1.33
38,12-19-2019 18:30:00,315.6,315.9,1.31
39,12-19-2019 19:00:00,315.3,315.5,1.29
40,12-19-2019 19:30:00,315.3,315.5,1.27
41,12-19-2019 20:00:00,315.3,315.5,1.27
42,12-19-2019 20:30:00,315.5,315.9,1.28
43,12-19-2019 21:00:00,315.4,315.5,1.25
44,12-19-2019 21:30:00,315.3,315.5,1.23
45,12-19-2019 22:00:00,315.6,315.5,1.24
46,12-19-2019 22:30:00,315.5,315.5,1.23
47,12-19-2019 23:00:00,315.5,315.9,1.21
48,12-19-2019 23:30:00,315.4,315.6,1.19
49,12-20-2019 00:00:00,315.4,315.9,1.18
50,12-20-2019 00:30:00,315.2,315.6,1.15
51,12-20-2019 01:00:00,315.1,315.6,1.15
52,12-20-2019 01:30:00,315.1,315.6,1.13
53,12-20-2019 02:00:00,315.1,315.6,1.15
54,12-20-2019 02:30:00,315,314.8,1.1
55,12-20-2019 03:00:00,314.9,315.2,1.11
56,12-20-2019 03:30:00,314.9,315.2,1.09
57,12-20-2019 04:00:00,315,315.6,1.1
58,12-20-2019 04:30:00,314.9,315.6,1.1
59,12-20-2019 05:00:00,314.9,315.2,1.09
60,12-20-2019 05:30:00,314.9,315.2,1.1
61,12-20-2019 06:00:00,315.2,315.2,1.11
62,12-20-2019 06:30:00,315.3,315.6,1.12
63,12-20-2019 07:00:00,315.2,315.6,1.11
64,12-20-2019 07:30:00,315.3,315.6,1.12
65,12-20-2019 08:00:00,315.3,315.6,1.11
66,12-20-2019 08:30:00,315.3,315.6,1.11
67,12-20-2019 09:00:00,315.3,315.6,1.12
68,12-20-2019 09:30:00,315.8,316,1.17
69,12-20-2019 10:00:00,316.2,316.3,1.22
70,12-20-2019 10:30:00,316.7,317.1,1.25
71,12-20-2019 11:00:00,317.3,317.8,1.33
72,12-20-2019 11:30:00,318.3,318.5,1.43
73,12-20-2019 12:00:00,318.8,319.3,1.49
74,12-20-2019 12:30:00,319.6,319.6,1.57
75,12-20-2019 13:00:00,320.2,320.4,1.63
76,12-20-2019 13:30:00,320.3,320.8,1.65
77,12-20-2019 14:00:00,320.5,320.8,1.67
78,12-20-2019 14:30:00,320.5,320.8,1.69
79,12-20-2019 15:00:00,320,320,1.64
80,12-20-2019 15:30:00,319.7,320,1.61
81,12-20-2019 16:00:00,319.1,319.3,1.57
82,12-20-2019 16:30:00,318.6,318.9,1.52
83,12-20-2019 17:00:00,318.1,318.5,1.47
84,12-20-2019 17:30:00,317.7,317.8,1.43
85,12-20-2019 18:00:00,317.2,317.8,1.41
86,12-20-2019 18:30:00,317,317,1.39
87,12-20-2019 19:00:00,316.8,317,1.36
88,12-20-2019 19:30:00,316.6,317,1.35
89,12-20-2019 20:00:00,316.4,316.7,1.34
90,12-20-2019 20:30:00,316.2,316.7,1.33
91,12-20-2019 21:00:00,315.9,315.9,1.3
92,12-20-2019 21:30:00,315.6,315.5,1.28
93,12-20-2019 22:00:00,315.3,315.2,1.25
94,12-20-2019 22:30:00,315,315.2,1.23
95,12-20-2019 23:00:00,314.8,314.8,1.21
96,12-20-2019 23:30:00,314.6,314.8,1.19
97,12-21-2019 00:00:00,314.4,314.8,1.17
98,12-21-2019 00:30:00,314.4,314.4,1.17
99,12-21-2019 01:00:00,314.2,314.4,1.15
100,12-21-2019 01:30:00,314.3,314.4,1.16
101,12-21-2019 02:00:00,314,314,1.15
102,12-21-2019 02:30:00,313.9,314,1.13
103,12-21-2019 03:00:00,313.8,314,1.13
104,12-21-2019 03:30:00,313.7,313.7,1.12
105,12-21-2019 04:00:00,313.5,314.1,1.11
106,12-21-2019 04:30:00,313.4,313.7,1.1
107,12-21-2019 05:00:00,313.3,313.7,1.09
108,12-21-2019 05:30:00,313.3,313.7,1.09
109,12-21-2019 06:00:00,313.3,313.7,1.09
110,12-21-2019 06:30:00,313.3,313.7,1.09
111,12-21-2019 07:00:00,313,313.3,1.06
112,12-21-2019 07:30:00,313.2,313.7,1.07
113,12-21-2019 08:00:00,313.2,313.3,1.06
114,12-21-2019 08:30:00,313.4,313.7,1.07
115,12-21-2019 09:00:00,313.7,314.1,1.11
116,12-21-2019 09:30:00,314.1,314.4,1.15
117,12-21-2019 10:00:00,314.9,315.2,1.23
118,12-21-2019 10:30:00,315.6,315.5,1.31
119,12-21-2019 11:00:00,316.5,317,1.41
120,12-21-2019 11:30:00,317.6,317.7,1.52
121,12-21-2019 12:00:00,318.3,318.9,1.61
