#,Date,Low Range,Full Range,Temp
1,06-17-2020 16:00:00,566.7,567.1,24.18
2,06-17-2020 16:30:00,537,540.4,24.2
3,06-17-2020 17:00:00,503.1,509.6,24.18
4,06-17-2020 17:30:00,491.8,499,24.1
5,06-17-2020 18:00:00,480,488.4,24.09
6,06-17-2020 18:30:00,455.1,464.5,24.08
7,06-17-2020 19:00:00,459.6,468.3,24.02
8,06-17-2020 19:30:00,447,455.1,23.97
9,06-17-2020 20:00:00,439.4,448.3,23.91
10,06-17-2020 20:30:00,431.5,440.4,23.83
11,06-17-2020 21:00:00,427.5,435.9,23.74
12,06-17-2020 21:30:00,425.8,434.4,23.68
13,06-17-2020 22:00:00,424.6,433.3,23.61
14,06-17-2020 22:30:00,423.6,432.3,23.5
15,06-17-2020 23:00:00,423,431.9,23.39
16,06-17-2020 23:30:00,422.8,431.6,23.27
17,06-18-2020 00:00:00,423.2,431.7,23.17
18,06-18-2020 00:30:00,423.7,432.1,23.05
19,06-18-2020 01:00:00,424.5,432.9,22.94
20,06-18-2020 01:30:00,425.5,433.7,22.82
21,06-18-2020 02:00:00,426.6,434.5,22.72
22,06-18-2020 02:30:00,427.7,436.1,22.58
23,06-18-2020 03:00:00,430.1,438.4,22.51
24,06-18-2020 03:30:00,432.9,441.1,22.43
25,06-18-2020 04:00:00,436,444.1,22.36
26,06-18-2020 04:30:00,439.6,447.6,22.29
27,06-18-2020 05:00:00,443.9,451.4,22.22
28,06-18-2020 05:30:00,448.6,456,22.14
29,06-18-2020 06:00:00,454,461.3,22.08
30,06-18-2020 06:30:00,460.7,467.8,22.02
31,06-18-2020 07:00:00,467.8,474.3,21.99
32,06-18-2020 07:30:00,475.4,481.5,21.98
33,06-18-2020 08:00:00,528,531,21.99
34,06-18-2020 08:30:00,532.7,535.5,22.05
35,06-18-2020 09:00:00,537.4,540,22.13
36,06-18-2020 09:30:00,540.9,543,22.26
37,06-18-2020 10:00:00,543.8,545.6,22.43
38,06-18-2020 10:30:00,545.2,547,22.57
39,06-18-2020 11:00:00,546.3,548.4,22.81
40,06-18-2020 11:30:00,547.9,549.8,22.97
41,06-18-2020 12:00:00,545.6,547.8,23.27
42,06-18-2020 12:30:00,542.4,545,23.51
43,06-18-2020 13:00:00,541.1,544.1,23.75
44,06-18-2020 13:30:00,537.7,541.7,23.9
45,06-18-2020 14:00:00,533.5,537.4,24.05
46,06-18-2020 14:30:00,528.2,532.3,24.34
47,06-18-2020 15:00:00,519.9,525,24.52
48,06-18-2020 15:30:00,512.4,518,24.69
49,06-18-2020 16:00:00,504.1,510.4,24.82
50,06-18-2020 16:30:00,497.3,504.2,24.93
51,06-18-2020 17:00:00,490.1,497.8,24.93
52,06-18-2020 17:30:00,500.6,506.6,24.82
53,06-18-2020 18:00:00,491.1,497.1,24.79
54,06-18-2020 18:30:00,482.7,489.5,24.75
55,06-18-2020 19:00:00,581,579.7,24.74
56,06-18-2020 19:30:00,579,577.8,24.73
57,06-18-2020 20:00:00,577.5,575.9,24.72
58,06-18-2020 20:30:00,575.5,574,24.67
59,06-18-2020 21:00:00,574.2,572.9,24.57
60,06-18-2020 21:30:00,572.5,571.5,24.48
61,06-18-2020 22:00:00,571.5,570.4,24.36
62,06-18-2020 22:30:00,570.2,568.9,24.24
63,06-18-2020 23:00:00,569.5,568.6,24.12
64,06-18-2020 23:30:00,568.8,567.9,23.98
65,06-19-2020 00:00:00,568.4,567.2,23.86
66,06-19-2020 00:30:00,568.4,567.3,23.75
67,06-19-2020 01:00:00,568.2,567,23.65
68,06-19-2020 01:30:00,568.5,567.4,23.55
69,06-19-2020 02:00:00,569,567.5,23.47
70,06-19-2020 02:30:00,569.4,568.3,23.38
71,06-19-2020 03:00:00,569.9,569.1,23.31
72,06-19-2020 03:30:00,570.6,569.5,23.24
73,06-19-2020 04:00:00,571.2,569.6,23.15
74,06-19-2020 04:30:00,571.6,570.4,23.06
75,06-19-2020 05:00:00,572,571.2,22.99
76,06-19-2020 05:30:00,572.8,571.6,22.93
77,06-19-2020 06:00:00,573.5,572.1,22.85
78,06-19-2020 06:30:00,574,572.9,22.82
79,06-19-2020 07:00:00,574.8,573.6,22.79
80,06-19-2020 07:30:00,575.2,574,22.77
81,06-19-2020 08:00:00,576.5,574.8,22.83
82,06-19-2020 08:30:00,577.1,575.5,22.88
83,06-19-2020 09:00:00,577.8,576.2,22.97
84,06-19-2020 09:30:00,578.4,576.9,23.11
85,06-19-2020 10:00:00,578.8,577.2,23.27
86,06-19-2020 10:30:00,579.5,577.8,23.45
87,06-19-2020 11:00:00,579.6,578.1,23.65
88,06-19-2020 11:30:00,579.7,578.4,23.8
89,06-19-2020 12:00:00,579.6,578.2,24.07
90,06-19-2020 12:30:00,579.6,578.4,24.33
91,06-19-2020 13:00:00,580.3,579,24.56
92,06-19-2020 13:30:00,579,577.7,24.81
