#,Date,Low Range,Full Range,Temp
1,2020-03-16 10:00:00,331.3,330.4,2.72
2,2020-03-16 10:30:00,331.8,330.7,2.76
3,2020-03-16 11:00:00,332.2,331.1,2.79
4,2020-03-16 11:30:00,332.8,331.8,2.83
5,2020-03-16 12:00:00,333.4,331.8,2.89
6,2020-03-16 12:30:00,333.9,332.6,2.96
7,2020-03-16 13:00:00,335,334.1,3.09
8,2020-03-16 13:30:00,336.8,335.5,3.3
9,2020-03-16 14:00:00,338.5,337.4,3.49
10,2020-03-16 14:30:00,338.7,337.3,3.55
11,2020-03-16 15:00:00,338.3,337.3,3.56
12,2020-03-16 15:30:00,338.3,336.9,3.62
13,2020-03-16 16:00:00,338.2,336.9,3.67
14,2020-03-16 16:30:00,338,336.9,3.64
15,2020-03-16 17:00:00,337.7,336.2,3.62
16,2020-03-16 17:30:00,337.3,336.2,3.58
17,2020-03-16 18:00:00,336.8,335.4,3.55
18,2020-03-16 18:30:00,336.3,335.1,3.51
19,2020-03-16 19:00:00,335.7,334.3,3.46
20,2020-03-16 19:30:00,335.3,334.3,3.42
21,2020-03-16 20:00:00,334.5,333.2,3.33
22,2020-03-16 20:30:00,333.8,332.5,3.3
23,2020-03-16 21:00:00,333.4,332.5,3.26
24,2020-03-16 21:30:00,333.1,331.7,3.22
25,2020-03-16 22:00:00,332.9,332.1,3.19
26,2020-03-16 22:30:00,332.6,331.4,3.16
27,2020-03-16 23:00:00,332.4,331,3.15
28,2020-03-16 23:30:00,331.4,330.2,3.13
29,2020-03-17 00:00:00,331.3,329.8,3.1
30,2020-03-17 00:30:00,330.8,329.5,3.09
31,2020-03-17 01:00:00,330.2,329.1,3.07
32,2020-03-17 01:30:00,329.9,328.3,3.04
33,2020-03-17 02:00:00,329.7,328.3,3.03
34,2020-03-17 02:30:00,329.9,328.7,3.01
35,2020-03-17 03:00:00,329.8,328.4,2.98
36,2020-03-17 03:30:00,329.4,328.4,2.96
37,2020-03-17 04:00:00,328.8,327.6,2.91
38,2020-03-17 04:30:00,328.2,326.9,2.84
39,2020-03-17 05:00:00,326.8,325.4,2.74
40,2020-03-17 05:30:00,326.3,325,2.65
41,2020-03-17 06:00:00,326.2,324.7,2.54
42,2020-03-17 06:30:00,325.8,324.4,2.37
43,2020-03-17 07:00:00,324.7,323.2,2.26
44,2020-03-17 07:30:00,321.6,320.2,2.07
45,2020-03-17 08:00:00,319.7,318.8,1.93
46,2020-03-17 08:30:00,318.9,317.6,1.88
47,2020-03-17 09:00:00,320.6,319.5,1.91
48,2020-03-17 09:30:00,322,320.7,1.99
49,2020-03-17 10:00:00,320.9,319.4,2.17
50,2020-03-17 10:30:00,326.3,325.1,2.29
51,2020-03-17 11:00:00,328.6,327.4,2.55
52,2020-03-17 11:30:00,331.2,329.9,2.82
53,2020-03-17 12:00:00,334.5,332.9,3.14
54,2020-03-17 12:30:00,338,337,3.5
55,2020-03-17 13:00:00,340.8,339.6,3.76
56,2020-03-17 13:30:00,343.3,342.1,4.04
57,2020-03-17 14:00:00,345.9,344.7,4.32
58,2020-03-17 14:30:00,348.6,347.7,4.57
59,2020-03-17 15:00:00,350.8,349.9,4.8
60,2020-03-17 15:30:00,352.2,351,4.94
61,2020-03-17 16:00:00,352.5,351.4,4.98
62,2020-03-17 16:30:00,353.1,352.1,5.04
63,2020-03-17 17:00:00,353.7,352.5,5.07
64,2020-03-17 17:30:00,353.4,352.5,5.06
65,2020-03-17 18:00:00,353.1,351.7,5.01
66,2020-03-17 18:30:00,352.4,351,4.94
67,2020-03-17 19:00:00,351.4,350.3,4.85
68,2020-03-17 19:30:00,349.8,348.8,4.7
69,2020-03-17 20:00:00,348.1,346.9,4.57
70,2020-03-17 20:30:00,346.9,345.8,4.47
71,2020-03-17 21:00:00,345.4,344.3,4.33
72,2020-03-17 21:30:00,344.1,342.8,4.21
73,2020-03-17 22:00:00,343.2,341.7,4.11
74,2020-03-17 22:30:00,342.3,341,4
75,2020-03-17 23:00:00,341.3,339.9,3.93
76,2020-03-17 23:30:00,340.5,339.5,3.84
77,2020-03-18 00:00:00,339.6,338.4,3.8
78,2020-03-18 00:30:00,338.8,337.6,3.75
79,2020-03-18 01:00:00,338,336.5,3.73
80,2020-03-18 01:30:00,337.1,335.4,3.68
81,2020-03-18 02:00:00,336.2,334.6,3.67
82,2020-03-18 02:30:00,334.8,333.5,3.68
83,2020-03-18 03:00:00,332.8,331.6,3.67
84,2020-03-18 03:30:00,330.3,328.5,3.67
85,2020-03-18 04:00:00,327.1,325.8,3.67
86,2020-03-18 04:30:00,322.9,321.2,3.66
87,2020-03-18 05:00:00,317.1,315.1,3.64
88,2020-03-18 05:30:00,310.3,309,3.63
89,2020-03-18 06:00:00,300.5,299.1,3.62
90,2020-03-18 06:30:00,288.4,288.1,3.58
91,2020-03-18 07:00:00,274.4,273.3,3.45
92,2020-03-18 07:30:00,255,254.7,3.37
93,2020-03-18 08:00:00,245.7,245.2,3.27
94,2020-03-18 08:30:00,235.2,234.6,3.22
95,2020-03-18 09:00:00,209.9,210,3.15
96,2020-03-18 09:30:00,203.6,203.5,3.14
97,2020-03-18 10:00:00,190.5,191.1,3.21
98,2020-03-18 10:30:00,178,178.2,3.26
99,2020-03-18 11:00:00,149.8,150,3.32
100,2020-03-18 11:30:00,140.9,141.3,3.39
101,2020-03-18 12:00:00,131.1,131.9,3.44
102,2020-03-18 12:30:00,120.7,121.8,3.5
103,2020-03-18 13:00:00,110.9,111.6,3.57
104,2020-03-18 13:30:00,100.2,100.8,3.67
105,2020-03-18 14:00:00,338,336.5,3.67
106,2020-03-18 14:30:00,337.4,336.1,3.73
107,2020-03-18 15:00:00,336.7,335.3,3.78
108,2020-03-18 15:30:00,335.1,333.8,3.84
109,2020-03-18 16:00:00,332.4,331.1,3.87
110,2020-03-18 16:30:00,329.2,328.1,3.85
111,2020-03-18 17:00:00,325.6,324.2,3.86
112,2020-03-18 17:30:00,321.3,320,3.85
113,2020-03-18 18:00:00,316.6,315.5,3.84
114,2020-03-18 18:30:00,312.6,311.6,3.81
115,2020-03-18 19:00:00,308.1,306.7,3.79
116,2020-03-18 19:30:00,305.3,304,3.78
117,2020-03-18 20:00:00,302.3,301,3.73
118,2020-03-18 20:30:00,299.9,298.7,3.72
119,2020-03-18 21:00:00,298.8,297.6,3.69
120,2020-03-18 21:30:00,301.5,299.9,3.67
121,2020-03-18 22:00:00,299.9,298.7,3.66
122,2020-03-18 22:30:00,298.5,297.6,3.66
123,2020-03-18 23:00:00,296.2,294.9,3.62
124,2020-03-18 23:30:00,294.6,293.4,3.62
125,2020-03-19 00:00:00,293,291.9,3.61
126,2020-03-19 00:30:00,291.5,290.4,3.58
127,2020-03-19 01:00:00,289.8,288.5,3.57
128,2020-03-19 01:30:00,289.1,287.7,3.57
129,2020-03-19 02:00:00,287.7,286.6,3.56
130,2020-03-19 02:30:00,286,284.7,3.56
131,2020-03-19 03:00:00,284,282.8,3.56
132,2020-03-19 03:30:00,292.3,291.1,3.54
133,2020-03-19 04:00:00,291.5,290.8,3.55
134,2020-03-19 04:30:00,290.2,289.2,3.54
135,2020-03-19 05:00:00,289.2,287.7,3.54
136,2020-03-19 05:30:00,288.5,287.7,3.51
137,2020-03-19 06:00:00,288.2,287.3,3.54
138,2020-03-19 06:30:00,287.1,286.2,3.54
139,2020-03-19 07:00:00,286.7,285.8,3.52
140,2020-03-19 07:30:00,286.1,285,3.54
141,2020-03-19 08:00:00,286.1,285,3.54
142,2020-03-19 08:30:00,286.2,285.4,3.54
143,2020-03-19 09:00:00,291,290,3.57
144,2020-03-19 09:30:00,292,291.1,3.61
145,2020-03-19 10:00:00,292.4,291.5,3.66
146,2020-03-19 10:30:00,293.1,291.8,3.7
147,2020-03-19 11:00:00,293.8,293,3.72
148,2020-03-19 11:30:00,295.5,294.5,3.8
149,2020-03-19 12:00:00,298.6,297.5,3.82
150,2020-03-19 12:30:00,300.4,299.4,3.87
151,2020-03-19 13:00:00,301.4,300.1,4.18
152,2020-03-19 13:30:00,285.7,284.7,4.79
153,2020-03-19 14:00:00,291.4,290,4.79
154,2020-03-19 14:30:00,263.9,262.2,4.92
155,2020-03-19 15:00:00,257.6,256,5.3
156,2020-03-19 15:30:00,294,292.7,4.73
157,2020-03-19 16:00:00,269.6,267.8,5.17
158,2020-03-19 16:30:00,314.3,313,4.34
159,2020-03-19 17:00:00,317.2,316.1,4.34
160,2020-03-19 17:30:00,324.3,322.6,4.28
161,2020-03-19 18:00:00,329.3,327.9,4.16
