"Plot Title: 20758348"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20758348, SEN S/N: 20758348)","Full Range, μS/cm (LGR S/N: 20758348, SEN S/N: 20758348)","Temp, °C (LGR S/N: 20758348, SEN S/N: 20758348)"
1,10/30/20 01:00:00 PM,386.4,384.6,9.07
2,10/30/20 01:30:00 PM,385.7,383.8,9.17
3,10/30/20 02:00:00 PM,386.6,384.5,9.25
4,10/30/20 02:30:00 PM,386.8,384.9,9.28
5,10/30/20 03:00:00 PM,386.9,384.9,9.29
6,10/30/20 03:30:00 PM,386.9,384.9,9.30
7,10/30/20 04:00:00 PM,386.9,384.9,9.28
8,10/30/20 04:30:00 PM,386.3,384.5,9.23
9,10/30/20 05:00:00 PM,385.7,383.8,9.17
10,10/30/20 05:30:00 PM,384.9,382.6,9.10
11,10/30/20 06:00:00 PM,384.2,382.3,9.04
12,10/30/20 06:30:00 PM,383.6,381.9,8.97
13,10/30/20 07:00:00 PM,382.8,381.2,8.92
14,10/30/20 07:30:00 PM,382.1,380.5,8.82
15,10/30/20 08:00:00 PM,381.1,379.3,8.76
16,10/30/20 08:30:00 PM,381.4,379.4,8.70
17,10/30/20 09:00:00 PM,380.4,379.0,8.64
18,10/30/20 09:30:00 PM,379.4,377.5,8.59
19,10/30/20 10:00:00 PM,379.7,377.5,8.53
20,10/30/20 10:30:00 PM,378.5,376.4,8.46
21,10/30/20 11:00:00 PM,378.0,376.0,8.40
22,10/30/20 11:30:00 PM,377.3,375.3,8.37
23,10/31/20 12:00:00 AM,377.1,374.9,8.32
24,10/31/20 12:30:00 AM,377.4,375.3,8.29
25,10/31/20 01:00:00 AM,376.4,374.6,8.23
26,10/31/20 01:30:00 AM,376.5,374.2,8.21
27,10/31/20 02:00:00 AM,376.2,374.2,8.17
28,10/31/20 02:30:00 AM,375.5,373.1,8.13
29,10/31/20 03:00:00 AM,375.1,372.7,8.08
30,10/31/20 03:30:00 AM,374.6,372.0,8.02
31,10/31/20 04:00:00 AM,373.8,372.0,7.97
32,10/31/20 04:30:00 AM,373.6,371.7,7.91
33,10/31/20 05:00:00 AM,373.2,371.3,7.88
34,10/31/20 05:30:00 AM,372.9,370.9,7.82
35,10/31/20 06:00:00 AM,372.6,370.9,7.81
36,10/31/20 06:30:00 AM,372.2,370.2,7.79
37,10/31/20 07:00:00 AM,372.4,370.2,7.79
38,10/31/20 07:30:00 AM,371.9,369.8,7.75
39,10/31/20 08:00:00 AM,371.5,369.4,7.72
40,10/31/20 08:30:00 AM,372.2,370.2,7.75
41,10/31/20 09:00:00 AM,373.0,371.3,7.85
42,10/31/20 09:30:00 AM,373.7,371.7,7.90
43,10/31/20 10:00:00 AM,374.6,372.4,7.99
44,10/31/20 10:30:00 AM,375.5,373.1,8.10
45,10/31/20 11:00:00 AM,376.0,374.2,8.17
46,10/31/20 11:30:00 AM,377.6,375.3,8.29
47,10/31/20 12:00:00 PM,379.7,377.9,8.50
48,10/31/20 12:30:00 PM,382.0,380.1,8.69
49,10/31/20 01:00:00 PM,384.2,382.3,8.91
50,10/31/20 01:30:00 PM,386.3,384.6,9.10
51,10/31/20 02:00:00 PM,387.4,385.3,9.23
52,10/31/20 02:30:00 PM,387.6,385.3,9.25
53,10/31/20 03:00:00 PM,387.9,385.6,9.30
54,10/31/20 03:30:00 PM,387.8,385.6,9.31
55,10/31/20 04:00:00 PM,388.0,385.6,9.35
56,10/31/20 04:30:00 PM,387.3,385.2,9.33
57,10/31/20 05:00:00 PM,387.7,385.6,9.34
58,10/31/20 05:30:00 PM,388.2,386.0,9.37
59,10/31/20 06:00:00 PM,388.4,386.7,9.41
60,10/31/20 06:30:00 PM,388.1,386.3,9.41
61,10/31/20 07:00:00 PM,387.7,385.6,9.36
62,10/31/20 07:30:00 PM,387.5,385.2,9.33
63,10/31/20 08:00:00 PM,386.8,384.8,9.31
64,10/31/20 08:30:00 PM,387.0,384.9,9.30
65,10/31/20 09:00:00 PM,387.2,384.9,9.29
66,10/31/20 09:30:00 PM,386.9,384.9,9.25
67,10/31/20 10:00:00 PM,386.3,384.5,9.22
68,10/31/20 10:30:00 PM,386.0,384.1,9.16
69,10/31/20 11:00:00 PM,384.8,383.0,9.07
70,10/31/20 11:30:00 PM,383.4,381.6,8.95
71,11/01/20 12:00:00 AM,381.9,380.1,8.83
72,11/01/20 12:30:00 AM,380.8,378.6,8.68
73,11/01/20 01:00:00 AM,379.9,377.9,8.57
74,11/01/20 01:30:00 AM,378.9,376.4,8.50
75,11/01/20 02:00:00 AM,378.9,377.2,8.49
76,11/01/20 02:30:00 AM,378.8,376.8,8.49
77,11/01/20 03:00:00 AM,378.7,376.8,8.50
78,11/01/20 03:30:00 AM,378.3,376.4,8.43
79,11/01/20 04:00:00 AM,378.0,376.1,8.33
80,11/01/20 04:30:00 AM,377.0,374.6,8.22
81,11/01/20 05:00:00 AM,377.0,375.0,8.11
82,11/01/20 05:30:00 AM,376.0,373.9,7.94
83,11/01/20 06:00:00 AM,375.1,373.2,7.86
84,11/01/20 06:30:00 AM,373.8,372.1,7.78
85,11/01/20 07:00:00 AM,373.8,372.1,7.74
86,11/01/20 07:30:00 AM,374.0,372.1,7.67
87,11/01/20 08:00:00 AM,372.5,370.7,7.55
88,11/01/20 08:30:00 AM,370.9,369.2,7.42
