STATION,NAME,DATE,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1939-10,,7,8,6,0,0,0,8,0,11,0,22,0,0,0.38,85,,452,1.67,0,50.7,61.8,39.6
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1939-11,,0,4,1,0,0,0,22,0,0,0,18,0,0,0.12,68,,810,0.24,0,38,47.6,28.4
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1939-12,,0,2,1,0,0,1,28,10,0,0,0,0,0,0.27,54,,1061,0.29,0,30.8,39.1,22.4
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1940-01,0,0,7,3,25,2,14,31,30,0,0,-23,10,7.3,0.5,34,,1673,0.91,10.3,11,19.6,2.5
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1940-02,0,0,8,2,27,2,4,29,14,0,0,-16,10,4.2,0.43,43,,1229,0.76,8.4,22.6,31.1,14.2
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1940-03,0,0,10,4,24,4,0,28,13,0,0,3,5,3.1,0.48,66,,1168,1.07,9.5,27.3,34.6,20.1
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1940-04,0,0,8,5,1,1,0,16,0,2,0,19,3,2.6,0.92,71,,648,2.4,3.3,43.4,54.1,32.7
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1940-05,7,7,13,8,0,0,0,2,0,12,0,28,0,0.5,0.7,86,,331,2.7,0.8,54.5,65.1,44
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1940-06,127,120,12,6,0,0,0,0,0,29,3,44,0,0,3.05,92,,26,5.05,0,68.1,80.1,56.1
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1940-07,426,300,8,5,0,0,0,0,0,31,11,45,0,0,1.37,102,20,20,2.88,0,74,86.6,61.4
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1940-08,611,185,23,11,0,0,0,0,0,25,4,43,0,0,1.35,93,69,49,6.76,0,69.4,79.3,59.4
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1940-09,676,64,4,2,0,0,0,1,0,21,0,31,0,0,0.45,88,233,163,0.81,0,61.7,74.4,49
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1940-10,679,3,7,4,0,0,0,1,0,10,0,29,0,0,0.79,79,600,367,2.4,0,53.2,64.2,42.3
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1940-11,679,0,11,7,5,3,0,21,9,0,0,2,12,8.5,0.6,64,1550,950,2.49,13.4,33.3,41.9,24.8
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1940-12,679,0,8,4,25,1,3,29,11,0,0,-16,11,2,0.67,44,2731,1181,1.21,3.9,25.8,31.9,19.8
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1941-01,0,0,13,5,15,3,1,30,19,0,0,-1,5,3,1.11,41,3963,1232,2.73,8.3,24.1,30.4,17.8
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1941-02,0,0,8,2,17,0,3,27,19,0,0,-10,2,0.8,0.53,43,5193,1230,0.79,2.7,21.1,28.7,13.4
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1941-03,0,0,9,5,2,2,1,30,6,0,0,-7,1,1.3,0.71,52,6300,1107,1.82,4.3,29.3,36.1,22.5
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1941-04,7,7,9,7,0,0,0,4,0,8,0,31,0,0,0.42,82,6778,478,1.93,0,49.3,58.2,40.4
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1941-05,48,40,14,6,0,0,0,0,0,14,0,33,0,0,1.12,88,7016,238,3.03,0,58.6,69,48.3
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1941-06,190,142,9,7,0,0,0,0,0,21,6,46,0,0,1.53,94,7109,93,3.43,0,66.6,76.3,57
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1941-07,392,202,9,7,0,0,0,0,0,27,6,51,0,0,1.01,98,17,17,2.93,0,71,80.8,61.2
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1941-08,591,198,7,4,0,0,0,0,0,29,4,47,0,0,0.39,97,36,19,1.3,0,70.8,80.6,61
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1941-09,683,92,10,8,0,0,0,0,0,21,1,38,0,0,4.32,90,142,106,9.87,0,64.5,73.8,55.3
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1941-10,683,0,17,10,0,0,0,3,0,5,0,25,0,0,1.04,77,530,388,2.85,0,52.5,61.1,43.8
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1941-11,683,0,9,3,1,1,0,13,2,0,0,12,1,1.9,0.33,67,1281,751,0.94,3.1,40,46.7,33.2
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1941-12,683,0,7,4,10,4,0,24,11,0,0,5,3,3,0.5,55,2295,1015,1.29,8.5,32.3,38.3,26.2
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1942-01,0,0,6,3,22,3,9,29,12,0,0,-23,5,4.2,0.85,44,3692,1397,1.17,8.1,19.9,27.6,12.3
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1942-02,0,0,8,1,13,2,3,28,21,0,0,-6,4,3.4,0.19,37,4892,1200,0.5,6.4,22.2,28.3,16
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1942-03,0,0,12,4,1,1,0,19,0,0,0,21,1,1.2,0.69,55,5780,888,1.46,1.8,36.4,42.5,30.2
