"","Site","Date","chloride","Cond","Volume","Receiving","address","location","NaCl","estimated_cl","year","latitude","longitude","geometry"
"1","1 HIgh Point Oaks Ln",2010-06-28,108.5786,761,NA,"Spring Harbor","1 HIgh Point Oaks Ln Madison, WI","outdoor",NA,"y",2010,43.051147,-89.51766,c(-89.51766, 43.051147)
"2","1 HIgh Point Oaks Ln",2013-07-29,134.3274,849,NA,"Spring Harbor","1 HIgh Point Oaks Ln Madison, WI","outdoor",NA,"y",2013,43.051147,-89.51766,c(-89.51766, 43.051147)
"3","1 HIgh Point Oaks Ln",2011-07-08,144.861,885,NA,"Spring Harbor","1 HIgh Point Oaks Ln Madison, WI","outdoor",NA,"y",2011,43.051147,-89.51766,c(-89.51766, 43.051147)
"4","1 HIgh Point Oaks Ln",2016-08-16,149.5426,901,NA,"Spring Harbor","1 HIgh Point Oaks Ln Madison, WI","outdoor",NA,"y",2016,43.051147,-89.51766,c(-89.51766, 43.051147)
"5","1 HIgh Point Oaks Ln",2014-08-07,158.3206,931,NA,"Spring Harbor","1 HIgh Point Oaks Ln Madison, WI","outdoor",NA,"y",2014,43.051147,-89.51766,c(-89.51766, 43.051147)
"6","1 HIgh Point Oaks Ln",2015-08-25,181.436,1010,NA,"Spring Harbor","1 HIgh Point Oaks Ln Madison, WI","outdoor",NA,"y",2015,43.051147,-89.51766,c(-89.51766, 43.051147)
"7","1 HIgh Point Oaks Ln",2009-07-21,184.362,1020,NA,"Spring Harbor","1 HIgh Point Oaks Ln Madison, WI","outdoor",NA,"y",2009,43.051147,-89.51766,c(-89.51766, 43.051147)
"8","1 HIgh Point Oaks Ln",2018-08-30,242.882,1220,NA,"Spring Harbor","1 HIgh Point Oaks Ln Madison, WI","outdoor",NA,"y",2018,43.051147,-89.51766,c(-89.51766, 43.051147)
"9","1 HIgh Point Oaks Ln",2017-08-08,248.734,1240,NA,"Spring Harbor","1 HIgh Point Oaks Ln Madison, WI","outdoor",NA,"y",2017,43.051147,-89.51766,c(-89.51766, 43.051147)
"10","1 HIgh Point Oaks Ln",2019-07-11,272.142,1320,NA,"Spring Harbor","1 HIgh Point Oaks Ln Madison, WI","outdoor",NA,"y",2019,43.051147,-89.51766,c(-89.51766, 43.051147)
"11","1 N Yellowstone Dr m",2007-06-26,503.5,1804,NA,"Spring Harbor","1 N Yellowstone Dr m Madison, WI","outdoor",NA,NA,2007,43.064796,-89.49341,c(-89.49341, 43.064796)
"12","1 N Yellowstone Dr m",2008-07-28,275.5,1497,NA,"Spring Harbor","1 N Yellowstone Dr m Madison, WI","outdoor",NA,NA,2008,43.064796,-89.49341,c(-89.49341, 43.064796)
"13","1 N Yellowstone Dr d",2009-07-02,387,1980,NA,"Spring Harbor","1 N Yellowstone Dr d Madison, WI","outdoor",NA,NA,2009,43.064796,-89.49341,c(-89.49341, 43.064796)
"14","1 N Yellowstone Dr m",2009-07-02,395,1970,NA,"Spring Harbor","1 N Yellowstone Dr m Madison, WI","outdoor",NA,NA,2009,43.064796,-89.49341,c(-89.49341, 43.064796)
"15","1 W Dayton St",2018-01-24,136.083,855,NA,"Mendota","1 W Dayton St Madison, WI","indoor",NA,"y",2018,43.0757656777573,-89.3865621372471,c(-89.3865621372471, 43.0757656777573)
"16","1 W Dayton St",2013-01-17,164.1726,951,NA,"Mendota","1 W Dayton St Madison, WI","indoor",NA,"y",2013,43.0757656777573,-89.3865621372471,c(-89.3865621372471, 43.0757656777573)
"17","1 W Dayton St",2016-03-02,277.994,1340,NA,"Mendota","1 W Dayton St Madison, WI","indoor",NA,"y",2016,43.0757656777573,-89.3865621372471,c(-89.3865621372471, 43.0757656777573)
"18","1602 W Beltline Hwy",2016-02-24,354.07,1600,NA,"Arboretum","1602 W Beltline Hwy Madison, WI","indoor",NA,"y",2016,43.03578,-89.409167,c(-89.409167, 43.03578)
"19","1602 W Beltline Hwy",2017-01-04,377.478,1680,NA,"Arboretum","1602 W Beltline Hwy Madison, WI","indoor",NA,"y",2017,43.03578,-89.409167,c(-89.409167, 43.03578)
"20","1602 W Beltline Hwy",2018-01-24,395.034,1740,NA,"Arboretum","1602 W Beltline Hwy Madison, WI","indoor",NA,"y",2018,43.03578,-89.409167,c(-89.409167, 43.03578)
"21","1726 Eagen Rd",2015-01-13,397.96,1750,NA,"Starkweather Creek","1726 Eagen Rd Madison, WI","indoor",NA,"y",2015,43.12484,-89.30882,c(-89.30882, 43.12484)
"22","1726 Eagen Rd",2017-01-03,433.072,1870,NA,"Starkweather Creek","1726 Eagen Rd Madison, WI","indoor",NA,"y",2017,43.12484,-89.30882,c(-89.30882, 43.12484)
"23","107 Village Green Ln",2010-06-10,170.0246,971,NA,"Starkweather Creek","107 Village Green Ln Madison, WI","outdoor",NA,"y",2010,43.1421205834845,-89.3049833652738,c(-89.3049833652738, 43.1421205834845)
"24","107 Village Green Ln",2014-07-09,237.03,1200,NA,"Starkweather Creek","107 Village Green Ln Madison, WI","outdoor",NA,"y",2014,43.1421205834845,-89.3049833652738,c(-89.3049833652738, 43.1421205834845)
"25","107 Village Green Ln",2011-06-16,257.512,1270,NA,"Starkweather Creek","107 Village Green Ln Madison, WI","outdoor",NA,"y",2011,43.1421205834845,-89.3049833652738,c(-89.3049833652738, 43.1421205834845)
"26","107 Village Green Ln",2013-07-23,266.29,1300,NA,"Starkweather Creek","107 Village Green Ln Madison, WI","outdoor",NA,"y",2013,43.1421205834845,-89.3049833652738,c(-89.3049833652738, 43.1421205834845)
"27","107 Village Green Ln",2018-08-02,327.736,1510,NA,"Starkweather Creek","107 Village Green Ln Madison, WI","outdoor",NA,"y",2018,43.1421205834845,-89.3049833652738,c(-89.3049833652738, 43.1421205834845)
"28","1 W Dayton St",2019-02-28,258,1410,NA,"Mendota","1 W Dayton St Madison, WI","indoor",NA,NA,2019,43.0757656777573,-89.3865621372471,c(-89.3865621372471, 43.0757656777573)
