Site,Date,chloride,Cond,Volume,Receiving,address,location,NaCl,estimated_cl,year,latitude,longitude
1 HIgh Point Oaks Ln,2010-06-28T00:00:00Z,108.57860000000002,761,NA,Spring Harbor,"1 HIgh Point Oaks Ln Madison, WI",outdoor,NA,y,2010,43.051147,-89.51766
1 HIgh Point Oaks Ln,2013-07-29T00:00:00Z,134.3274,849,NA,Spring Harbor,"1 HIgh Point Oaks Ln Madison, WI",outdoor,NA,y,2013,43.051147,-89.51766
1 HIgh Point Oaks Ln,2011-07-08T00:00:00Z,144.86100000000002,885,NA,Spring Harbor,"1 HIgh Point Oaks Ln Madison, WI",outdoor,NA,y,2011,43.051147,-89.51766
1 HIgh Point Oaks Ln,2016-08-16T00:00:00Z,149.54260000000002,901,NA,Spring Harbor,"1 HIgh Point Oaks Ln Madison, WI",outdoor,NA,y,2016,43.051147,-89.51766
1 HIgh Point Oaks Ln,2014-08-07T00:00:00Z,158.32060000000004,931,NA,Spring Harbor,"1 HIgh Point Oaks Ln Madison, WI",outdoor,NA,y,2014,43.051147,-89.51766
1 HIgh Point Oaks Ln,2015-08-25T00:00:00Z,181.436,1010,NA,Spring Harbor,"1 HIgh Point Oaks Ln Madison, WI",outdoor,NA,y,2015,43.051147,-89.51766
1 HIgh Point Oaks Ln,2009-07-21T00:00:00Z,184.36200000000005,1020,NA,Spring Harbor,"1 HIgh Point Oaks Ln Madison, WI",outdoor,NA,y,2009,43.051147,-89.51766
1 HIgh Point Oaks Ln,2018-08-30T00:00:00Z,242.88200000000003,1220,NA,Spring Harbor,"1 HIgh Point Oaks Ln Madison, WI",outdoor,NA,y,2018,43.051147,-89.51766
1 HIgh Point Oaks Ln,2017-08-08T00:00:00Z,248.734,1240,NA,Spring Harbor,"1 HIgh Point Oaks Ln Madison, WI",outdoor,NA,y,2017,43.051147,-89.51766
1 HIgh Point Oaks Ln,2019-07-11T00:00:00Z,272.14200000000005,1320,NA,Spring Harbor,"1 HIgh Point Oaks Ln Madison, WI",outdoor,NA,y,2019,43.051147,-89.51766
