Site,latitude,longitude
1 HIgh Point Oaks Ln,43.051147,-89.51766
1 N Yellowstone Dr m,43.064796,-89.49341
1 N Yellowstone Dr d,43.064796,-89.49341
1726 Eagen Rd,43.12484,-89.30882
1754 Thierer Rd,43.12301,-89.31347
2130 University Ave,43.072582,-89.422806
1440 Monroe St,43.06803,-89.41244
2302 University Ave,43.072296,-89.425766
2502 Crossroads Dr,43.133453,-89.2907
1080 N Pleasant View Rd,43.110325,-89.351265
3550 Anderson St,43.12023,-89.32756
3841 E Washington Ave,43.11661,-89.32502
4402 E Washington Ave,43.12664,-89.31022
4801 Annamark Dr,43.131306,-89.299614
13 Cherokee Cir,43.146015,-89.3637
1436 Wheeler Rd,43.148304,-89.36969
5109 W Terrace Dr,43.142906,-89.29551
1614 Fordem Ave,43.093784,-89.36364
1766 Fordem Ave,43.095047,-89.363495
1720 Fordem Ave,43.094734,-89.363525
1624 Fordem Ave,43.09335,-89.36364
5515 Medical Cir,43.048542,-89.47424
333 W Washington Ave,43.076946,-89.38084
1818 Fordem Ave,43.096344,-89.36353
2502 Independence Ln,43.131386,-89.30802
302 Parkwood Ln,43.103592,-89.31075
3269 Forest Run Ct,43.137608,-89.30429
4 S Lincoln Ridge Dr,43.051422,-89.51524
4145 Country Club Rd,43.041473,-89.440414
405 Moorland Rd,43.035637,-89.37957
4665 Hayes Rd,43.142418,-89.30286
1109 Fourier Dr,43.08136,-89.524216
4801 Sheboygan Ave,43.072807,-89.459236
5002 Sheboygan Ave,43.07289,-89.46446
5015 Sheboygan Ave,43.072773,-89.46529
1109A Fourier Dr,43.081367,-89.524216
5202 Brookside Dr,43.15355,-89.28322
5440 Congress Ave,43.139782,-89.28375
5533 Odana Rd,43.049995,-89.474945
5533 Odana Rd wade,43.049995,-89.474945
5607 Summer Shine Dr,43.122276,-89.2842
7425 Timber Lake Tr,43.052155,-89.51101
802 Harbor House Dr,43.049706,-89.50802
1253 John Q Hammons Dr,43.08542,-89.52406
98 Grand Canyon Dr,43.062344,-89.49664
