lakeid,year4,daynum,sampledate,depth,cl,so4,ca,mg,na,k,fe,mn,cond
AL,1981,113,1981-04-23,2.00,,,9.60,2.72,1.44,0.75,,,
AL,1981,113,1981-04-23,4.00,,,,,,,,,
AL,1981,113,1981-04-23,6.00,,,,,,,,,
AL,1981,113,1981-04-23,7.50,,,,,,,,,
AL,1981,142,1981-05-22,1.00,,,,,,,,,
AL,1981,142,1981-05-22,3.00,,,,,,,,,
AL,1981,142,1981-05-22,5.00,,,,,,,,,
AL,1981,142,1981-05-22,7.00,,,,,,,,,
AL,1981,154,1981-06-03,0.00,,,,,,,,,
AL,1981,154,1981-06-03,2.00,,,,,,,,,
AL,1981,154,1981-06-03,4.00,,,,,,,,,
AL,1981,154,1981-06-03,5.50,,,,,,,,,
AL,1981,168,1981-06-17,0.00,,,,,,,,,
AL,1981,168,1981-06-17,2.00,,,,,,,,,
AL,1981,168,1981-06-17,4.00,,,,,,,,,
AL,1981,168,1981-06-17,6.00,,,,,,,,,
AL,1981,168,1981-06-17,7.30,,,,,,,,,
AL,1981,183,1981-07-02,1.00,,,,,,,,,74
AL,1981,183,1981-07-02,3.00,,,,,,,,,72
AL,1981,183,1981-07-02,5.00,,,,,,,,,69
AL,1981,183,1981-07-02,7.00,,,,,,,,,75
AL,1981,183,1981-07-02,8.00,,,,,,,,,131
AL,1981,197,1981-07-16,1.00,,,,,,,,,
AL,1981,197,1981-07-16,3.00,,,,,,,,,
AL,1981,197,1981-07-16,5.00,,,,,,,,,
AL,1981,197,1981-07-16,7.00,,,,,,,,,
AL,1981,197,1981-07-16,8.00,,,,,,,,,
AL,1981,209,1981-07-28,1.00,,,,,,,,,75
AL,1981,209,1981-07-28,3.00,,,,,,,,,75
AL,1981,209,1981-07-28,5.00,,,,,,,,,75
AL,1981,209,1981-07-28,7.00,,,,,,,,,100
AL,1981,224,1981-08-12,0.00,,,,,,,,,
AL,1981,224,1981-08-12,2.00,,,,,,,,,
AL,1981,224,1981-08-12,4.00,,,,,,,,,
AL,1981,224,1981-08-12,6.00,,,,,,,,,
AL,1981,224,1981-08-12,7.50,,,,,,,,,
AL,1981,239,1981-08-27,1.00,,,,,,,,,
AL,1981,239,1981-08-27,3.00,,,,,,,,,85
AL,1981,239,1981-08-27,5.00,,,,,,,,,87
AL,1981,239,1981-08-27,7.00,,,,,,,,,145
AL,1981,255,1981-09-12,0.00,,,,,,,,,
AL,1981,255,1981-09-12,2.00,,,,,,,,,
AL,1981,255,1981-09-12,4.00,,,,,,,,,
AL,1981,255,1981-09-12,6.00,,,,,,,,,
AL,1981,255,1981-09-12,7.50,,,,,,,,,
AL,1981,269,1981-09-26,1.00,,,,,,,,,105
AL,1981,269,1981-09-26,3.00,,,,,,,,,105
AL,1981,269,1981-09-26,5.00,,,,,,,,,105
AL,1981,269,1981-09-26,7.00,,,,,,,,,121
AL,1981,295,1981-10-22,0.00,,,,,,,,,
AL,1981,295,1981-10-22,2.00,,,,,,,,,
AL,1981,295,1981-10-22,4.00,,,,,,,,,
AL,1981,295,1981-10-22,6.00,,,,,,,,,
AL,1982,26,1982-01-26,0.00,,,,,,,,,91
AL,1982,26,1982-01-26,2.00,,,,,,,,,86
AL,1982,26,1982-01-26,4.00,,,,,,,,,85
AL,1982,26,1982-01-26,6.00,,,,,,,,,92
AL,1982,54,1982-02-23,0.00,,,,,,,,,74
AL,1982,54,1982-02-23,2.00,,,,,,,,,82
AL,1982,54,1982-02-23,4.00,,,,,,,,,87
AL,1982,54,1982-02-23,6.00,,,,,,,,,97
AL,1982,95,1982-04-05,0.00,,,,,,,,,50
AL,1982,95,1982-04-05,2.00,,,,,,,,,92
AL,1982,95,1982-04-05,4.00,,,,,,,,,96
AL,1982,95,1982-04-05,6.00,,,,,,,,,104
AL,1982,131,1982-05-11,0.00,0.28,3.56,10.56,2.85,1.37,0.64,,,82
AL,1982,131,1982-05-11,2.00,,,,,,,,,83
AL,1982,131,1982-05-11,4.00,,,,,,,,,83
AL,1982,131,1982-05-11,6.00,0.29,3.34,10.79,3.03,1.40,0.70,,,89
AL,1982,145,1982-05-25,0.00,,,,,,,,,84
AL,1982,145,1982-05-25,1.00,,,,,,,,,93
AL,1982,145,1982-05-25,3.00,,,,,,,,,94
AL,1982,145,1982-05-25,5.00,,,,,,,,,95
AL,1982,145,1982-05-25,7.00,,,,,,,,,113
AL,1982,160,1982-06-09,0.00,,,,,,,,,
AL,1982,160,1982-06-09,1.00,,,,,,,,,
AL,1982,160,1982-06-09,3.00,,,,,,,,,
AL,1982,160,1982-06-09,5.00,,,,,,,,,
AL,1982,160,1982-06-09,7.00,,,,,,,,,
AL,1982,176,1982-06-25,0.50,,,,,,,,,
AL,1982,176,1982-06-25,2.00,,,,,,,,,84
AL,1982,176,1982-06-25,4.00,,,,,,,,,84
AL,1982,176,1982-06-25,6.00,,,,,,,,,89
AL,1982,186,1982-07-05,0.00,,,,,,,,,95
AL,1982,186,1982-07-05,1.00,,,,,,,,,95
AL,1982,186,1982-07-05,3.00,,,,,,,,,95
AL,1982,186,1982-07-05,5.00,,,,,,,,,95
AL,1982,186,1982-07-05,7.00,,,,,,,,,110
AL,1982,202,1982-07-21,0.50,,,,,,,,,
AL,1982,202,1982-07-21,2.00,,,,,,,,,
AL,1982,202,1982-07-21,4.00,,,,,,,,,
AL,1982,202,1982-07-21,6.00,,,,,,,,,
AL,1982,217,1982-08-05,0.00,,,,,,,,,84
AL,1982,217,1982-08-05,1.00,,,,,,,,,84
AL,1982,217,1982-08-05,3.00,,,,,,,,,83
AL,1982,217,1982-08-05,5.00,,,,,,,,,89
AL,1982,217,1982-08-05,7.00,,,,,,,,,139
AL,1982,228,1982-08-16,1.00,,,,,,,,,85
AL,1982,228,1982-08-16,3.00,0.20,3.27,10.78,3.05,1.48,0.55,,,85
AL,1982,228,1982-08-16,5.00,0.31,3.26,11.37,3.04,1.48,0.59,,,88
