sampledate,sampletime,depth,wtemp,do_sat,do_raw,sp_cond,ph,chlor_rfu,phyco_rfu,fdom_rfu,turb_fnu
6/4/2020,11:16:00,20,10.07,23.32,2.62,578.6,7.64,0.33,0.83,11.53,0.56
6/4/2020,11:18:00,19,10.1,27.2,3.05,577.9,7.69,0.22,0.67,11.51,0.56
6/4/2020,11:20:00,18,10.16,31.38,3.52,577.1,7.74,0.16,0.57,11.47,0.55
6/4/2020,11:22:05,17,10.27,41.98,4.7,575.1,7.84,0.15,0.59,11.39,0.49
6/4/2020,11:24:05,16,10.41,55,6.14,572.6,7.97,0.12,0.51,11.27,0.5
6/4/2020,11:26:45,15,10.45,55.16,6.15,572.56,7.97,0.12,0.53,11.28,0.5
6/4/2020,11:28:40,14,10.67,56.06,6.22,572.34,7.97,0.14,0.52,11.24,0.52
6/4/2020,11:30:40,13,10.87,63.08,6.97,570.86,8.03,0.13,0.49,11.17,0.52
6/4/2020,11:32:40,12,11.24,63.48,6.95,570.82,8.02,0.15,0.49,11.12,0.51
6/4/2020,11:34:40,11,11.63,71.28,7.73,569.24,8.09,0.18,0.47,11.01,0.52
6/4/2020,11:36:40,10,12.03,71.62,7.7,569.2,8.08,0.17,0.43,10.97,0.54
6/4/2020,11:38:40,9,12.87,77,8.13,568.24,8.11,0.2,0.44,10.82,0.51
6/4/2020,11:40:40,8,14.39,82.88,8.45,567.8,8.13,0.27,0.47,10.55,0.45
6/4/2020,11:42:40,7,16.44,91.76,8.96,567.08,8.17,0.31,0.48,10.21,0.4
6/4/2020,11:44:40,6,18.21,100.1,9.42,567.08,8.19,0.35,0.44,9.87,0.37
6/4/2020,11:46:40,5,18.37,101,9.48,566.6,8.2,0.28,0.32,9.84,0.38
6/4/2020,11:48:40,4,18.7,103.56,9.65,565.94,8.21,0.27,0.28,9.76,0.38
6/4/2020,11:50:40,3,19.15,106.34,9.82,565.82,8.22,0.24,0.23,9.59,0.34
6/4/2020,11:52:40,2,19.84,108.06,9.84,565.94,8.22,0.27,0.29,9.31,0.32
6/4/2020,11:54:40,1,22.01,111.6,9.74,565.98,8.25,0.21,0.26,9.02,0.34
6/4/2020,11:56:40,0,22.28,112.08,9.73,566.08,8.25,0.23,0.23,9.08,0.37
