lakeid,depth,hp_factor
ME,0.25,0.0388
ME,1.00,0.0738
ME,2.00,0.0691
ME,3.00,0.0650
ME,4.00,0.0616
ME,5.00,0.0589
ME,6.00,0.0568
ME,7.00,0.0549
ME,8.00,0.0532
ME,9.00,0.0515
ME,10.00,0.0499
ME,11.00,0.0481
ME,12.00,0.0459
ME,13.00,0.0432
ME,14.00,0.0401
ME,15.00,0.0368
ME,16.00,0.0332
ME,17.00,0.0296
ME,18.00,0.0257
ME,19.00,0.0214
ME,20.00,0.0168
ME,21.00,0.0120
ME,22.00,0.0076
ME,23.00,0.0042
ME,24.00,0.0016
ME,25.00,0.0002
MO,0.25,0.0589
MO,1.00,0.1090
MO,2.00,0.0978
MO,3.00,0.0899
MO,4.00,0.0839
MO,5.00,0.0786
MO,6.00,0.0737
MO,7.00,0.0688
MO,8.00,0.0637
MO,9.00,0.0586
MO,10.00,0.0526
MO,11.00,0.0446
MO,12.00,0.0371
MO,13.00,0.0301
MO,14.00,0.0216
MO,15.00,0.0137
MO,16.00,0.0081
MO,17.00,0.0047
MO,18.00,0.0027
MO,19.00,0.0014
MO,20.00,0.0007
MO,21.00,0.0003
MO,22.00,0.0053
