lakeid,year4,daynum,sampledate,sta,nsnow,avsnow,wlevel,totice,nice,whiteice,blueice
ME,1997,14,1997-01-14,1,5,4.0,,31.0,1,,
ME,2001,17,2001-01-17,1,5,5.4,,25.0,1,10.0,15.0
ME,2011,19,2011-01-19,1,5,11.0,1.0,30.0,1,0.0,30.0
ME,2003,21,2003-01-21,1,1,0.0,0.0,25.0,1,0.0,25.0
ME,2009,21,2009-01-21,1,5,8.0,0.0,40.0,1,8.0,32.0
ME,2018,23,2018-01-23,1,,,7.0,42.0,,7.0,35.0
ME,2000,24,2000-01-24,1,5,1.0,1.0,17.0,1,,
ME,1999,25,1999-01-25,1,5,3.0,,30.0,1,,
ME,2016,27,2016-01-27,1,,5.2,1.0,27.0,,1.0,26.0
ME,2005,31,2005-01-31,1,5,,0.5,25.0,1,0.0,25.0
ME,2010,32,2010-02-01,1,1,0.0,3.0,35.0,1,0.0,35.0
ME,2004,34,2004-02-03,1,5,5.0,,64.0,1,,64.0
ME,2014,34,2014-02-03,1,,9.8,1.5,57.1,,9.4,47.7
ME,1996,37,1996-02-06,1,5,12.0,,46.0,1,,
ME,1998,37,1998-02-06,1,5,2.0,,,,,
ME,2017,37,2017-02-06,1,,2.0,1.0,28.0,,3.0,25.0
ME,2015,42,2015-02-11,1,,6.8,1.0,38.0,,0.0,38.0
ME,2013,43,2013-02-12,1,,0.0,2.0,37.0,,7.0,30.0
ME,2008,44,2008-02-13,1,5,18.0,0.0,32.0,1,2.0,30.0
ME,1997,48,1997-02-17,1,5,5.0,,45.0,1,,
ME,2007,50,2007-02-19,1,5,3.6,1.0,45.0,1,0.0,45.0
ME,2019,52,2019-02-21,1,,19.0,-3.0,31.0,,3.0,28.0
ME,1999,53,1999-02-22,1,1,0.0,,25.0,1,,
ME,2012,53,2012-02-22,1,1,0.0,1.0,18.0,1,1.0,17.0
ME,2000,59,2000-02-28,1,1,0.0,,16.0,1,,
ME,2006,65,2006-03-06,1,5,15.0,-1.0,25.0,1,10.0,15.0
ME,2001,66,2001-03-07,1,1,0.0,,50.0,1,10.0,40.0
MO,1997,14,1997-01-14,1,5,4.0,,30.0,1,,
MO,2001,15,2001-01-15,1,5,10.0,,27.0,1,11.0,16.0
MO,2018,24,2018-01-24,1,,,,44.0,,3.0,41.0
MO,2000,25,2000-01-25,1,5,3.0,,19.0,1,,
MO,2011,26,2011-01-26,1,5,12.6,0.0,32.0,1,0.0,32.0
MO,1999,27,1999-01-27,1,1,0.0,,26.0,1,,
MO,2005,34,2005-02-03,1,5,2.2,0.5,40.0,1,15.0,25.0
MO,2010,34,2010-02-03,1,5,8.0,3.0,33.0,1,0.0,33.0
MO,2016,35,2016-02-04,1,,1.0,1.0,29.0,,1.0,28.0
MO,2009,36,2009-02-05,1,5,6.0,1.0,44.0,1,4.0,40.0
MO,2013,36,2013-02-05,1,,2.0,1.0,29.0,,3.0,26.0
MO,1996,37,1996-02-06,1,5,13.0,,38.0,1,,
MO,2003,44,2003-02-13,1,5,2.5,0.0,40.0,1,0.0,40.0
MO,2017,44,2017-02-13,1,,0.0,2.0,38.0,,4.0,34.0
MO,1997,48,1997-02-17,1,5,35.0,,42.0,1,,
MO,2004,48,2004-02-17,1,5,9.8,0.5,32.5,1,12.5,20.0
MO,1999,54,1999-02-23,1,1,0.0,,19.0,1,,
MO,2007,57,2007-02-26,1,5,15.0,-2.0,39.0,1,1.0,38.0
MO,2019,58,2019-02-27,1,,10.0,1.0,35.0,,7.9,27.1
MO,2008,63,2008-03-03,1,1,0.0,2.0,50.0,1,12.0,38.0
MO,2015,65,2015-03-06,1,,4.0,1.0,45.0,,0.0,45.0
MO,2014,72,2014-03-13,1,,0.0,2.0,65.0,,9.0,56.0
