#,Date,Low Range,Full Range,Temp
1,12-19-2019 00:00:00,455.8,456,-0.06
2,12-19-2019 00:30:00,455.4,455.6,-0.06
3,12-19-2019 01:00:00,455.5,455.6,-0.05
4,12-19-2019 01:30:00,456.1,456.4,-0.05
5,12-19-2019 02:00:00,456.5,456.7,-0.05
6,12-19-2019 02:30:00,457.2,457.1,-0.05
7,12-19-2019 03:00:00,458,458.3,-0.05
8,12-19-2019 03:30:00,458.7,458.7,-0.05
9,12-19-2019 04:00:00,459.6,459.8,-0.05
10,12-19-2019 04:30:00,460.5,460.6,-0.05
11,12-19-2019 05:00:00,461.3,461.4,-0.04
12,12-19-2019 05:30:00,462.1,462.2,-0.04
13,12-19-2019 06:00:00,462.4,462.6,-0.04
14,12-19-2019 06:30:00,462.8,463.3,-0.04
15,12-19-2019 07:00:00,462.9,462.9,-0.04
16,12-19-2019 07:30:00,463.2,463.3,-0.04
17,12-19-2019 08:00:00,463.2,463.3,-0.04
18,12-19-2019 08:30:00,463.4,463.7,-0.01
19,12-19-2019 09:00:00,463.8,463.7,0
20,12-19-2019 09:30:00,464.1,464.1,0.04
21,12-19-2019 10:00:00,464.1,464.1,0.07
22,12-19-2019 10:30:00,463.8,464,0.11
23,12-19-2019 11:00:00,463.8,463.6,0.15
24,12-19-2019 11:30:00,463.4,463.6,0.17
25,12-19-2019 12:00:00,463,462.8,0.21
26,12-19-2019 12:30:00,462.2,462.4,0.21
27,12-19-2019 13:00:00,461.5,461.7,0.22
28,12-19-2019 13:30:00,460.5,460.5,0.19
29,12-19-2019 14:00:00,459.5,459.3,0.18
30,12-19-2019 14:30:00,458.6,458.6,0.13
31,12-19-2019 15:00:00,457.7,457.4,0.11
32,12-19-2019 15:30:00,456.9,456.7,0.07
33,12-19-2019 16:00:00,455.7,455.5,0.06
34,12-19-2019 16:30:00,454.7,454.8,0.04
35,12-19-2019 17:00:00,453.9,454,0.01
36,12-19-2019 17:30:00,453.3,453.2,0.01
37,12-19-2019 18:00:00,453,452.8,0.01
38,12-19-2019 18:30:00,452.6,452.8,0
39,12-19-2019 19:00:00,452.5,452.1,0
40,12-19-2019 19:30:00,452.3,452.1,0
41,12-19-2019 20:00:00,452.2,452.1,-0.01
42,12-19-2019 20:30:00,451.8,452.1,0
43,12-19-2019 21:00:00,452,452.1,0
44,12-19-2019 21:30:00,451.9,452.1,0
45,12-19-2019 22:00:00,452,451.7,-0.01
