#,Date,Low Range,Full Range,Temp
1,01-21-2020 16:45:00,1276.1,1275.6,2.33
1,01-21-2020 17:15:00,1265.4,1265.5,2.04
1,01-21-2020 17:45:00,1262.3,1261.6,1.91
1,01-21-2020 18:15:00,1259.3,1258.9,1.8
1,01-21-2020 18:45:00,1257.7,1257,1.73
1,01-21-2020 19:15:00,1258.1,1257.1,1.69
1,01-21-2020 19:45:00,1253.6,1253.2,1.59
1,01-21-2020 20:15:00,1253.3,1252.7,1.59
1,01-21-2020 20:45:00,1252.6,1252,1.57
1,01-21-2020 21:15:00,1249,1248.4,1.49
1,01-21-2020 21:45:00,1250.5,1250,1.55
1,01-21-2020 22:15:00,1246.9,1246.4,1.52
1,01-21-2020 22:45:00,1241.9,1241.2,1.42
1,01-21-2020 23:15:00,1237.5,1237.2,1.37
1,01-21-2020 23:45:00,1232.3,1232.1,1.29
1,01-22-2020 00:15:00,1233.7,1233.3,1.32
1,01-22-2020 00:45:00,1235.8,1235.6,1.41
1,01-22-2020 01:15:00,1236.3,1236,1.42
1,01-22-2020 01:45:00,1236.2,1236,1.42
1,01-22-2020 02:15:00,1238.2,1237.9,1.46
1,01-22-2020 02:45:00,1246.4,1245.4,1.66
1,01-22-2020 03:15:00,1251.9,1251.4,1.68
1,01-22-2020 03:45:00,1254.1,1253.7,1.8
1,01-22-2020 04:15:00,1260.8,1260,1.91
1,01-22-2020 04:45:00,1267.1,1266.8,1.98
1,01-22-2020 05:15:00,1268,1267.9,2.04
1,01-22-2020 05:45:00,1269.1,1268.3,2.04
1,01-22-2020 06:15:00,1272.3,1271.9,2.1
1,01-22-2020 06:45:00,1277.1,1276.2,2.2
1,01-22-2020 07:15:00,1277.1,1276.3,2.16
1,01-22-2020 07:45:00,1279.4,1278.7,2.17
1,01-22-2020 08:15:00,1286.9,1286.1,2.38
1,01-22-2020 08:45:00,1294.6,1293.9,2.61
1,01-22-2020 09:15:00,1306.6,1306,2.98
1,01-22-2020 09:45:00,1320.5,1320.3,3.48
1,01-22-2020 10:15:00,1336.2,1335.7,4
1,01-22-2020 10:45:00,1350.3,1349.2,4.49
1,01-22-2020 11:15:00,1369.5,1368.2,5.1
1,01-22-2020 11:45:00,1363.9,1366.1,5.47
1,01-22-2020 12:15:00,1363.5,1367.3,5.73
1,01-22-2020 12:45:00,1389.8,1389.5,6.09
1,01-22-2020 13:15:00,1395,1394.4,6.36
1,01-22-2020 13:45:00,1390.8,1390.7,6.37
1,01-22-2020 14:15:00,1388.5,1387,6.11
1,01-22-2020 14:45:00,1380.2,1379.7,5.87
1,01-22-2020 15:15:00,1382.6,1381.7,5.87
1,01-22-2020 15:45:00,1375,1374.4,5.59
1,01-22-2020 16:15:00,1364.9,1364.1,5.18
1,01-22-2020 16:45:00,1357.5,1356.9,4.8
1,01-22-2020 17:15:00,1358.4,1357.2,4.56
1,01-22-2020 17:45:00,1359.7,1358.7,4.4
1,01-22-2020 18:15:00,1361.7,1360.8,4.37
1,01-22-2020 18:45:00,1362.3,1361.6,4.33
1,01-22-2020 19:15:00,1362.2,1361.7,4.3
1,01-22-2020 19:45:00,1358.4,1357.8,4.18
1,01-22-2020 20:15:00,1358.1,1357.5,4.13
1,01-22-2020 20:45:00,1358.8,1357.9,4.1
1,01-22-2020 21:15:00,1361.6,1360.3,4.1
1,01-22-2020 21:45:00,1363,1362.4,4.06
1,01-22-2020 22:15:00,1362.3,1361.2,4.04
1,01-22-2020 22:45:00,1356,1355.3,3.92
1,01-22-2020 23:15:00,1347.7,1346.6,3.79
1,01-22-2020 23:45:00,1341.8,1341.4,3.71
1,01-23-2020 00:15:00,1345.9,1344.9,3.82
1,01-23-2020 00:45:00,1350.8,1350.1,3.86
1,01-23-2020 01:15:00,1356.5,1355.7,3.97
1,01-23-2020 01:45:00,1364,1363.1,4.13
1,01-23-2020 02:15:00,1370.1,1369.5,4.24
1,01-23-2020 02:45:00,1373.1,1371.9,4.28
1,01-23-2020 03:15:00,1371.9,1371,4.3
1,01-23-2020 03:45:00,1364.9,1363.9,4.18
