#,Date,Low Range,Full Range,Temp
1,01-02-2020 14:30:00,449.1,453.3,4.5
1,01-02-2020 15:00:00,427.3,431.1,2.67
1,01-02-2020 15:30:00,424.4,427.7,2.5
1,01-02-2020 16:00:00,421.8,425.1,2.35
1,01-02-2020 16:30:00,419.9,423.2,2.23
1,01-02-2020 17:00:00,417.7,421,2.1
1,01-02-2020 17:30:00,417.2,420.6,2.01
1,01-02-2020 18:00:00,416.9,420.3,1.95
1,01-02-2020 18:30:00,416.9,419.9,1.91
1,01-02-2020 19:00:00,417.8,421.1,1.87
1,01-02-2020 19:30:00,418.6,421.8,1.85
1,01-02-2020 20:00:00,420.1,423.4,1.9
1,01-02-2020 20:30:00,420.5,423.7,1.96
1,01-02-2020 21:00:00,421.3,424.5,2.01
1,01-02-2020 21:30:00,420,423.3,2.03
1,01-02-2020 22:00:00,421,424.1,2.03
1,01-02-2020 22:30:00,420.3,423.3,2.03
1,01-02-2020 23:00:00,419.7,422.9,2.02
1,01-02-2020 23:30:00,420.3,423.3,2.02
1,01-03-2020 00:00:00,419.7,422.9,1.99
1,01-03-2020 00:30:00,417.6,420.6,1.98
1,01-03-2020 01:00:00,418.8,422.2,1.98
1,01-03-2020 01:30:00,417.5,420.6,1.95
1,01-03-2020 02:00:00,417.5,420.7,1.91
1,01-03-2020 02:30:00,419.1,422.2,1.91
1,01-03-2020 03:00:00,418.2,421.4,1.89
1,01-03-2020 03:30:00,417.3,420.3,1.87
1,01-03-2020 04:00:00,419.7,422.6,1.87
1,01-03-2020 04:30:00,417.8,420.7,1.85
1,01-03-2020 05:00:00,417.8,420.7,1.83
1,01-03-2020 05:30:00,419.3,422.2,1.8
1,01-03-2020 06:00:00,416.3,419.2,1.73
1,01-03-2020 06:30:00,422.3,425.3,1.75
1,01-03-2020 07:00:00,422.3,425.4,1.74
1,01-03-2020 07:30:00,421.3,424.2,1.77
1,01-03-2020 08:00:00,425.4,428.4,1.79
1,01-03-2020 08:30:00,425.3,428.4,1.84
1,01-03-2020 09:00:00,427.1,430.3,1.9
1,01-03-2020 09:30:00,428,431,1.96
1,01-03-2020 10:00:00,428.2,431.8,2.02
1,01-03-2020 10:30:00,429.9,432.9,2.1
1,01-03-2020 11:00:00,430.6,433.6,2.22
1,01-03-2020 11:30:00,431.8,435.1,2.29
1,01-03-2020 12:00:00,432,435.1,2.32
1,01-03-2020 12:30:00,434.8,437.8,2.33
1,01-03-2020 13:00:00,433.9,437,2.32
1,01-03-2020 13:30:00,437,440.5,2.32
1,01-03-2020 14:00:00,434.6,437.8,2.32
1,01-03-2020 14:30:00,434.5,437.8,2.31
1,01-03-2020 15:00:00,437.4,440.9,2.28
1,01-03-2020 15:30:00,433.7,437,2.26
1,01-03-2020 16:00:00,433.3,436.7,2.22
1,01-03-2020 16:30:00,433.5,436.7,2.19
1,01-03-2020 17:00:00,432.2,435.5,2.16
1,01-03-2020 17:30:00,429.7,433.2,2.15
1,01-03-2020 18:00:00,429.9,433.3,2.14
1,01-03-2020 18:30:00,433.8,437.5,2.13
1,01-03-2020 19:00:00,433.1,436.7,2.1
1,01-03-2020 19:30:00,426.8,430.6,2.1
1,01-03-2020 20:00:00,425.6,429,2.09
1,01-03-2020 20:30:00,432.9,436.3,2.09
1,01-03-2020 21:00:00,432.4,436.3,2.1
1,01-03-2020 21:30:00,431.4,435.2,2.1
1,01-03-2020 22:00:00,430.9,435.2,2.09
1,01-03-2020 22:30:00,430.5,434.4,2.08
1,01-03-2020 23:00:00,429.6,433.7,2.08
1,01-03-2020 23:30:00,432.9,437.1,2.07
1,01-04-2020 00:00:00,431.5,435.6,2.07
1,01-04-2020 00:30:00,431.1,435.6,2.05
1,01-04-2020 01:00:00,428.6,432.9,2.04
1,01-04-2020 01:30:00,431.1,435.2,2.04
1,01-04-2020 02:00:00,431.4,435.2,2.04
1,01-04-2020 02:30:00,430.7,434.8,2.04
1,01-04-2020 03:00:00,429.5,434.1,2.03
1,01-04-2020 03:30:00,429.6,434.1,2.03
1,01-04-2020 04:00:00,431,435.2,2.03
1,01-04-2020 04:30:00,431.3,435.6,2.02
1,01-04-2020 05:00:00,431.4,435.6,1.99
1,01-04-2020 05:30:00,431.1,435.3,1.96
1,01-04-2020 06:00:00,430.7,434.9,1.92
1,01-04-2020 06:30:00,430.2,434.5,1.87
1,01-04-2020 07:00:00,430.3,434.5,1.86
1,01-04-2020 07:30:00,430.8,434.9,1.84
1,01-04-2020 08:00:00,431.3,435.7,1.83
1,01-04-2020 08:30:00,430.2,434.2,1.81
1,01-04-2020 09:00:00,430.2,434.6,1.8
1,01-04-2020 09:30:00,431.5,435.7,1.87
1,01-04-2020 10:00:00,432.3,436.8,1.9
1,01-04-2020 10:30:00,433.2,437.2,1.93
1,01-04-2020 11:00:00,434.7,438.7,1.98
1,01-04-2020 11:30:00,435.8,439.8,2.04
1,01-04-2020 12:00:00,439,443.2,2.17
1,01-04-2020 12:30:00,441.5,445.9,2.31
1,01-04-2020 13:00:00,443.4,447.8,2.39
1,01-04-2020 13:30:00,443.3,447.8,2.4
1,01-04-2020 14:00:00,446.5,450.8,2.46
1,01-04-2020 14:30:00,445.6,449.7,2.38
1,01-04-2020 15:00:00,444.9,449.3,2.31
1,01-04-2020 15:30:00,444.6,449,2.22
1,01-04-2020 16:00:00,443.4,447.9,2.15
1,01-04-2020 16:30:00,443.2,447.9,2.09
1,01-04-2020 17:00:00,442.9,447.5,2.05
1,01-04-2020 17:30:00,443.2,447.9,2.01
1,01-04-2020 18:00:00,443,447.9,1.98
1,01-04-2020 18:30:00,443.3,448,1.96
1,01-04-2020 19:00:00,443.4,448.4,1.91
1,01-04-2020 19:30:00,444.4,449.1,1.9
1,01-04-2020 20:00:00,445.3,449.9,1.86
1,01-04-2020 20:30:00,445.9,450.7,1.84
1,01-04-2020 21:00:00,447,451.9,1.8
1,01-04-2020 21:30:00,447.4,452.3,1.77
1,01-04-2020 22:00:00,448.9,453.8,1.74
1,01-04-2020 22:30:00,448.6,453.9,1.69
1,01-04-2020 23:00:00,450.5,455.8,1.73
1,01-04-2020 23:30:00,452.3,457.7,1.74
1,01-05-2020 00:00:00,452.6,457.7,1.69
1,01-05-2020 00:30:00,455.7,460.4,1.72
1,01-05-2020 01:00:00,456.3,461.6,1.73
1,01-05-2020 01:30:00,457.8,463.1,1.68
1,01-05-2020 02:00:00,460.2,465.4,1.72
1,01-05-2020 02:30:00,461.8,467,1.69
1,01-05-2020 03:00:00,462.8,468.1,1.71
1,01-05-2020 03:30:00,464.8,470.1,1.68
1,01-05-2020 04:00:00,466.1,471.6,1.66
1,01-05-2020 04:30:00,466.9,472,1.61
1,01-05-2020 05:00:00,469.4,474.7,1.59
1,01-05-2020 05:30:00,470.6,475.9,1.61
1,01-05-2020 06:00:00,473.2,478.2,1.6
1,01-05-2020 06:30:00,475,480.1,1.61
1,01-05-2020 07:00:00,478.4,483.6,1.69
1,01-05-2020 07:30:00,478.8,484.3,1.69
1,01-05-2020 08:00:00,483.3,489,1.75
1,01-05-2020 08:30:00,486.3,491.7,1.75
1,01-05-2020 09:00:00,487.7,492.8,1.87
1,01-05-2020 09:30:00,490.4,495,2.07
1,01-05-2020 10:00:00,494.8,499.5,2.19
1,01-05-2020 10:30:00,500,504.9,2.39
1,01-05-2020 11:00:00,503.5,508.6,2.59
1,01-05-2020 11:30:00,507,511.7,2.69
1,01-05-2020 12:00:00,510.1,515,2.92
1,01-05-2020 12:30:00,514,518.7,3.17
1,01-05-2020 13:00:00,517.1,521.8,3.32
1,01-05-2020 13:30:00,517.7,522.1,3.31
1,01-05-2020 14:00:00,519.8,524.8,3.49
1,01-05-2020 14:30:00,519.6,524.4,3.42
1,01-05-2020 15:00:00,518.8,523.6,3.41
1,01-05-2020 15:30:00,517.6,522.5,3.35
1,01-05-2020 16:00:00,517.7,522.9,3.35
1,01-05-2020 16:30:00,515.9,521,3.2
1,01-05-2020 17:00:00,512.3,517.6,3.08
1,01-05-2020 17:30:00,509.4,514.7,2.85
1,01-05-2020 18:00:00,509.7,514.8,2.67
1,01-05-2020 18:30:00,506.3,511.4,2.51
1,01-05-2020 19:00:00,505.6,511,2.38
1,01-05-2020 19:30:00,505.6,510.7,2.34
1,01-05-2020 20:00:00,504.5,510,2.2
1,01-05-2020 20:30:00,503.2,508.5,2.03
1,01-05-2020 21:00:00,502.1,507.4,1.95
1,01-05-2020 21:30:00,502.5,507.8,1.86
1,01-05-2020 22:00:00,502.2,507.5,1.77
1,01-05-2020 22:30:00,502.6,507.9,1.66
1,01-05-2020 23:00:00,502.4,508,1.59
1,01-05-2020 23:30:00,502.9,508,1.49
1,01-06-2020 00:00:00,502.9,508.1,1.4
1,01-06-2020 00:30:00,504.3,509.7,1.32
1,01-06-2020 01:00:00,503.3,508.6,1.24
1,01-06-2020 01:30:00,505.2,510.5,1.17
1,01-06-2020 02:00:00,508,513.3,1.13
1,01-06-2020 02:30:00,510.6,516,1.11
1,01-06-2020 03:00:00,512.8,518.3,1.08
1,01-06-2020 03:30:00,516.7,521.8,1.08
1,01-06-2020 04:00:00,518.7,523.8,1.07
1,01-06-2020 04:30:00,519.3,525.3,1.02
1,01-06-2020 05:00:00,521.5,527.6,1.05
1,01-06-2020 05:30:00,523.5,529.2,1.02
1,01-06-2020 06:00:00,525.8,531.2,1
1,01-06-2020 06:30:00,527.3,533.5,1.01
1,01-06-2020 07:00:00,530.5,536.6,1.02
1,01-06-2020 07:30:00,532.3,538.1,1.01
1,01-06-2020 08:00:00,535.1,540.8,1.07
1,01-06-2020 08:30:00,536.9,542.4,1.08
1,01-06-2020 09:00:00,542.6,548.1,1.23
1,01-06-2020 09:30:00,545.4,550.8,1.31
1,01-06-2020 10:00:00,550.6,556.1,1.47
1,01-06-2020 10:30:00,557.4,562.6,1.63
1,01-06-2020 11:00:00,569.9,574.9,1.89
1,01-06-2020 11:30:00,585.8,590.7,2.16
1,01-06-2020 12:00:00,596.9,601.4,2.45
1,01-06-2020 12:30:00,606.9,612.2,2.7
1,01-06-2020 13:00:00,614.7,619.4,2.87
1,01-06-2020 13:30:00,618.8,623.6,3.05
1,01-06-2020 14:00:00,622.1,627,3.18
1,01-06-2020 14:30:00,627.5,632.4,3.31
1,01-06-2020 15:00:00,626.6,631.6,3.37
1,01-06-2020 15:30:00,625.4,630.4,3.32
1,01-06-2020 16:00:00,623.7,628.5,3.25
1,01-06-2020 16:30:00,623.9,628.9,3.24
1,01-06-2020 17:00:00,623.3,628.6,3.12
1,01-06-2020 17:30:00,625.1,630.2,3.06
1,01-06-2020 18:00:00,626.8,631.8,3.01
