#,Date,Low Range,Full Range,Temp
1,12-19-2019 00:00:00,691.8,688.9,1.05
2,12-19-2019 00:30:00,692.8,690.1,1.04
3,12-19-2019 01:00:00,694.6,692,1.04
4,12-19-2019 01:30:00,691.7,689.4,0.99
5,12-19-2019 02:00:00,691.1,688.6,0.96
6,12-19-2019 02:30:00,690.8,688.2,0.95
7,12-19-2019 03:00:00,689,686.3,0.92
8,12-19-2019 03:30:00,689.2,686.8,0.88
9,12-19-2019 04:00:00,687.4,684.5,0.84
10,12-19-2019 04:30:00,682.2,679.5,0.75
11,12-19-2019 05:00:00,682.2,679.5,0.77
12,12-19-2019 05:30:00,684.9,682.6,0.75
13,12-19-2019 06:00:00,685.8,683,0.78
14,12-19-2019 06:30:00,686,683,0.79
15,12-19-2019 07:00:00,681.9,679.1,0.77
16,12-19-2019 07:30:00,684.1,681.8,0.74
17,12-19-2019 08:00:00,685.5,683,0.78
18,12-19-2019 08:30:00,685.9,683,0.77
19,12-19-2019 09:00:00,684.4,682.2,0.72
20,12-19-2019 09:30:00,682.6,679.9,0.75
21,12-19-2019 10:00:00,680.3,678,0.77
22,12-19-2019 10:30:00,679.6,676.8,0.79
23,12-19-2019 11:00:00,677.6,675.2,0.84
24,12-19-2019 11:30:00,675.6,673.3,0.86
25,12-19-2019 12:00:00,674.1,671.7,0.88
26,12-19-2019 12:30:00,673.9,671.3,0.93
27,12-19-2019 13:00:00,674.8,672.4,1
28,12-19-2019 13:30:00,675.5,673.2,1.03
29,12-19-2019 14:00:00,677.2,674.7,1.07
30,12-19-2019 14:30:00,678.2,675.4,1.08
31,12-19-2019 15:00:00,679.8,677.4,1.09
32,12-19-2019 15:30:00,680.7,678.1,1.08
33,12-19-2019 16:00:00,682,679.3,1.09
34,12-19-2019 16:30:00,680.8,678.1,1.07
35,12-19-2019 17:00:00,681.1,678.9,1.07
36,12-19-2019 17:30:00,683.2,680.8,1.09
37,12-19-2019 18:00:00,683.2,680.8,1.1
38,12-19-2019 18:30:00,682.7,680,1.1
39,12-19-2019 19:00:00,682.7,680,1.1
40,12-19-2019 19:30:00,681.5,678.9,1.05
41,12-19-2019 20:00:00,680,677.4,1.09
42,12-19-2019 20:30:00,681.8,679.3,1.14
43,12-19-2019 21:00:00,678.6,675.8,1.07
44,12-19-2019 21:30:00,679.1,676.6,1.1
45,12-19-2019 22:00:00,677.6,675.1,1.08
46,12-19-2019 22:30:00,677.9,675.4,1.09
47,12-19-2019 23:00:00,675.6,673.5,1.07
48,12-19-2019 23:30:00,676.5,673.9,1.09
49,12-20-2019 00:00:00,674.8,672.4,1.07
50,12-20-2019 00:30:00,675.8,673.5,1.09
51,12-20-2019 01:00:00,675.6,673.5,1.07
52,12-20-2019 01:30:00,676.6,673.9,1.09
53,12-20-2019 02:00:00,676.3,673.9,1.08
54,12-20-2019 02:30:00,678.1,675.8,1.12
55,12-20-2019 03:00:00,680,677.3,1.12
56,12-20-2019 03:30:00,683.6,681.1,1.18
57,12-20-2019 04:00:00,686.6,684.2,1.18
58,12-20-2019 04:30:00,688.3,686.1,1.2
59,12-20-2019 05:00:00,688.7,686.1,1.2
60,12-20-2019 05:30:00,689.5,686.9,1.22
61,12-20-2019 06:00:00,691.1,688.4,1.25
62,12-20-2019 06:30:00,692.6,689.9,1.27
63,12-20-2019 07:00:00,693.4,690.7,1.29
64,12-20-2019 07:30:00,693.1,690.3,1.3
65,12-20-2019 08:00:00,693.6,691.1,1.33
