#,Date,Low Range,Full Range,Temp
1,12-19-2019 00:00:00,463.8,460.4,0.15
2,12-19-2019 00:30:00,462.9,459.6,0.13
3,12-19-2019 01:00:00,462,458.5,0.13
4,12-19-2019 01:30:00,461.7,458.1,0.12
5,12-19-2019 02:00:00,461.5,458.1,0.1
6,12-19-2019 02:30:00,460.6,457,0.07
7,12-19-2019 03:00:00,460.7,457.4,0.06
8,12-19-2019 03:30:00,461.4,457.8,0.05
9,12-19-2019 04:00:00,461.7,458.5,0.04
10,12-19-2019 04:30:00,462,458.9,0.03
11,12-19-2019 05:00:00,462.2,458.9,0
12,12-19-2019 05:30:00,462.2,458.9,-0.01
13,12-19-2019 06:00:00,462.5,459.3,-0.01
14,12-19-2019 06:30:00,463.2,459.7,-0.02
15,12-19-2019 07:00:00,463.5,459.7,-0.02
16,12-19-2019 07:30:00,463.9,460.5,-0.04
17,12-19-2019 08:00:00,464.5,460.9,-0.05
18,12-19-2019 08:30:00,465.1,461.2,-0.04
19,12-19-2019 09:00:00,465.7,461.6,-0.04
20,12-19-2019 09:30:00,466.4,462.7,0
21,12-19-2019 10:00:00,468.6,465,0.06
22,12-19-2019 10:30:00,469.7,465.7,0.12
23,12-19-2019 11:00:00,471,468,0.21
24,12-19-2019 11:30:00,472.1,468.7,0.28
25,12-19-2019 12:00:00,473,469.4,0.39
26,12-19-2019 12:30:00,473.7,469.8,0.47
27,12-19-2019 13:00:00,473.9,470.5,0.57
28,12-19-2019 13:30:00,473.6,470,0.64
29,12-19-2019 14:00:00,473.5,470,0.7
30,12-19-2019 14:30:00,472.3,468.9,0.7
31,12-19-2019 15:00:00,471.4,468.1,0.73
32,12-19-2019 15:30:00,470.1,466.6,0.69
33,12-19-2019 16:00:00,468.8,465.5,0.67
34,12-19-2019 16:30:00,467.2,463.6,0.64
35,12-19-2019 17:00:00,465.6,462.1,0.61
36,12-19-2019 17:30:00,464.6,461,0.55
37,12-19-2019 18:00:00,463.9,460.2,0.47
38,12-19-2019 18:30:00,462.8,459.1,0.45
39,12-19-2019 19:00:00,462.4,458.7,0.4
40,12-19-2019 19:30:00,462,458.8,0.38
41,12-19-2019 20:00:00,460.5,456.9,0.34
42,12-19-2019 20:30:00,458.4,455,0.32
43,12-19-2019 21:00:00,457.1,453.5,0.29
44,12-19-2019 21:30:00,457.4,453.5,0.27
45,12-19-2019 22:00:00,456.9,453.1,0.24
46,12-19-2019 22:30:00,454.4,451.2,0.23
47,12-19-2019 23:00:00,453,449.7,0.21
48,12-19-2019 23:30:00,451.6,448.2,0.17
49,12-20-2019 00:00:00,451.8,448.6,0.16
50,12-20-2019 00:30:00,451.5,448.2,0.13
51,12-20-2019 01:00:00,452.2,448.6,0.13
52,12-20-2019 01:30:00,452.6,449.4,0.1
53,12-20-2019 02:00:00,447.9,444.4,0.09
54,12-20-2019 02:30:00,450.4,446.7,0.07
55,12-20-2019 03:00:00,455.5,452,0.09
56,12-20-2019 03:30:00,456.1,452.4,0.07
57,12-20-2019 04:00:00,456.3,452.8,0.06
58,12-20-2019 04:30:00,455.1,451.7,0.04
59,12-20-2019 05:00:00,456.7,453.2,0.03
60,12-20-2019 05:30:00,456.9,453.2,0.04
61,12-20-2019 06:00:00,458,454.4,0.01
62,12-20-2019 06:30:00,459.2,455.9,0
63,12-20-2019 07:00:00,460.8,457,0
64,12-20-2019 07:30:00,459.8,456.3,-0.01
65,12-20-2019 08:00:00,461,457,-0.01
66,12-20-2019 08:30:00,461.2,457.8,-0.01
67,12-20-2019 09:00:00,462.7,458.9,0.01
68,12-20-2019 09:30:00,463.4,459.7,0.05
69,12-20-2019 10:00:00,463.6,460,0.1
70,12-20-2019 10:30:00,464.1,460.4,0.15
71,12-20-2019 11:00:00,466.1,462.3,0.23
72,12-20-2019 11:30:00,466.4,462.6,0.32
73,12-20-2019 12:00:00,466.3,462.6,0.4
74,12-20-2019 12:30:00,467.1,463.6,0.5
75,12-20-2019 13:00:00,467.6,464,0.58
76,12-20-2019 13:30:00,468.3,464.7,0.68
77,12-20-2019 14:00:00,466,462.4,0.74
78,12-20-2019 14:30:00,466,462.4,0.76
79,12-20-2019 15:00:00,464.7,461.2,0.78
80,12-20-2019 15:30:00,463,459.7,0.79
81,12-20-2019 16:00:00,463.5,460.5,0.76
82,12-20-2019 16:30:00,460.2,456.7,0.71
83,12-20-2019 17:00:00,461,457.5,0.67
84,12-20-2019 17:30:00,460.4,457.1,0.61
85,12-20-2019 18:00:00,459.5,456,0.56
86,12-20-2019 18:30:00,461.7,458.3,0.61
87,12-20-2019 19:00:00,459.2,455.7,0.5
88,12-20-2019 19:30:00,459.7,456,0.5
89,12-20-2019 20:00:00,459.5,456,0.53
90,12-20-2019 20:30:00,455.1,451.5,0.41
91,12-20-2019 21:00:00,454.7,451.1,0.41
92,12-20-2019 21:30:00,458.5,454.9,0.51
93,12-20-2019 22:00:00,457.5,453.8,0.39
94,12-20-2019 22:30:00,456.6,453.1,0.38
95,12-20-2019 23:00:00,457.2,453.8,0.44
96,12-20-2019 23:30:00,457,453.4,0.39
97,12-21-2019 00:00:00,456.8,453.1,0.3
98,12-21-2019 00:30:00,455.1,451.6,0.29
99,12-21-2019 01:00:00,457.2,453.5,0.32
100,12-21-2019 01:30:00,457.3,453.8,0.33
101,12-21-2019 02:00:00,457.4,454.2,0.3
102,12-21-2019 02:30:00,457.4,453.8,0.3
103,12-21-2019 03:00:00,457.2,453.9,0.27
104,12-21-2019 03:30:00,457.8,453.9,0.27
105,12-21-2019 04:00:00,456.5,452.7,0.22
106,12-21-2019 04:30:00,458.1,454.6,0.24
107,12-21-2019 05:00:00,457.7,454.3,0.22
108,12-21-2019 05:30:00,457.6,453.9,0.18
109,12-21-2019 06:00:00,457.6,453.9,0.16
110,12-21-2019 06:30:00,456.4,452.8,0.12
111,12-21-2019 07:00:00,457.5,453.9,0.12
112,12-21-2019 07:30:00,457.9,454.3,0.13
113,12-21-2019 08:00:00,458.1,454.7,0.12
114,12-21-2019 08:30:00,457.4,453.6,0.09
115,12-21-2019 09:00:00,457.1,453.6,0.09
116,12-21-2019 09:30:00,460.1,456.2,0.16
117,12-21-2019 10:00:00,459.5,456.2,0.19
118,12-21-2019 10:30:00,462.5,458.8,0.29
119,12-21-2019 11:00:00,463.3,459.9,0.39
120,12-21-2019 11:30:00,462.9,459.5,0.46
121,12-21-2019 12:00:00,464.7,460.9,0.59
122,12-21-2019 12:30:00,463.4,460.1,0.73
123,12-21-2019 13:00:00,464.9,461.2,0.84
124,12-21-2019 13:30:00,464.7,461.2,0.93
125,12-21-2019 14:00:00,465.1,461.5,0.98
126,12-21-2019 14:30:00,462.6,458.8,1.01
127,12-21-2019 15:00:00,456.8,453.5,1.08
