#,Date,Low Range,Full Range,Temp
1,02-04-2020 15:30:00,456.4,452.7,1.95
2,02-04-2020 16:00:00,446.1,442.2,1.71
3,02-04-2020 16:30:00,450.8,447.1,1.78
4,02-04-2020 17:00:00,455.6,451.6,1.91
5,02-04-2020 17:30:00,456.7,452.7,1.97
6,02-04-2020 18:00:00,461.8,457.9,2.23
7,02-04-2020 18:30:00,456.9,453,2.05
8,02-04-2020 19:00:00,463,459,2.26
9,02-04-2020 19:30:00,466.4,462.3,2.41
10,02-04-2020 20:00:00,462.2,458.3,2.19
11,02-04-2020 20:30:00,460.8,457.2,2.09
12,02-04-2020 21:00:00,452.7,449,1.72
13,02-04-2020 21:30:00,457.9,453.9,1.85
14,02-04-2020 22:00:00,454.8,450.9,1.68
15,02-04-2020 22:30:00,452.1,448,1.47
16,02-04-2020 23:00:00,445.3,441.3,1.1
17,02-04-2020 23:30:00,436,432.3,0.97
18,02-05-2020 00:00:00,442.4,438.1,0.74
19,02-05-2020 00:30:00,443.7,440,0.74
20,02-05-2020 01:00:00,444.4,440.1,0.51
21,02-05-2020 01:30:00,443.7,439,0.4
22,02-05-2020 02:00:00,439.4,435.2,0.36
23,02-05-2020 02:30:00,440.5,436,0.25
24,02-05-2020 03:00:00,440,435.7,0.05
25,02-05-2020 03:30:00,438.7,434.6,-0.04
26,02-05-2020 04:00:00,435.6,431.6,-0.11
27,02-05-2020 04:30:00,436.1,432,-0.22
28,02-05-2020 05:00:00,443.1,438.5,-0.27
29,02-05-2020 05:30:00,438.4,434.3,-0.2
30,02-05-2020 06:00:00,435.6,431.6,-0.19
31,02-05-2020 06:30:00,439.2,435.1,-0.22
32,02-05-2020 07:00:00,441.1,437,-0.2
33,02-05-2020 07:30:00,442.2,438.1,-0.2
34,02-05-2020 08:00:00,450.2,445.7,-0.2
35,02-05-2020 08:30:00,449.1,444.9,-0.17
36,02-05-2020 09:00:00,454.1,449.9,-0.1
37,02-05-2020 09:30:00,453.1,448.7,-0.05
38,02-05-2020 10:00:00,458.3,454,0.07
39,02-05-2020 10:30:00,462.2,458.1,0.22
40,02-05-2020 11:00:00,462.7,458,0.3
41,02-05-2020 11:30:00,461.9,457.6,0.4
42,02-05-2020 12:00:00,461.9,457.6,0.5
43,02-05-2020 12:30:00,461.7,457.1,0.59
44,02-05-2020 13:00:00,461.2,457.1,0.7
45,02-05-2020 13:30:00,462.9,458.5,0.9
46,02-05-2020 14:00:00,461.6,457.3,1.03
47,02-05-2020 14:30:00,460.3,456.1,1.11
48,02-05-2020 15:00:00,458.5,454.2,1.09
49,02-05-2020 15:30:00,458.7,454.6,1.11
50,02-05-2020 16:00:00,459.3,455,1.14
51,02-05-2020 16:30:00,457.5,453.5,1.14
52,02-05-2020 17:00:00,456.7,452.3,1.14
53,02-05-2020 17:30:00,455.5,451.2,1.09
54,02-05-2020 18:00:00,451.9,447.8,1.01
55,02-05-2020 18:30:00,452.1,447.8,0.97
56,02-05-2020 19:00:00,450.3,446,0.91
57,02-05-2020 19:30:00,450.3,446,0.92
58,02-05-2020 20:00:00,453.6,449.4,0.93
59,02-05-2020 20:30:00,451.5,447.1,0.9
60,02-05-2020 21:00:00,454.7,450.1,0.92
61,02-05-2020 21:30:00,455.5,451.3,0.91
62,02-05-2020 22:00:00,455.8,451.7,0.91
